CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
87af9c5d1745499af698452e68086260fc10b954,ASF_IPC,743e315d,2017-12-21 13:04:09,+0000,__init__.py,ADD,92,0,,PythonFiles\ASF_IPC\743e315d\87af9c5d1745499af698452e68086260fc10b954\87af9c5d1745499af698452e68086260fc10b954_ASF_IPC_743e315d_20171221_210409_after_1.py
87af9c5d1745499af698452e68086260fc10b954,ASF_IPC,743e315d,2017-12-21 13:04:09,+0000,error.py,ADD,91,0,,PythonFiles\ASF_IPC\743e315d\87af9c5d1745499af698452e68086260fc10b954\87af9c5d1745499af698452e68086260fc10b954_ASF_IPC_743e315d_20171221_210409_after_2.py
87af9c5d1745499af698452e68086260fc10b954,ASF_IPC,743e315d,2017-12-21 13:04:09,+0000,response.py,ADD,38,0,,PythonFiles\ASF_IPC\743e315d\87af9c5d1745499af698452e68086260fc10b954\87af9c5d1745499af698452e68086260fc10b954_ASF_IPC_743e315d_20171221_210409_after_3.py
87af9c5d1745499af698452e68086260fc10b954,ASF_IPC,743e315d,2017-12-21 13:04:09,+0000,setup.py,ADD,25,0,,PythonFiles\ASF_IPC\743e315d\87af9c5d1745499af698452e68086260fc10b954\87af9c5d1745499af698452e68086260fc10b954_ASF_IPC_743e315d_20171221_210409_after_4.py
7232fb2edbd146ec2c1155c924e74a507f8062e0,ASF_IPC,743e315d,2017-12-21 15:32:42,+0000,__init__.py,MODIFY,4,4,PythonFiles\ASF_IPC\743e315d\7232fb2edbd146ec2c1155c924e74a507f8062e0\7232fb2edbd146ec2c1155c924e74a507f8062e0_ASF_IPC_743e315d_20171221_233242_before_1.py,PythonFiles\ASF_IPC\743e315d\7232fb2edbd146ec2c1155c924e74a507f8062e0\7232fb2edbd146ec2c1155c924e74a507f8062e0_ASF_IPC_743e315d_20171221_233242_after_1.py
7232fb2edbd146ec2c1155c924e74a507f8062e0,ASF_IPC,743e315d,2017-12-21 15:32:42,+0000,setup.py,MODIFY,2,2,PythonFiles\ASF_IPC\743e315d\7232fb2edbd146ec2c1155c924e74a507f8062e0\7232fb2edbd146ec2c1155c924e74a507f8062e0_ASF_IPC_743e315d_20171221_233242_before_3.py,PythonFiles\ASF_IPC\743e315d\7232fb2edbd146ec2c1155c924e74a507f8062e0\7232fb2edbd146ec2c1155c924e74a507f8062e0_ASF_IPC_743e315d_20171221_233242_after_3.py
bdc1254a4ec9e8eeaa0385faa5a1c64ca9996650,ASF_IPC,a4877244,2017-12-21 16:39:51,+0000,response.py,MODIFY,1,1,PythonFiles\ASF_IPC\a4877244\bdc1254a4ec9e8eeaa0385faa5a1c64ca9996650\bdc1254a4ec9e8eeaa0385faa5a1c64ca9996650_ASF_IPC_a4877244_20171221_173951_before_1.py,PythonFiles\ASF_IPC\a4877244\bdc1254a4ec9e8eeaa0385faa5a1c64ca9996650\bdc1254a4ec9e8eeaa0385faa5a1c64ca9996650_ASF_IPC_a4877244_20171221_173951_after_1.py
46fd1c5580506624d10ec50d56aebd79d421b306,ASF_IPC,743e315d,2017-12-22 05:53:52,+0000,__init__.py,MODIFY,3,3,PythonFiles\ASF_IPC\743e315d\46fd1c5580506624d10ec50d56aebd79d421b306\46fd1c5580506624d10ec50d56aebd79d421b306_ASF_IPC_743e315d_20171222_135352_before_1.py,PythonFiles\ASF_IPC\743e315d\46fd1c5580506624d10ec50d56aebd79d421b306\46fd1c5580506624d10ec50d56aebd79d421b306_ASF_IPC_743e315d_20171222_135352_after_1.py
46fd1c5580506624d10ec50d56aebd79d421b306,ASF_IPC,743e315d,2017-12-22 05:53:52,+0000,error.py,MODIFY,10,0,PythonFiles\ASF_IPC\743e315d\46fd1c5580506624d10ec50d56aebd79d421b306\46fd1c5580506624d10ec50d56aebd79d421b306_ASF_IPC_743e315d_20171222_135352_before_2.py,PythonFiles\ASF_IPC\743e315d\46fd1c5580506624d10ec50d56aebd79d421b306\46fd1c5580506624d10ec50d56aebd79d421b306_ASF_IPC_743e315d_20171222_135352_after_2.py
46fd1c5580506624d10ec50d56aebd79d421b306,ASF_IPC,743e315d,2017-12-22 05:53:52,+0000,response.py,MODIFY,1,0,PythonFiles\ASF_IPC\743e315d\46fd1c5580506624d10ec50d56aebd79d421b306\46fd1c5580506624d10ec50d56aebd79d421b306_ASF_IPC_743e315d_20171222_135352_before_3.py,PythonFiles\ASF_IPC\743e315d\46fd1c5580506624d10ec50d56aebd79d421b306\46fd1c5580506624d10ec50d56aebd79d421b306_ASF_IPC_743e315d_20171222_135352_after_3.py
