CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
426853a40083d23848e84b69c03172c264ffbef4,Dyslexml,c490bdd9,2017-05-27 15:01:40,+0000,saxoff.py,ADD,84,0,,PythonFiles\Dyslexml\c490bdd9\426853a40083d23848e84b69c03172c264ffbef4\426853a40083d23848e84b69c03172c264ffbef4_Dyslexml_c490bdd9_20170527_150140_after_1.py
cd346130657c8f657763488cb22b0b36b6a1340f,Dyslexml,c490bdd9,2017-05-27 19:11:36,+0000,saxoff.py,MODIFY,15,12,PythonFiles\Dyslexml\c490bdd9\cd346130657c8f657763488cb22b0b36b6a1340f\cd346130657c8f657763488cb22b0b36b6a1340f_Dyslexml_c490bdd9_20170527_191136_before_1.py,PythonFiles\Dyslexml\c490bdd9\cd346130657c8f657763488cb22b0b36b6a1340f\cd346130657c8f657763488cb22b0b36b6a1340f_Dyslexml_c490bdd9_20170527_191136_after_1.py
f9fa556b527e89454a961ba30e1e1042b56c8466,Dyslexml,29cbc2e4,2017-05-28 01:40:14,+0000,__init__.py,RENAME,19,19,PythonFiles\Dyslexml\29cbc2e4\f9fa556b527e89454a961ba30e1e1042b56c8466\f9fa556b527e89454a961ba30e1e1042b56c8466_Dyslexml_29cbc2e4_20170527_214014_before_3.py,PythonFiles\Dyslexml\29cbc2e4\f9fa556b527e89454a961ba30e1e1042b56c8466\f9fa556b527e89454a961ba30e1e1042b56c8466_Dyslexml_29cbc2e4_20170527_214014_after_3.py
f9fa556b527e89454a961ba30e1e1042b56c8466,Dyslexml,29cbc2e4,2017-05-28 01:40:14,+0000,setup.py,ADD,20,0,,PythonFiles\Dyslexml\29cbc2e4\f9fa556b527e89454a961ba30e1e1042b56c8466\f9fa556b527e89454a961ba30e1e1042b56c8466_Dyslexml_29cbc2e4_20170527_214014_after_4.py
297b7592e40e2b6fc42c097cda91152901acda95,Dyslexml,29cbc2e4,2017-05-28 02:46:00,+0000,setup.py,MODIFY,0,1,PythonFiles\Dyslexml\29cbc2e4\297b7592e40e2b6fc42c097cda91152901acda95\297b7592e40e2b6fc42c097cda91152901acda95_Dyslexml_29cbc2e4_20170527_224600_before_1.py,PythonFiles\Dyslexml\29cbc2e4\297b7592e40e2b6fc42c097cda91152901acda95\297b7592e40e2b6fc42c097cda91152901acda95_Dyslexml_29cbc2e4_20170527_224600_after_1.py
298e048524280f887559897af61f16083ce7a795,Dyslexml,29cbc2e4,2017-05-29 08:47:45,+0000,__init__.py,MODIFY,6,84,PythonFiles\Dyslexml\29cbc2e4\298e048524280f887559897af61f16083ce7a795\298e048524280f887559897af61f16083ce7a795_Dyslexml_29cbc2e4_20170529_044745_before_1.py,PythonFiles\Dyslexml\29cbc2e4\298e048524280f887559897af61f16083ce7a795\298e048524280f887559897af61f16083ce7a795_Dyslexml_29cbc2e4_20170529_044745_after_1.py
298e048524280f887559897af61f16083ce7a795,Dyslexml,29cbc2e4,2017-05-29 08:47:45,+0000,todict.py,ADD,96,0,,PythonFiles\Dyslexml\29cbc2e4\298e048524280f887559897af61f16083ce7a795\298e048524280f887559897af61f16083ce7a795_Dyslexml_29cbc2e4_20170529_044745_after_2.py
298e048524280f887559897af61f16083ce7a795,Dyslexml,29cbc2e4,2017-05-29 08:47:45,+0000,toobject.py,ADD,2,0,,PythonFiles\Dyslexml\29cbc2e4\298e048524280f887559897af61f16083ce7a795\298e048524280f887559897af61f16083ce7a795_Dyslexml_29cbc2e4_20170529_044745_after_3.py
298e048524280f887559897af61f16083ce7a795,Dyslexml,29cbc2e4,2017-05-29 08:47:45,+0000,toxml.py,ADD,144,0,,PythonFiles\Dyslexml\29cbc2e4\298e048524280f887559897af61f16083ce7a795\298e048524280f887559897af61f16083ce7a795_Dyslexml_29cbc2e4_20170529_044745_after_4.py
0c0ae72fec223dde9545b54b6a8bc7484ade4306,Dyslexml,c490bdd9,2017-05-30 05:16:16,+0000,__init__.py,MODIFY,3,4,PythonFiles\Dyslexml\c490bdd9\0c0ae72fec223dde9545b54b6a8bc7484ade4306\0c0ae72fec223dde9545b54b6a8bc7484ade4306_Dyslexml_c490bdd9_20170530_011616_before_2.py,PythonFiles\Dyslexml\c490bdd9\0c0ae72fec223dde9545b54b6a8bc7484ade4306\0c0ae72fec223dde9545b54b6a8bc7484ade4306_Dyslexml_c490bdd9_20170530_011616_after_2.py
0c0ae72fec223dde9545b54b6a8bc7484ade4306,Dyslexml,c490bdd9,2017-05-30 05:16:16,+0000,toxml.py,MODIFY,250,26,PythonFiles\Dyslexml\c490bdd9\0c0ae72fec223dde9545b54b6a8bc7484ade4306\0c0ae72fec223dde9545b54b6a8bc7484ade4306_Dyslexml_c490bdd9_20170530_011616_before_3.py,PythonFiles\Dyslexml\c490bdd9\0c0ae72fec223dde9545b54b6a8bc7484ade4306\0c0ae72fec223dde9545b54b6a8bc7484ade4306_Dyslexml_c490bdd9_20170530_011616_after_3.py
0c0ae72fec223dde9545b54b6a8bc7484ade4306,Dyslexml,c490bdd9,2017-05-30 05:16:16,+0000,setup.py,MODIFY,2,2,PythonFiles\Dyslexml\c490bdd9\0c0ae72fec223dde9545b54b6a8bc7484ade4306\0c0ae72fec223dde9545b54b6a8bc7484ade4306_Dyslexml_c490bdd9_20170530_011616_before_4.py,PythonFiles\Dyslexml\c490bdd9\0c0ae72fec223dde9545b54b6a8bc7484ade4306\0c0ae72fec223dde9545b54b6a8bc7484ade4306_Dyslexml_c490bdd9_20170530_011616_after_4.py
cf4add41f776afe9533a8bfd45b49b3538ef0453,Dyslexml,29cbc2e4,2017-05-30 06:06:46,+0000,setup.py,MODIFY,3,2,PythonFiles\Dyslexml\29cbc2e4\cf4add41f776afe9533a8bfd45b49b3538ef0453\cf4add41f776afe9533a8bfd45b49b3538ef0453_Dyslexml_29cbc2e4_20170530_020646_before_2.py,PythonFiles\Dyslexml\29cbc2e4\cf4add41f776afe9533a8bfd45b49b3538ef0453\cf4add41f776afe9533a8bfd45b49b3538ef0453_Dyslexml_29cbc2e4_20170530_020646_after_2.py
1e856d55eff8de49fd5404840947745cbba4e4ff,Dyslexml,29cbc2e4,2017-05-30 07:26:56,+0000,toxml.py,MODIFY,13,13,PythonFiles\Dyslexml\29cbc2e4\1e856d55eff8de49fd5404840947745cbba4e4ff\1e856d55eff8de49fd5404840947745cbba4e4ff_Dyslexml_29cbc2e4_20170530_032656_before_1.py,PythonFiles\Dyslexml\29cbc2e4\1e856d55eff8de49fd5404840947745cbba4e4ff\1e856d55eff8de49fd5404840947745cbba4e4ff_Dyslexml_29cbc2e4_20170530_032656_after_1.py
1e856d55eff8de49fd5404840947745cbba4e4ff,Dyslexml,29cbc2e4,2017-05-30 07:26:56,+0000,setup.py,MODIFY,1,1,PythonFiles\Dyslexml\29cbc2e4\1e856d55eff8de49fd5404840947745cbba4e4ff\1e856d55eff8de49fd5404840947745cbba4e4ff_Dyslexml_29cbc2e4_20170530_032656_before_2.py,PythonFiles\Dyslexml\29cbc2e4\1e856d55eff8de49fd5404840947745cbba4e4ff\1e856d55eff8de49fd5404840947745cbba4e4ff_Dyslexml_29cbc2e4_20170530_032656_after_2.py
