CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
ccb2b1f33b8c9fa27e100395c415deb527c44f8f,Flask-CacheControl,25275cb4,2015-09-12 20:39:54,+0000,setup.py,ADD,54,0,,PythonFiles\Flask-CacheControl\25275cb4\ccb2b1f33b8c9fa27e100395c415deb527c44f8f\ccb2b1f33b8c9fa27e100395c415deb527c44f8f_Flask-CacheControl_25275cb4_20150912_223954_after_4.py
ccb2b1f33b8c9fa27e100395c415deb527c44f8f,Flask-CacheControl,25275cb4,2015-09-12 20:39:54,+0000,__init__.py,ADD,24,0,,PythonFiles\Flask-CacheControl\25275cb4\ccb2b1f33b8c9fa27e100395c415deb527c44f8f\ccb2b1f33b8c9fa27e100395c415deb527c44f8f_Flask-CacheControl_25275cb4_20150912_223954_after_5.py
ccb2b1f33b8c9fa27e100395c415deb527c44f8f,Flask-CacheControl,25275cb4,2015-09-12 20:39:54,+0000,after_this_request.py,ADD,101,0,,PythonFiles\Flask-CacheControl\25275cb4\ccb2b1f33b8c9fa27e100395c415deb527c44f8f\ccb2b1f33b8c9fa27e100395c415deb527c44f8f_Flask-CacheControl_25275cb4_20150912_223954_after_6.py
ccb2b1f33b8c9fa27e100395c415deb527c44f8f,Flask-CacheControl,25275cb4,2015-09-12 20:39:54,+0000,cache.py,ADD,94,0,,PythonFiles\Flask-CacheControl\25275cb4\ccb2b1f33b8c9fa27e100395c415deb527c44f8f\ccb2b1f33b8c9fa27e100395c415deb527c44f8f_Flask-CacheControl_25275cb4_20150912_223954_after_7.py
ccb2b1f33b8c9fa27e100395c415deb527c44f8f,Flask-CacheControl,25275cb4,2015-09-12 20:39:54,+0000,callback.py,ADD,54,0,,PythonFiles\Flask-CacheControl\25275cb4\ccb2b1f33b8c9fa27e100395c415deb527c44f8f\ccb2b1f33b8c9fa27e100395c415deb527c44f8f_Flask-CacheControl_25275cb4_20150912_223954_after_8.py
ccb2b1f33b8c9fa27e100395c415deb527c44f8f,Flask-CacheControl,25275cb4,2015-09-12 20:39:54,+0000,error.py,ADD,26,0,,PythonFiles\Flask-CacheControl\25275cb4\ccb2b1f33b8c9fa27e100395c415deb527c44f8f\ccb2b1f33b8c9fa27e100395c415deb527c44f8f_Flask-CacheControl_25275cb4_20150912_223954_after_9.py
e05cacaeb6e8f73f5c2f9b10bc87dcdb93770cef,Flask-CacheControl,25275cb4,2015-09-12 20:52:02,+0000,setup.py,MODIFY,1,1,PythonFiles\Flask-CacheControl\25275cb4\e05cacaeb6e8f73f5c2f9b10bc87dcdb93770cef\e05cacaeb6e8f73f5c2f9b10bc87dcdb93770cef_Flask-CacheControl_25275cb4_20150912_225202_before_1.py,PythonFiles\Flask-CacheControl\25275cb4\e05cacaeb6e8f73f5c2f9b10bc87dcdb93770cef\e05cacaeb6e8f73f5c2f9b10bc87dcdb93770cef_Flask-CacheControl_25275cb4_20150912_225202_after_1.py
7e2859b8ff9e748edb313d9ef468f5f4107cb33d,Flask-CacheControl,25275cb4,2015-09-14 19:43:36,+0000,after_this_request.py,MODIFY,0,1,PythonFiles\Flask-CacheControl\25275cb4\7e2859b8ff9e748edb313d9ef468f5f4107cb33d\7e2859b8ff9e748edb313d9ef468f5f4107cb33d_Flask-CacheControl_25275cb4_20150914_214336_before_1.py,PythonFiles\Flask-CacheControl\25275cb4\7e2859b8ff9e748edb313d9ef468f5f4107cb33d\7e2859b8ff9e748edb313d9ef468f5f4107cb33d_Flask-CacheControl_25275cb4_20150914_214336_after_1.py
77a02dbb7b1b40681c43e28d566a4ef7d6bcb3dd,Flask-CacheControl,25275cb4,2015-09-14 19:44:38,+0000,cache.py,MODIFY,17,2,PythonFiles\Flask-CacheControl\25275cb4\77a02dbb7b1b40681c43e28d566a4ef7d6bcb3dd\77a02dbb7b1b40681c43e28d566a4ef7d6bcb3dd_Flask-CacheControl_25275cb4_20150914_214438_before_1.py,PythonFiles\Flask-CacheControl\25275cb4\77a02dbb7b1b40681c43e28d566a4ef7d6bcb3dd\77a02dbb7b1b40681c43e28d566a4ef7d6bcb3dd_Flask-CacheControl_25275cb4_20150914_214438_after_1.py
36402d6e836c30c401574d4d4a98dd480a4b79f0,Flask-CacheControl,25275cb4,2015-09-14 19:44:56,+0000,__init__.py,MODIFY,1,1,PythonFiles\Flask-CacheControl\25275cb4\36402d6e836c30c401574d4d4a98dd480a4b79f0\36402d6e836c30c401574d4d4a98dd480a4b79f0_Flask-CacheControl_25275cb4_20150914_214456_before_1.py,PythonFiles\Flask-CacheControl\25275cb4\36402d6e836c30c401574d4d4a98dd480a4b79f0\36402d6e836c30c401574d4d4a98dd480a4b79f0_Flask-CacheControl_25275cb4_20150914_214456_after_1.py
