CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
dae81e0a234e33c6366892fe07b667b34049c822,Flask-Json-Syslog,249e8fe3,2015-05-16 15:37:16,+0000,flask_jsonlog.py,ADD,0,0,,
dae81e0a234e33c6366892fe07b667b34049c822,Flask-Json-Syslog,249e8fe3,2015-05-16 15:37:16,+0000,setup.py,ADD,39,0,,PythonFiles\Flask-Json-Syslog\249e8fe3\dae81e0a234e33c6366892fe07b667b34049c822\dae81e0a234e33c6366892fe07b667b34049c822_Flask-Json-Syslog_249e8fe3_20150517_003716_after_3.py
fd4a43fde7af3743edf2fb2acf65f3cf0e4feb58,Flask-Json-Syslog,249e8fe3,2015-05-16 17:05:25,+0000,__init__.py,ADD,2,0,,PythonFiles\Flask-Json-Syslog\249e8fe3\fd4a43fde7af3743edf2fb2acf65f3cf0e4feb58\fd4a43fde7af3743edf2fb2acf65f3cf0e4feb58_Flask-Json-Syslog_249e8fe3_20150517_020525_after_1.py
fd4a43fde7af3743edf2fb2acf65f3cf0e4feb58,Flask-Json-Syslog,249e8fe3,2015-05-16 17:05:25,+0000,flask_json_syslog.py,ADD,46,0,,PythonFiles\Flask-Json-Syslog\249e8fe3\fd4a43fde7af3743edf2fb2acf65f3cf0e4feb58\fd4a43fde7af3743edf2fb2acf65f3cf0e4feb58_Flask-Json-Syslog_249e8fe3_20150517_020525_after_2.py
fd4a43fde7af3743edf2fb2acf65f3cf0e4feb58,Flask-Json-Syslog,249e8fe3,2015-05-16 17:05:25,+0000,flask_jsonlog.py,DELETE,0,0,,
bc05a3e3953e2532d323ee21db6989fde8380ccb,Flask-Json-Syslog,249e8fe3,2015-05-16 17:05:34,+0000,setup.py,MODIFY,10,10,PythonFiles\Flask-Json-Syslog\249e8fe3\bc05a3e3953e2532d323ee21db6989fde8380ccb\bc05a3e3953e2532d323ee21db6989fde8380ccb_Flask-Json-Syslog_249e8fe3_20150517_020534_before_1.py,PythonFiles\Flask-Json-Syslog\249e8fe3\bc05a3e3953e2532d323ee21db6989fde8380ccb\bc05a3e3953e2532d323ee21db6989fde8380ccb_Flask-Json-Syslog_249e8fe3_20150517_020534_after_1.py
4419962b61ad5452af3af07543ddb0f297d14f42,Flask-Json-Syslog,249e8fe3,2015-05-17 15:15:17,+0000,setup.py,MODIFY,49,3,PythonFiles\Flask-Json-Syslog\249e8fe3\4419962b61ad5452af3af07543ddb0f297d14f42\4419962b61ad5452af3af07543ddb0f297d14f42_Flask-Json-Syslog_249e8fe3_20150518_001517_before_1.py,PythonFiles\Flask-Json-Syslog\249e8fe3\4419962b61ad5452af3af07543ddb0f297d14f42\4419962b61ad5452af3af07543ddb0f297d14f42_Flask-Json-Syslog_249e8fe3_20150518_001517_after_1.py
61b72558aaae5c5c2479a218f5b3b46db70c6701,Flask-Json-Syslog,249e8fe3,2015-05-17 15:15:41,+0000,setup.py,MODIFY,1,1,PythonFiles\Flask-Json-Syslog\249e8fe3\61b72558aaae5c5c2479a218f5b3b46db70c6701\61b72558aaae5c5c2479a218f5b3b46db70c6701_Flask-Json-Syslog_249e8fe3_20150518_001541_before_1.py,PythonFiles\Flask-Json-Syslog\249e8fe3\61b72558aaae5c5c2479a218f5b3b46db70c6701\61b72558aaae5c5c2479a218f5b3b46db70c6701_Flask-Json-Syslog_249e8fe3_20150518_001541_after_1.py
667742f36b990e7bac93852cad04ff33a0456275,Flask-Json-Syslog,249e8fe3,2015-05-17 15:19:26,+0000,setup.py,MODIFY,0,3,PythonFiles\Flask-Json-Syslog\249e8fe3\667742f36b990e7bac93852cad04ff33a0456275\667742f36b990e7bac93852cad04ff33a0456275_Flask-Json-Syslog_249e8fe3_20150518_001926_before_1.py,PythonFiles\Flask-Json-Syslog\249e8fe3\667742f36b990e7bac93852cad04ff33a0456275\667742f36b990e7bac93852cad04ff33a0456275_Flask-Json-Syslog_249e8fe3_20150518_001926_after_1.py
66c82d08e4b0a920395176513d02f62d4bbb71a2,Flask-Json-Syslog,249e8fe3,2015-05-17 15:20:21,+0000,setup.py,MODIFY,1,1,PythonFiles\Flask-Json-Syslog\249e8fe3\66c82d08e4b0a920395176513d02f62d4bbb71a2\66c82d08e4b0a920395176513d02f62d4bbb71a2_Flask-Json-Syslog_249e8fe3_20150518_002021_before_1.py,PythonFiles\Flask-Json-Syslog\249e8fe3\66c82d08e4b0a920395176513d02f62d4bbb71a2\66c82d08e4b0a920395176513d02f62d4bbb71a2_Flask-Json-Syslog_249e8fe3_20150518_002021_after_1.py
