CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
0410fa8445c47de1e8002749a64aebf70956ff59,Preston,ee5d5586,2016-05-01 07:08:05,+0000,prest.py,ADD,52,0,,PythonFiles\Preston\ee5d5586\0410fa8445c47de1e8002749a64aebf70956ff59\0410fa8445c47de1e8002749a64aebf70956ff59_Preston_ee5d5586_20160501_000805_after_2.py
0410fa8445c47de1e8002749a64aebf70956ff59,Preston,ee5d5586,2016-05-01 07:08:05,+0000,test.py,ADD,9,0,,PythonFiles\Preston\ee5d5586\0410fa8445c47de1e8002749a64aebf70956ff59\0410fa8445c47de1e8002749a64aebf70956ff59_Preston_ee5d5586_20160501_000805_after_3.py
b344acc33bb342edd07cb3dfae2cf42b023f8aa6,Preston,ee5d5586,2016-06-23 16:19:13,+0000,prest.py,DELETE,0,52,PythonFiles\Preston\ee5d5586\b344acc33bb342edd07cb3dfae2cf42b023f8aa6\b344acc33bb342edd07cb3dfae2cf42b023f8aa6_Preston_ee5d5586_20160623_091913_before_1.py,
b344acc33bb342edd07cb3dfae2cf42b023f8aa6,Preston,ee5d5586,2016-06-23 16:19:13,+0000,__init__.py,ADD,2,0,,PythonFiles\Preston\ee5d5586\b344acc33bb342edd07cb3dfae2cf42b023f8aa6\b344acc33bb342edd07cb3dfae2cf42b023f8aa6_Preston_ee5d5586_20160623_091913_after_3.py
b344acc33bb342edd07cb3dfae2cf42b023f8aa6,Preston,ee5d5586,2016-06-23 16:19:13,+0000,errors.py,ADD,28,0,,PythonFiles\Preston\ee5d5586\b344acc33bb342edd07cb3dfae2cf42b023f8aa6\b344acc33bb342edd07cb3dfae2cf42b023f8aa6_Preston_ee5d5586_20160623_091913_after_4.py
b344acc33bb342edd07cb3dfae2cf42b023f8aa6,Preston,ee5d5586,2016-06-23 16:19:13,+0000,prest.py,ADD,46,0,,PythonFiles\Preston\ee5d5586\b344acc33bb342edd07cb3dfae2cf42b023f8aa6\b344acc33bb342edd07cb3dfae2cf42b023f8aa6_Preston_ee5d5586_20160623_091913_after_5.py
0fa9c90c2ae4f51e3c0d1972a85542de32b67690,Preston,ee5d5586,2016-06-23 18:48:19,+0000,prest.py,MODIFY,84,17,PythonFiles\Preston\ee5d5586\0fa9c90c2ae4f51e3c0d1972a85542de32b67690\0fa9c90c2ae4f51e3c0d1972a85542de32b67690_Preston_ee5d5586_20160623_114819_before_1.py,PythonFiles\Preston\ee5d5586\0fa9c90c2ae4f51e3c0d1972a85542de32b67690\0fa9c90c2ae4f51e3c0d1972a85542de32b67690_Preston_ee5d5586_20160623_114819_after_1.py
0fa9c90c2ae4f51e3c0d1972a85542de32b67690,Preston,ee5d5586,2016-06-23 18:48:19,+0000,test.py,MODIFY,8,6,PythonFiles\Preston\ee5d5586\0fa9c90c2ae4f51e3c0d1972a85542de32b67690\0fa9c90c2ae4f51e3c0d1972a85542de32b67690_Preston_ee5d5586_20160623_114819_before_2.py,PythonFiles\Preston\ee5d5586\0fa9c90c2ae4f51e3c0d1972a85542de32b67690\0fa9c90c2ae4f51e3c0d1972a85542de32b67690_Preston_ee5d5586_20160623_114819_after_2.py
426fa02cf2312471e478a223b28b84293c7fd2cd,Preston,ee5d5586,2016-06-23 20:15:42,+0000,prest.py,MODIFY,9,6,PythonFiles\Preston\ee5d5586\426fa02cf2312471e478a223b28b84293c7fd2cd\426fa02cf2312471e478a223b28b84293c7fd2cd_Preston_ee5d5586_20160623_131542_before_1.py,PythonFiles\Preston\ee5d5586\426fa02cf2312471e478a223b28b84293c7fd2cd\426fa02cf2312471e478a223b28b84293c7fd2cd_Preston_ee5d5586_20160623_131542_after_1.py
426fa02cf2312471e478a223b28b84293c7fd2cd,Preston,ee5d5586,2016-06-23 20:15:42,+0000,test.py,MODIFY,20,5,PythonFiles\Preston\ee5d5586\426fa02cf2312471e478a223b28b84293c7fd2cd\426fa02cf2312471e478a223b28b84293c7fd2cd_Preston_ee5d5586_20160623_131542_before_3.py,PythonFiles\Preston\ee5d5586\426fa02cf2312471e478a223b28b84293c7fd2cd\426fa02cf2312471e478a223b28b84293c7fd2cd_Preston_ee5d5586_20160623_131542_after_3.py
