CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
6097a34a4e096a27f31ddfee1ba321aff08a9392,PubTator2Anndoc,c8482085,2015-10-10 14:46:11,+0000,PubTator2TagTog.py,ADD,248,0,,PythonFiles\PubTator2Anndoc\c8482085\6097a34a4e096a27f31ddfee1ba321aff08a9392\6097a34a4e096a27f31ddfee1ba321aff08a9392_PubTator2Anndoc_c8482085_20151010_164611_after_1.py
6097a34a4e096a27f31ddfee1ba321aff08a9392,PubTator2Anndoc,c8482085,2015-10-10 14:46:11,+0000,__init__.py,ADD,0,0,,
c9ac99872e1b62ed85911f46ac6c7a760d4428f3,PubTator2Anndoc,c8482085,2015-10-10 14:47:11,+0000,PubTator2TagTog.py,MODIFY,0,7,PythonFiles\PubTator2Anndoc\c8482085\c9ac99872e1b62ed85911f46ac6c7a760d4428f3\c9ac99872e1b62ed85911f46ac6c7a760d4428f3_PubTator2Anndoc_c8482085_20151010_164711_before_1.py,PythonFiles\PubTator2Anndoc\c8482085\c9ac99872e1b62ed85911f46ac6c7a760d4428f3\c9ac99872e1b62ed85911f46ac6c7a760d4428f3_PubTator2Anndoc_c8482085_20151010_164711_after_1.py
97424b632a763fd13d86e0dfc6c1e436cb58ec55,PubTator2Anndoc,c8482085,2015-10-10 15:09:10,+0000,pubtator2tagtog.py,RENAME,4,4,PythonFiles\PubTator2Anndoc\c8482085\97424b632a763fd13d86e0dfc6c1e436cb58ec55\97424b632a763fd13d86e0dfc6c1e436cb58ec55_PubTator2Anndoc_c8482085_20151010_170910_before_2.py,PythonFiles\PubTator2Anndoc\c8482085\97424b632a763fd13d86e0dfc6c1e436cb58ec55\97424b632a763fd13d86e0dfc6c1e436cb58ec55_PubTator2Anndoc_c8482085_20151010_170910_after_2.py
1f3d61ac1e230659cc9947c73e18d6198b7a193a,PubTator2Anndoc,c8482085,2015-10-10 15:45:10,+0000,pubtator.py,RENAME,25,25,PythonFiles\PubTator2Anndoc\c8482085\1f3d61ac1e230659cc9947c73e18d6198b7a193a\1f3d61ac1e230659cc9947c73e18d6198b7a193a_PubTator2Anndoc_c8482085_20151010_174510_before_2.py,PythonFiles\PubTator2Anndoc\c8482085\1f3d61ac1e230659cc9947c73e18d6198b7a193a\1f3d61ac1e230659cc9947c73e18d6198b7a193a_PubTator2Anndoc_c8482085_20151010_174510_after_2.py
d19786a0cf88bdf714bc04199874bd29b20cdd2f,PubTator2Anndoc,c8482085,2015-10-10 15:46:59,+0000,convert.py,ADD,11,0,,PythonFiles\PubTator2Anndoc\c8482085\d19786a0cf88bdf714bc04199874bd29b20cdd2f\d19786a0cf88bdf714bc04199874bd29b20cdd2f_PubTator2Anndoc_c8482085_20151010_174659_after_1.py
427389e569c5a4f772d9ee2a738d3ec89fccb390,PubTator2Anndoc,c8482085,2015-10-10 15:52:13,+0000,convert.py,MODIFY,2,1,PythonFiles\PubTator2Anndoc\c8482085\427389e569c5a4f772d9ee2a738d3ec89fccb390\427389e569c5a4f772d9ee2a738d3ec89fccb390_PubTator2Anndoc_c8482085_20151010_175213_before_1.py,PythonFiles\PubTator2Anndoc\c8482085\427389e569c5a4f772d9ee2a738d3ec89fccb390\427389e569c5a4f772d9ee2a738d3ec89fccb390_PubTator2Anndoc_c8482085_20151010_175213_after_1.py
8d387d0521d229be1332b9faa9c3cd0b90cf774a,PubTator2Anndoc,c8482085,2015-10-10 16:14:03,+0000,convert.py,MODIFY,3,3,PythonFiles\PubTator2Anndoc\c8482085\8d387d0521d229be1332b9faa9c3cd0b90cf774a\8d387d0521d229be1332b9faa9c3cd0b90cf774a_PubTator2Anndoc_c8482085_20151010_181403_before_8.py,PythonFiles\PubTator2Anndoc\c8482085\8d387d0521d229be1332b9faa9c3cd0b90cf774a\8d387d0521d229be1332b9faa9c3cd0b90cf774a_PubTator2Anndoc_c8482085_20151010_181403_after_8.py
8d387d0521d229be1332b9faa9c3cd0b90cf774a,PubTator2Anndoc,c8482085,2015-10-10 16:14:03,+0000,setup.py,ADD,110,0,,PythonFiles\PubTator2Anndoc\c8482085\8d387d0521d229be1332b9faa9c3cd0b90cf774a\8d387d0521d229be1332b9faa9c3cd0b90cf774a_PubTator2Anndoc_c8482085_20151010_181403_after_11.py
aff506544fe0ad626a04bfd06448573f9042ff7b,PubTator2Anndoc,c8482085,2015-10-11 08:16:18,+0000,pubtator.py,MODIFY,19,8,PythonFiles\PubTator2Anndoc\c8482085\aff506544fe0ad626a04bfd06448573f9042ff7b\aff506544fe0ad626a04bfd06448573f9042ff7b_PubTator2Anndoc_c8482085_20151011_101618_before_1.py,PythonFiles\PubTator2Anndoc\c8482085\aff506544fe0ad626a04bfd06448573f9042ff7b\aff506544fe0ad626a04bfd06448573f9042ff7b_PubTator2Anndoc_c8482085_20151011_101618_after_1.py
