CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
16ac9b4595673d2e6783865dd11a2ec277557644,PyHunter,fcba6933,2017-05-23 21:31:03,+0000,pyhunter.py,ADD,44,0,,PythonFiles\PyHunter\fcba6933\16ac9b4595673d2e6783865dd11a2ec277557644\16ac9b4595673d2e6783865dd11a2ec277557644_PyHunter_fcba6933_20170523_233103_after_1.py
0345bf6d5266bdfda3748d22334cdd1ea31bfb33,PyHunter,fcba6933,2017-05-23 21:49:54,+0000,pyhunter.py,MODIFY,35,0,PythonFiles\PyHunter\fcba6933\0345bf6d5266bdfda3748d22334cdd1ea31bfb33\0345bf6d5266bdfda3748d22334cdd1ea31bfb33_PyHunter_fcba6933_20170523_234954_before_1.py,PythonFiles\PyHunter\fcba6933\0345bf6d5266bdfda3748d22334cdd1ea31bfb33\0345bf6d5266bdfda3748d22334cdd1ea31bfb33_PyHunter_fcba6933_20170523_234954_after_1.py
e8c39c3d5b29554849dcf7cdf078f07427a30364,PyHunter,fcba6933,2017-05-24 06:20:28,+0000,pyhunter.py,MODIFY,21,0,PythonFiles\PyHunter\fcba6933\e8c39c3d5b29554849dcf7cdf078f07427a30364\e8c39c3d5b29554849dcf7cdf078f07427a30364_PyHunter_fcba6933_20170524_082028_before_1.py,PythonFiles\PyHunter\fcba6933\e8c39c3d5b29554849dcf7cdf078f07427a30364\e8c39c3d5b29554849dcf7cdf078f07427a30364_PyHunter_fcba6933_20170524_082028_after_1.py
c29266d1ddb8f9de0d3f1451e42c019cbc13a3c8,PyHunter,fcba6933,2017-05-24 06:29:12,+0000,pyhunter.py,MODIFY,12,0,PythonFiles\PyHunter\fcba6933\c29266d1ddb8f9de0d3f1451e42c019cbc13a3c8\c29266d1ddb8f9de0d3f1451e42c019cbc13a3c8_PyHunter_fcba6933_20170524_082912_before_1.py,PythonFiles\PyHunter\fcba6933\c29266d1ddb8f9de0d3f1451e42c019cbc13a3c8\c29266d1ddb8f9de0d3f1451e42c019cbc13a3c8_PyHunter_fcba6933_20170524_082912_after_1.py
9766c717cd969dc154945cae3c55bf9265515c48,PyHunter,fcba6933,2017-05-24 06:37:42,+0000,pyhunter.py,MODIFY,20,0,PythonFiles\PyHunter\fcba6933\9766c717cd969dc154945cae3c55bf9265515c48\9766c717cd969dc154945cae3c55bf9265515c48_PyHunter_fcba6933_20170524_083742_before_1.py,PythonFiles\PyHunter\fcba6933\9766c717cd969dc154945cae3c55bf9265515c48\9766c717cd969dc154945cae3c55bf9265515c48_PyHunter_fcba6933_20170524_083742_after_1.py
d7598814804b4ea9dfa487974a1cf4e34938d5e2,PyHunter,fcba6933,2017-05-24 06:52:55,+0000,pyhunter.py,MODIFY,2,2,PythonFiles\PyHunter\fcba6933\d7598814804b4ea9dfa487974a1cf4e34938d5e2\d7598814804b4ea9dfa487974a1cf4e34938d5e2_PyHunter_fcba6933_20170524_085255_before_1.py,PythonFiles\PyHunter\fcba6933\d7598814804b4ea9dfa487974a1cf4e34938d5e2\d7598814804b4ea9dfa487974a1cf4e34938d5e2_PyHunter_fcba6933_20170524_085255_after_1.py
0ea805a46bad93ed9f3f6253fa93560a65c270e5,PyHunter,fcba6933,2017-05-24 15:57:33,+0000,__init__.py,ADD,1,0,,PythonFiles\PyHunter\fcba6933\0ea805a46bad93ed9f3f6253fa93560a65c270e5\0ea805a46bad93ed9f3f6253fa93560a65c270e5_PyHunter_fcba6933_20170524_175733_after_1.py
0ea805a46bad93ed9f3f6253fa93560a65c270e5,PyHunter,fcba6933,2017-05-24 15:57:33,+0000,pyhunter.py,RENAME,9,3,PythonFiles\PyHunter\fcba6933\0ea805a46bad93ed9f3f6253fa93560a65c270e5\0ea805a46bad93ed9f3f6253fa93560a65c270e5_PyHunter_fcba6933_20170524_175733_before_2.py,PythonFiles\PyHunter\fcba6933\0ea805a46bad93ed9f3f6253fa93560a65c270e5\0ea805a46bad93ed9f3f6253fa93560a65c270e5_PyHunter_fcba6933_20170524_175733_after_2.py
0ea805a46bad93ed9f3f6253fa93560a65c270e5,PyHunter,fcba6933,2017-05-24 15:57:33,+0000,setup.py,ADD,15,0,,PythonFiles\PyHunter\fcba6933\0ea805a46bad93ed9f3f6253fa93560a65c270e5\0ea805a46bad93ed9f3f6253fa93560a65c270e5_PyHunter_fcba6933_20170524_175733_after_4.py
0520e5cfb1ddf1004a8c2d4d27d8b4cc098519cf,PyHunter,fcba6933,2017-05-24 16:39:51,+0000,setup.py,MODIFY,2,1,PythonFiles\PyHunter\fcba6933\0520e5cfb1ddf1004a8c2d4d27d8b4cc098519cf\0520e5cfb1ddf1004a8c2d4d27d8b4cc098519cf_PyHunter_fcba6933_20170524_183951_before_2.py,PythonFiles\PyHunter\fcba6933\0520e5cfb1ddf1004a8c2d4d27d8b4cc098519cf\0520e5cfb1ddf1004a8c2d4d27d8b4cc098519cf_PyHunter_fcba6933_20170524_183951_after_2.py
