CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
14c8772333c58b2ac9b5b1cbf5985015bd555b1b,PyMoe,c490bdd9,2016-06-28 20:45:47,+0000,__init__.py,ADD,0,0,,
14c8772333c58b2ac9b5b1cbf5985015bd555b1b,PyMoe,c490bdd9,2016-06-28 20:45:47,+0000,json.py,ADD,0,0,,
14c8772333c58b2ac9b5b1cbf5985015bd555b1b,PyMoe,c490bdd9,2016-06-28 20:45:47,+0000,mongo.py,ADD,0,0,,
14c8772333c58b2ac9b5b1cbf5985015bd555b1b,PyMoe,c490bdd9,2016-06-28 20:45:47,+0000,mysql.py,ADD,0,0,,
14c8772333c58b2ac9b5b1cbf5985015bd555b1b,PyMoe,c490bdd9,2016-06-28 20:45:47,+0000,postgresql.py,ADD,0,0,,
14c8772333c58b2ac9b5b1cbf5985015bd555b1b,PyMoe,c490bdd9,2016-06-28 20:45:47,+0000,redis.py,ADD,0,0,,
14c8772333c58b2ac9b5b1cbf5985015bd555b1b,PyMoe,c490bdd9,2016-06-28 20:45:47,+0000,sqlite.py,ADD,0,0,,
14c8772333c58b2ac9b5b1cbf5985015bd555b1b,PyMoe,c490bdd9,2016-06-28 20:45:47,+0000,__init__.py,ADD,0,0,,
14c8772333c58b2ac9b5b1cbf5985015bd555b1b,PyMoe,c490bdd9,2016-06-28 20:45:47,+0000,__init__.py,ADD,4,0,,PythonFiles\PyMoe\c490bdd9\14c8772333c58b2ac9b5b1cbf5985015bd555b1b\14c8772333c58b2ac9b5b1cbf5985015bd555b1b_PyMoe_c490bdd9_20160628_164547_after_10.py
14c8772333c58b2ac9b5b1cbf5985015bd555b1b,PyMoe,c490bdd9,2016-06-28 20:45:47,+0000,anidb.py,ADD,0,0,,
14c8772333c58b2ac9b5b1cbf5985015bd555b1b,PyMoe,c490bdd9,2016-06-28 20:45:47,+0000,anilist.py,ADD,32,0,,PythonFiles\PyMoe\c490bdd9\14c8772333c58b2ac9b5b1cbf5985015bd555b1b\14c8772333c58b2ac9b5b1cbf5985015bd555b1b_PyMoe_c490bdd9_20160628_164547_after_12.py
14c8772333c58b2ac9b5b1cbf5985015bd555b1b,PyMoe,c490bdd9,2016-06-28 20:45:47,+0000,errors.py,ADD,35,0,,PythonFiles\PyMoe\c490bdd9\14c8772333c58b2ac9b5b1cbf5985015bd555b1b\14c8772333c58b2ac9b5b1cbf5985015bd555b1b_PyMoe_c490bdd9_20160628_164547_after_13.py
14c8772333c58b2ac9b5b1cbf5985015bd555b1b,PyMoe,c490bdd9,2016-06-28 20:45:47,+0000,hummingbird.py,ADD,0,0,,
14c8772333c58b2ac9b5b1cbf5985015bd555b1b,PyMoe,c490bdd9,2016-06-28 20:45:47,+0000,mal.py,ADD,0,0,,
14c8772333c58b2ac9b5b1cbf5985015bd555b1b,PyMoe,c490bdd9,2016-06-28 20:45:47,+0000,vndb.py,ADD,102,0,,PythonFiles\PyMoe\c490bdd9\14c8772333c58b2ac9b5b1cbf5985015bd555b1b\14c8772333c58b2ac9b5b1cbf5985015bd555b1b_PyMoe_c490bdd9_20160628_164547_after_16.py
14c8772333c58b2ac9b5b1cbf5985015bd555b1b,PyMoe,c490bdd9,2016-06-28 20:45:47,+0000,setup.py,ADD,12,0,,PythonFiles\PyMoe\c490bdd9\14c8772333c58b2ac9b5b1cbf5985015bd555b1b\14c8772333c58b2ac9b5b1cbf5985015bd555b1b_PyMoe_c490bdd9_20160628_164547_after_18.py
6b25a2e6ef7fbd9280e1c120b146e0b62e973b38,PyMoe,c490bdd9,2016-06-28 21:48:38,+0000,json.py,MODIFY,8,0,,PythonFiles\PyMoe\c490bdd9\6b25a2e6ef7fbd9280e1c120b146e0b62e973b38\6b25a2e6ef7fbd9280e1c120b146e0b62e973b38_PyMoe_c490bdd9_20160628_174838_after_1.py
6b25a2e6ef7fbd9280e1c120b146e0b62e973b38,PyMoe,c490bdd9,2016-06-28 21:48:38,+0000,__init__.py,MODIFY,58,0,,PythonFiles\PyMoe\c490bdd9\6b25a2e6ef7fbd9280e1c120b146e0b62e973b38\6b25a2e6ef7fbd9280e1c120b146e0b62e973b38_PyMoe_c490bdd9_20160628_174838_after_2.py
6b25a2e6ef7fbd9280e1c120b146e0b62e973b38,PyMoe,c490bdd9,2016-06-28 21:48:38,+0000,errors.py,ADD,22,0,,PythonFiles\PyMoe\c490bdd9\6b25a2e6ef7fbd9280e1c120b146e0b62e973b38\6b25a2e6ef7fbd9280e1c120b146e0b62e973b38_PyMoe_c490bdd9_20160628_174838_after_3.py
6b25a2e6ef7fbd9280e1c120b146e0b62e973b38,PyMoe,c490bdd9,2016-06-28 21:48:38,+0000,vndb.py,MODIFY,1,1,PythonFiles\PyMoe\c490bdd9\6b25a2e6ef7fbd9280e1c120b146e0b62e973b38\6b25a2e6ef7fbd9280e1c120b146e0b62e973b38_PyMoe_c490bdd9_20160628_174838_before_4.py,PythonFiles\PyMoe\c490bdd9\6b25a2e6ef7fbd9280e1c120b146e0b62e973b38\6b25a2e6ef7fbd9280e1c120b146e0b62e973b38_PyMoe_c490bdd9_20160628_174838_after_4.py
2d0ab412de51d713ba069a7b5493510d0c0be378,PyMoe,c490bdd9,2016-07-15 01:02:40,+0000,json.py,DELETE,0,8,PythonFiles\PyMoe\c490bdd9\2d0ab412de51d713ba069a7b5493510d0c0be378\2d0ab412de51d713ba069a7b5493510d0c0be378_PyMoe_c490bdd9_20160714_210240_before_1.py,
2d0ab412de51d713ba069a7b5493510d0c0be378,PyMoe,c490bdd9,2016-07-15 01:02:40,+0000,mysql.py,DELETE,0,0,,
2d0ab412de51d713ba069a7b5493510d0c0be378,PyMoe,c490bdd9,2016-07-15 01:02:40,+0000,postgresql.py,DELETE,0,0,,
2d0ab412de51d713ba069a7b5493510d0c0be378,PyMoe,c490bdd9,2016-07-15 01:02:40,+0000,redis.py,DELETE,0,0,,
2d0ab412de51d713ba069a7b5493510d0c0be378,PyMoe,c490bdd9,2016-07-15 01:02:40,+0000,sqlite.py,DELETE,0,0,,
2d0ab412de51d713ba069a7b5493510d0c0be378,PyMoe,c490bdd9,2016-07-15 01:02:40,+0000,__init__.py,DELETE,0,58,PythonFiles\PyMoe\c490bdd9\2d0ab412de51d713ba069a7b5493510d0c0be378\2d0ab412de51d713ba069a7b5493510d0c0be378_PyMoe_c490bdd9_20160714_210240_before_6.py,
2d0ab412de51d713ba069a7b5493510d0c0be378,PyMoe,c490bdd9,2016-07-15 01:02:40,+0000,errors.py,DELETE,0,22,PythonFiles\PyMoe\c490bdd9\2d0ab412de51d713ba069a7b5493510d0c0be378\2d0ab412de51d713ba069a7b5493510d0c0be378_PyMoe_c490bdd9_20160714_210240_before_7.py,
2d0ab412de51d713ba069a7b5493510d0c0be378,PyMoe,c490bdd9,2016-07-15 01:02:40,+0000,anilist.py,MODIFY,2,1,PythonFiles\PyMoe\c490bdd9\2d0ab412de51d713ba069a7b5493510d0c0be378\2d0ab412de51d713ba069a7b5493510d0c0be378_PyMoe_c490bdd9_20160714_210240_before_8.py,PythonFiles\PyMoe\c490bdd9\2d0ab412de51d713ba069a7b5493510d0c0be378\2d0ab412de51d713ba069a7b5493510d0c0be378_PyMoe_c490bdd9_20160714_210240_after_8.py
2d0ab412de51d713ba069a7b5493510d0c0be378,PyMoe,c490bdd9,2016-07-15 01:02:40,+0000,bakatsuki.py,RENAME,0,0,,
2d0ab412de51d713ba069a7b5493510d0c0be378,PyMoe,c490bdd9,2016-07-15 01:02:40,+0000,errors.py,MODIFY,7,0,PythonFiles\PyMoe\c490bdd9\2d0ab412de51d713ba069a7b5493510d0c0be378\2d0ab412de51d713ba069a7b5493510d0c0be378_PyMoe_c490bdd9_20160714_210240_before_10.py,PythonFiles\PyMoe\c490bdd9\2d0ab412de51d713ba069a7b5493510d0c0be378\2d0ab412de51d713ba069a7b5493510d0c0be378_PyMoe_c490bdd9_20160714_210240_after_10.py
2d0ab412de51d713ba069a7b5493510d0c0be378,PyMoe,c490bdd9,2016-07-15 01:02:40,+0000,hummingbird.py,MODIFY,93,0,,PythonFiles\PyMoe\c490bdd9\2d0ab412de51d713ba069a7b5493510d0c0be378\2d0ab412de51d713ba069a7b5493510d0c0be378_PyMoe_c490bdd9_20160714_210240_after_11.py
2d0ab412de51d713ba069a7b5493510d0c0be378,PyMoe,c490bdd9,2016-07-15 01:02:40,+0000,novelupdates.py,RENAME,0,0,,
2d0ab412de51d713ba069a7b5493510d0c0be378,PyMoe,c490bdd9,2016-07-15 01:02:40,+0000,vndb.py,MODIFY,1,0,PythonFiles\PyMoe\c490bdd9\2d0ab412de51d713ba069a7b5493510d0c0be378\2d0ab412de51d713ba069a7b5493510d0c0be378_PyMoe_c490bdd9_20160714_210240_before_13.py,PythonFiles\PyMoe\c490bdd9\2d0ab412de51d713ba069a7b5493510d0c0be378\2d0ab412de51d713ba069a7b5493510d0c0be378_PyMoe_c490bdd9_20160714_210240_after_13.py
c47dfa75eedbe0c0130756d36413a7d1057b3db1,PyMoe,c490bdd9,2016-07-15 02:21:41,+0000,hummingbird.py,MODIFY,176,24,PythonFiles\PyMoe\c490bdd9\c47dfa75eedbe0c0130756d36413a7d1057b3db1\c47dfa75eedbe0c0130756d36413a7d1057b3db1_PyMoe_c490bdd9_20160714_222141_before_1.py,PythonFiles\PyMoe\c490bdd9\c47dfa75eedbe0c0130756d36413a7d1057b3db1\c47dfa75eedbe0c0130756d36413a7d1057b3db1_PyMoe_c490bdd9_20160714_222141_after_1.py
63bca7d39053ffc2da5203af8a3d8810f47e42cb,PyMoe,c490bdd9,2016-07-15 06:00:06,+0000,__init__.py,DELETE,0,4,PythonFiles\PyMoe\c490bdd9\63bca7d39053ffc2da5203af8a3d8810f47e42cb\63bca7d39053ffc2da5203af8a3d8810f47e42cb_PyMoe_c490bdd9_20160715_020006_before_1.py,
63bca7d39053ffc2da5203af8a3d8810f47e42cb,PyMoe,c490bdd9,2016-07-15 06:00:06,+0000,hummingbird.py,DELETE,0,245,PythonFiles\PyMoe\c490bdd9\63bca7d39053ffc2da5203af8a3d8810f47e42cb\63bca7d39053ffc2da5203af8a3d8810f47e42cb_PyMoe_c490bdd9_20160715_020006_before_2.py,
63bca7d39053ffc2da5203af8a3d8810f47e42cb,PyMoe,c490bdd9,2016-07-15 06:00:06,+0000,__init__.py,ADD,15,0,,PythonFiles\PyMoe\c490bdd9\63bca7d39053ffc2da5203af8a3d8810f47e42cb\63bca7d39053ffc2da5203af8a3d8810f47e42cb_PyMoe_c490bdd9_20160715_020006_after_3.py
63bca7d39053ffc2da5203af8a3d8810f47e42cb,PyMoe,c490bdd9,2016-07-15 06:00:06,+0000,anime.py,ADD,75,0,,PythonFiles\PyMoe\c490bdd9\63bca7d39053ffc2da5203af8a3d8810f47e42cb\63bca7d39053ffc2da5203af8a3d8810f47e42cb_PyMoe_c490bdd9_20160715_020006_after_4.py
63bca7d39053ffc2da5203af8a3d8810f47e42cb,PyMoe,c490bdd9,2016-07-15 06:00:06,+0000,library.py,ADD,86,0,,PythonFiles\PyMoe\c490bdd9\63bca7d39053ffc2da5203af8a3d8810f47e42cb\63bca7d39053ffc2da5203af8a3d8810f47e42cb_PyMoe_c490bdd9_20160715_020006_after_5.py
63bca7d39053ffc2da5203af8a3d8810f47e42cb,PyMoe,c490bdd9,2016-07-15 06:00:06,+0000,user.py,ADD,83,0,,PythonFiles\PyMoe\c490bdd9\63bca7d39053ffc2da5203af8a3d8810f47e42cb\63bca7d39053ffc2da5203af8a3d8810f47e42cb_PyMoe_c490bdd9_20160715_020006_after_6.py
63bca7d39053ffc2da5203af8a3d8810f47e42cb,PyMoe,c490bdd9,2016-07-15 06:00:06,+0000,__init__.py,ADD,5,0,,PythonFiles\PyMoe\c490bdd9\63bca7d39053ffc2da5203af8a3d8810f47e42cb\63bca7d39053ffc2da5203af8a3d8810f47e42cb_PyMoe_c490bdd9_20160715_020006_after_7.py
63bca7d39053ffc2da5203af8a3d8810f47e42cb,PyMoe,c490bdd9,2016-07-15 06:00:06,+0000,anidb.py,RENAME,0,0,,
63bca7d39053ffc2da5203af8a3d8810f47e42cb,PyMoe,c490bdd9,2016-07-15 06:00:06,+0000,anilist.py,RENAME,1,1,PythonFiles\PyMoe\c490bdd9\63bca7d39053ffc2da5203af8a3d8810f47e42cb\63bca7d39053ffc2da5203af8a3d8810f47e42cb_PyMoe_c490bdd9_20160715_020006_before_9.py,PythonFiles\PyMoe\c490bdd9\63bca7d39053ffc2da5203af8a3d8810f47e42cb\63bca7d39053ffc2da5203af8a3d8810f47e42cb_PyMoe_c490bdd9_20160715_020006_after_9.py
63bca7d39053ffc2da5203af8a3d8810f47e42cb,PyMoe,c490bdd9,2016-07-15 06:00:06,+0000,bakatsuki.py,RENAME,0,0,,
63bca7d39053ffc2da5203af8a3d8810f47e42cb,PyMoe,c490bdd9,2016-07-15 06:00:06,+0000,errors.py,RENAME,0,0,,
63bca7d39053ffc2da5203af8a3d8810f47e42cb,PyMoe,c490bdd9,2016-07-15 06:00:06,+0000,mal.py,RENAME,0,0,,
63bca7d39053ffc2da5203af8a3d8810f47e42cb,PyMoe,c490bdd9,2016-07-15 06:00:06,+0000,novelupdates.py,RENAME,0,0,,
63bca7d39053ffc2da5203af8a3d8810f47e42cb,PyMoe,c490bdd9,2016-07-15 06:00:06,+0000,vndb.py,RENAME,1,1,PythonFiles\PyMoe\c490bdd9\63bca7d39053ffc2da5203af8a3d8810f47e42cb\63bca7d39053ffc2da5203af8a3d8810f47e42cb_PyMoe_c490bdd9_20160715_020006_before_14.py,PythonFiles\PyMoe\c490bdd9\63bca7d39053ffc2da5203af8a3d8810f47e42cb\63bca7d39053ffc2da5203af8a3d8810f47e42cb_PyMoe_c490bdd9_20160715_020006_after_14.py
63bca7d39053ffc2da5203af8a3d8810f47e42cb,PyMoe,c490bdd9,2016-07-15 06:00:06,+0000,setup.py,MODIFY,4,4,PythonFiles\PyMoe\c490bdd9\63bca7d39053ffc2da5203af8a3d8810f47e42cb\63bca7d39053ffc2da5203af8a3d8810f47e42cb_PyMoe_c490bdd9_20160715_020006_before_15.py,PythonFiles\PyMoe\c490bdd9\63bca7d39053ffc2da5203af8a3d8810f47e42cb\63bca7d39053ffc2da5203af8a3d8810f47e42cb_PyMoe_c490bdd9_20160715_020006_after_15.py
e974ee2b245099b051a1c8511ea34a5a13871863,PyMoe,c490bdd9,2016-07-15 06:48:04,+0000,__init__.py,ADD,15,0,,PythonFiles\PyMoe\c490bdd9\e974ee2b245099b051a1c8511ea34a5a13871863\e974ee2b245099b051a1c8511ea34a5a13871863_PyMoe_c490bdd9_20160715_024804_after_1.py
e974ee2b245099b051a1c8511ea34a5a13871863,PyMoe,c490bdd9,2016-07-15 06:48:04,+0000,auth.py,ADD,38,0,,PythonFiles\PyMoe\c490bdd9\e974ee2b245099b051a1c8511ea34a5a13871863\e974ee2b245099b051a1c8511ea34a5a13871863_PyMoe_c490bdd9_20160715_024804_after_2.py
e974ee2b245099b051a1c8511ea34a5a13871863,PyMoe,c490bdd9,2016-07-15 06:48:04,+0000,__init__.py,ADD,16,0,,PythonFiles\PyMoe\c490bdd9\e974ee2b245099b051a1c8511ea34a5a13871863\e974ee2b245099b051a1c8511ea34a5a13871863_PyMoe_c490bdd9_20160715_024804_after_3.py
e974ee2b245099b051a1c8511ea34a5a13871863,PyMoe,c490bdd9,2016-07-15 06:48:04,+0000,connection.py,RENAME,3,12,PythonFiles\PyMoe\c490bdd9\e974ee2b245099b051a1c8511ea34a5a13871863\e974ee2b245099b051a1c8511ea34a5a13871863_PyMoe_c490bdd9_20160715_024804_before_4.py,PythonFiles\PyMoe\c490bdd9\e974ee2b245099b051a1c8511ea34a5a13871863\e974ee2b245099b051a1c8511ea34a5a13871863_PyMoe_c490bdd9_20160715_024804_after_4.py
e974ee2b245099b051a1c8511ea34a5a13871863,PyMoe,c490bdd9,2016-07-15 06:48:04,+0000,__init__.py,MODIFY,1,1,PythonFiles\PyMoe\c490bdd9\e974ee2b245099b051a1c8511ea34a5a13871863\e974ee2b245099b051a1c8511ea34a5a13871863_PyMoe_c490bdd9_20160715_024804_before_5.py,PythonFiles\PyMoe\c490bdd9\e974ee2b245099b051a1c8511ea34a5a13871863\e974ee2b245099b051a1c8511ea34a5a13871863_PyMoe_c490bdd9_20160715_024804_after_5.py
