CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
496215aa4bf81b9b457f730463d0385703f05ec9,SentryConfig,1768e30f,2018-12-09 08:29:01,+0000,config.py,ADD,172,0,,PythonFiles\SentryConfig\1768e30f\496215aa4bf81b9b457f730463d0385703f05ec9\496215aa4bf81b9b457f730463d0385703f05ec9_SentryConfig_1768e30f_20181209_022901_after_1.py
496215aa4bf81b9b457f730463d0385703f05ec9,SentryConfig,1768e30f,2018-12-09 08:29:01,+0000,criteria.py,ADD,61,0,,PythonFiles\SentryConfig\1768e30f\496215aa4bf81b9b457f730463d0385703f05ec9\496215aa4bf81b9b457f730463d0385703f05ec9_SentryConfig_1768e30f_20181209_022901_after_2.py
496215aa4bf81b9b457f730463d0385703f05ec9,SentryConfig,1768e30f,2018-12-09 08:29:01,+0000,exceptions.py,ADD,34,0,,PythonFiles\SentryConfig\1768e30f\496215aa4bf81b9b457f730463d0385703f05ec9\496215aa4bf81b9b457f730463d0385703f05ec9_SentryConfig_1768e30f_20181209_022901_after_3.py
496215aa4bf81b9b457f730463d0385703f05ec9,SentryConfig,1768e30f,2018-12-09 08:29:01,+0000,validators.py,ADD,68,0,,PythonFiles\SentryConfig\1768e30f\496215aa4bf81b9b457f730463d0385703f05ec9\496215aa4bf81b9b457f730463d0385703f05ec9_SentryConfig_1768e30f_20181209_022901_after_4.py
5b2429f95f7b2da750a7e4096e0e642186493047,SentryConfig,1768e30f,2018-12-09 08:38:52,+0000,setup.py,ADD,33,0,,PythonFiles\SentryConfig\1768e30f\5b2429f95f7b2da750a7e4096e0e642186493047\5b2429f95f7b2da750a7e4096e0e642186493047_SentryConfig_1768e30f_20181209_023852_after_1.py
0661b39dfae54ff09063eacc1a17595294b8ba16,SentryConfig,1768e30f,2018-12-09 09:30:25,+0000,__init__.py,ADD,0,0,,
0661b39dfae54ff09063eacc1a17595294b8ba16,SentryConfig,1768e30f,2018-12-09 09:30:25,+0000,config.py,ADD,33,0,,PythonFiles\SentryConfig\1768e30f\0661b39dfae54ff09063eacc1a17595294b8ba16\0661b39dfae54ff09063eacc1a17595294b8ba16_SentryConfig_1768e30f_20181209_033025_after_3.py
0661b39dfae54ff09063eacc1a17595294b8ba16,SentryConfig,1768e30f,2018-12-09 09:30:25,+0000,option_validators.py,ADD,15,0,,PythonFiles\SentryConfig\1768e30f\0661b39dfae54ff09063eacc1a17595294b8ba16\0661b39dfae54ff09063eacc1a17595294b8ba16_SentryConfig_1768e30f_20181209_033025_after_4.py
0661b39dfae54ff09063eacc1a17595294b8ba16,SentryConfig,1768e30f,2018-12-09 09:30:25,+0000,example_usage.py,ADD,14,0,,PythonFiles\SentryConfig\1768e30f\0661b39dfae54ff09063eacc1a17595294b8ba16\0661b39dfae54ff09063eacc1a17595294b8ba16_SentryConfig_1768e30f_20181209_033025_after_5.py
0661b39dfae54ff09063eacc1a17595294b8ba16,SentryConfig,1768e30f,2018-12-09 09:30:25,+0000,__init__.py,ADD,0,0,,
0661b39dfae54ff09063eacc1a17595294b8ba16,SentryConfig,1768e30f,2018-12-09 09:30:25,+0000,config.py,MODIFY,2,2,PythonFiles\SentryConfig\1768e30f\0661b39dfae54ff09063eacc1a17595294b8ba16\0661b39dfae54ff09063eacc1a17595294b8ba16_SentryConfig_1768e30f_20181209_033025_before_7.py,PythonFiles\SentryConfig\1768e30f\0661b39dfae54ff09063eacc1a17595294b8ba16\0661b39dfae54ff09063eacc1a17595294b8ba16_SentryConfig_1768e30f_20181209_033025_after_7.py
