CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
9fe9931dd42c010d2eb049c803c6c579319618f3,ShutTUM,faf57925,2017-09-15 19:39:28,+0000,conf.py,ADD,185,0,,PythonFiles\ShutTUM\faf57925\9fe9931dd42c010d2eb049c803c6c579319618f3\9fe9931dd42c010d2eb049c803c6c579319618f3_ShutTUM_faf57925_20170915_213928_after_7.py
9fe9931dd42c010d2eb049c803c6c579319618f3,ShutTUM,faf57925,2017-09-15 19:39:28,+0000,make_docs.py,ADD,10,0,,PythonFiles\ShutTUM\faf57925\9fe9931dd42c010d2eb049c803c6c579319618f3\9fe9931dd42c010d2eb049c803c6c579319618f3_ShutTUM_faf57925_20170915_213928_after_10.py
9fe9931dd42c010d2eb049c803c6c579319618f3,ShutTUM,faf57925,2017-09-15 19:39:28,+0000,__init__.py,ADD,17,0,,PythonFiles\ShutTUM\faf57925\9fe9931dd42c010d2eb049c803c6c579319618f3\9fe9931dd42c010d2eb049c803c6c579319618f3_ShutTUM_faf57925_20170915_213928_after_11.py
9fe9931dd42c010d2eb049c803c6c579319618f3,ShutTUM,faf57925,2017-09-15 19:39:28,+0000,dataset.py,ADD,211,0,,PythonFiles\ShutTUM\faf57925\9fe9931dd42c010d2eb049c803c6c579319618f3\9fe9931dd42c010d2eb049c803c6c579319618f3_ShutTUM_faf57925_20170915_213928_after_12.py
9fe9931dd42c010d2eb049c803c6c579319618f3,ShutTUM,faf57925,2017-09-15 19:39:28,+0000,devices.py,ADD,96,0,,PythonFiles\ShutTUM\faf57925\9fe9931dd42c010d2eb049c803c6c579319618f3\9fe9931dd42c010d2eb049c803c6c579319618f3_ShutTUM_faf57925_20170915_213928_after_13.py
9fe9931dd42c010d2eb049c803c6c579319618f3,ShutTUM,faf57925,2017-09-15 19:39:28,+0000,groundtruth.py,ADD,70,0,,PythonFiles\ShutTUM\faf57925\9fe9931dd42c010d2eb049c803c6c579319618f3\9fe9931dd42c010d2eb049c803c6c579319618f3_ShutTUM_faf57925_20170915_213928_after_14.py
9fe9931dd42c010d2eb049c803c6c579319618f3,ShutTUM,faf57925,2017-09-15 19:39:28,+0000,image.py,ADD,69,0,,PythonFiles\ShutTUM\faf57925\9fe9931dd42c010d2eb049c803c6c579319618f3\9fe9931dd42c010d2eb049c803c6c579319618f3_ShutTUM_faf57925_20170915_213928_after_15.py
9fe9931dd42c010d2eb049c803c6c579319618f3,ShutTUM,faf57925,2017-09-15 19:39:28,+0000,imuvalue.py,ADD,40,0,,PythonFiles\ShutTUM\faf57925\9fe9931dd42c010d2eb049c803c6c579319618f3\9fe9931dd42c010d2eb049c803c6c579319618f3_ShutTUM_faf57925_20170915_213928_after_16.py
9fe9931dd42c010d2eb049c803c6c579319618f3,ShutTUM,faf57925,2017-09-15 19:39:28,+0000,stereoimage.py,ADD,78,0,,PythonFiles\ShutTUM\faf57925\9fe9931dd42c010d2eb049c803c6c579319618f3\9fe9931dd42c010d2eb049c803c6c579319618f3_ShutTUM_faf57925_20170915_213928_after_17.py
9fe9931dd42c010d2eb049c803c6c579319618f3,ShutTUM,faf57925,2017-09-15 19:39:28,+0000,value.py,ADD,58,0,,PythonFiles\ShutTUM\faf57925\9fe9931dd42c010d2eb049c803c6c579319618f3\9fe9931dd42c010d2eb049c803c6c579319618f3_ShutTUM_faf57925_20170915_213928_after_18.py
