CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
a941d1430197473d26cd4514dd87b4267dc4723d,Tensorplex,c10c8acd,2017-11-18 21:26:13,+0000,setup.py,ADD,29,0,,PythonFiles\Tensorplex\c10c8acd\a941d1430197473d26cd4514dd87b4267dc4723d\a941d1430197473d26cd4514dd87b4267dc4723d_Tensorplex_c10c8acd_20171118_132613_after_3.py
a941d1430197473d26cd4514dd87b4267dc4723d,Tensorplex,c10c8acd,2017-11-18 21:26:13,+0000,__init__.py,ADD,0,0,,
a941d1430197473d26cd4514dd87b4267dc4723d,Tensorplex,c10c8acd,2017-11-18 21:26:13,+0000,remote_call.py,ADD,148,0,,PythonFiles\Tensorplex\c10c8acd\a941d1430197473d26cd4514dd87b4267dc4723d\a941d1430197473d26cd4514dd87b4267dc4723d_Tensorplex_c10c8acd_20171118_132613_after_5.py
a941d1430197473d26cd4514dd87b4267dc4723d,Tensorplex,c10c8acd,2017-11-18 21:26:13,+0000,__init__.py,ADD,0,0,,
a941d1430197473d26cd4514dd87b4267dc4723d,Tensorplex,c10c8acd,2017-11-18 21:26:13,+0000,common.py,ADD,34,0,,PythonFiles\Tensorplex\c10c8acd\a941d1430197473d26cd4514dd87b4267dc4723d\a941d1430197473d26cd4514dd87b4267dc4723d_Tensorplex_c10c8acd_20171118_132613_after_7.py
a941d1430197473d26cd4514dd87b4267dc4723d,Tensorplex,c10c8acd,2017-11-18 21:26:13,+0000,remote_call_client.py,ADD,32,0,,PythonFiles\Tensorplex\c10c8acd\a941d1430197473d26cd4514dd87b4267dc4723d\a941d1430197473d26cd4514dd87b4267dc4723d_Tensorplex_c10c8acd_20171118_132613_after_8.py
a941d1430197473d26cd4514dd87b4267dc4723d,Tensorplex,c10c8acd,2017-11-18 21:26:13,+0000,remote_call_server.py,ADD,17,0,,PythonFiles\Tensorplex\c10c8acd\a941d1430197473d26cd4514dd87b4267dc4723d\a941d1430197473d26cd4514dd87b4267dc4723d_Tensorplex_c10c8acd_20171118_132613_after_9.py
422b0f2d18db171751f5d5e01545805fc96164ec,Tensorplex,c10c8acd,2017-11-18 21:52:23,+0000,remote_call.py,MODIFY,1,0,PythonFiles\Tensorplex\c10c8acd\422b0f2d18db171751f5d5e01545805fc96164ec\422b0f2d18db171751f5d5e01545805fc96164ec_Tensorplex_c10c8acd_20171118_135223_before_2.py,PythonFiles\Tensorplex\c10c8acd\422b0f2d18db171751f5d5e01545805fc96164ec\422b0f2d18db171751f5d5e01545805fc96164ec_Tensorplex_c10c8acd_20171118_135223_after_2.py
6c851f9d7d63bad689f7ee4fc698ea856475fc4e,Tensorplex,c10c8acd,2017-11-18 22:48:59,+0000,local_logger.py,ADD,388,0,,PythonFiles\Tensorplex\c10c8acd\6c851f9d7d63bad689f7ee4fc698ea856475fc4e\6c851f9d7d63bad689f7ee4fc698ea856475fc4e_Tensorplex_c10c8acd_20171118_144859_after_1.py
6c851f9d7d63bad689f7ee4fc698ea856475fc4e,Tensorplex,c10c8acd,2017-11-18 22:48:59,+0000,loggerplex.py,ADD,53,0,,PythonFiles\Tensorplex\c10c8acd\6c851f9d7d63bad689f7ee4fc698ea856475fc4e\6c851f9d7d63bad689f7ee4fc698ea856475fc4e_Tensorplex_c10c8acd_20171118_144859_after_2.py
84005cbc3a50b2f79461cf8fb13bf382d85c8b8f,Tensorplex,c10c8acd,2017-11-19 20:22:52,+0000,__init__.py,MODIFY,2,0,,PythonFiles\Tensorplex\c10c8acd\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f_Tensorplex_c10c8acd_20171119_122252_after_1.py
84005cbc3a50b2f79461cf8fb13bf382d85c8b8f,Tensorplex,c10c8acd,2017-11-19 20:22:52,+0000,local_logger.py,MODIFY,33,11,PythonFiles\Tensorplex\c10c8acd\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f_Tensorplex_c10c8acd_20171119_122252_before_2.py,PythonFiles\Tensorplex\c10c8acd\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f_Tensorplex_c10c8acd_20171119_122252_after_2.py
84005cbc3a50b2f79461cf8fb13bf382d85c8b8f,Tensorplex,c10c8acd,2017-11-19 20:22:52,+0000,loggerplex.py,MODIFY,30,5,PythonFiles\Tensorplex\c10c8acd\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f_Tensorplex_c10c8acd_20171119_122252_before_3.py,PythonFiles\Tensorplex\c10c8acd\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f_Tensorplex_c10c8acd_20171119_122252_after_3.py
84005cbc3a50b2f79461cf8fb13bf382d85c8b8f,Tensorplex,c10c8acd,2017-11-19 20:22:52,+0000,remote_call.py,MODIFY,5,1,PythonFiles\Tensorplex\c10c8acd\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f_Tensorplex_c10c8acd_20171119_122252_before_4.py,PythonFiles\Tensorplex\c10c8acd\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f_Tensorplex_c10c8acd_20171119_122252_after_4.py
84005cbc3a50b2f79461cf8fb13bf382d85c8b8f,Tensorplex,c10c8acd,2017-11-19 20:22:52,+0000,common.py,MODIFY,2,1,PythonFiles\Tensorplex\c10c8acd\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f_Tensorplex_c10c8acd_20171119_122252_before_5.py,PythonFiles\Tensorplex\c10c8acd\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f_Tensorplex_c10c8acd_20171119_122252_after_5.py
84005cbc3a50b2f79461cf8fb13bf382d85c8b8f,Tensorplex,c10c8acd,2017-11-19 20:22:52,+0000,logger_client.py,ADD,21,0,,PythonFiles\Tensorplex\c10c8acd\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f_Tensorplex_c10c8acd_20171119_122252_after_6.py
84005cbc3a50b2f79461cf8fb13bf382d85c8b8f,Tensorplex,c10c8acd,2017-11-19 20:22:52,+0000,logger_server.py,ADD,7,0,,PythonFiles\Tensorplex\c10c8acd\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f\84005cbc3a50b2f79461cf8fb13bf382d85c8b8f_Tensorplex_c10c8acd_20171119_122252_after_7.py
ce332bb571cd44c6baaa05aefa379a1ef6562b48,Tensorplex,c10c8acd,2017-11-19 20:28:58,+0000,local_logger.py,MODIFY,1,1,PythonFiles\Tensorplex\c10c8acd\ce332bb571cd44c6baaa05aefa379a1ef6562b48\ce332bb571cd44c6baaa05aefa379a1ef6562b48_Tensorplex_c10c8acd_20171119_122858_before_1.py,PythonFiles\Tensorplex\c10c8acd\ce332bb571cd44c6baaa05aefa379a1ef6562b48\ce332bb571cd44c6baaa05aefa379a1ef6562b48_Tensorplex_c10c8acd_20171119_122858_after_1.py
ce332bb571cd44c6baaa05aefa379a1ef6562b48,Tensorplex,c10c8acd,2017-11-19 20:28:58,+0000,logger_client.py,MODIFY,7,6,PythonFiles\Tensorplex\c10c8acd\ce332bb571cd44c6baaa05aefa379a1ef6562b48\ce332bb571cd44c6baaa05aefa379a1ef6562b48_Tensorplex_c10c8acd_20171119_122858_before_2.py,PythonFiles\Tensorplex\c10c8acd\ce332bb571cd44c6baaa05aefa379a1ef6562b48\ce332bb571cd44c6baaa05aefa379a1ef6562b48_Tensorplex_c10c8acd_20171119_122858_after_2.py
18fa7b758b85643151883885227c4331065c1e15,Tensorplex,6e501988,2017-11-20 03:44:40,+0000,distributed_writer.py,ADD,66,0,,PythonFiles\Tensorplex\6e501988\18fa7b758b85643151883885227c4331065c1e15\18fa7b758b85643151883885227c4331065c1e15_Tensorplex_6e501988_20171119_194440_after_2.py
8c8be03e946a3a9264c498a8ec1ba6eca167cbdd,Tensorplex,6e501988,2017-11-20 07:16:46,+0000,distributed_writer.py,MODIFY,5,5,PythonFiles\Tensorplex\6e501988\8c8be03e946a3a9264c498a8ec1ba6eca167cbdd\8c8be03e946a3a9264c498a8ec1ba6eca167cbdd_Tensorplex_6e501988_20171119_231646_before_1.py,PythonFiles\Tensorplex\6e501988\8c8be03e946a3a9264c498a8ec1ba6eca167cbdd\8c8be03e946a3a9264c498a8ec1ba6eca167cbdd_Tensorplex_6e501988_20171119_231646_after_1.py
86c96848d7ceec5434bed8e54c7a68ea2811456a,Tensorplex,c10c8acd,2017-11-20 17:41:40,+0000,setup.py,MODIFY,1,1,PythonFiles\Tensorplex\c10c8acd\86c96848d7ceec5434bed8e54c7a68ea2811456a\86c96848d7ceec5434bed8e54c7a68ea2811456a_Tensorplex_c10c8acd_20171120_094140_before_1.py,PythonFiles\Tensorplex\c10c8acd\86c96848d7ceec5434bed8e54c7a68ea2811456a\86c96848d7ceec5434bed8e54c7a68ea2811456a_Tensorplex_c10c8acd_20171120_094140_after_1.py
86c96848d7ceec5434bed8e54c7a68ea2811456a,Tensorplex,c10c8acd,2017-11-20 17:41:40,+0000,local_logger.py,MODIFY,7,2,PythonFiles\Tensorplex\c10c8acd\86c96848d7ceec5434bed8e54c7a68ea2811456a\86c96848d7ceec5434bed8e54c7a68ea2811456a_Tensorplex_c10c8acd_20171120_094140_before_2.py,PythonFiles\Tensorplex\c10c8acd\86c96848d7ceec5434bed8e54c7a68ea2811456a\86c96848d7ceec5434bed8e54c7a68ea2811456a_Tensorplex_c10c8acd_20171120_094140_after_2.py
86c96848d7ceec5434bed8e54c7a68ea2811456a,Tensorplex,c10c8acd,2017-11-20 17:41:40,+0000,loggerplex.py,MODIFY,21,17,PythonFiles\Tensorplex\c10c8acd\86c96848d7ceec5434bed8e54c7a68ea2811456a\86c96848d7ceec5434bed8e54c7a68ea2811456a_Tensorplex_c10c8acd_20171120_094140_before_3.py,PythonFiles\Tensorplex\c10c8acd\86c96848d7ceec5434bed8e54c7a68ea2811456a\86c96848d7ceec5434bed8e54c7a68ea2811456a_Tensorplex_c10c8acd_20171120_094140_after_3.py
86c96848d7ceec5434bed8e54c7a68ea2811456a,Tensorplex,c10c8acd,2017-11-20 17:41:40,+0000,remote_call.py,MODIFY,1,0,PythonFiles\Tensorplex\c10c8acd\86c96848d7ceec5434bed8e54c7a68ea2811456a\86c96848d7ceec5434bed8e54c7a68ea2811456a_Tensorplex_c10c8acd_20171120_094140_before_4.py,PythonFiles\Tensorplex\c10c8acd\86c96848d7ceec5434bed8e54c7a68ea2811456a\86c96848d7ceec5434bed8e54c7a68ea2811456a_Tensorplex_c10c8acd_20171120_094140_after_4.py
86c96848d7ceec5434bed8e54c7a68ea2811456a,Tensorplex,c10c8acd,2017-11-20 17:41:40,+0000,logger_client.py,MODIFY,3,1,PythonFiles\Tensorplex\c10c8acd\86c96848d7ceec5434bed8e54c7a68ea2811456a\86c96848d7ceec5434bed8e54c7a68ea2811456a_Tensorplex_c10c8acd_20171120_094140_before_5.py,PythonFiles\Tensorplex\c10c8acd\86c96848d7ceec5434bed8e54c7a68ea2811456a\86c96848d7ceec5434bed8e54c7a68ea2811456a_Tensorplex_c10c8acd_20171120_094140_after_5.py
17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4,Tensorplex,c10c8acd,2017-11-21 00:37:40,+0000,__init__.py,MODIFY,1,0,PythonFiles\Tensorplex\c10c8acd\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4_Tensorplex_c10c8acd_20171120_163740_before_1.py,PythonFiles\Tensorplex\c10c8acd\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4_Tensorplex_c10c8acd_20171120_163740_after_1.py
17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4,Tensorplex,c10c8acd,2017-11-21 00:37:40,+0000,distributed_writer.py,DELETE,0,66,PythonFiles\Tensorplex\c10c8acd\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4_Tensorplex_c10c8acd_20171120_163740_before_2.py,
17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4,Tensorplex,c10c8acd,2017-11-21 00:37:40,+0000,local_logger.py,MODIFY,1,1,PythonFiles\Tensorplex\c10c8acd\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4_Tensorplex_c10c8acd_20171120_163740_before_3.py,PythonFiles\Tensorplex\c10c8acd\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4_Tensorplex_c10c8acd_20171120_163740_after_3.py
17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4,Tensorplex,c10c8acd,2017-11-21 00:37:40,+0000,loggerplex.py,MODIFY,4,4,PythonFiles\Tensorplex\c10c8acd\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4_Tensorplex_c10c8acd_20171120_163740_before_4.py,PythonFiles\Tensorplex\c10c8acd\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4_Tensorplex_c10c8acd_20171120_163740_after_4.py
17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4,Tensorplex,c10c8acd,2017-11-21 00:37:40,+0000,remote_call.py,MODIFY,7,3,PythonFiles\Tensorplex\c10c8acd\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4_Tensorplex_c10c8acd_20171120_163740_before_5.py,PythonFiles\Tensorplex\c10c8acd\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4_Tensorplex_c10c8acd_20171120_163740_after_5.py
17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4,Tensorplex,c10c8acd,2017-11-21 00:37:40,+0000,tensorplex.py,ADD,148,0,,PythonFiles\Tensorplex\c10c8acd\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4_Tensorplex_c10c8acd_20171120_163740_after_6.py
17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4,Tensorplex,c10c8acd,2017-11-21 00:37:40,+0000,logger_client.py,MODIFY,2,1,PythonFiles\Tensorplex\c10c8acd\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4_Tensorplex_c10c8acd_20171120_163740_before_7.py,PythonFiles\Tensorplex\c10c8acd\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4_Tensorplex_c10c8acd_20171120_163740_after_7.py
17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4,Tensorplex,c10c8acd,2017-11-21 00:37:40,+0000,logger_server.py,MODIFY,1,1,PythonFiles\Tensorplex\c10c8acd\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4_Tensorplex_c10c8acd_20171120_163740_before_8.py,PythonFiles\Tensorplex\c10c8acd\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4_Tensorplex_c10c8acd_20171120_163740_after_8.py
17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4,Tensorplex,c10c8acd,2017-11-21 00:37:40,+0000,tensor_client.py,ADD,52,0,,PythonFiles\Tensorplex\c10c8acd\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4_Tensorplex_c10c8acd_20171120_163740_after_9.py
17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4,Tensorplex,c10c8acd,2017-11-21 00:37:40,+0000,tensor_server.py,ADD,12,0,,PythonFiles\Tensorplex\c10c8acd\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4\17d5c0cf6845bb4dbb4fb82da82d3a2f7a364cf4_Tensorplex_c10c8acd_20171120_163740_after_10.py
