CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
565b3563611c8632119f1b44659cf6018537ae64,TextRank4ZH,ca782afd,2014-12-01 07:09:49,+0000,test.py,ADD,24,0,,PythonFiles\TextRank4ZH\ca782afd\565b3563611c8632119f1b44659cf6018537ae64\565b3563611c8632119f1b44659cf6018537ae64_TextRank4ZH_ca782afd_20141201_150949_after_3.py
565b3563611c8632119f1b44659cf6018537ae64,TextRank4ZH,ca782afd,2014-12-01 07:09:49,+0000,Segmentation.py,ADD,148,0,,PythonFiles\TextRank4ZH\ca782afd\565b3563611c8632119f1b44659cf6018537ae64\565b3563611c8632119f1b44659cf6018537ae64_TextRank4ZH_ca782afd_20141201_150949_after_9.py
565b3563611c8632119f1b44659cf6018537ae64,TextRank4ZH,ca782afd,2014-12-01 07:09:49,+0000,TextRank4Keyword.py,ADD,162,0,,PythonFiles\TextRank4ZH\ca782afd\565b3563611c8632119f1b44659cf6018537ae64\565b3563611c8632119f1b44659cf6018537ae64_TextRank4ZH_ca782afd_20141201_150949_after_11.py
565b3563611c8632119f1b44659cf6018537ae64,TextRank4ZH,ca782afd,2014-12-01 07:09:49,+0000,TextRank4Sentence.py,ADD,131,0,,PythonFiles\TextRank4ZH\ca782afd\565b3563611c8632119f1b44659cf6018537ae64\565b3563611c8632119f1b44659cf6018537ae64_TextRank4ZH_ca782afd_20141201_150949_after_13.py
565b3563611c8632119f1b44659cf6018537ae64,TextRank4ZH,ca782afd,2014-12-01 07:09:49,+0000,__init__.py,ADD,2,0,,PythonFiles\TextRank4ZH\ca782afd\565b3563611c8632119f1b44659cf6018537ae64\565b3563611c8632119f1b44659cf6018537ae64_TextRank4ZH_ca782afd_20141201_150949_after_15.py
e210322074bb8951269891664dfd2d1af7523bea,TextRank4ZH,ca782afd,2014-12-01 09:44:04,+0000,test.py,MODIFY,2,2,PythonFiles\TextRank4ZH\ca782afd\e210322074bb8951269891664dfd2d1af7523bea\e210322074bb8951269891664dfd2d1af7523bea_TextRank4ZH_ca782afd_20141201_174404_before_2.py,PythonFiles\TextRank4ZH\ca782afd\e210322074bb8951269891664dfd2d1af7523bea\e210322074bb8951269891664dfd2d1af7523bea_TextRank4ZH_ca782afd_20141201_174404_after_2.py
daec5404c8cf6eae9923f7ba72107f0e869d3509,TextRank4ZH,ca782afd,2014-12-01 09:47:15,+0000,test.py,MODIFY,3,3,PythonFiles\TextRank4ZH\ca782afd\daec5404c8cf6eae9923f7ba72107f0e869d3509\daec5404c8cf6eae9923f7ba72107f0e869d3509_TextRank4ZH_ca782afd_20141201_174715_before_2.py,PythonFiles\TextRank4ZH\ca782afd\daec5404c8cf6eae9923f7ba72107f0e869d3509\daec5404c8cf6eae9923f7ba72107f0e869d3509_TextRank4ZH_ca782afd_20141201_174715_after_2.py
3722b98527439d5d65029e4ded0c24c1ee9a8416,TextRank4ZH,ca782afd,2014-12-01 11:13:21,+0000,TextRank4Keyword.py,MODIFY,16,16,PythonFiles\TextRank4ZH\ca782afd\3722b98527439d5d65029e4ded0c24c1ee9a8416\3722b98527439d5d65029e4ded0c24c1ee9a8416_TextRank4ZH_ca782afd_20141201_191321_before_2.py,PythonFiles\TextRank4ZH\ca782afd\3722b98527439d5d65029e4ded0c24c1ee9a8416\3722b98527439d5d65029e4ded0c24c1ee9a8416_TextRank4ZH_ca782afd_20141201_191321_after_2.py
3722b98527439d5d65029e4ded0c24c1ee9a8416,TextRank4ZH,ca782afd,2014-12-01 11:13:21,+0000,TextRank4Sentence.py,MODIFY,12,3,PythonFiles\TextRank4ZH\ca782afd\3722b98527439d5d65029e4ded0c24c1ee9a8416\3722b98527439d5d65029e4ded0c24c1ee9a8416_TextRank4ZH_ca782afd_20141201_191321_before_3.py,PythonFiles\TextRank4ZH\ca782afd\3722b98527439d5d65029e4ded0c24c1ee9a8416\3722b98527439d5d65029e4ded0c24c1ee9a8416_TextRank4ZH_ca782afd_20141201_191321_after_3.py
0173ef2964083ac06ee5a0c2217655ce1c7acaf1,TextRank4ZH,ca782afd,2014-12-01 11:43:01,+0000,test.py,MODIFY,1,1,PythonFiles\TextRank4ZH\ca782afd\0173ef2964083ac06ee5a0c2217655ce1c7acaf1\0173ef2964083ac06ee5a0c2217655ce1c7acaf1_TextRank4ZH_ca782afd_20141201_194301_before_2.py,PythonFiles\TextRank4ZH\ca782afd\0173ef2964083ac06ee5a0c2217655ce1c7acaf1\0173ef2964083ac06ee5a0c2217655ce1c7acaf1_TextRank4ZH_ca782afd_20141201_194301_after_2.py
