CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
7706cb488f67570eda61257491031c1455a4073a,WSHubsAPI,c4045bf9,2015-05-24 12:08:15,+0000,Asynchronous.py,ADD,71,0,,PythonFiles\WSHubsAPI\c4045bf9\7706cb488f67570eda61257491031c1455a4073a\7706cb488f67570eda61257491031c1455a4073a_WSHubsAPI_c4045bf9_20150524_140815_after_1.py
7706cb488f67570eda61257491031c1455a4073a,WSHubsAPI,c4045bf9,2015-05-24 12:08:15,+0000,HubDecorator.py,ADD,120,0,,PythonFiles\WSHubsAPI\c4045bf9\7706cb488f67570eda61257491031c1455a4073a\7706cb488f67570eda61257491031c1455a4073a_WSHubsAPI_c4045bf9_20150524_140815_after_3.py
7706cb488f67570eda61257491031c1455a4073a,WSHubsAPI,c4045bf9,2015-05-24 12:08:15,+0000,HubDecoratorConfig.py,ADD,139,0,,PythonFiles\WSHubsAPI\c4045bf9\7706cb488f67570eda61257491031c1455a4073a\7706cb488f67570eda61257491031c1455a4073a_WSHubsAPI_c4045bf9_20150524_140815_after_4.py
7706cb488f67570eda61257491031c1455a4073a,WSHubsAPI,c4045bf9,2015-05-24 12:08:15,+0000,LogFunctionAction.py,ADD,78,0,,PythonFiles\WSHubsAPI\c4045bf9\7706cb488f67570eda61257491031c1455a4073a\7706cb488f67570eda61257491031c1455a4073a_WSHubsAPI_c4045bf9_20150524_140815_after_5.py
7706cb488f67570eda61257491031c1455a4073a,WSHubsAPI,c4045bf9,2015-05-24 12:08:15,+0000,LoggingHandlers.py,ADD,24,0,,PythonFiles\WSHubsAPI\c4045bf9\7706cb488f67570eda61257491031c1455a4073a\7706cb488f67570eda61257491031c1455a4073a_WSHubsAPI_c4045bf9_20150524_140815_after_6.py
7706cb488f67570eda61257491031c1455a4073a,WSHubsAPI,c4045bf9,2015-05-24 12:08:15,+0000,TornadoCommProtocol.py,ADD,102,0,,PythonFiles\WSHubsAPI\c4045bf9\7706cb488f67570eda61257491031c1455a4073a\7706cb488f67570eda61257491031c1455a4073a_WSHubsAPI_c4045bf9_20150524_140815_after_8.py
7706cb488f67570eda61257491031c1455a4073a,WSHubsAPI,c4045bf9,2015-05-24 12:08:15,+0000,__init__.py,ADD,1,0,,PythonFiles\WSHubsAPI\c4045bf9\7706cb488f67570eda61257491031c1455a4073a\7706cb488f67570eda61257491031c1455a4073a_WSHubsAPI_c4045bf9_20150524_140815_after_10.py
7706cb488f67570eda61257491031c1455a4073a,WSHubsAPI,c4045bf9,2015-05-24 12:08:15,+0000,app.py,ADD,69,0,,PythonFiles\WSHubsAPI\c4045bf9\7706cb488f67570eda61257491031c1455a4073a\7706cb488f67570eda61257491031c1455a4073a_WSHubsAPI_c4045bf9_20150524_140815_after_12.py
7706cb488f67570eda61257491031c1455a4073a,WSHubsAPI,c4045bf9,2015-05-24 12:08:15,+0000,setup.py,ADD,111,0,,PythonFiles\WSHubsAPI\c4045bf9\7706cb488f67570eda61257491031c1455a4073a\7706cb488f67570eda61257491031c1455a4073a_WSHubsAPI_c4045bf9_20150524_140815_after_20.py
b994d41fb8b604efdf4a0dd49ad2696f699dfde7,WSHubsAPI,c4045bf9,2015-05-24 18:00:53,+0000,CommProtocol.py,ADD,152,0,,PythonFiles\WSHubsAPI\c4045bf9\b994d41fb8b604efdf4a0dd49ad2696f699dfde7\b994d41fb8b604efdf4a0dd49ad2696f699dfde7_WSHubsAPI_c4045bf9_20150524_200053_after_9.py
b994d41fb8b604efdf4a0dd49ad2696f699dfde7,WSHubsAPI,c4045bf9,2015-05-24 18:00:53,+0000,HubDecorator.py,MODIFY,16,5,PythonFiles\WSHubsAPI\c4045bf9\b994d41fb8b604efdf4a0dd49ad2696f699dfde7\b994d41fb8b604efdf4a0dd49ad2696f699dfde7_WSHubsAPI_c4045bf9_20150524_200053_before_10.py,PythonFiles\WSHubsAPI\c4045bf9\b994d41fb8b604efdf4a0dd49ad2696f699dfde7\b994d41fb8b604efdf4a0dd49ad2696f699dfde7_WSHubsAPI_c4045bf9_20150524_200053_after_10.py
b994d41fb8b604efdf4a0dd49ad2696f699dfde7,WSHubsAPI,c4045bf9,2015-05-24 18:00:53,+0000,HubDecoratorConfig.py,MODIFY,2,1,PythonFiles\WSHubsAPI\c4045bf9\b994d41fb8b604efdf4a0dd49ad2696f699dfde7\b994d41fb8b604efdf4a0dd49ad2696f699dfde7_WSHubsAPI_c4045bf9_20150524_200053_before_11.py,PythonFiles\WSHubsAPI\c4045bf9\b994d41fb8b604efdf4a0dd49ad2696f699dfde7\b994d41fb8b604efdf4a0dd49ad2696f699dfde7_WSHubsAPI_c4045bf9_20150524_200053_after_11.py
