CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
08e548ba83ba33a1027ac7f40c7bab938a454940,almapipy,876d750c,2018-02-01 19:21:09,+0000,__init__.py,ADD,60,0,,PythonFiles\almapipy\876d750c\08e548ba83ba33a1027ac7f40c7bab938a454940\08e548ba83ba33a1027ac7f40c7bab938a454940_almapipy_876d750c_20180201_112109_after_2.py
08e548ba83ba33a1027ac7f40c7bab938a454940,almapipy,876d750c,2018-02-01 19:21:09,+0000,bibs.py,ADD,222,0,,PythonFiles\almapipy\876d750c\08e548ba83ba33a1027ac7f40c7bab938a454940\08e548ba83ba33a1027ac7f40c7bab938a454940_almapipy_876d750c_20180201_112109_after_3.py
08e548ba83ba33a1027ac7f40c7bab938a454940,almapipy,876d750c,2018-02-01 19:21:09,+0000,client.py,ADD,94,0,,PythonFiles\almapipy\876d750c\08e548ba83ba33a1027ac7f40c7bab938a454940\08e548ba83ba33a1027ac7f40c7bab938a454940_almapipy_876d750c_20180201_112109_after_4.py
08e548ba83ba33a1027ac7f40c7bab938a454940,almapipy,876d750c,2018-02-01 19:21:09,+0000,utils.py,ADD,26,0,,PythonFiles\almapipy\876d750c\08e548ba83ba33a1027ac7f40c7bab938a454940\08e548ba83ba33a1027ac7f40c7bab938a454940_almapipy_876d750c_20180201_112109_after_5.py
26c60629376b619a1070a8b437b5b0c093d9a5fc,almapipy,876d750c,2018-02-02 19:41:47,+0000,__init__.py,MODIFY,1,0,PythonFiles\almapipy\876d750c\26c60629376b619a1070a8b437b5b0c093d9a5fc\26c60629376b619a1070a8b437b5b0c093d9a5fc_almapipy_876d750c_20180202_114147_before_2.py,PythonFiles\almapipy\876d750c\26c60629376b619a1070a8b437b5b0c093d9a5fc\26c60629376b619a1070a8b437b5b0c093d9a5fc_almapipy_876d750c_20180202_114147_after_2.py
26c60629376b619a1070a8b437b5b0c093d9a5fc,almapipy,876d750c,2018-02-02 19:41:47,+0000,bibs.py,MODIFY,208,0,PythonFiles\almapipy\876d750c\26c60629376b619a1070a8b437b5b0c093d9a5fc\26c60629376b619a1070a8b437b5b0c093d9a5fc_almapipy_876d750c_20180202_114147_before_3.py,PythonFiles\almapipy\876d750c\26c60629376b619a1070a8b437b5b0c093d9a5fc\26c60629376b619a1070a8b437b5b0c093d9a5fc_almapipy_876d750c_20180202_114147_after_3.py
3baacabccd3ef86984d7a96295a02815224736df,almapipy,876d750c,2018-02-05 20:10:46,+0000,__init__.py,MODIFY,8,3,PythonFiles\almapipy\876d750c\3baacabccd3ef86984d7a96295a02815224736df\3baacabccd3ef86984d7a96295a02815224736df_almapipy_876d750c_20180205_121046_before_2.py,PythonFiles\almapipy\876d750c\3baacabccd3ef86984d7a96295a02815224736df\3baacabccd3ef86984d7a96295a02815224736df_almapipy_876d750c_20180205_121046_after_2.py
3baacabccd3ef86984d7a96295a02815224736df,almapipy,876d750c,2018-02-05 20:10:46,+0000,bibs.py,MODIFY,109,49,PythonFiles\almapipy\876d750c\3baacabccd3ef86984d7a96295a02815224736df\3baacabccd3ef86984d7a96295a02815224736df_almapipy_876d750c_20180205_121046_before_3.py,PythonFiles\almapipy\876d750c\3baacabccd3ef86984d7a96295a02815224736df\3baacabccd3ef86984d7a96295a02815224736df_almapipy_876d750c_20180205_121046_after_3.py
6c28d0ab7eb0bbb5e2688cffc28d19cd9c07887f,almapipy,876d750c,2018-02-07 00:14:50,+0000,__init__.py,MODIFY,5,2,PythonFiles\almapipy\876d750c\6c28d0ab7eb0bbb5e2688cffc28d19cd9c07887f\6c28d0ab7eb0bbb5e2688cffc28d19cd9c07887f_almapipy_876d750c_20180206_161450_before_2.py,PythonFiles\almapipy\876d750c\6c28d0ab7eb0bbb5e2688cffc28d19cd9c07887f\6c28d0ab7eb0bbb5e2688cffc28d19cd9c07887f_almapipy_876d750c_20180206_161450_after_2.py
6c28d0ab7eb0bbb5e2688cffc28d19cd9c07887f,almapipy,876d750c,2018-02-07 00:14:50,+0000,analytics.py,ADD,150,0,,PythonFiles\almapipy\876d750c\6c28d0ab7eb0bbb5e2688cffc28d19cd9c07887f\6c28d0ab7eb0bbb5e2688cffc28d19cd9c07887f_almapipy_876d750c_20180206_161450_after_3.py
