CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
a4f27d52b16bb88904a126c93ddf219a8b18d4bf,alphavantage,345d5cc8,2018-05-30 22:49:54,+0000,__init__.py,ADD,1,0,,PythonFiles\alphavantage\345d5cc8\a4f27d52b16bb88904a126c93ddf219a8b18d4bf\a4f27d52b16bb88904a126c93ddf219a8b18d4bf_alphavantage_345d5cc8_20180530_184954_after_2.py
a4f27d52b16bb88904a126c93ddf219a8b18d4bf,alphavantage,345d5cc8,2018-05-30 22:49:54,+0000,_version.py,ADD,4,0,,PythonFiles\alphavantage\345d5cc8\a4f27d52b16bb88904a126c93ddf219a8b18d4bf\a4f27d52b16bb88904a126c93ddf219a8b18d4bf_alphavantage_345d5cc8_20180530_184954_after_3.py
a4f27d52b16bb88904a126c93ddf219a8b18d4bf,alphavantage,345d5cc8,2018-05-30 22:49:54,+0000,setup.py,ADD,39,0,,PythonFiles\alphavantage\345d5cc8\a4f27d52b16bb88904a126c93ddf219a8b18d4bf\a4f27d52b16bb88904a126c93ddf219a8b18d4bf_alphavantage_345d5cc8_20180530_184954_after_6.py
10bc17d0e4bcc65609f1172a1d6407d386596e26,alphavantage,345d5cc8,2018-05-30 22:51:49,+0000,__init__.py,ADD,0,0,,
a13b81b276d2dbb21cbcd28c1ca7624a8c9b373c,alphavantage,345d5cc8,2018-05-30 22:58:16,+0000,fixtures.py,ADD,119,0,,PythonFiles\alphavantage\345d5cc8\a13b81b276d2dbb21cbcd28c1ca7624a8c9b373c\a13b81b276d2dbb21cbcd28c1ca7624a8c9b373c_alphavantage_345d5cc8_20180530_185816_after_1.py
7e845c3f9335eb3ed106f23dce4fcf838455c400,alphavantage,345d5cc8,2018-05-30 22:59:56,+0000,reference.py,ADD,17,0,,PythonFiles\alphavantage\345d5cc8\7e845c3f9335eb3ed106f23dce4fcf838455c400\7e845c3f9335eb3ed106f23dce4fcf838455c400_alphavantage_345d5cc8_20180530_185956_after_1.py
9fda4cfbd43f1a4180885cff5be56b80faf3c478,alphavantage,345d5cc8,2018-05-30 23:00:39,+0000,dates.py,ADD,25,0,,PythonFiles\alphavantage\345d5cc8\9fda4cfbd43f1a4180885cff5be56b80faf3c478\9fda4cfbd43f1a4180885cff5be56b80faf3c478_alphavantage_345d5cc8_20180530_190039_after_1.py
9fda4cfbd43f1a4180885cff5be56b80faf3c478,alphavantage,345d5cc8,2018-05-30 23:00:39,+0000,test_dates.py,ADD,24,0,,PythonFiles\alphavantage\345d5cc8\9fda4cfbd43f1a4180885cff5be56b80faf3c478\9fda4cfbd43f1a4180885cff5be56b80faf3c478_alphavantage_345d5cc8_20180530_190039_after_2.py
7e81afd18d98a069c7ba8b8cb9f04c5ec86821df,alphavantage,345d5cc8,2018-05-30 23:02:25,+0000,web.py,ADD,14,0,,PythonFiles\alphavantage\345d5cc8\7e81afd18d98a069c7ba8b8cb9f04c5ec86821df\7e81afd18d98a069c7ba8b8cb9f04c5ec86821df_alphavantage_345d5cc8_20180530_190225_after_1.py
db66d08f125eb70c058d17d1dcb7d7b30a32d81d,alphavantage,345d5cc8,2018-05-30 23:03:16,+0000,price_history.py,ADD,254,0,,PythonFiles\alphavantage\345d5cc8\db66d08f125eb70c058d17d1dcb7d7b30a32d81d\db66d08f125eb70c058d17d1dcb7d7b30a32d81d_alphavantage_345d5cc8_20180530_190316_after_1.py
db66d08f125eb70c058d17d1dcb7d7b30a32d81d,alphavantage,345d5cc8,2018-05-30 23:03:16,+0000,test_price_history.py,ADD,229,0,,PythonFiles\alphavantage\345d5cc8\db66d08f125eb70c058d17d1dcb7d7b30a32d81d\db66d08f125eb70c058d17d1dcb7d7b30a32d81d_alphavantage_345d5cc8_20180530_190316_after_2.py
902592db4807e133431e4a00d448013eda211105,alphavantage,345d5cc8,2018-05-30 23:21:56,+0000,_version.py,MODIFY,1,1,PythonFiles\alphavantage\345d5cc8\902592db4807e133431e4a00d448013eda211105\902592db4807e133431e4a00d448013eda211105_alphavantage_345d5cc8_20180530_192156_before_1.py,PythonFiles\alphavantage\345d5cc8\902592db4807e133431e4a00d448013eda211105\902592db4807e133431e4a00d448013eda211105_alphavantage_345d5cc8_20180530_192156_after_1.py
c087677d8f6395fc4ce2ce9bea7f36fd14c161ab,alphavantage,345d5cc8,2018-05-30 23:33:33,+0000,symbology.py,ADD,84,0,,PythonFiles\alphavantage\345d5cc8\c087677d8f6395fc4ce2ce9bea7f36fd14c161ab\c087677d8f6395fc4ce2ce9bea7f36fd14c161ab_alphavantage_345d5cc8_20180530_193333_after_1.py
c087677d8f6395fc4ce2ce9bea7f36fd14c161ab,alphavantage,345d5cc8,2018-05-30 23:33:33,+0000,test_symbology.py,ADD,17,0,,PythonFiles\alphavantage\345d5cc8\c087677d8f6395fc4ce2ce9bea7f36fd14c161ab\c087677d8f6395fc4ce2ce9bea7f36fd14c161ab_alphavantage_345d5cc8_20180530_193333_after_2.py
69e2e54eac6fa6ba90432875f11bc08c867ab50b,alphavantage,345d5cc8,2018-05-30 23:34:09,+0000,_version.py,MODIFY,1,1,PythonFiles\alphavantage\345d5cc8\69e2e54eac6fa6ba90432875f11bc08c867ab50b\69e2e54eac6fa6ba90432875f11bc08c867ab50b_alphavantage_345d5cc8_20180530_193409_before_1.py,PythonFiles\alphavantage\345d5cc8\69e2e54eac6fa6ba90432875f11bc08c867ab50b\69e2e54eac6fa6ba90432875f11bc08c867ab50b_alphavantage_345d5cc8_20180530_193409_after_1.py
36d9140d4d36500ff6d9e35080c1df62d8ae6c51,alphavantage,345d5cc8,2018-05-30 23:46:30,+0000,setup.py,MODIFY,8,2,PythonFiles\alphavantage\345d5cc8\36d9140d4d36500ff6d9e35080c1df62d8ae6c51\36d9140d4d36500ff6d9e35080c1df62d8ae6c51_alphavantage_345d5cc8_20180530_194630_before_1.py,PythonFiles\alphavantage\345d5cc8\36d9140d4d36500ff6d9e35080c1df62d8ae6c51\36d9140d4d36500ff6d9e35080c1df62d8ae6c51_alphavantage_345d5cc8_20180530_194630_after_1.py
e262f1c093caa7329020988cf1a557378e4a6f6c,alphavantage,345d5cc8,2018-05-31 00:56:50,+0000,price_history.py,MODIFY,23,3,PythonFiles\alphavantage\345d5cc8\e262f1c093caa7329020988cf1a557378e4a6f6c\e262f1c093caa7329020988cf1a557378e4a6f6c_alphavantage_345d5cc8_20180530_205650_before_1.py,PythonFiles\alphavantage\345d5cc8\e262f1c093caa7329020988cf1a557378e4a6f6c\e262f1c093caa7329020988cf1a557378e4a6f6c_alphavantage_345d5cc8_20180530_205650_after_1.py
e262f1c093caa7329020988cf1a557378e4a6f6c,alphavantage,345d5cc8,2018-05-31 00:56:50,+0000,test_price_history.py,MODIFY,6,0,PythonFiles\alphavantage\345d5cc8\e262f1c093caa7329020988cf1a557378e4a6f6c\e262f1c093caa7329020988cf1a557378e4a6f6c_alphavantage_345d5cc8_20180530_205650_before_2.py,PythonFiles\alphavantage\345d5cc8\e262f1c093caa7329020988cf1a557378e4a6f6c\e262f1c093caa7329020988cf1a557378e4a6f6c_alphavantage_345d5cc8_20180530_205650_after_2.py
8ef3e1984d3cc339d6249bc60b6999981290a0d4,alphavantage,345d5cc8,2018-05-31 00:57:11,+0000,_version.py,MODIFY,1,1,PythonFiles\alphavantage\345d5cc8\8ef3e1984d3cc339d6249bc60b6999981290a0d4\8ef3e1984d3cc339d6249bc60b6999981290a0d4_alphavantage_345d5cc8_20180530_205711_before_1.py,PythonFiles\alphavantage\345d5cc8\8ef3e1984d3cc339d6249bc60b6999981290a0d4\8ef3e1984d3cc339d6249bc60b6999981290a0d4_alphavantage_345d5cc8_20180530_205711_after_1.py
78db8601481ec350448140419805ccab52c0aee2,alphavantage,345d5cc8,2018-05-31 16:17:33,+0000,price_history.py,MODIFY,14,6,PythonFiles\alphavantage\345d5cc8\78db8601481ec350448140419805ccab52c0aee2\78db8601481ec350448140419805ccab52c0aee2_alphavantage_345d5cc8_20180531_121733_before_1.py,PythonFiles\alphavantage\345d5cc8\78db8601481ec350448140419805ccab52c0aee2\78db8601481ec350448140419805ccab52c0aee2_alphavantage_345d5cc8_20180531_121733_after_1.py
9e8ab7b553938c947c5ad68862a3bba9b2332336,alphavantage,345d5cc8,2018-05-31 16:30:20,+0000,_version.py,MODIFY,1,1,PythonFiles\alphavantage\345d5cc8\9e8ab7b553938c947c5ad68862a3bba9b2332336\9e8ab7b553938c947c5ad68862a3bba9b2332336_alphavantage_345d5cc8_20180531_123020_before_1.py,PythonFiles\alphavantage\345d5cc8\9e8ab7b553938c947c5ad68862a3bba9b2332336\9e8ab7b553938c947c5ad68862a3bba9b2332336_alphavantage_345d5cc8_20180531_123020_after_1.py
558a07a8bcfda6e67268cb4fb720584ad85c592b,alphavantage,345d5cc8,2018-05-31 16:53:05,+0000,_version.py,MODIFY,1,1,PythonFiles\alphavantage\345d5cc8\558a07a8bcfda6e67268cb4fb720584ad85c592b\558a07a8bcfda6e67268cb4fb720584ad85c592b_alphavantage_345d5cc8_20180531_125305_before_1.py,PythonFiles\alphavantage\345d5cc8\558a07a8bcfda6e67268cb4fb720584ad85c592b\558a07a8bcfda6e67268cb4fb720584ad85c592b_alphavantage_345d5cc8_20180531_125305_after_1.py
