CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
66a00cce732ddc9779ad5a7be458bfbfe21dfac2,argus,f5f6741c,2018-07-05 10:22:07,+0000,__init__.py,ADD,2,0,,PythonFiles\argus\f5f6741c\66a00cce732ddc9779ad5a7be458bfbfe21dfac2\66a00cce732ddc9779ad5a7be458bfbfe21dfac2_argus_f5f6741c_20180705_132207_after_4.py
66a00cce732ddc9779ad5a7be458bfbfe21dfac2,argus,f5f6741c,2018-07-05 10:22:07,+0000,loss.py,ADD,12,0,,PythonFiles\argus\f5f6741c\66a00cce732ddc9779ad5a7be458bfbfe21dfac2\66a00cce732ddc9779ad5a7be458bfbfe21dfac2_argus_f5f6741c_20180705_132207_after_5.py
66a00cce732ddc9779ad5a7be458bfbfe21dfac2,argus,f5f6741c,2018-07-05 10:22:07,+0000,model.py,ADD,168,0,,PythonFiles\argus\f5f6741c\66a00cce732ddc9779ad5a7be458bfbfe21dfac2\66a00cce732ddc9779ad5a7be458bfbfe21dfac2_argus_f5f6741c_20180705_132207_after_6.py
66a00cce732ddc9779ad5a7be458bfbfe21dfac2,argus,f5f6741c,2018-07-05 10:22:07,+0000,optimizer.py,ADD,11,0,,PythonFiles\argus\f5f6741c\66a00cce732ddc9779ad5a7be458bfbfe21dfac2\66a00cce732ddc9779ad5a7be458bfbfe21dfac2_argus_f5f6741c_20180705_132207_after_7.py
66a00cce732ddc9779ad5a7be458bfbfe21dfac2,argus,f5f6741c,2018-07-05 10:22:07,+0000,utils.py,ADD,33,0,,PythonFiles\argus\f5f6741c\66a00cce732ddc9779ad5a7be458bfbfe21dfac2\66a00cce732ddc9779ad5a7be458bfbfe21dfac2_argus_f5f6741c_20180705_132207_after_8.py
7223a6ab8165ae7f6219093d5934fff3a5aaf5cf,argus,f5f6741c,2018-07-05 10:51:51,+0000,model.py,MODIFY,10,3,PythonFiles\argus\f5f6741c\7223a6ab8165ae7f6219093d5934fff3a5aaf5cf\7223a6ab8165ae7f6219093d5934fff3a5aaf5cf_argus_f5f6741c_20180705_135151_before_1.py,PythonFiles\argus\f5f6741c\7223a6ab8165ae7f6219093d5934fff3a5aaf5cf\7223a6ab8165ae7f6219093d5934fff3a5aaf5cf_argus_f5f6741c_20180705_135151_after_1.py
93201200f823a520c946ae55ea3f5743a52cdbd2,argus,f5f6741c,2018-07-05 11:32:35,+0000,model.py,MODIFY,4,4,PythonFiles\argus\f5f6741c\93201200f823a520c946ae55ea3f5743a52cdbd2\93201200f823a520c946ae55ea3f5743a52cdbd2_argus_f5f6741c_20180705_143235_before_1.py,PythonFiles\argus\f5f6741c\93201200f823a520c946ae55ea3f5743a52cdbd2\93201200f823a520c946ae55ea3f5743a52cdbd2_argus_f5f6741c_20180705_143235_after_1.py
cb37c3845a0cf2c8fe715eae901e962560e4e804,argus,f5f6741c,2018-07-05 13:15:22,+0000,__init__.py,MODIFY,1,1,PythonFiles\argus\f5f6741c\cb37c3845a0cf2c8fe715eae901e962560e4e804\cb37c3845a0cf2c8fe715eae901e962560e4e804_argus_f5f6741c_20180705_161522_before_1.py,PythonFiles\argus\f5f6741c\cb37c3845a0cf2c8fe715eae901e962560e4e804\cb37c3845a0cf2c8fe715eae901e962560e4e804_argus_f5f6741c_20180705_161522_after_1.py
cb37c3845a0cf2c8fe715eae901e962560e4e804,argus,f5f6741c,2018-07-05 13:15:22,+0000,build_model.py,ADD,171,0,,PythonFiles\argus\f5f6741c\cb37c3845a0cf2c8fe715eae901e962560e4e804\cb37c3845a0cf2c8fe715eae901e962560e4e804_argus_f5f6741c_20180705_161522_after_2.py
cb37c3845a0cf2c8fe715eae901e962560e4e804,argus,f5f6741c,2018-07-05 13:15:22,+0000,model.py,MODIFY,4,170,PythonFiles\argus\f5f6741c\cb37c3845a0cf2c8fe715eae901e962560e4e804\cb37c3845a0cf2c8fe715eae901e962560e4e804_argus_f5f6741c_20180705_161522_before_3.py,PythonFiles\argus\f5f6741c\cb37c3845a0cf2c8fe715eae901e962560e4e804\cb37c3845a0cf2c8fe715eae901e962560e4e804_argus_f5f6741c_20180705_161522_after_3.py
cb37c3845a0cf2c8fe715eae901e962560e4e804,argus,f5f6741c,2018-07-05 13:15:22,+0000,utils.py,MODIFY,4,0,PythonFiles\argus\f5f6741c\cb37c3845a0cf2c8fe715eae901e962560e4e804\cb37c3845a0cf2c8fe715eae901e962560e4e804_argus_f5f6741c_20180705_161522_before_4.py,PythonFiles\argus\f5f6741c\cb37c3845a0cf2c8fe715eae901e962560e4e804\cb37c3845a0cf2c8fe715eae901e962560e4e804_argus_f5f6741c_20180705_161522_after_4.py
ff8f757c72acaaef01e0d25f439635bd797f62b9,argus,f5f6741c,2018-07-05 15:31:46,+0000,build_model.py,MODIFY,11,14,PythonFiles\argus\f5f6741c\ff8f757c72acaaef01e0d25f439635bd797f62b9\ff8f757c72acaaef01e0d25f439635bd797f62b9_argus_f5f6741c_20180705_183146_before_1.py,PythonFiles\argus\f5f6741c\ff8f757c72acaaef01e0d25f439635bd797f62b9\ff8f757c72acaaef01e0d25f439635bd797f62b9_argus_f5f6741c_20180705_183146_after_1.py
