CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
eeeaf9c63750cb1aacdd6d6de6621492ec3aa538,aruudy,f62aaa61,2014-04-06 14:21:37,+0000,litebase.py,ADD,369,0,,PythonFiles\aruudy\f62aaa61\eeeaf9c63750cb1aacdd6d6de6621492ec3aa538\eeeaf9c63750cb1aacdd6d6de6621492ec3aa538_aruudy_f62aaa61_20140406_072137_after_1.py
eab4fa966a3982bbd90ed20dd7e273e4218639c2,aruudy,f62aaa61,2014-04-06 14:22:38,+0000,arudquery.py,ADD,77,0,,PythonFiles\aruudy\f62aaa61\eab4fa966a3982bbd90ed20dd7e273e4218639c2\eab4fa966a3982bbd90ed20dd7e273e4218639c2_aruudy_f62aaa61_20140406_072238_after_1.py
6905029cd4308e84f3e389544813f3935699d32e,aruudy,f62aaa61,2014-04-06 14:23:27,+0000,pattern.py,ADD,136,0,,PythonFiles\aruudy\f62aaa61\6905029cd4308e84f3e389544813f3935699d32e\6905029cd4308e84f3e389544813f3935699d32e_aruudy_f62aaa61_20140406_072327_after_1.py
1064b4cd1b80c64ea2752f4b2507e676e9a56f64,aruudy,f62aaa61,2014-04-07 12:09:46,+0000,create.py,ADD,66,0,,PythonFiles\aruudy\f62aaa61\1064b4cd1b80c64ea2752f4b2507e676e9a56f64\1064b4cd1b80c64ea2752f4b2507e676e9a56f64_aruudy_f62aaa61_20140407_130946_after_1.py
54e0dff0f4f9b7916292757b0e8489f6093a62f7,aruudy,f62aaa61,2014-04-07 12:13:01,+0000,create.py,MODIFY,0,3,PythonFiles\aruudy\f62aaa61\54e0dff0f4f9b7916292757b0e8489f6093a62f7\54e0dff0f4f9b7916292757b0e8489f6093a62f7_aruudy_f62aaa61_20140407_131301_before_1.py,PythonFiles\aruudy\f62aaa61\54e0dff0f4f9b7916292757b0e8489f6093a62f7\54e0dff0f4f9b7916292757b0e8489f6093a62f7_aruudy_f62aaa61_20140407_131301_after_1.py
96ca4f477796bdf501a447e0849e3e207256f8c7,aruudy,f62aaa61,2014-04-07 12:19:45,+0000,test.py,ADD,48,0,,PythonFiles\aruudy\f62aaa61\96ca4f477796bdf501a447e0849e3e207256f8c7\96ca4f477796bdf501a447e0849e3e207256f8c7_aruudy_f62aaa61_20140407_131945_after_1.py
a1c708566d417b4ad8ccb1080fe6e2d268a18a76,aruudy,f62aaa61,2015-08-24 11:47:00,+0000,arudquery.py,MODIFY,2,1,PythonFiles\aruudy\f62aaa61\a1c708566d417b4ad8ccb1080fe6e2d268a18a76\a1c708566d417b4ad8ccb1080fe6e2d268a18a76_aruudy_f62aaa61_20150824_124700_before_1.py,PythonFiles\aruudy\f62aaa61\a1c708566d417b4ad8ccb1080fe6e2d268a18a76\a1c708566d417b4ad8ccb1080fe6e2d268a18a76_aruudy_f62aaa61_20150824_124700_after_1.py
a1c708566d417b4ad8ccb1080fe6e2d268a18a76,aruudy,f62aaa61,2015-08-24 11:47:00,+0000,create.py,MODIFY,2,1,PythonFiles\aruudy\f62aaa61\a1c708566d417b4ad8ccb1080fe6e2d268a18a76\a1c708566d417b4ad8ccb1080fe6e2d268a18a76_aruudy_f62aaa61_20150824_124700_before_2.py,PythonFiles\aruudy\f62aaa61\a1c708566d417b4ad8ccb1080fe6e2d268a18a76\a1c708566d417b4ad8ccb1080fe6e2d268a18a76_aruudy_f62aaa61_20150824_124700_after_2.py
a1c708566d417b4ad8ccb1080fe6e2d268a18a76,aruudy,f62aaa61,2015-08-24 11:47:00,+0000,litebase.py,MODIFY,2,1,PythonFiles\aruudy\f62aaa61\a1c708566d417b4ad8ccb1080fe6e2d268a18a76\a1c708566d417b4ad8ccb1080fe6e2d268a18a76_aruudy_f62aaa61_20150824_124700_before_3.py,PythonFiles\aruudy\f62aaa61\a1c708566d417b4ad8ccb1080fe6e2d268a18a76\a1c708566d417b4ad8ccb1080fe6e2d268a18a76_aruudy_f62aaa61_20150824_124700_after_3.py
a1c708566d417b4ad8ccb1080fe6e2d268a18a76,aruudy,f62aaa61,2015-08-24 11:47:00,+0000,pattern.py,MODIFY,2,1,PythonFiles\aruudy\f62aaa61\a1c708566d417b4ad8ccb1080fe6e2d268a18a76\a1c708566d417b4ad8ccb1080fe6e2d268a18a76_aruudy_f62aaa61_20150824_124700_before_4.py,PythonFiles\aruudy\f62aaa61\a1c708566d417b4ad8ccb1080fe6e2d268a18a76\a1c708566d417b4ad8ccb1080fe6e2d268a18a76_aruudy_f62aaa61_20150824_124700_after_4.py
a1c708566d417b4ad8ccb1080fe6e2d268a18a76,aruudy,f62aaa61,2015-08-24 11:47:00,+0000,test.py,MODIFY,2,1,PythonFiles\aruudy\f62aaa61\a1c708566d417b4ad8ccb1080fe6e2d268a18a76\a1c708566d417b4ad8ccb1080fe6e2d268a18a76_aruudy_f62aaa61_20150824_124700_before_5.py,PythonFiles\aruudy\f62aaa61\a1c708566d417b4ad8ccb1080fe6e2d268a18a76\a1c708566d417b4ad8ccb1080fe6e2d268a18a76_aruudy_f62aaa61_20150824_124700_after_5.py
da1270e9f73110415f5b5dda2e23b0bcc1a24df7,aruudy,f62aaa61,2015-08-24 14:28:01,+0000,pattern.py,MODIFY,14,19,PythonFiles\aruudy\f62aaa61\da1270e9f73110415f5b5dda2e23b0bcc1a24df7\da1270e9f73110415f5b5dda2e23b0bcc1a24df7_aruudy_f62aaa61_20150824_152801_before_2.py,PythonFiles\aruudy\f62aaa61\da1270e9f73110415f5b5dda2e23b0bcc1a24df7\da1270e9f73110415f5b5dda2e23b0bcc1a24df7_aruudy_f62aaa61_20150824_152801_after_2.py
58f9b4fb5e34c1f79c5efd66a8e5501b7f8d3c87,aruudy,f62aaa61,2015-08-24 22:25:56,+0000,__init__.py,ADD,1,0,,PythonFiles\aruudy\f62aaa61\58f9b4fb5e34c1f79c5efd66a8e5501b7f8d3c87\58f9b4fb5e34c1f79c5efd66a8e5501b7f8d3c87_aruudy_f62aaa61_20150824_232556_after_1.py
58f9b4fb5e34c1f79c5efd66a8e5501b7f8d3c87,aruudy,f62aaa61,2015-08-24 22:25:56,+0000,buckwalter.py,ADD,111,0,,PythonFiles\aruudy\f62aaa61\58f9b4fb5e34c1f79c5efd66a8e5501b7f8d3c87\58f9b4fb5e34c1f79c5efd66a8e5501b7f8d3c87_aruudy_f62aaa61_20150824_232556_after_2.py
f787336f1392335be89943325af30878a5a1664b,aruudy,f62aaa61,2015-08-24 23:16:58,+0000,arudquery.py,MODIFY,9,8,PythonFiles\aruudy\f62aaa61\f787336f1392335be89943325af30878a5a1664b\f787336f1392335be89943325af30878a5a1664b_aruudy_f62aaa61_20150825_001658_before_1.py,PythonFiles\aruudy\f62aaa61\f787336f1392335be89943325af30878a5a1664b\f787336f1392335be89943325af30878a5a1664b_aruudy_f62aaa61_20150825_001658_after_1.py
f787336f1392335be89943325af30878a5a1664b,aruudy,f62aaa61,2015-08-24 23:16:58,+0000,create.py,MODIFY,1,1,PythonFiles\aruudy\f62aaa61\f787336f1392335be89943325af30878a5a1664b\f787336f1392335be89943325af30878a5a1664b_aruudy_f62aaa61_20150825_001658_before_2.py,PythonFiles\aruudy\f62aaa61\f787336f1392335be89943325af30878a5a1664b\f787336f1392335be89943325af30878a5a1664b_aruudy_f62aaa61_20150825_001658_after_2.py
f787336f1392335be89943325af30878a5a1664b,aruudy,f62aaa61,2015-08-24 23:16:58,+0000,litebase.py,RENAME,0,0,,
c0ec1077bd49f75f3dc4cf396d5c6f890f43c8e4,aruudy,f62aaa61,2015-08-25 10:15:22,+0000,__init__.py,ADD,1,0,,PythonFiles\aruudy\f62aaa61\c0ec1077bd49f75f3dc4cf396d5c6f890f43c8e4\c0ec1077bd49f75f3dc4cf396d5c6f890f43c8e4_aruudy_f62aaa61_20150825_111522_after_1.py
c0ec1077bd49f75f3dc4cf396d5c6f890f43c8e4,aruudy,f62aaa61,2015-08-25 10:15:22,+0000,create.py,RENAME,4,1,PythonFiles\aruudy\f62aaa61\c0ec1077bd49f75f3dc4cf396d5c6f890f43c8e4\c0ec1077bd49f75f3dc4cf396d5c6f890f43c8e4_aruudy_f62aaa61_20150825_111522_before_2.py,PythonFiles\aruudy\f62aaa61\c0ec1077bd49f75f3dc4cf396d5c6f890f43c8e4\c0ec1077bd49f75f3dc4cf396d5c6f890f43c8e4_aruudy_f62aaa61_20150825_111522_after_2.py
