CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
1d2432835485f0e6070f710f337ac4e28fe6bcbb,auto_ml,238eff15,2016-08-07 22:14:06,+0000,__init__.py,ADD,1,0,,PythonFiles\auto_ml\238eff15\1d2432835485f0e6070f710f337ac4e28fe6bcbb\1d2432835485f0e6070f710f337ac4e28fe6bcbb_auto_ml_238eff15_20160807_151406_after_1.py
4d278819b4c68f8fbcbe563779280b1675f41dd7,auto_ml,238eff15,2016-08-07 22:14:22,+0000,predictor.py,ADD,16,0,,PythonFiles\auto_ml\238eff15\4d278819b4c68f8fbcbe563779280b1675f41dd7\4d278819b4c68f8fbcbe563779280b1675f41dd7_auto_ml_238eff15_20160807_151422_after_2.py
9a4b110fb6361dd2bed1c3194eadbe2680b6ef9d,auto_ml,238eff15,2016-08-07 22:29:22,+0000,test_script.py,ADD,16,0,,PythonFiles\auto_ml\238eff15\9a4b110fb6361dd2bed1c3194eadbe2680b6ef9d\9a4b110fb6361dd2bed1c3194eadbe2680b6ef9d_auto_ml_238eff15_20160807_152922_after_1.py
9a17cbdfa58ed83c1a4d847a4518a6a43f4eec65,auto_ml,238eff15,2016-08-07 22:36:58,+0000,test_script.py,MODIFY,24,1,PythonFiles\auto_ml\238eff15\9a17cbdfa58ed83c1a4d847a4518a6a43f4eec65\9a17cbdfa58ed83c1a4d847a4518a6a43f4eec65_auto_ml_238eff15_20160807_153658_before_1.py,PythonFiles\auto_ml\238eff15\9a17cbdfa58ed83c1a4d847a4518a6a43f4eec65\9a17cbdfa58ed83c1a4d847a4518a6a43f4eec65_auto_ml_238eff15_20160807_153658_after_1.py
6e27b94a7ae6ff53d3449c1232d59e499630c2ea,auto_ml,238eff15,2016-08-07 23:12:02,+0000,utils.py,ADD,22,0,,PythonFiles\auto_ml\238eff15\6e27b94a7ae6ff53d3449c1232d59e499630c2ea\6e27b94a7ae6ff53d3449c1232d59e499630c2ea_auto_ml_238eff15_20160807_161202_after_1.py
1412dabe62d9444d8ee2b13d04b0a0cd2b84433a,auto_ml,238eff15,2016-08-07 23:25:50,+0000,test_script.py,MODIFY,2,3,PythonFiles\auto_ml\238eff15\1412dabe62d9444d8ee2b13d04b0a0cd2b84433a\1412dabe62d9444d8ee2b13d04b0a0cd2b84433a_auto_ml_238eff15_20160807_162550_before_1.py,PythonFiles\auto_ml\238eff15\1412dabe62d9444d8ee2b13d04b0a0cd2b84433a\1412dabe62d9444d8ee2b13d04b0a0cd2b84433a_auto_ml_238eff15_20160807_162550_after_1.py
b5c71485c9540096e0b35ecd877b2d72032aeb03,auto_ml,238eff15,2016-08-07 23:27:03,+0000,predictor.py,MODIFY,20,1,PythonFiles\auto_ml\238eff15\b5c71485c9540096e0b35ecd877b2d72032aeb03\b5c71485c9540096e0b35ecd877b2d72032aeb03_auto_ml_238eff15_20160807_162703_before_1.py,PythonFiles\auto_ml\238eff15\b5c71485c9540096e0b35ecd877b2d72032aeb03\b5c71485c9540096e0b35ecd877b2d72032aeb03_auto_ml_238eff15_20160807_162703_after_1.py
3805a30e626299b1315a7646c36ecf775341cde2,auto_ml,238eff15,2016-08-07 23:56:10,+0000,predictor.py,MODIFY,11,4,PythonFiles\auto_ml\238eff15\3805a30e626299b1315a7646c36ecf775341cde2\3805a30e626299b1315a7646c36ecf775341cde2_auto_ml_238eff15_20160807_165610_before_1.py,PythonFiles\auto_ml\238eff15\3805a30e626299b1315a7646c36ecf775341cde2\3805a30e626299b1315a7646c36ecf775341cde2_auto_ml_238eff15_20160807_165610_after_1.py
08615d85ecf4e6590a1f79eb33e91e42f570878c,auto_ml,238eff15,2016-08-07 23:58:15,+0000,utils.py,MODIFY,1,0,PythonFiles\auto_ml\238eff15\08615d85ecf4e6590a1f79eb33e91e42f570878c\08615d85ecf4e6590a1f79eb33e91e42f570878c_auto_ml_238eff15_20160807_165815_before_1.py,PythonFiles\auto_ml\238eff15\08615d85ecf4e6590a1f79eb33e91e42f570878c\08615d85ecf4e6590a1f79eb33e91e42f570878c_auto_ml_238eff15_20160807_165815_after_1.py
e2ad21ebac23581bf78422ec85b88fdec8d4c1cf,auto_ml,238eff15,2016-08-07 23:58:48,+0000,test_script.py,MODIFY,11,2,PythonFiles\auto_ml\238eff15\e2ad21ebac23581bf78422ec85b88fdec8d4c1cf\e2ad21ebac23581bf78422ec85b88fdec8d4c1cf_auto_ml_238eff15_20160807_165848_before_1.py,PythonFiles\auto_ml\238eff15\e2ad21ebac23581bf78422ec85b88fdec8d4c1cf\e2ad21ebac23581bf78422ec85b88fdec8d4c1cf_auto_ml_238eff15_20160807_165848_after_1.py
d92a95ef35f329d4b96dd573a0b926f6d4ce832a,auto_ml,238eff15,2016-08-08 00:04:28,+0000,predictor.py,MODIFY,4,0,PythonFiles\auto_ml\238eff15\d92a95ef35f329d4b96dd573a0b926f6d4ce832a\d92a95ef35f329d4b96dd573a0b926f6d4ce832a_auto_ml_238eff15_20160807_170428_before_1.py,PythonFiles\auto_ml\238eff15\d92a95ef35f329d4b96dd573a0b926f6d4ce832a\d92a95ef35f329d4b96dd573a0b926f6d4ce832a_auto_ml_238eff15_20160807_170428_after_1.py
dfea94cb21d76c44b264153ac6b990cabd2d4751,auto_ml,238eff15,2016-08-08 00:04:55,+0000,utils.py,MODIFY,2,2,PythonFiles\auto_ml\238eff15\dfea94cb21d76c44b264153ac6b990cabd2d4751\dfea94cb21d76c44b264153ac6b990cabd2d4751_auto_ml_238eff15_20160807_170455_before_1.py,PythonFiles\auto_ml\238eff15\dfea94cb21d76c44b264153ac6b990cabd2d4751\dfea94cb21d76c44b264153ac6b990cabd2d4751_auto_ml_238eff15_20160807_170455_after_1.py
dba8a47556213112da8f002a4157b914b0414699,auto_ml,238eff15,2016-08-08 00:08:33,+0000,test_script.py,MODIFY,22,20,PythonFiles\auto_ml\238eff15\dba8a47556213112da8f002a4157b914b0414699\dba8a47556213112da8f002a4157b914b0414699_auto_ml_238eff15_20160807_170833_before_1.py,PythonFiles\auto_ml\238eff15\dba8a47556213112da8f002a4157b914b0414699\dba8a47556213112da8f002a4157b914b0414699_auto_ml_238eff15_20160807_170833_after_1.py
2d1472d2997e559777a6056f3c126b334847683f,auto_ml,238eff15,2016-08-08 01:02:17,+0000,predictor.py,MODIFY,4,2,PythonFiles\auto_ml\238eff15\2d1472d2997e559777a6056f3c126b334847683f\2d1472d2997e559777a6056f3c126b334847683f_auto_ml_238eff15_20160807_180217_before_1.py,PythonFiles\auto_ml\238eff15\2d1472d2997e559777a6056f3c126b334847683f\2d1472d2997e559777a6056f3c126b334847683f_auto_ml_238eff15_20160807_180217_after_1.py
f15b57d78dd4b76137a1f55daf04955ee7c8481a,auto_ml,238eff15,2016-08-08 01:02:50,+0000,utils.py,MODIFY,1,0,PythonFiles\auto_ml\238eff15\f15b57d78dd4b76137a1f55daf04955ee7c8481a\f15b57d78dd4b76137a1f55daf04955ee7c8481a_auto_ml_238eff15_20160807_180250_before_1.py,PythonFiles\auto_ml\238eff15\f15b57d78dd4b76137a1f55daf04955ee7c8481a\f15b57d78dd4b76137a1f55daf04955ee7c8481a_auto_ml_238eff15_20160807_180250_after_1.py
