CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
be271f41103efdc26aadbc2cf3e39446bf2a05bc,axe,535a5ec3,2014-04-21 01:52:58,+0000,__init__.py,ADD,24,0,,PythonFiles\axe\535a5ec3\be271f41103efdc26aadbc2cf3e39446bf2a05bc\be271f41103efdc26aadbc2cf3e39446bf2a05bc_axe_535a5ec3_20140421_095258_after_1.py
50c95e93d996acea868e034f3b6306809c8cc07e,axe,535a5ec3,2014-04-22 00:54:44,+0000,__init__.py,MODIFY,29,13,PythonFiles\axe\535a5ec3\50c95e93d996acea868e034f3b6306809c8cc07e\50c95e93d996acea868e034f3b6306809c8cc07e_axe_535a5ec3_20140422_085444_before_1.py,PythonFiles\axe\535a5ec3\50c95e93d996acea868e034f3b6306809c8cc07e\50c95e93d996acea868e034f3b6306809c8cc07e_axe_535a5ec3_20140422_085444_after_1.py
0eae5c7bae6385b276841ecb600c4bdeacd18f5b,axe,535a5ec3,2014-04-22 00:55:52,+0000,__init__.py,ADD,1,0,,PythonFiles\axe\535a5ec3\0eae5c7bae6385b276841ecb600c4bdeacd18f5b\0eae5c7bae6385b276841ecb600c4bdeacd18f5b_axe_535a5ec3_20140422_085552_after_1.py
0eae5c7bae6385b276841ecb600c4bdeacd18f5b,axe,535a5ec3,2014-04-22 00:55:52,+0000,hello.py,ADD,15,0,,PythonFiles\axe\535a5ec3\0eae5c7bae6385b276841ecb600c4bdeacd18f5b\0eae5c7bae6385b276841ecb600c4bdeacd18f5b_axe_535a5ec3_20140422_085552_after_2.py
0eae5c7bae6385b276841ecb600c4bdeacd18f5b,axe,535a5ec3,2014-04-22 00:55:52,+0000,test_basic.py,ADD,17,0,,PythonFiles\axe\535a5ec3\0eae5c7bae6385b276841ecb600c4bdeacd18f5b\0eae5c7bae6385b276841ecb600c4bdeacd18f5b_axe_535a5ec3_20140422_085552_after_3.py
4ed5fdc18652089252f21737668624e64ab743f3,axe,535a5ec3,2014-04-22 01:12:40,+0000,__init__.py,MODIFY,20,2,PythonFiles\axe\535a5ec3\4ed5fdc18652089252f21737668624e64ab743f3\4ed5fdc18652089252f21737668624e64ab743f3_axe_535a5ec3_20140422_091240_before_1.py,PythonFiles\axe\535a5ec3\4ed5fdc18652089252f21737668624e64ab743f3\4ed5fdc18652089252f21737668624e64ab743f3_axe_535a5ec3_20140422_091240_after_1.py
4ed5fdc18652089252f21737668624e64ab743f3,axe,535a5ec3,2014-04-22 01:12:40,+0000,hello.py,MODIFY,1,2,PythonFiles\axe\535a5ec3\4ed5fdc18652089252f21737668624e64ab743f3\4ed5fdc18652089252f21737668624e64ab743f3_axe_535a5ec3_20140422_091240_before_2.py,PythonFiles\axe\535a5ec3\4ed5fdc18652089252f21737668624e64ab743f3\4ed5fdc18652089252f21737668624e64ab743f3_axe_535a5ec3_20140422_091240_after_2.py
4ed5fdc18652089252f21737668624e64ab743f3,axe,535a5ec3,2014-04-22 01:12:40,+0000,test_basic.py,MODIFY,4,1,PythonFiles\axe\535a5ec3\4ed5fdc18652089252f21737668624e64ab743f3\4ed5fdc18652089252f21737668624e64ab743f3_axe_535a5ec3_20140422_091240_before_3.py,PythonFiles\axe\535a5ec3\4ed5fdc18652089252f21737668624e64ab743f3\4ed5fdc18652089252f21737668624e64ab743f3_axe_535a5ec3_20140422_091240_after_3.py
a39a225c07d47b9cf4962dd23268dcfac149b3c7,axe,535a5ec3,2014-04-22 01:17:57,+0000,__init__.py,MODIFY,2,8,PythonFiles\axe\535a5ec3\a39a225c07d47b9cf4962dd23268dcfac149b3c7\a39a225c07d47b9cf4962dd23268dcfac149b3c7_axe_535a5ec3_20140422_091757_before_1.py,PythonFiles\axe\535a5ec3\a39a225c07d47b9cf4962dd23268dcfac149b3c7\a39a225c07d47b9cf4962dd23268dcfac149b3c7_axe_535a5ec3_20140422_091757_after_1.py
8da1443dd3d6a3809f195ebc6e8ddc4d74b13a8a,axe,535a5ec3,2014-04-22 01:18:05,+0000,test_basic.py,MODIFY,3,0,PythonFiles\axe\535a5ec3\8da1443dd3d6a3809f195ebc6e8ddc4d74b13a8a\8da1443dd3d6a3809f195ebc6e8ddc4d74b13a8a_axe_535a5ec3_20140422_091805_before_1.py,PythonFiles\axe\535a5ec3\8da1443dd3d6a3809f195ebc6e8ddc4d74b13a8a\8da1443dd3d6a3809f195ebc6e8ddc4d74b13a8a_axe_535a5ec3_20140422_091805_after_1.py
5d12bf6c391c8112816a6b4991d09751f446ef88,axe,535a5ec3,2014-04-22 01:20:38,+0000,__init__.py,RENAME,1,1,PythonFiles\axe\535a5ec3\5d12bf6c391c8112816a6b4991d09751f446ef88\5d12bf6c391c8112816a6b4991d09751f446ef88_axe_535a5ec3_20140422_092038_before_1.py,PythonFiles\axe\535a5ec3\5d12bf6c391c8112816a6b4991d09751f446ef88\5d12bf6c391c8112816a6b4991d09751f446ef88_axe_535a5ec3_20140422_092038_after_1.py
5d12bf6c391c8112816a6b4991d09751f446ef88,axe,535a5ec3,2014-04-22 01:20:38,+0000,hello.py,MODIFY,2,2,PythonFiles\axe\535a5ec3\5d12bf6c391c8112816a6b4991d09751f446ef88\5d12bf6c391c8112816a6b4991d09751f446ef88_axe_535a5ec3_20140422_092038_before_2.py,PythonFiles\axe\535a5ec3\5d12bf6c391c8112816a6b4991d09751f446ef88\5d12bf6c391c8112816a6b4991d09751f446ef88_axe_535a5ec3_20140422_092038_after_2.py
f4a204076620a56b971576167b49cac73311f720,axe,535a5ec3,2014-04-22 01:25:36,+0000,__init__.py,MODIFY,20,18,PythonFiles\axe\535a5ec3\f4a204076620a56b971576167b49cac73311f720\f4a204076620a56b971576167b49cac73311f720_axe_535a5ec3_20140422_092536_before_1.py,PythonFiles\axe\535a5ec3\f4a204076620a56b971576167b49cac73311f720\f4a204076620a56b971576167b49cac73311f720_axe_535a5ec3_20140422_092536_after_1.py
821fac6bb7daed8495aa3457ca931b059f3a6819,axe,535a5ec3,2014-04-22 01:41:19,+0000,errors.py,ADD,4,0,,PythonFiles\axe\535a5ec3\821fac6bb7daed8495aa3457ca931b059f3a6819\821fac6bb7daed8495aa3457ca931b059f3a6819_axe_535a5ec3_20140422_094119_after_1.py
57f07cb8a18ba2ec17f56b61edb6034e6f6d20ff,axe,535a5ec3,2014-04-22 01:41:47,+0000,__init__.py,MODIFY,16,4,PythonFiles\axe\535a5ec3\57f07cb8a18ba2ec17f56b61edb6034e6f6d20ff\57f07cb8a18ba2ec17f56b61edb6034e6f6d20ff_axe_535a5ec3_20140422_094147_before_1.py,PythonFiles\axe\535a5ec3\57f07cb8a18ba2ec17f56b61edb6034e6f6d20ff\57f07cb8a18ba2ec17f56b61edb6034e6f6d20ff_axe_535a5ec3_20140422_094147_after_1.py
284da54cc9fc322c32e44706716b548bcd652dc4,axe,535a5ec3,2014-04-22 01:41:56,+0000,test_axe.py,ADD,26,0,,PythonFiles\axe\535a5ec3\284da54cc9fc322c32e44706716b548bcd652dc4\284da54cc9fc322c32e44706716b548bcd652dc4_axe_535a5ec3_20140422_094156_after_1.py
03af71edef7b49ec9dee2c3ce4a6339dd1315b8b,axe,535a5ec3,2014-04-22 01:49:41,+0000,__init__.py,MODIFY,1,2,PythonFiles\axe\535a5ec3\03af71edef7b49ec9dee2c3ce4a6339dd1315b8b\03af71edef7b49ec9dee2c3ce4a6339dd1315b8b_axe_535a5ec3_20140422_094941_before_1.py,PythonFiles\axe\535a5ec3\03af71edef7b49ec9dee2c3ce4a6339dd1315b8b\03af71edef7b49ec9dee2c3ce4a6339dd1315b8b_axe_535a5ec3_20140422_094941_after_1.py
69a8cdd50f7a617a99631eeb4d54b89a7c0a1c3a,axe,535a5ec3,2014-04-22 01:51:40,+0000,__init__.py,MODIFY,3,2,PythonFiles\axe\535a5ec3\69a8cdd50f7a617a99631eeb4d54b89a7c0a1c3a\69a8cdd50f7a617a99631eeb4d54b89a7c0a1c3a_axe_535a5ec3_20140422_095140_before_1.py,PythonFiles\axe\535a5ec3\69a8cdd50f7a617a99631eeb4d54b89a7c0a1c3a\69a8cdd50f7a617a99631eeb4d54b89a7c0a1c3a_axe_535a5ec3_20140422_095140_after_1.py
69a8cdd50f7a617a99631eeb4d54b89a7c0a1c3a,axe,535a5ec3,2014-04-22 01:51:40,+0000,default_exts.py,ADD,4,0,,PythonFiles\axe\535a5ec3\69a8cdd50f7a617a99631eeb4d54b89a7c0a1c3a\69a8cdd50f7a617a99631eeb4d54b89a7c0a1c3a_axe_535a5ec3_20140422_095140_after_2.py
0095e373d7213995888fd18f9f43f322b48d49ba,axe,535a5ec3,2014-04-22 02:20:22,+0000,__init__.py,ADD,1,0,,PythonFiles\axe\535a5ec3\0095e373d7213995888fd18f9f43f322b48d49ba\0095e373d7213995888fd18f9f43f322b48d49ba_axe_535a5ec3_20140422_102022_after_4.py
f7d9f0289d0d26de5b5e7a9e8894d5f62e9042a6,axe,535a5ec3,2014-04-22 05:44:53,+0000,test_basic.py,MODIFY,3,3,PythonFiles\axe\535a5ec3\f7d9f0289d0d26de5b5e7a9e8894d5f62e9042a6\f7d9f0289d0d26de5b5e7a9e8894d5f62e9042a6_axe_535a5ec3_20140422_134453_before_1.py,PythonFiles\axe\535a5ec3\f7d9f0289d0d26de5b5e7a9e8894d5f62e9042a6\f7d9f0289d0d26de5b5e7a9e8894d5f62e9042a6_axe_535a5ec3_20140422_134453_after_1.py
b0d0e241c84f9012ea9d2617e1696492579bd18b,axe,2be70604,2014-04-22 05:49:13,+0000,setup.py,ADD,21,0,,PythonFiles\axe\2be70604\b0d0e241c84f9012ea9d2617e1696492579bd18b\b0d0e241c84f9012ea9d2617e1696492579bd18b_axe_2be70604_20140422_134913_after_1.py
afac98b7bddaf69db675139e86bd0850ec8abe47,axe,535a5ec3,2014-04-22 06:52:55,+0000,__init__.py,MODIFY,11,3,PythonFiles\axe\535a5ec3\afac98b7bddaf69db675139e86bd0850ec8abe47\afac98b7bddaf69db675139e86bd0850ec8abe47_axe_535a5ec3_20140422_145255_before_1.py,PythonFiles\axe\535a5ec3\afac98b7bddaf69db675139e86bd0850ec8abe47\afac98b7bddaf69db675139e86bd0850ec8abe47_axe_535a5ec3_20140422_145255_after_1.py
afac98b7bddaf69db675139e86bd0850ec8abe47,axe,535a5ec3,2014-04-22 06:52:55,+0000,default_exts.py,MODIFY,18,1,PythonFiles\axe\535a5ec3\afac98b7bddaf69db675139e86bd0850ec8abe47\afac98b7bddaf69db675139e86bd0850ec8abe47_axe_535a5ec3_20140422_145255_before_2.py,PythonFiles\axe\535a5ec3\afac98b7bddaf69db675139e86bd0850ec8abe47\afac98b7bddaf69db675139e86bd0850ec8abe47_axe_535a5ec3_20140422_145255_after_2.py
afac98b7bddaf69db675139e86bd0850ec8abe47,axe,535a5ec3,2014-04-22 06:52:55,+0000,test_axe.py,MODIFY,2,2,PythonFiles\axe\535a5ec3\afac98b7bddaf69db675139e86bd0850ec8abe47\afac98b7bddaf69db675139e86bd0850ec8abe47_axe_535a5ec3_20140422_145255_before_4.py,PythonFiles\axe\535a5ec3\afac98b7bddaf69db675139e86bd0850ec8abe47\afac98b7bddaf69db675139e86bd0850ec8abe47_axe_535a5ec3_20140422_145255_after_4.py
923c7322f218dc97cd23638cc8723bf272494f95,axe,2be70604,2014-04-23 00:47:31,+0000,__init__.py,MODIFY,1,1,PythonFiles\axe\2be70604\923c7322f218dc97cd23638cc8723bf272494f95\923c7322f218dc97cd23638cc8723bf272494f95_axe_2be70604_20140423_084731_before_1.py,PythonFiles\axe\2be70604\923c7322f218dc97cd23638cc8723bf272494f95\923c7322f218dc97cd23638cc8723bf272494f95_axe_2be70604_20140423_084731_after_1.py
923c7322f218dc97cd23638cc8723bf272494f95,axe,2be70604,2014-04-23 00:47:31,+0000,default_exts.py,MODIFY,2,1,PythonFiles\axe\2be70604\923c7322f218dc97cd23638cc8723bf272494f95\923c7322f218dc97cd23638cc8723bf272494f95_axe_2be70604_20140423_084731_before_2.py,PythonFiles\axe\2be70604\923c7322f218dc97cd23638cc8723bf272494f95\923c7322f218dc97cd23638cc8723bf272494f95_axe_2be70604_20140423_084731_after_2.py
f898de7b8b4e01edbd6241c8d23d2f6759409367,axe,2be70604,2014-04-23 00:47:40,+0000,default_ext.py,ADD,22,0,,PythonFiles\axe\2be70604\f898de7b8b4e01edbd6241c8d23d2f6759409367\f898de7b8b4e01edbd6241c8d23d2f6759409367_axe_2be70604_20140423_084740_after_1.py
f898de7b8b4e01edbd6241c8d23d2f6759409367,axe,2be70604,2014-04-23 00:47:40,+0000,test_default_ext.py,ADD,25,0,,PythonFiles\axe\2be70604\f898de7b8b4e01edbd6241c8d23d2f6759409367\f898de7b8b4e01edbd6241c8d23d2f6759409367_axe_2be70604_20140423_084740_after_2.py
7427ff42573bce27243f5bbdfbc785d7e70bb969,axe,2be70604,2014-04-23 00:50:23,+0000,__init__.py,MODIFY,6,0,PythonFiles\axe\2be70604\7427ff42573bce27243f5bbdfbc785d7e70bb969\7427ff42573bce27243f5bbdfbc785d7e70bb969_axe_2be70604_20140423_085023_before_1.py,PythonFiles\axe\2be70604\7427ff42573bce27243f5bbdfbc785d7e70bb969\7427ff42573bce27243f5bbdfbc785d7e70bb969_axe_2be70604_20140423_085023_after_1.py
7427ff42573bce27243f5bbdfbc785d7e70bb969,axe,2be70604,2014-04-23 00:50:23,+0000,test_basic.py,MODIFY,8,16,PythonFiles\axe\2be70604\7427ff42573bce27243f5bbdfbc785d7e70bb969\7427ff42573bce27243f5bbdfbc785d7e70bb969_axe_2be70604_20140423_085023_before_2.py,PythonFiles\axe\2be70604\7427ff42573bce27243f5bbdfbc785d7e70bb969\7427ff42573bce27243f5bbdfbc785d7e70bb969_axe_2be70604_20140423_085023_after_2.py
7427ff42573bce27243f5bbdfbc785d7e70bb969,axe,2be70604,2014-04-23 00:50:23,+0000,test_default_ext.py,MODIFY,8,17,PythonFiles\axe\2be70604\7427ff42573bce27243f5bbdfbc785d7e70bb969\7427ff42573bce27243f5bbdfbc785d7e70bb969_axe_2be70604_20140423_085023_before_3.py,PythonFiles\axe\2be70604\7427ff42573bce27243f5bbdfbc785d7e70bb969\7427ff42573bce27243f5bbdfbc785d7e70bb969_axe_2be70604_20140423_085023_after_3.py
3de462a732e9d8a069324bf25a88bb3261d1ab34,axe,2be70604,2014-04-24 01:05:38,+0000,conf.py,ADD,248,0,,PythonFiles\axe\2be70604\3de462a732e9d8a069324bf25a88bb3261d1ab34\3de462a732e9d8a069324bf25a88bb3261d1ab34_axe_2be70604_20140424_090538_after_2.py
d9be82c0f96ee3782b0f3083cf72d4024bc7dabb,axe,2be70604,2014-04-24 01:46:01,+0000,__init__.py,MODIFY,16,72,PythonFiles\axe\2be70604\d9be82c0f96ee3782b0f3083cf72d4024bc7dabb\d9be82c0f96ee3782b0f3083cf72d4024bc7dabb_axe_2be70604_20140424_094601_before_1.py,PythonFiles\axe\2be70604\d9be82c0f96ee3782b0f3083cf72d4024bc7dabb\d9be82c0f96ee3782b0f3083cf72d4024bc7dabb_axe_2be70604_20140424_094601_after_1.py
d9be82c0f96ee3782b0f3083cf72d4024bc7dabb,axe,2be70604,2014-04-24 01:46:01,+0000,app.py,ADD,79,0,,PythonFiles\axe\2be70604\d9be82c0f96ee3782b0f3083cf72d4024bc7dabb\d9be82c0f96ee3782b0f3083cf72d4024bc7dabb_axe_2be70604_20140424_094601_after_2.py
aa51c75856da875bc9c54ef30627bd84b551ff4b,axe,2be70604,2014-04-24 01:53:46,+0000,app.py,MODIFY,13,3,PythonFiles\axe\2be70604\aa51c75856da875bc9c54ef30627bd84b551ff4b\aa51c75856da875bc9c54ef30627bd84b551ff4b_axe_2be70604_20140424_095346_before_1.py,PythonFiles\axe\2be70604\aa51c75856da875bc9c54ef30627bd84b551ff4b\aa51c75856da875bc9c54ef30627bd84b551ff4b_axe_2be70604_20140424_095346_after_1.py
aa51c75856da875bc9c54ef30627bd84b551ff4b,axe,2be70604,2014-04-24 01:53:46,+0000,errors.py,MODIFY,3,0,PythonFiles\axe\2be70604\aa51c75856da875bc9c54ef30627bd84b551ff4b\aa51c75856da875bc9c54ef30627bd84b551ff4b_axe_2be70604_20140424_095346_before_2.py,PythonFiles\axe\2be70604\aa51c75856da875bc9c54ef30627bd84b551ff4b\aa51c75856da875bc9c54ef30627bd84b551ff4b_axe_2be70604_20140424_095346_after_2.py
aa51c75856da875bc9c54ef30627bd84b551ff4b,axe,2be70604,2014-04-24 01:53:46,+0000,test_axe.py,MODIFY,4,0,PythonFiles\axe\2be70604\aa51c75856da875bc9c54ef30627bd84b551ff4b\aa51c75856da875bc9c54ef30627bd84b551ff4b_axe_2be70604_20140424_095346_before_3.py,PythonFiles\axe\2be70604\aa51c75856da875bc9c54ef30627bd84b551ff4b\aa51c75856da875bc9c54ef30627bd84b551ff4b_axe_2be70604_20140424_095346_after_3.py
