CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
1b9ba0461f75d88602a51cb345fe43f9358b61c0,baratron,5555331e,2015-06-23 14:59:57,+0000,__init__.py,ADD,172,0,,PythonFiles\baratron\5555331e\1b9ba0461f75d88602a51cb345fe43f9358b61c0\1b9ba0461f75d88602a51cb345fe43f9358b61c0_baratron_5555331e_20150623_095957_after_4.py
1b9ba0461f75d88602a51cb345fe43f9358b61c0,baratron,5555331e,2015-06-23 14:59:57,+0000,setup.py,ADD,25,0,,PythonFiles\baratron\5555331e\1b9ba0461f75d88602a51cb345fe43f9358b61c0\1b9ba0461f75d88602a51cb345fe43f9358b61c0_baratron_5555331e_20150623_095957_after_6.py
4a5bfeaed108c4240c3498708741898c73318dee,baratron,5555331e,2015-06-26 19:54:09,+0000,__init__.py,MODIFY,5,4,PythonFiles\baratron\5555331e\4a5bfeaed108c4240c3498708741898c73318dee\4a5bfeaed108c4240c3498708741898c73318dee_baratron_5555331e_20150626_145409_before_1.py,PythonFiles\baratron\5555331e\4a5bfeaed108c4240c3498708741898c73318dee\4a5bfeaed108c4240c3498708741898c73318dee_baratron_5555331e_20150626_145409_after_1.py
dc5fdd9ef803c53ad1a69146df91762d9b2bd3b9,baratron,5555331e,2015-06-26 20:35:24,+0000,__init__.py,MODIFY,13,3,PythonFiles\baratron\5555331e\dc5fdd9ef803c53ad1a69146df91762d9b2bd3b9\dc5fdd9ef803c53ad1a69146df91762d9b2bd3b9_baratron_5555331e_20150626_153524_before_2.py,PythonFiles\baratron\5555331e\dc5fdd9ef803c53ad1a69146df91762d9b2bd3b9\dc5fdd9ef803c53ad1a69146df91762d9b2bd3b9_baratron_5555331e_20150626_153524_after_2.py
dc5fdd9ef803c53ad1a69146df91762d9b2bd3b9,baratron,5555331e,2015-06-26 20:35:24,+0000,setup.py,MODIFY,1,1,PythonFiles\baratron\5555331e\dc5fdd9ef803c53ad1a69146df91762d9b2bd3b9\dc5fdd9ef803c53ad1a69146df91762d9b2bd3b9_baratron_5555331e_20150626_153524_before_3.py,PythonFiles\baratron\5555331e\dc5fdd9ef803c53ad1a69146df91762d9b2bd3b9\dc5fdd9ef803c53ad1a69146df91762d9b2bd3b9_baratron_5555331e_20150626_153524_after_3.py
4e735c01dca3a22e0aef47a8e5200db407088070,baratron,5555331e,2015-08-25 15:21:41,+0000,__init__.py,MODIFY,1,1,PythonFiles\baratron\5555331e\4e735c01dca3a22e0aef47a8e5200db407088070\4e735c01dca3a22e0aef47a8e5200db407088070_baratron_5555331e_20150825_102141_before_1.py,PythonFiles\baratron\5555331e\4e735c01dca3a22e0aef47a8e5200db407088070\4e735c01dca3a22e0aef47a8e5200db407088070_baratron_5555331e_20150825_102141_after_1.py
ec7531d854d4f3577ec61e618abe24bde09db935,baratron,5555331e,2015-08-25 15:21:51,+0000,__init__.py,MODIFY,4,4,PythonFiles\baratron\5555331e\ec7531d854d4f3577ec61e618abe24bde09db935\ec7531d854d4f3577ec61e618abe24bde09db935_baratron_5555331e_20150825_102151_before_1.py,PythonFiles\baratron\5555331e\ec7531d854d4f3577ec61e618abe24bde09db935\ec7531d854d4f3577ec61e618abe24bde09db935_baratron_5555331e_20150825_102151_after_1.py
03f957ced51f81f804d5c824e68bc5a61f4677fc,baratron,5555331e,2015-08-25 15:22:51,+0000,setup.py,MODIFY,1,1,PythonFiles\baratron\5555331e\03f957ced51f81f804d5c824e68bc5a61f4677fc\03f957ced51f81f804d5c824e68bc5a61f4677fc_baratron_5555331e_20150825_102251_before_1.py,PythonFiles\baratron\5555331e\03f957ced51f81f804d5c824e68bc5a61f4677fc\03f957ced51f81f804d5c824e68bc5a61f4677fc_baratron_5555331e_20150825_102251_after_1.py
c1ad3ea8cae30498d28b27dc025fd458daae5dbc,baratron,5555331e,2019-09-03 14:40:34,+0000,__init__.py,MODIFY,17,159,PythonFiles\baratron\5555331e\c1ad3ea8cae30498d28b27dc025fd458daae5dbc\c1ad3ea8cae30498d28b27dc025fd458daae5dbc_baratron_5555331e_20190903_094034_before_3.py,PythonFiles\baratron\5555331e\c1ad3ea8cae30498d28b27dc025fd458daae5dbc\c1ad3ea8cae30498d28b27dc025fd458daae5dbc_baratron_5555331e_20190903_094034_after_3.py
c1ad3ea8cae30498d28b27dc025fd458daae5dbc,baratron,5555331e,2019-09-03 14:40:34,+0000,driver.py,ADD,160,0,,PythonFiles\baratron\5555331e\c1ad3ea8cae30498d28b27dc025fd458daae5dbc\c1ad3ea8cae30498d28b27dc025fd458daae5dbc_baratron_5555331e_20190903_094034_after_4.py
