CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
9b3d69aac9259c17b56c055cb23143037c9a0a42,bayesian_sgm,ff27f8ac,2016-06-14 00:42:07,+0000,bayesian.py,ADD,91,0,,PythonFiles\bayesian_sgm\ff27f8ac\9b3d69aac9259c17b56c055cb23143037c9a0a42\9b3d69aac9259c17b56c055cb23143037c9a0a42_bayesian_sgm_ff27f8ac_20160613_214207_after_1.py
9b3d69aac9259c17b56c055cb23143037c9a0a42,bayesian_sgm,ff27f8ac,2016-06-14 00:42:07,+0000,normalize.py,ADD,24,0,,PythonFiles\bayesian_sgm\ff27f8ac\9b3d69aac9259c17b56c055cb23143037c9a0a42\9b3d69aac9259c17b56c055cb23143037c9a0a42_bayesian_sgm_ff27f8ac_20160613_214207_after_2.py
9b3d69aac9259c17b56c055cb23143037c9a0a42,bayesian_sgm,ff27f8ac,2016-06-14 00:42:07,+0000,tester.py,ADD,20,0,,PythonFiles\bayesian_sgm\ff27f8ac\9b3d69aac9259c17b56c055cb23143037c9a0a42\9b3d69aac9259c17b56c055cb23143037c9a0a42_bayesian_sgm_ff27f8ac_20160613_214207_after_3.py
ad22332350ca4545b49119af40382809ab6819f2,bayesian_sgm,ff27f8ac,2018-09-29 16:37:42,+0000,script.py,RENAME,1,1,PythonFiles\bayesian_sgm\ff27f8ac\ad22332350ca4545b49119af40382809ab6819f2\ad22332350ca4545b49119af40382809ab6819f2_bayesian_sgm_ff27f8ac_20180929_133742_before_13.py,PythonFiles\bayesian_sgm\ff27f8ac\ad22332350ca4545b49119af40382809ab6819f2\ad22332350ca4545b49119af40382809ab6819f2_bayesian_sgm_ff27f8ac_20180929_133742_after_13.py
ad22332350ca4545b49119af40382809ab6819f2,bayesian_sgm,ff27f8ac,2018-09-29 16:37:42,+0000,bayesian.py,RENAME,2,2,PythonFiles\bayesian_sgm\ff27f8ac\ad22332350ca4545b49119af40382809ab6819f2\ad22332350ca4545b49119af40382809ab6819f2_bayesian_sgm_ff27f8ac_20180929_133742_before_14.py,PythonFiles\bayesian_sgm\ff27f8ac\ad22332350ca4545b49119af40382809ab6819f2\ad22332350ca4545b49119af40382809ab6819f2_bayesian_sgm_ff27f8ac_20180929_133742_after_14.py
ad22332350ca4545b49119af40382809ab6819f2,bayesian_sgm,ff27f8ac,2018-09-29 16:37:42,+0000,normalize.py,RENAME,0,0,,
e9ad2e1dfee8dd5c651e3c01cdd21e0dffe3bd29,bayesian_sgm,ff27f8ac,2018-09-29 18:22:15,+0000,exempo.py,RENAME,0,0,,
299e3f45c1d4254b46d767ac8bfd482ce86ef38a,bayesian_sgm,ff27f8ac,2018-09-29 22:53:11,+0000,script.py,ADD,16,0,,PythonFiles\bayesian_sgm\ff27f8ac\299e3f45c1d4254b46d767ac8bfd482ce86ef38a\299e3f45c1d4254b46d767ac8bfd482ce86ef38a_bayesian_sgm_ff27f8ac_20180929_195311_after_11.py
7f3cc27a50b6ea49a7047aef44b86b055b6da332,bayesian_sgm,ff27f8ac,2018-09-29 22:53:33,+0000,bayesian.py,DELETE,0,91,PythonFiles\bayesian_sgm\ff27f8ac\7f3cc27a50b6ea49a7047aef44b86b055b6da332\7f3cc27a50b6ea49a7047aef44b86b055b6da332_bayesian_sgm_ff27f8ac_20180929_195333_before_3.py,
7f3cc27a50b6ea49a7047aef44b86b055b6da332,bayesian_sgm,ff27f8ac,2018-09-29 22:53:33,+0000,exempo.py,DELETE,0,20,PythonFiles\bayesian_sgm\ff27f8ac\7f3cc27a50b6ea49a7047aef44b86b055b6da332\7f3cc27a50b6ea49a7047aef44b86b055b6da332_bayesian_sgm_ff27f8ac_20180929_195333_before_16.py,
