CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
e4c34ad005126b8661b7f360c6ade131ae7f691d,blocksmith,6e57c50d,2018-06-15 18:42:52,+0000,__init__.py,ADD,1,0,,PythonFiles\blocksmith\6e57c50d\e4c34ad005126b8661b7f360c6ade131ae7f691d\e4c34ad005126b8661b7f360c6ade131ae7f691d_blocksmith_6e57c50d_20180615_214252_after_1.py
e4c34ad005126b8661b7f360c6ade131ae7f691d,blocksmith,6e57c50d,2018-06-15 18:42:52,+0000,generator.py,ADD,56,0,,PythonFiles\blocksmith\6e57c50d\e4c34ad005126b8661b7f360c6ade131ae7f691d\e4c34ad005126b8661b7f360c6ade131ae7f691d_blocksmith_6e57c50d_20180615_214252_after_2.py
3dace378970acabcd6022b23384966a3c78f2502,blocksmith,6e57c50d,2018-06-15 18:45:23,+0000,setup.py,ADD,13,0,,PythonFiles\blocksmith\6e57c50d\3dace378970acabcd6022b23384966a3c78f2502\3dace378970acabcd6022b23384966a3c78f2502_blocksmith_6e57c50d_20180615_214523_after_2.py
c8c41c4a74807db114396c58d73af5808e25e6bd,blocksmith,6e57c50d,2018-06-15 18:59:49,+0000,setup.py,MODIFY,1,1,PythonFiles\blocksmith\6e57c50d\c8c41c4a74807db114396c58d73af5808e25e6bd\c8c41c4a74807db114396c58d73af5808e25e6bd_blocksmith_6e57c50d_20180615_215949_before_1.py,PythonFiles\blocksmith\6e57c50d\c8c41c4a74807db114396c58d73af5808e25e6bd\c8c41c4a74807db114396c58d73af5808e25e6bd_blocksmith_6e57c50d_20180615_215949_after_1.py
6dadfb0d4ae61cbe4bb8418dc60cc9dce9830905,blocksmith,6e57c50d,2018-07-04 16:38:22,+0000,__init__.py,MODIFY,1,0,PythonFiles\blocksmith\6e57c50d\6dadfb0d4ae61cbe4bb8418dc60cc9dce9830905\6dadfb0d4ae61cbe4bb8418dc60cc9dce9830905_blocksmith_6e57c50d_20180704_193822_before_1.py,PythonFiles\blocksmith\6e57c50d\6dadfb0d4ae61cbe4bb8418dc60cc9dce9830905\6dadfb0d4ae61cbe4bb8418dc60cc9dce9830905_blocksmith_6e57c50d_20180704_193822_after_1.py
6dadfb0d4ae61cbe4bb8418dc60cc9dce9830905,blocksmith,6e57c50d,2018-07-04 16:38:22,+0000,bitcoin.py,ADD,91,0,,PythonFiles\blocksmith\6e57c50d\6dadfb0d4ae61cbe4bb8418dc60cc9dce9830905\6dadfb0d4ae61cbe4bb8418dc60cc9dce9830905_blocksmith_6e57c50d_20180704_193822_after_2.py
6dadfb0d4ae61cbe4bb8418dc60cc9dce9830905,blocksmith,6e57c50d,2018-07-04 16:38:22,+0000,setup.py,MODIFY,1,1,PythonFiles\blocksmith\6e57c50d\6dadfb0d4ae61cbe4bb8418dc60cc9dce9830905\6dadfb0d4ae61cbe4bb8418dc60cc9dce9830905_blocksmith_6e57c50d_20180704_193822_before_3.py,PythonFiles\blocksmith\6e57c50d\6dadfb0d4ae61cbe4bb8418dc60cc9dce9830905\6dadfb0d4ae61cbe4bb8418dc60cc9dce9830905_blocksmith_6e57c50d_20180704_193822_after_3.py
8d9430860756dae5b2f2c30cdef330844d8e52ca,blocksmith,6e57c50d,2018-07-06 18:11:06,+0000,generator.py,MODIFY,2,0,PythonFiles\blocksmith\6e57c50d\8d9430860756dae5b2f2c30cdef330844d8e52ca\8d9430860756dae5b2f2c30cdef330844d8e52ca_blocksmith_6e57c50d_20180706_211106_before_1.py,PythonFiles\blocksmith\6e57c50d\8d9430860756dae5b2f2c30cdef330844d8e52ca\8d9430860756dae5b2f2c30cdef330844d8e52ca_blocksmith_6e57c50d_20180706_211106_after_1.py
9e82e6574830c026ea730f2925bfc995a592d45e,blocksmith,6e57c50d,2018-07-06 18:12:47,+0000,setup.py,MODIFY,2,2,PythonFiles\blocksmith\6e57c50d\9e82e6574830c026ea730f2925bfc995a592d45e\9e82e6574830c026ea730f2925bfc995a592d45e_blocksmith_6e57c50d_20180706_211247_before_1.py,PythonFiles\blocksmith\6e57c50d\9e82e6574830c026ea730f2925bfc995a592d45e\9e82e6574830c026ea730f2925bfc995a592d45e_blocksmith_6e57c50d_20180706_211247_after_1.py
7adf6379ad744e504c5a0e8b30e6067231c4f6fb,blocksmith,6e57c50d,2018-07-06 18:37:35,+0000,setup.py,MODIFY,3,2,PythonFiles\blocksmith\6e57c50d\7adf6379ad744e504c5a0e8b30e6067231c4f6fb\7adf6379ad744e504c5a0e8b30e6067231c4f6fb_blocksmith_6e57c50d_20180706_213735_before_1.py,PythonFiles\blocksmith\6e57c50d\7adf6379ad744e504c5a0e8b30e6067231c4f6fb\7adf6379ad744e504c5a0e8b30e6067231c4f6fb_blocksmith_6e57c50d_20180706_213735_after_1.py
1816bcea7448c15b72f198003901db5340628f4f,blocksmith,6e57c50d,2018-07-06 19:01:13,+0000,setup.py,MODIFY,13,3,PythonFiles\blocksmith\6e57c50d\1816bcea7448c15b72f198003901db5340628f4f\1816bcea7448c15b72f198003901db5340628f4f_blocksmith_6e57c50d_20180706_220113_before_1.py,PythonFiles\blocksmith\6e57c50d\1816bcea7448c15b72f198003901db5340628f4f\1816bcea7448c15b72f198003901db5340628f4f_blocksmith_6e57c50d_20180706_220113_after_1.py
81d0665155409fec32dc7c17e044c32f3955df36,blocksmith,6e57c50d,2018-07-24 15:39:04,+0000,bitcoin.py,MODIFY,1,1,PythonFiles\blocksmith\6e57c50d\81d0665155409fec32dc7c17e044c32f3955df36\81d0665155409fec32dc7c17e044c32f3955df36_blocksmith_6e57c50d_20180724_183904_before_1.py,PythonFiles\blocksmith\6e57c50d\81d0665155409fec32dc7c17e044c32f3955df36\81d0665155409fec32dc7c17e044c32f3955df36_blocksmith_6e57c50d_20180724_183904_after_1.py
81d0665155409fec32dc7c17e044c32f3955df36,blocksmith,6e57c50d,2018-07-24 15:39:04,+0000,generator.py,MODIFY,1,1,PythonFiles\blocksmith\6e57c50d\81d0665155409fec32dc7c17e044c32f3955df36\81d0665155409fec32dc7c17e044c32f3955df36_blocksmith_6e57c50d_20180724_183904_before_2.py,PythonFiles\blocksmith\6e57c50d\81d0665155409fec32dc7c17e044c32f3955df36\81d0665155409fec32dc7c17e044c32f3955df36_blocksmith_6e57c50d_20180724_183904_after_2.py
0e6768c79258fad4667ba0218555d26a0c7386d7,blocksmith,6e57c50d,2018-07-24 15:40:18,+0000,__init__.py,MODIFY,1,0,PythonFiles\blocksmith\6e57c50d\0e6768c79258fad4667ba0218555d26a0c7386d7\0e6768c79258fad4667ba0218555d26a0c7386d7_blocksmith_6e57c50d_20180724_184018_before_1.py,PythonFiles\blocksmith\6e57c50d\0e6768c79258fad4667ba0218555d26a0c7386d7\0e6768c79258fad4667ba0218555d26a0c7386d7_blocksmith_6e57c50d_20180724_184018_after_1.py
0e6768c79258fad4667ba0218555d26a0c7386d7,blocksmith,6e57c50d,2018-07-24 15:40:18,+0000,ethereum.py,ADD,48,0,,PythonFiles\blocksmith\6e57c50d\0e6768c79258fad4667ba0218555d26a0c7386d7\0e6768c79258fad4667ba0218555d26a0c7386d7_blocksmith_6e57c50d_20180724_184018_after_2.py
12a6eb26998b9db24d656a8198b6f53248663ca4,blocksmith,6e57c50d,2018-07-24 15:47:49,+0000,setup.py,MODIFY,2,2,PythonFiles\blocksmith\6e57c50d\12a6eb26998b9db24d656a8198b6f53248663ca4\12a6eb26998b9db24d656a8198b6f53248663ca4_blocksmith_6e57c50d_20180724_184749_before_1.py,PythonFiles\blocksmith\6e57c50d\12a6eb26998b9db24d656a8198b6f53248663ca4\12a6eb26998b9db24d656a8198b6f53248663ca4_blocksmith_6e57c50d_20180724_184749_after_1.py
9909f7f0baa00098453270392b087fae64d1fa4d,blocksmith,6e57c50d,2018-08-19 11:20:03,+0000,setup.py,MODIFY,2,2,PythonFiles\blocksmith\6e57c50d\9909f7f0baa00098453270392b087fae64d1fa4d\9909f7f0baa00098453270392b087fae64d1fa4d_blocksmith_6e57c50d_20180819_142003_before_1.py,PythonFiles\blocksmith\6e57c50d\9909f7f0baa00098453270392b087fae64d1fa4d\9909f7f0baa00098453270392b087fae64d1fa4d_blocksmith_6e57c50d_20180819_142003_after_1.py
