CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
b4a4a0672a8cd3c5032af3927ca339b9286da4c5,budiluhur-jadwal,ea0d417a,2015-10-16 03:23:37,+0000,__init__.py,ADD,6,0,,PythonFiles\budiluhur-jadwal\ea0d417a\b4a4a0672a8cd3c5032af3927ca339b9286da4c5\b4a4a0672a8cd3c5032af3927ca339b9286da4c5_budiluhur-jadwal_ea0d417a_20151016_102337_after_2.py
b4a4a0672a8cd3c5032af3927ca339b9286da4c5,budiluhur-jadwal,ea0d417a,2015-10-16 03:23:37,+0000,__init__.py,ADD,0,0,,
b4a4a0672a8cd3c5032af3927ca339b9286da4c5,budiluhur-jadwal,ea0d417a,2015-10-16 03:23:37,+0000,fakultas.py,ADD,169,0,,PythonFiles\budiluhur-jadwal\ea0d417a\b4a4a0672a8cd3c5032af3927ca339b9286da4c5\b4a4a0672a8cd3c5032af3927ca339b9286da4c5_budiluhur-jadwal_ea0d417a_20151016_102337_after_4.py
b4a4a0672a8cd3c5032af3927ca339b9286da4c5,budiluhur-jadwal,ea0d417a,2015-10-16 03:23:37,+0000,testing.py,ADD,19,0,,PythonFiles\budiluhur-jadwal\ea0d417a\b4a4a0672a8cd3c5032af3927ca339b9286da4c5\b4a4a0672a8cd3c5032af3927ca339b9286da4c5_budiluhur-jadwal_ea0d417a_20151016_102337_after_6.py
34719b409f7a133ca6a7d40009f7a18e254936f1,budiluhur-jadwal,ea0d417a,2015-10-16 04:03:59,+0000,fakultas.py,MODIFY,3,0,PythonFiles\budiluhur-jadwal\ea0d417a\34719b409f7a133ca6a7d40009f7a18e254936f1\34719b409f7a133ca6a7d40009f7a18e254936f1_budiluhur-jadwal_ea0d417a_20151016_110359_before_2.py,PythonFiles\budiluhur-jadwal\ea0d417a\34719b409f7a133ca6a7d40009f7a18e254936f1\34719b409f7a133ca6a7d40009f7a18e254936f1_budiluhur-jadwal_ea0d417a_20151016_110359_after_2.py
34719b409f7a133ca6a7d40009f7a18e254936f1,budiluhur-jadwal,ea0d417a,2015-10-16 04:03:59,+0000,testing.py,MODIFY,7,18,PythonFiles\budiluhur-jadwal\ea0d417a\34719b409f7a133ca6a7d40009f7a18e254936f1\34719b409f7a133ca6a7d40009f7a18e254936f1_budiluhur-jadwal_ea0d417a_20151016_110359_before_3.py,PythonFiles\budiluhur-jadwal\ea0d417a\34719b409f7a133ca6a7d40009f7a18e254936f1\34719b409f7a133ca6a7d40009f7a18e254936f1_budiluhur-jadwal_ea0d417a_20151016_110359_after_3.py
0ba0d7c5beb8ff6f2f1726027177ec06380a9ee4,budiluhur-jadwal,ea0d417a,2015-10-16 13:23:57,+0000,fakultas.py,MODIFY,23,10,PythonFiles\budiluhur-jadwal\ea0d417a\0ba0d7c5beb8ff6f2f1726027177ec06380a9ee4\0ba0d7c5beb8ff6f2f1726027177ec06380a9ee4_budiluhur-jadwal_ea0d417a_20151016_202357_before_2.py,PythonFiles\budiluhur-jadwal\ea0d417a\0ba0d7c5beb8ff6f2f1726027177ec06380a9ee4\0ba0d7c5beb8ff6f2f1726027177ec06380a9ee4_budiluhur-jadwal_ea0d417a_20151016_202357_after_2.py
0ba0d7c5beb8ff6f2f1726027177ec06380a9ee4,budiluhur-jadwal,ea0d417a,2015-10-16 13:23:57,+0000,testing.py,MODIFY,4,4,PythonFiles\budiluhur-jadwal\ea0d417a\0ba0d7c5beb8ff6f2f1726027177ec06380a9ee4\0ba0d7c5beb8ff6f2f1726027177ec06380a9ee4_budiluhur-jadwal_ea0d417a_20151016_202357_before_4.py,PythonFiles\budiluhur-jadwal\ea0d417a\0ba0d7c5beb8ff6f2f1726027177ec06380a9ee4\0ba0d7c5beb8ff6f2f1726027177ec06380a9ee4_budiluhur-jadwal_ea0d417a_20151016_202357_after_4.py
ae396019f8257f689873979d565366cc3b14fcf7,budiluhur-jadwal,ea0d417a,2015-10-16 13:51:21,+0000,setup.py,ADD,34,0,,PythonFiles\budiluhur-jadwal\ea0d417a\ae396019f8257f689873979d565366cc3b14fcf7\ae396019f8257f689873979d565366cc3b14fcf7_budiluhur-jadwal_ea0d417a_20151016_205121_after_8.py
170c2c29ad45029c42006fb30996e25bd62a7908,budiluhur-jadwal,ea0d417a,2015-10-17 04:14:40,+0000,setup.py,MODIFY,0,2,PythonFiles\budiluhur-jadwal\ea0d417a\170c2c29ad45029c42006fb30996e25bd62a7908\170c2c29ad45029c42006fb30996e25bd62a7908_budiluhur-jadwal_ea0d417a_20151017_111440_before_2.py,PythonFiles\budiluhur-jadwal\ea0d417a\170c2c29ad45029c42006fb30996e25bd62a7908\170c2c29ad45029c42006fb30996e25bd62a7908_budiluhur-jadwal_ea0d417a_20151017_111440_after_2.py
