CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
aec1fadde90aabed95c6e26c433b0c6944eb5d96,cfn-response,82c38977,2015-11-12 09:54:31,+0000,cfnresponse.py,ADD,35,0,,PythonFiles\cfn-response\82c38977\aec1fadde90aabed95c6e26c433b0c6944eb5d96\aec1fadde90aabed95c6e26c433b0c6944eb5d96_cfn-response_82c38977_20151112_095431_after_4.py
aec1fadde90aabed95c6e26c433b0c6944eb5d96,cfn-response,82c38977,2015-11-12 09:54:31,+0000,setup.py,ADD,39,0,,PythonFiles\cfn-response\82c38977\aec1fadde90aabed95c6e26c433b0c6944eb5d96\aec1fadde90aabed95c6e26c433b0c6944eb5d96_cfn-response_82c38977_20151112_095431_after_5.py
aec1fadde90aabed95c6e26c433b0c6944eb5d96,cfn-response,82c38977,2015-11-12 09:54:31,+0000,tests.py,ADD,51,0,,PythonFiles\cfn-response\82c38977\aec1fadde90aabed95c6e26c433b0c6944eb5d96\aec1fadde90aabed95c6e26c433b0c6944eb5d96_cfn-response_82c38977_20151112_095431_after_6.py
fff2ecfd114eaa5374c477b3ffc0e77e889572f1,cfn-response,82c38977,2015-11-12 10:05:25,+0000,setup.py,MODIFY,4,4,PythonFiles\cfn-response\82c38977\fff2ecfd114eaa5374c477b3ffc0e77e889572f1\fff2ecfd114eaa5374c477b3ffc0e77e889572f1_cfn-response_82c38977_20151112_100525_before_3.py,PythonFiles\cfn-response\82c38977\fff2ecfd114eaa5374c477b3ffc0e77e889572f1\fff2ecfd114eaa5374c477b3ffc0e77e889572f1_cfn-response_82c38977_20151112_100525_after_3.py
c5bf82809f8c4f589bd611258771a3d93b15afb3,cfn-response,82c38977,2015-11-12 10:08:49,+0000,tests.py,MODIFY,1,1,PythonFiles\cfn-response\82c38977\c5bf82809f8c4f589bd611258771a3d93b15afb3\c5bf82809f8c4f589bd611258771a3d93b15afb3_cfn-response_82c38977_20151112_100849_before_1.py,PythonFiles\cfn-response\82c38977\c5bf82809f8c4f589bd611258771a3d93b15afb3\c5bf82809f8c4f589bd611258771a3d93b15afb3_cfn-response_82c38977_20151112_100849_after_1.py
0013e4990329921e195bcc3c8da179f426837f60,cfn-response,82c38977,2015-11-14 13:46:29,+0000,cfnresponse.py,MODIFY,1,1,PythonFiles\cfn-response\82c38977\0013e4990329921e195bcc3c8da179f426837f60\0013e4990329921e195bcc3c8da179f426837f60_cfn-response_82c38977_20151114_134629_before_1.py,PythonFiles\cfn-response\82c38977\0013e4990329921e195bcc3c8da179f426837f60\0013e4990329921e195bcc3c8da179f426837f60_cfn-response_82c38977_20151114_134629_after_1.py
30a605d9bb3b2dca631d2500dc385c054edfdb70,cfn-response,82c38977,2015-11-21 12:20:57,+0000,cfnresponse.py,MODIFY,2,2,PythonFiles\cfn-response\82c38977\30a605d9bb3b2dca631d2500dc385c054edfdb70\30a605d9bb3b2dca631d2500dc385c054edfdb70_cfn-response_82c38977_20151121_122057_before_1.py,PythonFiles\cfn-response\82c38977\30a605d9bb3b2dca631d2500dc385c054edfdb70\30a605d9bb3b2dca631d2500dc385c054edfdb70_cfn-response_82c38977_20151121_122057_after_1.py
30a605d9bb3b2dca631d2500dc385c054edfdb70,cfn-response,82c38977,2015-11-21 12:20:57,+0000,setup.py,MODIFY,1,1,PythonFiles\cfn-response\82c38977\30a605d9bb3b2dca631d2500dc385c054edfdb70\30a605d9bb3b2dca631d2500dc385c054edfdb70_cfn-response_82c38977_20151121_122057_before_2.py,PythonFiles\cfn-response\82c38977\30a605d9bb3b2dca631d2500dc385c054edfdb70\30a605d9bb3b2dca631d2500dc385c054edfdb70_cfn-response_82c38977_20151121_122057_after_2.py
947c020a19950d9137c7803a29d05542865e705b,cfn-response,82c38977,2016-05-25 21:14:36,+0000,cfnresponse.py,MODIFY,9,4,PythonFiles\cfn-response\82c38977\947c020a19950d9137c7803a29d05542865e705b\947c020a19950d9137c7803a29d05542865e705b_cfn-response_82c38977_20160525_221436_before_3.py,PythonFiles\cfn-response\82c38977\947c020a19950d9137c7803a29d05542865e705b\947c020a19950d9137c7803a29d05542865e705b_cfn-response_82c38977_20160525_221436_after_3.py
947c020a19950d9137c7803a29d05542865e705b,cfn-response,82c38977,2016-05-25 21:14:36,+0000,setup.py,MODIFY,3,11,PythonFiles\cfn-response\82c38977\947c020a19950d9137c7803a29d05542865e705b\947c020a19950d9137c7803a29d05542865e705b_cfn-response_82c38977_20160525_221436_before_4.py,PythonFiles\cfn-response\82c38977\947c020a19950d9137c7803a29d05542865e705b\947c020a19950d9137c7803a29d05542865e705b_cfn-response_82c38977_20160525_221436_after_4.py
947c020a19950d9137c7803a29d05542865e705b,cfn-response,82c38977,2016-05-25 21:14:36,+0000,tests.py,MODIFY,16,4,PythonFiles\cfn-response\82c38977\947c020a19950d9137c7803a29d05542865e705b\947c020a19950d9137c7803a29d05542865e705b_cfn-response_82c38977_20160525_221436_before_5.py,PythonFiles\cfn-response\82c38977\947c020a19950d9137c7803a29d05542865e705b\947c020a19950d9137c7803a29d05542865e705b_cfn-response_82c38977_20160525_221436_after_5.py
