CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
646748f8bdbcbca62aec3956e5f8be506fd0f310,concurrent-log-handler,537597d1,2016-12-15 17:35:25,+0000,ez_setup.py,ADD,258,0,,PythonFiles\concurrent-log-handler\537597d1\646748f8bdbcbca62aec3956e5f8be506fd0f310\646748f8bdbcbca62aec3956e5f8be506fd0f310_concurrent-log-handler_537597d1_20161215_113525_after_6.py
646748f8bdbcbca62aec3956e5f8be506fd0f310,concurrent-log-handler,537597d1,2016-12-15 17:35:25,+0000,setup.py,ADD,282,0,,PythonFiles\concurrent-log-handler\537597d1\646748f8bdbcbca62aec3956e5f8be506fd0f310\646748f8bdbcbca62aec3956e5f8be506fd0f310_concurrent-log-handler_537597d1_20161215_113525_after_9.py
646748f8bdbcbca62aec3956e5f8be506fd0f310,concurrent-log-handler,537597d1,2016-12-15 17:35:25,+0000,cloghandler.py,ADD,349,0,,PythonFiles\concurrent-log-handler\537597d1\646748f8bdbcbca62aec3956e5f8be506fd0f310\646748f8bdbcbca62aec3956e5f8be506fd0f310_concurrent-log-handler_537597d1_20161215_113525_after_15.py
646748f8bdbcbca62aec3956e5f8be506fd0f310,concurrent-log-handler,537597d1,2016-12-15 17:35:25,+0000,portalocker.py,ADD,141,0,,PythonFiles\concurrent-log-handler\537597d1\646748f8bdbcbca62aec3956e5f8be506fd0f310\646748f8bdbcbca62aec3956e5f8be506fd0f310_concurrent-log-handler_537597d1_20161215_113525_after_16.py
646748f8bdbcbca62aec3956e5f8be506fd0f310,concurrent-log-handler,537597d1,2016-12-15 17:35:25,+0000,stresstest.py,ADD,287,0,,PythonFiles\concurrent-log-handler\537597d1\646748f8bdbcbca62aec3956e5f8be506fd0f310\646748f8bdbcbca62aec3956e5f8be506fd0f310_concurrent-log-handler_537597d1_20161215_113525_after_17.py
b443d86ea8bdd1d1d4700b5b823dc67d8a386d3c,concurrent-log-handler,537597d1,2016-12-15 17:47:06,+0000,setup.py,MODIFY,2,2,PythonFiles\concurrent-log-handler\537597d1\b443d86ea8bdd1d1d4700b5b823dc67d8a386d3c\b443d86ea8bdd1d1d4700b5b823dc67d8a386d3c_concurrent-log-handler_537597d1_20161215_114706_before_1.py,PythonFiles\concurrent-log-handler\537597d1\b443d86ea8bdd1d1d4700b5b823dc67d8a386d3c\b443d86ea8bdd1d1d4700b5b823dc67d8a386d3c_concurrent-log-handler_537597d1_20161215_114706_after_1.py
b443d86ea8bdd1d1d4700b5b823dc67d8a386d3c,concurrent-log-handler,537597d1,2016-12-15 17:47:06,+0000,cloghandler.py,MODIFY,66,48,PythonFiles\concurrent-log-handler\537597d1\b443d86ea8bdd1d1d4700b5b823dc67d8a386d3c\b443d86ea8bdd1d1d4700b5b823dc67d8a386d3c_concurrent-log-handler_537597d1_20161215_114706_before_2.py,PythonFiles\concurrent-log-handler\537597d1\b443d86ea8bdd1d1d4700b5b823dc67d8a386d3c\b443d86ea8bdd1d1d4700b5b823dc67d8a386d3c_concurrent-log-handler_537597d1_20161215_114706_after_2.py
b443d86ea8bdd1d1d4700b5b823dc67d8a386d3c,concurrent-log-handler,537597d1,2016-12-15 17:47:06,+0000,portalocker_clh.py,RENAME,19,16,PythonFiles\concurrent-log-handler\537597d1\b443d86ea8bdd1d1d4700b5b823dc67d8a386d3c\b443d86ea8bdd1d1d4700b5b823dc67d8a386d3c_concurrent-log-handler_537597d1_20161215_114706_before_3.py,PythonFiles\concurrent-log-handler\537597d1\b443d86ea8bdd1d1d4700b5b823dc67d8a386d3c\b443d86ea8bdd1d1d4700b5b823dc67d8a386d3c_concurrent-log-handler_537597d1_20161215_114706_after_3.py
b443d86ea8bdd1d1d4700b5b823dc67d8a386d3c,concurrent-log-handler,537597d1,2016-12-15 17:47:06,+0000,stresstest.py,MODIFY,51,49,PythonFiles\concurrent-log-handler\537597d1\b443d86ea8bdd1d1d4700b5b823dc67d8a386d3c\b443d86ea8bdd1d1d4700b5b823dc67d8a386d3c_concurrent-log-handler_537597d1_20161215_114706_before_4.py,PythonFiles\concurrent-log-handler\537597d1\b443d86ea8bdd1d1d4700b5b823dc67d8a386d3c\b443d86ea8bdd1d1d4700b5b823dc67d8a386d3c_concurrent-log-handler_537597d1_20161215_114706_after_4.py
c7c9ed8d1c52fc189befb33b52566b80aea53cf8,concurrent-log-handler,537597d1,2016-12-15 18:29:08,+0000,setup.py,MODIFY,3,0,PythonFiles\concurrent-log-handler\537597d1\c7c9ed8d1c52fc189befb33b52566b80aea53cf8\c7c9ed8d1c52fc189befb33b52566b80aea53cf8_concurrent-log-handler_537597d1_20161215_122908_before_3.py,PythonFiles\concurrent-log-handler\537597d1\c7c9ed8d1c52fc189befb33b52566b80aea53cf8\c7c9ed8d1c52fc189befb33b52566b80aea53cf8_concurrent-log-handler_537597d1_20161215_122908_after_3.py
