CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
0cbecfe6277224839ee5568c59449972761e4422,confiture,64d583d9,2016-01-05 15:01:38,+0000,confiture.py,ADD,61,0,,PythonFiles\confiture\64d583d9\0cbecfe6277224839ee5568c59449972761e4422\0cbecfe6277224839ee5568c59449972761e4422_confiture_64d583d9_20160105_160138_after_2.py
0cbecfe6277224839ee5568c59449972761e4422,confiture,64d583d9,2016-01-05 15:01:38,+0000,example.py,ADD,17,0,,PythonFiles\confiture\64d583d9\0cbecfe6277224839ee5568c59449972761e4422\0cbecfe6277224839ee5568c59449972761e4422_confiture_64d583d9_20160105_160138_after_3.py
bf99ed2d617783acbb6f63b1f76ce2a5a44576ec,confiture,64d583d9,2016-01-05 16:09:12,+0000,confiture.py,MODIFY,3,3,PythonFiles\confiture\64d583d9\bf99ed2d617783acbb6f63b1f76ce2a5a44576ec\bf99ed2d617783acbb6f63b1f76ce2a5a44576ec_confiture_64d583d9_20160105_170912_before_1.py,PythonFiles\confiture\64d583d9\bf99ed2d617783acbb6f63b1f76ce2a5a44576ec\bf99ed2d617783acbb6f63b1f76ce2a5a44576ec_confiture_64d583d9_20160105_170912_after_1.py
0c9f2b76ed982acec83691ef927083dfb0cce643,confiture,64d583d9,2016-01-06 08:58:12,+0000,__init__.py,ADD,62,0,,PythonFiles\confiture\64d583d9\0c9f2b76ed982acec83691ef927083dfb0cce643\0c9f2b76ed982acec83691ef927083dfb0cce643_confiture_64d583d9_20160106_095812_after_2.py
0c9f2b76ed982acec83691ef927083dfb0cce643,confiture,64d583d9,2016-01-06 08:58:12,+0000,setup.py,ADD,27,0,,PythonFiles\confiture\64d583d9\0c9f2b76ed982acec83691ef927083dfb0cce643\0c9f2b76ed982acec83691ef927083dfb0cce643_confiture_64d583d9_20160106_095812_after_4.py
be7e2c779f9a8a5db86c37fc4cca144d9059aa34,confiture,64d583d9,2016-01-06 09:10:40,+0000,confiture.py,DELETE,0,61,PythonFiles\confiture\64d583d9\be7e2c779f9a8a5db86c37fc4cca144d9059aa34\be7e2c779f9a8a5db86c37fc4cca144d9059aa34_confiture_64d583d9_20160106_101040_before_3.py,
be7e2c779f9a8a5db86c37fc4cca144d9059aa34,confiture,64d583d9,2016-01-06 09:10:40,+0000,example.py,MODIFY,7,7,PythonFiles\confiture\64d583d9\be7e2c779f9a8a5db86c37fc4cca144d9059aa34\be7e2c779f9a8a5db86c37fc4cca144d9059aa34_confiture_64d583d9_20160106_101040_before_4.py,PythonFiles\confiture\64d583d9\be7e2c779f9a8a5db86c37fc4cca144d9059aa34\be7e2c779f9a8a5db86c37fc4cca144d9059aa34_confiture_64d583d9_20160106_101040_after_4.py
be7e2c779f9a8a5db86c37fc4cca144d9059aa34,confiture,64d583d9,2016-01-06 09:10:40,+0000,setup.py,MODIFY,1,1,PythonFiles\confiture\64d583d9\be7e2c779f9a8a5db86c37fc4cca144d9059aa34\be7e2c779f9a8a5db86c37fc4cca144d9059aa34_confiture_64d583d9_20160106_101040_before_5.py,PythonFiles\confiture\64d583d9\be7e2c779f9a8a5db86c37fc4cca144d9059aa34\be7e2c779f9a8a5db86c37fc4cca144d9059aa34_confiture_64d583d9_20160106_101040_after_5.py
18f1bbb6301edd2311e6d121b8e9ddda8a9502f4,confiture,b2b23136,2016-01-06 09:16:27,+0000,__init__.py,MODIFY,2,2,PythonFiles\confiture\b2b23136\18f1bbb6301edd2311e6d121b8e9ddda8a9502f4\18f1bbb6301edd2311e6d121b8e9ddda8a9502f4_confiture_b2b23136_20160106_171627_before_1.py,PythonFiles\confiture\b2b23136\18f1bbb6301edd2311e6d121b8e9ddda8a9502f4\18f1bbb6301edd2311e6d121b8e9ddda8a9502f4_confiture_b2b23136_20160106_171627_after_1.py
86af3ac15151885e6e1ceb5a48729d6143e78c57,confiture,64d583d9,2016-01-06 09:30:54,+0000,__init__.py,MODIFY,8,6,PythonFiles\confiture\64d583d9\86af3ac15151885e6e1ceb5a48729d6143e78c57\86af3ac15151885e6e1ceb5a48729d6143e78c57_confiture_64d583d9_20160106_103054_before_1.py,PythonFiles\confiture\64d583d9\86af3ac15151885e6e1ceb5a48729d6143e78c57\86af3ac15151885e6e1ceb5a48729d6143e78c57_confiture_64d583d9_20160106_103054_after_1.py
1a7d02d58fcaa0318a5fa770d66187915ff90a7d,confiture,64d583d9,2016-01-06 09:32:01,+0000,setup.py,MODIFY,1,1,PythonFiles\confiture\64d583d9\1a7d02d58fcaa0318a5fa770d66187915ff90a7d\1a7d02d58fcaa0318a5fa770d66187915ff90a7d_confiture_64d583d9_20160106_103201_before_1.py,PythonFiles\confiture\64d583d9\1a7d02d58fcaa0318a5fa770d66187915ff90a7d\1a7d02d58fcaa0318a5fa770d66187915ff90a7d_confiture_64d583d9_20160106_103201_after_1.py
248118f757ae1dd2c36eef9389fc34240053d124,confiture,64d583d9,2016-01-06 10:09:53,+0000,__init__.py,MODIFY,0,1,PythonFiles\confiture\64d583d9\248118f757ae1dd2c36eef9389fc34240053d124\248118f757ae1dd2c36eef9389fc34240053d124_confiture_64d583d9_20160106_110953_before_1.py,PythonFiles\confiture\64d583d9\248118f757ae1dd2c36eef9389fc34240053d124\248118f757ae1dd2c36eef9389fc34240053d124_confiture_64d583d9_20160106_110953_after_1.py
4e330303dcd63dd0fbecc55756dcfa99bcde826f,confiture,4390e29d,2016-01-06 12:56:30,+0000,__init__.py,MODIFY,2,9,PythonFiles\confiture\4390e29d\4e330303dcd63dd0fbecc55756dcfa99bcde826f\4e330303dcd63dd0fbecc55756dcfa99bcde826f_confiture_4390e29d_20160106_135630_before_1.py,PythonFiles\confiture\4390e29d\4e330303dcd63dd0fbecc55756dcfa99bcde826f\4e330303dcd63dd0fbecc55756dcfa99bcde826f_confiture_4390e29d_20160106_135630_after_1.py
512edb845ea3b6ed816cc7add1261bfdfbdb5ac3,confiture,12e4b975,2016-01-11 21:05:26,+0000,setup.py,MODIFY,2,0,PythonFiles\confiture\12e4b975\512edb845ea3b6ed816cc7add1261bfdfbdb5ac3\512edb845ea3b6ed816cc7add1261bfdfbdb5ac3_confiture_12e4b975_20160111_220526_before_3.py,PythonFiles\confiture\12e4b975\512edb845ea3b6ed816cc7add1261bfdfbdb5ac3\512edb845ea3b6ed816cc7add1261bfdfbdb5ac3_confiture_12e4b975_20160111_220526_after_3.py
512edb845ea3b6ed816cc7add1261bfdfbdb5ac3,confiture,12e4b975,2016-01-11 21:05:26,+0000,test_fail.py,ADD,23,0,,PythonFiles\confiture\12e4b975\512edb845ea3b6ed816cc7add1261bfdfbdb5ac3\512edb845ea3b6ed816cc7add1261bfdfbdb5ac3_confiture_12e4b975_20160111_220526_after_11.py
512edb845ea3b6ed816cc7add1261bfdfbdb5ac3,confiture,12e4b975,2016-01-11 21:05:26,+0000,test_valid.py,ADD,15,0,,PythonFiles\confiture\12e4b975\512edb845ea3b6ed816cc7add1261bfdfbdb5ac3\512edb845ea3b6ed816cc7add1261bfdfbdb5ac3_confiture_12e4b975_20160111_220526_after_12.py
d40a9897a990446cb3c79b6a2295306dfb398209,confiture,64d583d9,2016-01-13 17:06:31,+0000,__init__.py,MODIFY,3,0,PythonFiles\confiture\64d583d9\d40a9897a990446cb3c79b6a2295306dfb398209\d40a9897a990446cb3c79b6a2295306dfb398209_confiture_64d583d9_20160113_180631_before_1.py,PythonFiles\confiture\64d583d9\d40a9897a990446cb3c79b6a2295306dfb398209\d40a9897a990446cb3c79b6a2295306dfb398209_confiture_64d583d9_20160113_180631_after_1.py
d40a9897a990446cb3c79b6a2295306dfb398209,confiture,64d583d9,2016-01-13 17:06:31,+0000,test_valid.py,MODIFY,6,0,PythonFiles\confiture\64d583d9\d40a9897a990446cb3c79b6a2295306dfb398209\d40a9897a990446cb3c79b6a2295306dfb398209_confiture_64d583d9_20160113_180631_before_4.py,PythonFiles\confiture\64d583d9\d40a9897a990446cb3c79b6a2295306dfb398209\d40a9897a990446cb3c79b6a2295306dfb398209_confiture_64d583d9_20160113_180631_after_4.py
fdd2b9bc0eb3c32a3c86ebd25290bcbedbfc0d29,confiture,12e4b975,2016-01-13 22:21:49,+0000,__init__.py,MODIFY,2,2,PythonFiles\confiture\12e4b975\fdd2b9bc0eb3c32a3c86ebd25290bcbedbfc0d29\fdd2b9bc0eb3c32a3c86ebd25290bcbedbfc0d29_confiture_12e4b975_20160113_232149_before_1.py,PythonFiles\confiture\12e4b975\fdd2b9bc0eb3c32a3c86ebd25290bcbedbfc0d29\fdd2b9bc0eb3c32a3c86ebd25290bcbedbfc0d29_confiture_12e4b975_20160113_232149_after_1.py
fdd2b9bc0eb3c32a3c86ebd25290bcbedbfc0d29,confiture,12e4b975,2016-01-13 22:21:49,+0000,test_security.py,ADD,9,0,,PythonFiles\confiture\12e4b975\fdd2b9bc0eb3c32a3c86ebd25290bcbedbfc0d29\fdd2b9bc0eb3c32a3c86ebd25290bcbedbfc0d29_confiture_12e4b975_20160113_232149_after_3.py
