CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
2a2ec394f89b58f912accdafc025e5ebdf49d8c0,cup,e66dbc82,2014-10-03 15:02:12,+0000,dispel.py,ADD,36,0,,PythonFiles\cup\e66dbc82\2a2ec394f89b58f912accdafc025e5ebdf49d8c0\2a2ec394f89b58f912accdafc025e5ebdf49d8c0_cup_e66dbc82_20141003_203212_after_1.py
2a2ec394f89b58f912accdafc025e5ebdf49d8c0,cup,e66dbc82,2014-10-03 15:02:12,+0000,cork.py,ADD,13,0,,PythonFiles\cup\e66dbc82\2a2ec394f89b58f912accdafc025e5ebdf49d8c0\2a2ec394f89b58f912accdafc025e5ebdf49d8c0_cup_e66dbc82_20141003_203212_after_2.py
2a2ec394f89b58f912accdafc025e5ebdf49d8c0,cup,e66dbc82,2014-10-03 15:02:12,+0000,crucio.py,ADD,13,0,,PythonFiles\cup\e66dbc82\2a2ec394f89b58f912accdafc025e5ebdf49d8c0\2a2ec394f89b58f912accdafc025e5ebdf49d8c0_cup_e66dbc82_20141003_203212_after_3.py
2a2ec394f89b58f912accdafc025e5ebdf49d8c0,cup,e66dbc82,2014-10-03 15:02:12,+0000,expelliarmus.py,ADD,0,0,,
2a2ec394f89b58f912accdafc025e5ebdf49d8c0,cup,e66dbc82,2014-10-03 15:02:12,+0000,stupefy.py,ADD,10,0,,PythonFiles\cup\e66dbc82\2a2ec394f89b58f912accdafc025e5ebdf49d8c0\2a2ec394f89b58f912accdafc025e5ebdf49d8c0_cup_e66dbc82_20141003_203212_after_5.py
2a2ec394f89b58f912accdafc025e5ebdf49d8c0,cup,e66dbc82,2014-10-03 15:02:12,+0000,setup.py,ADD,17,0,,PythonFiles\cup\e66dbc82\2a2ec394f89b58f912accdafc025e5ebdf49d8c0\2a2ec394f89b58f912accdafc025e5ebdf49d8c0_cup_e66dbc82_20141003_203212_after_6.py
83930f34be2a08e0877f0e55bad37a8dc8b92a44,cup,e66dbc82,2014-10-03 15:46:09,+0000,dispel.py,MODIFY,22,0,PythonFiles\cup\e66dbc82\83930f34be2a08e0877f0e55bad37a8dc8b92a44\83930f34be2a08e0877f0e55bad37a8dc8b92a44_cup_e66dbc82_20141003_211609_before_2.py,PythonFiles\cup\e66dbc82\83930f34be2a08e0877f0e55bad37a8dc8b92a44\83930f34be2a08e0877f0e55bad37a8dc8b92a44_cup_e66dbc82_20141003_211609_after_2.py
83930f34be2a08e0877f0e55bad37a8dc8b92a44,cup,e66dbc82,2014-10-03 15:46:09,+0000,cork.py,MODIFY,2,2,PythonFiles\cup\e66dbc82\83930f34be2a08e0877f0e55bad37a8dc8b92a44\83930f34be2a08e0877f0e55bad37a8dc8b92a44_cup_e66dbc82_20141003_211609_before_3.py,PythonFiles\cup\e66dbc82\83930f34be2a08e0877f0e55bad37a8dc8b92a44\83930f34be2a08e0877f0e55bad37a8dc8b92a44_cup_e66dbc82_20141003_211609_after_3.py
83930f34be2a08e0877f0e55bad37a8dc8b92a44,cup,e66dbc82,2014-10-03 15:46:09,+0000,crucio.py,MODIFY,4,2,PythonFiles\cup\e66dbc82\83930f34be2a08e0877f0e55bad37a8dc8b92a44\83930f34be2a08e0877f0e55bad37a8dc8b92a44_cup_e66dbc82_20141003_211609_before_4.py,PythonFiles\cup\e66dbc82\83930f34be2a08e0877f0e55bad37a8dc8b92a44\83930f34be2a08e0877f0e55bad37a8dc8b92a44_cup_e66dbc82_20141003_211609_after_4.py
83930f34be2a08e0877f0e55bad37a8dc8b92a44,cup,e66dbc82,2014-10-03 15:46:09,+0000,expelliarmus.py,MODIFY,13,0,,PythonFiles\cup\e66dbc82\83930f34be2a08e0877f0e55bad37a8dc8b92a44\83930f34be2a08e0877f0e55bad37a8dc8b92a44_cup_e66dbc82_20141003_211609_after_5.py
