CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
853248e202d2362a317c3967a3f2f78f769cfaf5,deep_merge,d060cbb5,2018-03-16 17:22:35,+0000,__init__.py,ADD,3,0,,PythonFiles\deep_merge\d060cbb5\853248e202d2362a317c3967a3f2f78f769cfaf5\853248e202d2362a317c3967a3f2f78f769cfaf5_deep_merge_d060cbb5_20180316_122235_after_3.py
853248e202d2362a317c3967a3f2f78f769cfaf5,deep_merge,d060cbb5,2018-03-16 17:22:35,+0000,about.py,ADD,7,0,,PythonFiles\deep_merge\d060cbb5\853248e202d2362a317c3967a3f2f78f769cfaf5\853248e202d2362a317c3967a3f2f78f769cfaf5_deep_merge_d060cbb5_20180316_122235_after_4.py
853248e202d2362a317c3967a3f2f78f769cfaf5,deep_merge,d060cbb5,2018-03-16 17:22:35,+0000,merge.py,ADD,82,0,,PythonFiles\deep_merge\d060cbb5\853248e202d2362a317c3967a3f2f78f769cfaf5\853248e202d2362a317c3967a3f2f78f769cfaf5_deep_merge_d060cbb5_20180316_122235_after_5.py
853248e202d2362a317c3967a3f2f78f769cfaf5,deep_merge,d060cbb5,2018-03-16 17:22:35,+0000,__init__.py,ADD,0,0,,
853248e202d2362a317c3967a3f2f78f769cfaf5,deep_merge,d060cbb5,2018-03-16 17:22:35,+0000,test_merge.py,ADD,56,0,,PythonFiles\deep_merge\d060cbb5\853248e202d2362a317c3967a3f2f78f769cfaf5\853248e202d2362a317c3967a3f2f78f769cfaf5_deep_merge_d060cbb5_20180316_122235_after_7.py
853248e202d2362a317c3967a3f2f78f769cfaf5,deep_merge,d060cbb5,2018-03-16 17:22:35,+0000,example.py,ADD,3,0,,PythonFiles\deep_merge\d060cbb5\853248e202d2362a317c3967a3f2f78f769cfaf5\853248e202d2362a317c3967a3f2f78f769cfaf5_deep_merge_d060cbb5_20180316_122235_after_8.py
853248e202d2362a317c3967a3f2f78f769cfaf5,deep_merge,d060cbb5,2018-03-16 17:22:35,+0000,setup.py,ADD,29,0,,PythonFiles\deep_merge\d060cbb5\853248e202d2362a317c3967a3f2f78f769cfaf5\853248e202d2362a317c3967a3f2f78f769cfaf5_deep_merge_d060cbb5_20180316_122235_after_9.py
757f5ea0a69f330a35c7a2bb1ef98e6d472c8f28,deep_merge,d060cbb5,2018-03-16 20:04:38,+0000,test_merge.py,MODIFY,4,0,PythonFiles\deep_merge\d060cbb5\757f5ea0a69f330a35c7a2bb1ef98e6d472c8f28\757f5ea0a69f330a35c7a2bb1ef98e6d472c8f28_deep_merge_d060cbb5_20180316_150438_before_1.py,PythonFiles\deep_merge\d060cbb5\757f5ea0a69f330a35c7a2bb1ef98e6d472c8f28\757f5ea0a69f330a35c7a2bb1ef98e6d472c8f28_deep_merge_d060cbb5_20180316_150438_after_1.py
1348d6ce1cfd305a63aa895af0ab711ffa067899,deep_merge,b1c280c7,2018-03-26 19:10:32,+0000,about.py,MODIFY,1,1,PythonFiles\deep_merge\b1c280c7\1348d6ce1cfd305a63aa895af0ab711ffa067899\1348d6ce1cfd305a63aa895af0ab711ffa067899_deep_merge_b1c280c7_20180326_141032_before_1.py,PythonFiles\deep_merge\b1c280c7\1348d6ce1cfd305a63aa895af0ab711ffa067899\1348d6ce1cfd305a63aa895af0ab711ffa067899_deep_merge_b1c280c7_20180326_141032_after_1.py
1348d6ce1cfd305a63aa895af0ab711ffa067899,deep_merge,b1c280c7,2018-03-26 19:10:32,+0000,merge.py,MODIFY,0,1,PythonFiles\deep_merge\b1c280c7\1348d6ce1cfd305a63aa895af0ab711ffa067899\1348d6ce1cfd305a63aa895af0ab711ffa067899_deep_merge_b1c280c7_20180326_141032_before_2.py,PythonFiles\deep_merge\b1c280c7\1348d6ce1cfd305a63aa895af0ab711ffa067899\1348d6ce1cfd305a63aa895af0ab711ffa067899_deep_merge_b1c280c7_20180326_141032_after_2.py
