CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
8d20be0555f996355f9d23f2c67d2d4daece0f52,devtools-proxy,240447c5,2016-07-24 20:36:38,+0000,devtools-ws-switch.py,ADD,134,0,,PythonFiles\devtools-proxy\240447c5\8d20be0555f996355f9d23f2c67d2d4daece0f52\8d20be0555f996355f9d23f2c67d2d4daece0f52_devtools-proxy_240447c5_20160724_213638_after_2.py
07c34d85740e6eba69595d67e45e298eb749afb0,devtools-proxy,240447c5,2016-07-24 22:11:47,+0000,devtools-ws-switch.py,MODIFY,14,14,PythonFiles\devtools-proxy\240447c5\07c34d85740e6eba69595d67e45e298eb749afb0\07c34d85740e6eba69595d67e45e298eb749afb0_devtools-proxy_240447c5_20160724_231147_before_1.py,PythonFiles\devtools-proxy\240447c5\07c34d85740e6eba69595d67e45e298eb749afb0\07c34d85740e6eba69595d67e45e298eb749afb0_devtools-proxy_240447c5_20160724_231147_after_1.py
904e998ec744a1ba0604b0f7b49a9312e77214a2,devtools-proxy,240447c5,2016-07-26 15:13:29,+0000,devtools-proxy.py,RENAME,5,10,PythonFiles\devtools-proxy\240447c5\904e998ec744a1ba0604b0f7b49a9312e77214a2\904e998ec744a1ba0604b0f7b49a9312e77214a2_devtools-proxy_240447c5_20160726_161329_before_2.py,PythonFiles\devtools-proxy\240447c5\904e998ec744a1ba0604b0f7b49a9312e77214a2\904e998ec744a1ba0604b0f7b49a9312e77214a2_devtools-proxy_240447c5_20160726_161329_after_2.py
3dba231c9fd680fa746bb7ecb6f2225b8ec0c434,devtools-proxy,240447c5,2016-07-26 17:58:13,+0000,devtools-proxy.py,UNKNOWN,0,0,,
2d2c4c2ac6ceca0616c954e429bfaccf686dded3,devtools-proxy,240447c5,2016-07-31 11:37:51,+0000,devtools-proxy.py,MODIFY,48,54,PythonFiles\devtools-proxy\240447c5\2d2c4c2ac6ceca0616c954e429bfaccf686dded3\2d2c4c2ac6ceca0616c954e429bfaccf686dded3_devtools-proxy_240447c5_20160731_123751_before_1.py,PythonFiles\devtools-proxy\240447c5\2d2c4c2ac6ceca0616c954e429bfaccf686dded3\2d2c4c2ac6ceca0616c954e429bfaccf686dded3_devtools-proxy_240447c5_20160731_123751_after_1.py
3b86ca6745abcfce6b9b392816ffddf6fbccf5a5,devtools-proxy,240447c5,2016-08-06 17:44:08,+0000,devtools-proxy.py,MODIFY,47,47,PythonFiles\devtools-proxy\240447c5\3b86ca6745abcfce6b9b392816ffddf6fbccf5a5\3b86ca6745abcfce6b9b392816ffddf6fbccf5a5_devtools-proxy_240447c5_20160806_184408_before_1.py,PythonFiles\devtools-proxy\240447c5\3b86ca6745abcfce6b9b392816ffddf6fbccf5a5\3b86ca6745abcfce6b9b392816ffddf6fbccf5a5_devtools-proxy_240447c5_20160806_184408_after_1.py
d3f70d5845e5c41f836fde334764b5a3b3948434,devtools-proxy,240447c5,2016-08-16 22:19:07,+0000,devtools-proxy.py,MODIFY,105,40,PythonFiles\devtools-proxy\240447c5\d3f70d5845e5c41f836fde334764b5a3b3948434\d3f70d5845e5c41f836fde334764b5a3b3948434_devtools-proxy_240447c5_20160816_231907_before_3.py,PythonFiles\devtools-proxy\240447c5\d3f70d5845e5c41f836fde334764b5a3b3948434\d3f70d5845e5c41f836fde334764b5a3b3948434_devtools-proxy_240447c5_20160816_231907_after_3.py
d3f70d5845e5c41f836fde334764b5a3b3948434,devtools-proxy,240447c5,2016-08-16 22:19:07,+0000,issue27665.py,ADD,126,0,,PythonFiles\devtools-proxy\240447c5\d3f70d5845e5c41f836fde334764b5a3b3948434\d3f70d5845e5c41f836fde334764b5a3b3948434_devtools-proxy_240447c5_20160816_231907_after_4.py
d3f70d5845e5c41f836fde334764b5a3b3948434,devtools-proxy,240447c5,2016-08-16 22:19:07,+0000,monkey_patch.py,ADD,5,0,,PythonFiles\devtools-proxy\240447c5\d3f70d5845e5c41f836fde334764b5a3b3948434\d3f70d5845e5c41f836fde334764b5a3b3948434_devtools-proxy_240447c5_20160816_231907_after_5.py
f921a5d3ca0f016c15654a042d287e28979ec0f2,devtools-proxy,240447c5,2016-08-28 16:30:17,+0000,devtools-proxy.py,MODIFY,59,34,PythonFiles\devtools-proxy\240447c5\f921a5d3ca0f016c15654a042d287e28979ec0f2\f921a5d3ca0f016c15654a042d287e28979ec0f2_devtools-proxy_240447c5_20160828_173017_before_2.py,PythonFiles\devtools-proxy\240447c5\f921a5d3ca0f016c15654a042d287e28979ec0f2\f921a5d3ca0f016c15654a042d287e28979ec0f2_devtools-proxy_240447c5_20160828_173017_after_2.py
