CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
573d0c4ac1c673c10d0db51ecf223d82d2cc7859,django-breadcrumbs3,c9d97d01,2015-11-08 03:10:49,+0000,__init__.py,ADD,1,0,,PythonFiles\django-breadcrumbs3\c9d97d01\573d0c4ac1c673c10d0db51ecf223d82d2cc7859\573d0c4ac1c673c10d0db51ecf223d82d2cc7859_django-breadcrumbs3_c9d97d01_20151108_131049_after_4.py
573d0c4ac1c673c10d0db51ecf223d82d2cc7859,django-breadcrumbs3,c9d97d01,2015-11-08 03:10:49,+0000,middleware.py,ADD,61,0,,PythonFiles\django-breadcrumbs3\c9d97d01\573d0c4ac1c673c10d0db51ecf223d82d2cc7859\573d0c4ac1c673c10d0db51ecf223d82d2cc7859_django-breadcrumbs3_c9d97d01_20151108_131049_after_5.py
573d0c4ac1c673c10d0db51ecf223d82d2cc7859,django-breadcrumbs3,c9d97d01,2015-11-08 03:10:49,+0000,__init__.py,ADD,0,0,,
573d0c4ac1c673c10d0db51ecf223d82d2cc7859,django-breadcrumbs3,c9d97d01,2015-11-08 03:10:49,+0000,breadcrumbs.py,ADD,32,0,,PythonFiles\django-breadcrumbs3\c9d97d01\573d0c4ac1c673c10d0db51ecf223d82d2cc7859\573d0c4ac1c673c10d0db51ecf223d82d2cc7859_django-breadcrumbs3_c9d97d01_20151108_131049_after_7.py
573d0c4ac1c673c10d0db51ecf223d82d2cc7859,django-breadcrumbs3,c9d97d01,2015-11-08 03:10:49,+0000,setup.py,ADD,17,0,,PythonFiles\django-breadcrumbs3\c9d97d01\573d0c4ac1c673c10d0db51ecf223d82d2cc7859\573d0c4ac1c673c10d0db51ecf223d82d2cc7859_django-breadcrumbs3_c9d97d01_20151108_131049_after_8.py
c12b58be7ace02fe78bfe86d205ad9fc4e6549ad,django-breadcrumbs3,c9d97d01,2015-11-08 03:16:35,+0000,setup.py,MODIFY,14,0,PythonFiles\django-breadcrumbs3\c9d97d01\c12b58be7ace02fe78bfe86d205ad9fc4e6549ad\c12b58be7ace02fe78bfe86d205ad9fc4e6549ad_django-breadcrumbs3_c9d97d01_20151108_131635_before_1.py,PythonFiles\django-breadcrumbs3\c9d97d01\c12b58be7ace02fe78bfe86d205ad9fc4e6549ad\c12b58be7ace02fe78bfe86d205ad9fc4e6549ad_django-breadcrumbs3_c9d97d01_20151108_131635_after_1.py
302028c1a06e28758534650ead459e3f79d01a16,django-breadcrumbs3,c9d97d01,2015-11-08 04:43:40,+0000,__init__.py,ADD,0,0,,
302028c1a06e28758534650ead459e3f79d01a16,django-breadcrumbs3,c9d97d01,2015-11-08 04:43:40,+0000,tests.py,ADD,49,0,,PythonFiles\django-breadcrumbs3\c9d97d01\302028c1a06e28758534650ead459e3f79d01a16\302028c1a06e28758534650ead459e3f79d01a16_django-breadcrumbs3_c9d97d01_20151108_144340_after_3.py
302028c1a06e28758534650ead459e3f79d01a16,django-breadcrumbs3,c9d97d01,2015-11-08 04:43:40,+0000,urls.py,ADD,8,0,,PythonFiles\django-breadcrumbs3\c9d97d01\302028c1a06e28758534650ead459e3f79d01a16\302028c1a06e28758534650ead459e3f79d01a16_django-breadcrumbs3_c9d97d01_20151108_144340_after_4.py
302028c1a06e28758534650ead459e3f79d01a16,django-breadcrumbs3,c9d97d01,2015-11-08 04:43:40,+0000,views.py,ADD,22,0,,PythonFiles\django-breadcrumbs3\c9d97d01\302028c1a06e28758534650ead459e3f79d01a16\302028c1a06e28758534650ead459e3f79d01a16_django-breadcrumbs3_c9d97d01_20151108_144340_after_5.py
6129283c7cb5e66522d1325fac11991318cc37d1,django-breadcrumbs3,c9d97d01,2015-11-08 05:16:04,+0000,tests.py,MODIFY,5,2,PythonFiles\django-breadcrumbs3\c9d97d01\6129283c7cb5e66522d1325fac11991318cc37d1\6129283c7cb5e66522d1325fac11991318cc37d1_django-breadcrumbs3_c9d97d01_20151108_151604_before_1.py,PythonFiles\django-breadcrumbs3\c9d97d01\6129283c7cb5e66522d1325fac11991318cc37d1\6129283c7cb5e66522d1325fac11991318cc37d1_django-breadcrumbs3_c9d97d01_20151108_151604_after_1.py
b1623a856e89f899ce6453f88a2bfa52996c3693,django-breadcrumbs3,c9d97d01,2015-11-08 07:50:33,+0000,__init__.py,MODIFY,1,1,PythonFiles\django-breadcrumbs3\c9d97d01\b1623a856e89f899ce6453f88a2bfa52996c3693\b1623a856e89f899ce6453f88a2bfa52996c3693_django-breadcrumbs3_c9d97d01_20151108_175033_before_1.py,PythonFiles\django-breadcrumbs3\c9d97d01\b1623a856e89f899ce6453f88a2bfa52996c3693\b1623a856e89f899ce6453f88a2bfa52996c3693_django-breadcrumbs3_c9d97d01_20151108_175033_after_1.py
