CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
8e6a3003f4e762c82aaa6faf41487c81ccd83292,django-cachedpaginator,0fa72952,2014-10-24 15:29:23,+0000,__init__.py,ADD,2,0,,PythonFiles\django-cachedpaginator\0fa72952\8e6a3003f4e762c82aaa6faf41487c81ccd83292\8e6a3003f4e762c82aaa6faf41487c81ccd83292_django-cachedpaginator_0fa72952_20141024_162923_after_8.py
8e6a3003f4e762c82aaa6faf41487c81ccd83292,django-cachedpaginator,0fa72952,2014-10-24 15:29:23,+0000,admin.py,ADD,0,0,,
8e6a3003f4e762c82aaa6faf41487c81ccd83292,django-cachedpaginator,0fa72952,2014-10-24 15:29:23,+0000,settings.py,ADD,41,0,,PythonFiles\django-cachedpaginator\0fa72952\8e6a3003f4e762c82aaa6faf41487c81ccd83292\8e6a3003f4e762c82aaa6faf41487c81ccd83292_django-cachedpaginator_0fa72952_20141024_162923_after_10.py
8e6a3003f4e762c82aaa6faf41487c81ccd83292,django-cachedpaginator,0fa72952,2014-10-24 15:29:23,+0000,__init__.py,ADD,0,0,,
8e6a3003f4e762c82aaa6faf41487c81ccd83292,django-cachedpaginator,0fa72952,2014-10-24 15:29:23,+0000,cached_paginator.py,ADD,88,0,,PythonFiles\django-cachedpaginator\0fa72952\8e6a3003f4e762c82aaa6faf41487c81ccd83292\8e6a3003f4e762c82aaa6faf41487c81ccd83292_django-cachedpaginator_0fa72952_20141024_162923_after_13.py
8e6a3003f4e762c82aaa6faf41487c81ccd83292,django-cachedpaginator,0fa72952,2014-10-24 15:29:23,+0000,tests.py,ADD,28,0,,PythonFiles\django-cachedpaginator\0fa72952\8e6a3003f4e762c82aaa6faf41487c81ccd83292\8e6a3003f4e762c82aaa6faf41487c81ccd83292_django-cachedpaginator_0fa72952_20141024_162923_after_14.py
8e6a3003f4e762c82aaa6faf41487c81ccd83292,django-cachedpaginator,0fa72952,2014-10-24 15:29:23,+0000,urls.py,ADD,8,0,,PythonFiles\django-cachedpaginator\0fa72952\8e6a3003f4e762c82aaa6faf41487c81ccd83292\8e6a3003f4e762c82aaa6faf41487c81ccd83292_django-cachedpaginator_0fa72952_20141024_162923_after_15.py
8e6a3003f4e762c82aaa6faf41487c81ccd83292,django-cachedpaginator,0fa72952,2014-10-24 15:29:23,+0000,utils.py,ADD,95,0,,PythonFiles\django-cachedpaginator\0fa72952\8e6a3003f4e762c82aaa6faf41487c81ccd83292\8e6a3003f4e762c82aaa6faf41487c81ccd83292_django-cachedpaginator_0fa72952_20141024_162923_after_16.py
8e6a3003f4e762c82aaa6faf41487c81ccd83292,django-cachedpaginator,0fa72952,2014-10-24 15:29:23,+0000,views.py,ADD,7,0,,PythonFiles\django-cachedpaginator\0fa72952\8e6a3003f4e762c82aaa6faf41487c81ccd83292\8e6a3003f4e762c82aaa6faf41487c81ccd83292_django-cachedpaginator_0fa72952_20141024_162923_after_17.py
8e6a3003f4e762c82aaa6faf41487c81ccd83292,django-cachedpaginator,0fa72952,2014-10-24 15:29:23,+0000,manage.py,ADD,10,0,,PythonFiles\django-cachedpaginator\0fa72952\8e6a3003f4e762c82aaa6faf41487c81ccd83292\8e6a3003f4e762c82aaa6faf41487c81ccd83292_django-cachedpaginator_0fa72952_20141024_162923_after_18.py
8e6a3003f4e762c82aaa6faf41487c81ccd83292,django-cachedpaginator,0fa72952,2014-10-24 15:29:23,+0000,setup.py,ADD,37,0,,PythonFiles\django-cachedpaginator\0fa72952\8e6a3003f4e762c82aaa6faf41487c81ccd83292\8e6a3003f4e762c82aaa6faf41487c81ccd83292_django-cachedpaginator_0fa72952_20141024_162923_after_19.py
3cfa359a24a1d8a645f9aafda9cacb01ba3a56d2,django-cachedpaginator,0fa72952,2014-10-24 16:19:40,+0000,settings.py,MODIFY,9,0,PythonFiles\django-cachedpaginator\0fa72952\3cfa359a24a1d8a645f9aafda9cacb01ba3a56d2\3cfa359a24a1d8a645f9aafda9cacb01ba3a56d2_django-cachedpaginator_0fa72952_20141024_171940_before_3.py,PythonFiles\django-cachedpaginator\0fa72952\3cfa359a24a1d8a645f9aafda9cacb01ba3a56d2\3cfa359a24a1d8a645f9aafda9cacb01ba3a56d2_django-cachedpaginator_0fa72952_20141024_171940_after_3.py
3cfa359a24a1d8a645f9aafda9cacb01ba3a56d2,django-cachedpaginator,0fa72952,2014-10-24 16:19:40,+0000,cached_paginator.py,MODIFY,1,1,PythonFiles\django-cachedpaginator\0fa72952\3cfa359a24a1d8a645f9aafda9cacb01ba3a56d2\3cfa359a24a1d8a645f9aafda9cacb01ba3a56d2_django-cachedpaginator_0fa72952_20141024_171940_before_5.py,PythonFiles\django-cachedpaginator\0fa72952\3cfa359a24a1d8a645f9aafda9cacb01ba3a56d2\3cfa359a24a1d8a645f9aafda9cacb01ba3a56d2_django-cachedpaginator_0fa72952_20141024_171940_after_5.py
3cfa359a24a1d8a645f9aafda9cacb01ba3a56d2,django-cachedpaginator,0fa72952,2014-10-24 16:19:40,+0000,utils.py,MODIFY,1,0,PythonFiles\django-cachedpaginator\0fa72952\3cfa359a24a1d8a645f9aafda9cacb01ba3a56d2\3cfa359a24a1d8a645f9aafda9cacb01ba3a56d2_django-cachedpaginator_0fa72952_20141024_171940_before_6.py,PythonFiles\django-cachedpaginator\0fa72952\3cfa359a24a1d8a645f9aafda9cacb01ba3a56d2\3cfa359a24a1d8a645f9aafda9cacb01ba3a56d2_django-cachedpaginator_0fa72952_20141024_171940_after_6.py
3cfa359a24a1d8a645f9aafda9cacb01ba3a56d2,django-cachedpaginator,0fa72952,2014-10-24 16:19:40,+0000,views.py,MODIFY,9,3,PythonFiles\django-cachedpaginator\0fa72952\3cfa359a24a1d8a645f9aafda9cacb01ba3a56d2\3cfa359a24a1d8a645f9aafda9cacb01ba3a56d2_django-cachedpaginator_0fa72952_20141024_171940_before_7.py,PythonFiles\django-cachedpaginator\0fa72952\3cfa359a24a1d8a645f9aafda9cacb01ba3a56d2\3cfa359a24a1d8a645f9aafda9cacb01ba3a56d2_django-cachedpaginator_0fa72952_20141024_171940_after_7.py
69daa328079f05b7947eee65581f5c22c96dff53,django-cachedpaginator,0fa72952,2014-10-24 16:36:16,+0000,tests.py,MODIFY,1,7,PythonFiles\django-cachedpaginator\0fa72952\69daa328079f05b7947eee65581f5c22c96dff53\69daa328079f05b7947eee65581f5c22c96dff53_django-cachedpaginator_0fa72952_20141024_173616_before_1.py,PythonFiles\django-cachedpaginator\0fa72952\69daa328079f05b7947eee65581f5c22c96dff53\69daa328079f05b7947eee65581f5c22c96dff53_django-cachedpaginator_0fa72952_20141024_173616_after_1.py
1d37907e5f958d7aa83d98cf5824fe6928de33d2,django-cachedpaginator,0fa72952,2014-10-27 10:27:37,+0000,tests.py,MODIFY,63,6,PythonFiles\django-cachedpaginator\0fa72952\1d37907e5f958d7aa83d98cf5824fe6928de33d2\1d37907e5f958d7aa83d98cf5824fe6928de33d2_django-cachedpaginator_0fa72952_20141027_102737_before_2.py,PythonFiles\django-cachedpaginator\0fa72952\1d37907e5f958d7aa83d98cf5824fe6928de33d2\1d37907e5f958d7aa83d98cf5824fe6928de33d2_django-cachedpaginator_0fa72952_20141027_102737_after_2.py
1d37907e5f958d7aa83d98cf5824fe6928de33d2,django-cachedpaginator,0fa72952,2014-10-27 10:27:37,+0000,views.py,MODIFY,1,1,PythonFiles\django-cachedpaginator\0fa72952\1d37907e5f958d7aa83d98cf5824fe6928de33d2\1d37907e5f958d7aa83d98cf5824fe6928de33d2_django-cachedpaginator_0fa72952_20141027_102737_before_3.py,PythonFiles\django-cachedpaginator\0fa72952\1d37907e5f958d7aa83d98cf5824fe6928de33d2\1d37907e5f958d7aa83d98cf5824fe6928de33d2_django-cachedpaginator_0fa72952_20141027_102737_after_3.py
32ac18b2c869c8c852b5c4d4eb8620a916a284c9,django-cachedpaginator,0fa72952,2014-10-27 10:28:33,+0000,__init__.py,MODIFY,1,1,PythonFiles\django-cachedpaginator\0fa72952\32ac18b2c869c8c852b5c4d4eb8620a916a284c9\32ac18b2c869c8c852b5c4d4eb8620a916a284c9_django-cachedpaginator_0fa72952_20141027_102833_before_1.py,PythonFiles\django-cachedpaginator\0fa72952\32ac18b2c869c8c852b5c4d4eb8620a916a284c9\32ac18b2c869c8c852b5c4d4eb8620a916a284c9_django-cachedpaginator_0fa72952_20141027_102833_after_1.py
b8f5ca1243de5eaebbf406794acc1b6aa9eb156b,django-cachedpaginator,0fa72952,2014-10-27 11:21:30,+0000,__init__.py,MODIFY,1,1,PythonFiles\django-cachedpaginator\0fa72952\b8f5ca1243de5eaebbf406794acc1b6aa9eb156b\b8f5ca1243de5eaebbf406794acc1b6aa9eb156b_django-cachedpaginator_0fa72952_20141027_112130_before_1.py,PythonFiles\django-cachedpaginator\0fa72952\b8f5ca1243de5eaebbf406794acc1b6aa9eb156b\b8f5ca1243de5eaebbf406794acc1b6aa9eb156b_django-cachedpaginator_0fa72952_20141027_112130_after_1.py
b8f5ca1243de5eaebbf406794acc1b6aa9eb156b,django-cachedpaginator,0fa72952,2014-10-27 11:21:30,+0000,tests.py,MODIFY,0,1,PythonFiles\django-cachedpaginator\0fa72952\b8f5ca1243de5eaebbf406794acc1b6aa9eb156b\b8f5ca1243de5eaebbf406794acc1b6aa9eb156b_django-cachedpaginator_0fa72952_20141027_112130_before_2.py,PythonFiles\django-cachedpaginator\0fa72952\b8f5ca1243de5eaebbf406794acc1b6aa9eb156b\b8f5ca1243de5eaebbf406794acc1b6aa9eb156b_django-cachedpaginator_0fa72952_20141027_112130_after_2.py
b8f5ca1243de5eaebbf406794acc1b6aa9eb156b,django-cachedpaginator,0fa72952,2014-10-27 11:21:30,+0000,utils.py,MODIFY,6,3,PythonFiles\django-cachedpaginator\0fa72952\b8f5ca1243de5eaebbf406794acc1b6aa9eb156b\b8f5ca1243de5eaebbf406794acc1b6aa9eb156b_django-cachedpaginator_0fa72952_20141027_112130_before_3.py,PythonFiles\django-cachedpaginator\0fa72952\b8f5ca1243de5eaebbf406794acc1b6aa9eb156b\b8f5ca1243de5eaebbf406794acc1b6aa9eb156b_django-cachedpaginator_0fa72952_20141027_112130_after_3.py
44ae1698e1598b14fd0ce723c55c2f267ecb66cf,django-cachedpaginator,0fa72952,2015-01-26 12:25:05,+0000,__init__.py,MODIFY,1,1,PythonFiles\django-cachedpaginator\0fa72952\44ae1698e1598b14fd0ce723c55c2f267ecb66cf\44ae1698e1598b14fd0ce723c55c2f267ecb66cf_django-cachedpaginator_0fa72952_20150126_122505_before_2.py,PythonFiles\django-cachedpaginator\0fa72952\44ae1698e1598b14fd0ce723c55c2f267ecb66cf\44ae1698e1598b14fd0ce723c55c2f267ecb66cf_django-cachedpaginator_0fa72952_20150126_122505_after_2.py
44ae1698e1598b14fd0ce723c55c2f267ecb66cf,django-cachedpaginator,0fa72952,2015-01-26 12:25:05,+0000,helpers.py,ADD,21,0,,PythonFiles\django-cachedpaginator\0fa72952\44ae1698e1598b14fd0ce723c55c2f267ecb66cf\44ae1698e1598b14fd0ce723c55c2f267ecb66cf_django-cachedpaginator_0fa72952_20150126_122505_after_3.py
44ae1698e1598b14fd0ce723c55c2f267ecb66cf,django-cachedpaginator,0fa72952,2015-01-26 12:25:05,+0000,cached_paginator.py,MODIFY,4,76,PythonFiles\django-cachedpaginator\0fa72952\44ae1698e1598b14fd0ce723c55c2f267ecb66cf\44ae1698e1598b14fd0ce723c55c2f267ecb66cf_django-cachedpaginator_0fa72952_20150126_122505_before_4.py,PythonFiles\django-cachedpaginator\0fa72952\44ae1698e1598b14fd0ce723c55c2f267ecb66cf\44ae1698e1598b14fd0ce723c55c2f267ecb66cf_django-cachedpaginator_0fa72952_20150126_122505_after_4.py
44ae1698e1598b14fd0ce723c55c2f267ecb66cf,django-cachedpaginator,0fa72952,2015-01-26 12:25:05,+0000,utils.py,MODIFY,84,0,PythonFiles\django-cachedpaginator\0fa72952\44ae1698e1598b14fd0ce723c55c2f267ecb66cf\44ae1698e1598b14fd0ce723c55c2f267ecb66cf_django-cachedpaginator_0fa72952_20150126_122505_before_5.py,PythonFiles\django-cachedpaginator\0fa72952\44ae1698e1598b14fd0ce723c55c2f267ecb66cf\44ae1698e1598b14fd0ce723c55c2f267ecb66cf_django-cachedpaginator_0fa72952_20150126_122505_after_5.py
125da485ef38c14de8aea56f77abbf561cbcca86,django-cachedpaginator,ed95d1b4,2015-03-27 13:33:05,+0000,__init__.py,MODIFY,1,1,PythonFiles\django-cachedpaginator\ed95d1b4\125da485ef38c14de8aea56f77abbf561cbcca86\125da485ef38c14de8aea56f77abbf561cbcca86_django-cachedpaginator_ed95d1b4_20150327_133305_before_1.py,PythonFiles\django-cachedpaginator\ed95d1b4\125da485ef38c14de8aea56f77abbf561cbcca86\125da485ef38c14de8aea56f77abbf561cbcca86_django-cachedpaginator_ed95d1b4_20150327_133305_after_1.py
125da485ef38c14de8aea56f77abbf561cbcca86,django-cachedpaginator,ed95d1b4,2015-03-27 13:33:05,+0000,cached_paginator.py,MODIFY,1,1,PythonFiles\django-cachedpaginator\ed95d1b4\125da485ef38c14de8aea56f77abbf561cbcca86\125da485ef38c14de8aea56f77abbf561cbcca86_django-cachedpaginator_ed95d1b4_20150327_133305_before_2.py,PythonFiles\django-cachedpaginator\ed95d1b4\125da485ef38c14de8aea56f77abbf561cbcca86\125da485ef38c14de8aea56f77abbf561cbcca86_django-cachedpaginator_ed95d1b4_20150327_133305_after_2.py
125da485ef38c14de8aea56f77abbf561cbcca86,django-cachedpaginator,ed95d1b4,2015-03-27 13:33:05,+0000,utils.py,MODIFY,6,4,PythonFiles\django-cachedpaginator\ed95d1b4\125da485ef38c14de8aea56f77abbf561cbcca86\125da485ef38c14de8aea56f77abbf561cbcca86_django-cachedpaginator_ed95d1b4_20150327_133305_before_3.py,PythonFiles\django-cachedpaginator\ed95d1b4\125da485ef38c14de8aea56f77abbf561cbcca86\125da485ef38c14de8aea56f77abbf561cbcca86_django-cachedpaginator_ed95d1b4_20150327_133305_after_3.py
