CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
50d133b3f026690d589a61d5097ec603ec6463b6,django-conman,aa739163,2014-07-17 12:32:34,+0000,__init__.py,ADD,0,0,,
50d133b3f026690d589a61d5097ec603ec6463b6,django-conman,aa739163,2014-07-17 12:32:34,+0000,models.py,ADD,58,0,,PythonFiles\django-conman\aa739163\50d133b3f026690d589a61d5097ec603ec6463b6\50d133b3f026690d589a61d5097ec603ec6463b6_django-conman_aa739163_20140717_133234_after_2.py
50d133b3f026690d589a61d5097ec603ec6463b6,django-conman,aa739163,2014-07-17 12:32:34,+0000,__init__.py,ADD,0,0,,
50d133b3f026690d589a61d5097ec603ec6463b6,django-conman,aa739163,2014-07-17 12:32:34,+0000,factories.py,ADD,7,0,,PythonFiles\django-conman\aa739163\50d133b3f026690d589a61d5097ec603ec6463b6\50d133b3f026690d589a61d5097ec603ec6463b6_django-conman_aa739163_20140717_133234_after_4.py
50d133b3f026690d589a61d5097ec603ec6463b6,django-conman,aa739163,2014-07-17 12:32:34,+0000,test_models.py,ADD,120,0,,PythonFiles\django-conman\aa739163\50d133b3f026690d589a61d5097ec603ec6463b6\50d133b3f026690d589a61d5097ec603ec6463b6_django-conman_aa739163_20140717_133234_after_5.py
0798efcdc48f7e0e16dbe70941e23f63f6b51403,django-conman,aa739163,2014-07-17 13:08:41,+0000,test_models.py,MODIFY,3,1,PythonFiles\django-conman\aa739163\0798efcdc48f7e0e16dbe70941e23f63f6b51403\0798efcdc48f7e0e16dbe70941e23f63f6b51403_django-conman_aa739163_20140717_140841_before_1.py,PythonFiles\django-conman\aa739163\0798efcdc48f7e0e16dbe70941e23f63f6b51403\0798efcdc48f7e0e16dbe70941e23f63f6b51403_django-conman_aa739163_20140717_140841_after_1.py
70d314a8b557cb8941815bd3ef1ebe12ffb2bf23,django-conman,aa739163,2014-07-18 09:27:14,+0000,models.py,MODIFY,1,0,PythonFiles\django-conman\aa739163\70d314a8b557cb8941815bd3ef1ebe12ffb2bf23\70d314a8b557cb8941815bd3ef1ebe12ffb2bf23_django-conman_aa739163_20140718_102714_before_1.py,PythonFiles\django-conman\aa739163\70d314a8b557cb8941815bd3ef1ebe12ffb2bf23\70d314a8b557cb8941815bd3ef1ebe12ffb2bf23_django-conman_aa739163_20140718_102714_after_1.py
8531ab7f8969d920436db02c9c89fb50436c8cad,django-conman,aa739163,2014-07-18 09:31:11,+0000,models.py,MODIFY,6,6,PythonFiles\django-conman\aa739163\8531ab7f8969d920436db02c9c89fb50436c8cad\8531ab7f8969d920436db02c9c89fb50436c8cad_django-conman_aa739163_20140718_103111_before_1.py,PythonFiles\django-conman\aa739163\8531ab7f8969d920436db02c9c89fb50436c8cad\8531ab7f8969d920436db02c9c89fb50436c8cad_django-conman_aa739163_20140718_103111_after_1.py
1f4c994cfeaee00ffc62d06c5051d8f7511a53cc,django-conman,aa739163,2014-07-18 09:55:27,+0000,test_models.py,MODIFY,1,1,PythonFiles\django-conman\aa739163\1f4c994cfeaee00ffc62d06c5051d8f7511a53cc\1f4c994cfeaee00ffc62d06c5051d8f7511a53cc_django-conman_aa739163_20140718_105527_before_1.py,PythonFiles\django-conman\aa739163\1f4c994cfeaee00ffc62d06c5051d8f7511a53cc\1f4c994cfeaee00ffc62d06c5051d8f7511a53cc_django-conman_aa739163_20140718_105527_after_1.py
3d6c040e60204bd841d158d96ba7b326466ba2a4,django-conman,aa739163,2014-07-18 09:56:08,+0000,test_models.py,MODIFY,12,0,PythonFiles\django-conman\aa739163\3d6c040e60204bd841d158d96ba7b326466ba2a4\3d6c040e60204bd841d158d96ba7b326466ba2a4_django-conman_aa739163_20140718_105608_before_1.py,PythonFiles\django-conman\aa739163\3d6c040e60204bd841d158d96ba7b326466ba2a4\3d6c040e60204bd841d158d96ba7b326466ba2a4_django-conman_aa739163_20140718_105608_after_1.py
