CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
e48dd210655e9b9f7a85ef967a6d4b543c2f7f0b,django-datatables,e1d1ecaa,2015-11-24 20:06:07,+0000,__init__.py,ADD,0,0,,
e48dd210655e9b9f7a85ef967a6d4b543c2f7f0b,django-datatables,e1d1ecaa,2015-11-24 20:06:07,+0000,column.py,ADD,29,0,,PythonFiles\django-datatables\e1d1ecaa\e48dd210655e9b9f7a85ef967a6d4b543c2f7f0b\e48dd210655e9b9f7a85ef967a6d4b543c2f7f0b_django-datatables_e1d1ecaa_20151124_150607_after_3.py
e48dd210655e9b9f7a85ef967a6d4b543c2f7f0b,django-datatables,e1d1ecaa,2015-11-24 20:06:07,+0000,datatable.py,ADD,324,0,,PythonFiles\django-datatables\e1d1ecaa\e48dd210655e9b9f7a85ef967a6d4b543c2f7f0b\e48dd210655e9b9f7a85ef967a6d4b543c2f7f0b_django-datatables_e1d1ecaa_20151124_150607_after_4.py
e48dd210655e9b9f7a85ef967a6d4b543c2f7f0b,django-datatables,e1d1ecaa,2015-11-24 20:06:07,+0000,mixins.py,ADD,81,0,,PythonFiles\django-datatables\e1d1ecaa\e48dd210655e9b9f7a85ef967a6d4b543c2f7f0b\e48dd210655e9b9f7a85ef967a6d4b543c2f7f0b_django-datatables_e1d1ecaa_20151124_150607_after_5.py
e48dd210655e9b9f7a85ef967a6d4b543c2f7f0b,django-datatables,e1d1ecaa,2015-11-24 20:06:07,+0000,setup.py,ADD,12,0,,PythonFiles\django-datatables\e1d1ecaa\e48dd210655e9b9f7a85ef967a6d4b543c2f7f0b\e48dd210655e9b9f7a85ef967a6d4b543c2f7f0b_django-datatables_e1d1ecaa_20151124_150607_after_7.py
3dc2a5a01680c390048ad8762f8a2d2541007883,django-datatables,5fb8a710,2015-11-24 20:08:26,+0000,column.py,MODIFY,35,2,PythonFiles\django-datatables\5fb8a710\3dc2a5a01680c390048ad8762f8a2d2541007883\3dc2a5a01680c390048ad8762f8a2d2541007883_django-datatables_5fb8a710_20151124_150826_before_1.py,PythonFiles\django-datatables\5fb8a710\3dc2a5a01680c390048ad8762f8a2d2541007883\3dc2a5a01680c390048ad8762f8a2d2541007883_django-datatables_5fb8a710_20151124_150826_after_1.py
3dc2a5a01680c390048ad8762f8a2d2541007883,django-datatables,5fb8a710,2015-11-24 20:08:26,+0000,datatable.py,MODIFY,42,23,PythonFiles\django-datatables\5fb8a710\3dc2a5a01680c390048ad8762f8a2d2541007883\3dc2a5a01680c390048ad8762f8a2d2541007883_django-datatables_5fb8a710_20151124_150826_before_2.py,PythonFiles\django-datatables\5fb8a710\3dc2a5a01680c390048ad8762f8a2d2541007883\3dc2a5a01680c390048ad8762f8a2d2541007883_django-datatables_5fb8a710_20151124_150826_after_2.py
190f2e87925fdf3649e79f43bc8527bd1785945d,django-datatables,5fb8a710,2015-11-24 21:35:34,+0000,datatable.py,MODIFY,28,14,PythonFiles\django-datatables\5fb8a710\190f2e87925fdf3649e79f43bc8527bd1785945d\190f2e87925fdf3649e79f43bc8527bd1785945d_django-datatables_5fb8a710_20151124_163534_before_1.py,PythonFiles\django-datatables\5fb8a710\190f2e87925fdf3649e79f43bc8527bd1785945d\190f2e87925fdf3649e79f43bc8527bd1785945d_django-datatables_5fb8a710_20151124_163534_after_1.py
ef486fde5a154a3b1fb10ed61f2735444f8cedf2,django-datatables,e1d1ecaa,2015-11-25 00:06:20,+0000,column.py,MODIFY,27,2,PythonFiles\django-datatables\e1d1ecaa\ef486fde5a154a3b1fb10ed61f2735444f8cedf2\ef486fde5a154a3b1fb10ed61f2735444f8cedf2_django-datatables_e1d1ecaa_20151124_190620_before_2.py,PythonFiles\django-datatables\e1d1ecaa\ef486fde5a154a3b1fb10ed61f2735444f8cedf2\ef486fde5a154a3b1fb10ed61f2735444f8cedf2_django-datatables_e1d1ecaa_20151124_190620_after_2.py
ef486fde5a154a3b1fb10ed61f2735444f8cedf2,django-datatables,e1d1ecaa,2015-11-25 00:06:20,+0000,datatable.py,MODIFY,37,22,PythonFiles\django-datatables\e1d1ecaa\ef486fde5a154a3b1fb10ed61f2735444f8cedf2\ef486fde5a154a3b1fb10ed61f2735444f8cedf2_django-datatables_e1d1ecaa_20151124_190620_before_3.py,PythonFiles\django-datatables\e1d1ecaa\ef486fde5a154a3b1fb10ed61f2735444f8cedf2\ef486fde5a154a3b1fb10ed61f2735444f8cedf2_django-datatables_e1d1ecaa_20151124_190620_after_3.py
