CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
45a864930c4b3f72508ebb4ac40455b0a00b6ebc,django-html-validator,ec9873f6,2014-09-03 19:35:11,+0000,manage.py,ADD,12,0,,PythonFiles\django-html-validator\ec9873f6\45a864930c4b3f72508ebb4ac40455b0a00b6ebc\45a864930c4b3f72508ebb4ac40455b0a00b6ebc_django-html-validator_ec9873f6_20140903_123511_after_3.py
45a864930c4b3f72508ebb4ac40455b0a00b6ebc,django-html-validator,ec9873f6,2014-09-03 19:35:11,+0000,__init__.py,ADD,0,0,,
45a864930c4b3f72508ebb4ac40455b0a00b6ebc,django-html-validator,ec9873f6,2014-09-03 19:35:11,+0000,__init__.py,ADD,0,0,,
45a864930c4b3f72508ebb4ac40455b0a00b6ebc,django-html-validator,ec9873f6,2014-09-03 19:35:11,+0000,admin.py,ADD,3,0,,PythonFiles\django-html-validator\ec9873f6\45a864930c4b3f72508ebb4ac40455b0a00b6ebc\45a864930c4b3f72508ebb4ac40455b0a00b6ebc_django-html-validator_ec9873f6_20140903_123511_after_6.py
45a864930c4b3f72508ebb4ac40455b0a00b6ebc,django-html-validator,ec9873f6,2014-09-03 19:35:11,+0000,models.py,ADD,3,0,,PythonFiles\django-html-validator\ec9873f6\45a864930c4b3f72508ebb4ac40455b0a00b6ebc\45a864930c4b3f72508ebb4ac40455b0a00b6ebc_django-html-validator_ec9873f6_20140903_123511_after_7.py
45a864930c4b3f72508ebb4ac40455b0a00b6ebc,django-html-validator,ec9873f6,2014-09-03 19:35:11,+0000,tests.py,ADD,17,0,,PythonFiles\django-html-validator\ec9873f6\45a864930c4b3f72508ebb4ac40455b0a00b6ebc\45a864930c4b3f72508ebb4ac40455b0a00b6ebc_django-html-validator_ec9873f6_20140903_123511_after_10.py
45a864930c4b3f72508ebb4ac40455b0a00b6ebc,django-html-validator,ec9873f6,2014-09-03 19:35:11,+0000,urls.py,ADD,9,0,,PythonFiles\django-html-validator\ec9873f6\45a864930c4b3f72508ebb4ac40455b0a00b6ebc\45a864930c4b3f72508ebb4ac40455b0a00b6ebc_django-html-validator_ec9873f6_20140903_123511_after_11.py
45a864930c4b3f72508ebb4ac40455b0a00b6ebc,django-html-validator,ec9873f6,2014-09-03 19:35:11,+0000,views.py,ADD,9,0,,PythonFiles\django-html-validator\ec9873f6\45a864930c4b3f72508ebb4ac40455b0a00b6ebc\45a864930c4b3f72508ebb4ac40455b0a00b6ebc_django-html-validator_ec9873f6_20140903_123511_after_12.py
45a864930c4b3f72508ebb4ac40455b0a00b6ebc,django-html-validator,ec9873f6,2014-09-03 19:35:11,+0000,settings.py,ADD,81,0,,PythonFiles\django-html-validator\ec9873f6\45a864930c4b3f72508ebb4ac40455b0a00b6ebc\45a864930c4b3f72508ebb4ac40455b0a00b6ebc_django-html-validator_ec9873f6_20140903_123511_after_13.py
45a864930c4b3f72508ebb4ac40455b0a00b6ebc,django-html-validator,ec9873f6,2014-09-03 19:35:11,+0000,urls.py,ADD,5,0,,PythonFiles\django-html-validator\ec9873f6\45a864930c4b3f72508ebb4ac40455b0a00b6ebc\45a864930c4b3f72508ebb4ac40455b0a00b6ebc_django-html-validator_ec9873f6_20140903_123511_after_14.py
45a864930c4b3f72508ebb4ac40455b0a00b6ebc,django-html-validator,ec9873f6,2014-09-03 19:35:11,+0000,wsgi.py,ADD,14,0,,PythonFiles\django-html-validator\ec9873f6\45a864930c4b3f72508ebb4ac40455b0a00b6ebc\45a864930c4b3f72508ebb4ac40455b0a00b6ebc_django-html-validator_ec9873f6_20140903_123511_after_15.py
45a864930c4b3f72508ebb4ac40455b0a00b6ebc,django-html-validator,ec9873f6,2014-09-03 19:35:11,+0000,__init__.py,ADD,1,0,,PythonFiles\django-html-validator\ec9873f6\45a864930c4b3f72508ebb4ac40455b0a00b6ebc\45a864930c4b3f72508ebb4ac40455b0a00b6ebc_django-html-validator_ec9873f6_20140903_123511_after_16.py
45a864930c4b3f72508ebb4ac40455b0a00b6ebc,django-html-validator,ec9873f6,2014-09-03 19:35:11,+0000,client.py,ADD,47,0,,PythonFiles\django-html-validator\ec9873f6\45a864930c4b3f72508ebb4ac40455b0a00b6ebc\45a864930c4b3f72508ebb4ac40455b0a00b6ebc_django-html-validator_ec9873f6_20140903_123511_after_17.py
45a864930c4b3f72508ebb4ac40455b0a00b6ebc,django-html-validator,ec9873f6,2014-09-03 19:35:11,+0000,core.py,ADD,88,0,,PythonFiles\django-html-validator\ec9873f6\45a864930c4b3f72508ebb4ac40455b0a00b6ebc\45a864930c4b3f72508ebb4ac40455b0a00b6ebc_django-html-validator_ec9873f6_20140903_123511_after_18.py
45a864930c4b3f72508ebb4ac40455b0a00b6ebc,django-html-validator,ec9873f6,2014-09-03 19:35:11,+0000,exceptions.py,ADD,6,0,,PythonFiles\django-html-validator\ec9873f6\45a864930c4b3f72508ebb4ac40455b0a00b6ebc\45a864930c4b3f72508ebb4ac40455b0a00b6ebc_django-html-validator_ec9873f6_20140903_123511_after_19.py
45a864930c4b3f72508ebb4ac40455b0a00b6ebc,django-html-validator,ec9873f6,2014-09-03 19:35:11,+0000,middleware.py,ADD,32,0,,PythonFiles\django-html-validator\ec9873f6\45a864930c4b3f72508ebb4ac40455b0a00b6ebc\45a864930c4b3f72508ebb4ac40455b0a00b6ebc_django-html-validator_ec9873f6_20140903_123511_after_20.py
45a864930c4b3f72508ebb4ac40455b0a00b6ebc,django-html-validator,ec9873f6,2014-09-03 19:35:11,+0000,utils.py,ADD,12,0,,PythonFiles\django-html-validator\ec9873f6\45a864930c4b3f72508ebb4ac40455b0a00b6ebc\45a864930c4b3f72508ebb4ac40455b0a00b6ebc_django-html-validator_ec9873f6_20140903_123511_after_21.py
45a864930c4b3f72508ebb4ac40455b0a00b6ebc,django-html-validator,ec9873f6,2014-09-03 19:35:11,+0000,setup.py,ADD,59,0,,PythonFiles\django-html-validator\ec9873f6\45a864930c4b3f72508ebb4ac40455b0a00b6ebc\45a864930c4b3f72508ebb4ac40455b0a00b6ebc_django-html-validator_ec9873f6_20140903_123511_after_23.py
