CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
60a323661426696f4c6cdaa3260ddaea7aaa1d79,django-luoji-accounts,3e4c2ffc,2015-07-29 07:10:26,+0000,__init__.py,ADD,0,0,,
60a323661426696f4c6cdaa3260ddaea7aaa1d79,django-luoji-accounts,3e4c2ffc,2015-07-29 07:10:26,+0000,admin.py,ADD,3,0,,PythonFiles\django-luoji-accounts\3e4c2ffc\60a323661426696f4c6cdaa3260ddaea7aaa1d79\60a323661426696f4c6cdaa3260ddaea7aaa1d79_django-luoji-accounts_3e4c2ffc_20150729_151026_after_7.py
60a323661426696f4c6cdaa3260ddaea7aaa1d79,django-luoji-accounts,3e4c2ffc,2015-07-29 07:10:26,+0000,api.py,ADD,27,0,,PythonFiles\django-luoji-accounts\3e4c2ffc\60a323661426696f4c6cdaa3260ddaea7aaa1d79\60a323661426696f4c6cdaa3260ddaea7aaa1d79_django-luoji-accounts_3e4c2ffc_20150729_151026_after_9.py
60a323661426696f4c6cdaa3260ddaea7aaa1d79,django-luoji-accounts,3e4c2ffc,2015-07-29 07:10:26,+0000,0001_initial.py,ADD,83,0,,PythonFiles\django-luoji-accounts\3e4c2ffc\60a323661426696f4c6cdaa3260ddaea7aaa1d79\60a323661426696f4c6cdaa3260ddaea7aaa1d79_django-luoji-accounts_3e4c2ffc_20150729_151026_after_13.py
60a323661426696f4c6cdaa3260ddaea7aaa1d79,django-luoji-accounts,3e4c2ffc,2015-07-29 07:10:26,+0000,0002_auto_20150727_0938.py,ADD,74,0,,PythonFiles\django-luoji-accounts\3e4c2ffc\60a323661426696f4c6cdaa3260ddaea7aaa1d79\60a323661426696f4c6cdaa3260ddaea7aaa1d79_django-luoji-accounts_3e4c2ffc_20150729_151026_after_15.py
60a323661426696f4c6cdaa3260ddaea7aaa1d79,django-luoji-accounts,3e4c2ffc,2015-07-29 07:10:26,+0000,0003_auto_20150727_1058.py,ADD,22,0,,PythonFiles\django-luoji-accounts\3e4c2ffc\60a323661426696f4c6cdaa3260ddaea7aaa1d79\60a323661426696f4c6cdaa3260ddaea7aaa1d79_django-luoji-accounts_3e4c2ffc_20150729_151026_after_17.py
60a323661426696f4c6cdaa3260ddaea7aaa1d79,django-luoji-accounts,3e4c2ffc,2015-07-29 07:10:26,+0000,__init__.py,ADD,0,0,,
60a323661426696f4c6cdaa3260ddaea7aaa1d79,django-luoji-accounts,3e4c2ffc,2015-07-29 07:10:26,+0000,models.py,ADD,602,0,,PythonFiles\django-luoji-accounts\3e4c2ffc\60a323661426696f4c6cdaa3260ddaea7aaa1d79\60a323661426696f4c6cdaa3260ddaea7aaa1d79_django-luoji-accounts_3e4c2ffc_20150729_151026_after_21.py
60a323661426696f4c6cdaa3260ddaea7aaa1d79,django-luoji-accounts,3e4c2ffc,2015-07-29 07:10:26,+0000,tests.py,ADD,140,0,,PythonFiles\django-luoji-accounts\3e4c2ffc\60a323661426696f4c6cdaa3260ddaea7aaa1d79\60a323661426696f4c6cdaa3260ddaea7aaa1d79_django-luoji-accounts_3e4c2ffc_20150729_151026_after_23.py
60a323661426696f4c6cdaa3260ddaea7aaa1d79,django-luoji-accounts,3e4c2ffc,2015-07-29 07:10:26,+0000,urls.py,ADD,9,0,,PythonFiles\django-luoji-accounts\3e4c2ffc\60a323661426696f4c6cdaa3260ddaea7aaa1d79\60a323661426696f4c6cdaa3260ddaea7aaa1d79_django-luoji-accounts_3e4c2ffc_20150729_151026_after_25.py
60a323661426696f4c6cdaa3260ddaea7aaa1d79,django-luoji-accounts,3e4c2ffc,2015-07-29 07:10:26,+0000,views.py,ADD,25,0,,PythonFiles\django-luoji-accounts\3e4c2ffc\60a323661426696f4c6cdaa3260ddaea7aaa1d79\60a323661426696f4c6cdaa3260ddaea7aaa1d79_django-luoji-accounts_3e4c2ffc_20150729_151026_after_26.py
60a323661426696f4c6cdaa3260ddaea7aaa1d79,django-luoji-accounts,3e4c2ffc,2015-07-29 07:10:26,+0000,setup.py,ADD,35,0,,PythonFiles\django-luoji-accounts\3e4c2ffc\60a323661426696f4c6cdaa3260ddaea7aaa1d79\60a323661426696f4c6cdaa3260ddaea7aaa1d79_django-luoji-accounts_3e4c2ffc_20150729_151026_after_32.py
de3097396a4fc7fc95533c54ccc96fd3c19d42b0,django-luoji-accounts,479991ce,2015-07-29 07:10:26,+0000,__init__.py,ADD,0,0,,
de3097396a4fc7fc95533c54ccc96fd3c19d42b0,django-luoji-accounts,479991ce,2015-07-29 07:10:26,+0000,admin.py,ADD,3,0,,PythonFiles\django-luoji-accounts\479991ce\de3097396a4fc7fc95533c54ccc96fd3c19d42b0\de3097396a4fc7fc95533c54ccc96fd3c19d42b0_django-luoji-accounts_479991ce_20150729_151026_after_7.py
de3097396a4fc7fc95533c54ccc96fd3c19d42b0,django-luoji-accounts,479991ce,2015-07-29 07:10:26,+0000,api.py,ADD,27,0,,PythonFiles\django-luoji-accounts\479991ce\de3097396a4fc7fc95533c54ccc96fd3c19d42b0\de3097396a4fc7fc95533c54ccc96fd3c19d42b0_django-luoji-accounts_479991ce_20150729_151026_after_9.py
