CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
840a5e7a25c05dbd17478864305629a777c2cba6,django-npm,30d3803f,2015-03-14 21:34:58,+0000,__init__.py,ADD,0,0,,
840a5e7a25c05dbd17478864305629a777c2cba6,django-npm,30d3803f,2015-03-14 21:34:58,+0000,finders.py,ADD,35,0,,PythonFiles\django-npm\30d3803f\840a5e7a25c05dbd17478864305629a777c2cba6\840a5e7a25c05dbd17478864305629a777c2cba6_django-npm_30d3803f_20150314_113458_after_4.py
840a5e7a25c05dbd17478864305629a777c2cba6,django-npm,30d3803f,2015-03-14 21:34:58,+0000,setup.py,ADD,34,0,,PythonFiles\django-npm\30d3803f\840a5e7a25c05dbd17478864305629a777c2cba6\840a5e7a25c05dbd17478864305629a777c2cba6_django-npm_30d3803f_20150314_113458_after_5.py
840a5e7a25c05dbd17478864305629a777c2cba6,django-npm,30d3803f,2015-03-14 21:34:58,+0000,__init__.py,ADD,0,0,,
840a5e7a25c05dbd17478864305629a777c2cba6,django-npm,30d3803f,2015-03-14 21:34:58,+0000,__init__.py,ADD,0,0,,
840a5e7a25c05dbd17478864305629a777c2cba6,django-npm,30d3803f,2015-03-14 21:34:58,+0000,test_finder.py,ADD,15,0,,PythonFiles\django-npm\30d3803f\840a5e7a25c05dbd17478864305629a777c2cba6\840a5e7a25c05dbd17478864305629a777c2cba6_django-npm_30d3803f_20150314_113458_after_8.py
840a5e7a25c05dbd17478864305629a777c2cba6,django-npm,30d3803f,2015-03-14 21:34:58,+0000,test_npm_execution.py,ADD,13,0,,PythonFiles\django-npm\30d3803f\840a5e7a25c05dbd17478864305629a777c2cba6\840a5e7a25c05dbd17478864305629a777c2cba6_django-npm_30d3803f_20150314_113458_after_9.py
840a5e7a25c05dbd17478864305629a777c2cba6,django-npm,30d3803f,2015-03-14 21:34:58,+0000,util.py,ADD,15,0,,PythonFiles\django-npm\30d3803f\840a5e7a25c05dbd17478864305629a777c2cba6\840a5e7a25c05dbd17478864305629a777c2cba6_django-npm_30d3803f_20150314_113458_after_10.py
19d7975a92c366bd3e8f86fdfb478a781a72077d,django-npm,30d3803f,2015-03-14 22:11:56,+0000,finders.py,MODIFY,3,1,PythonFiles\django-npm\30d3803f\19d7975a92c366bd3e8f86fdfb478a781a72077d\19d7975a92c366bd3e8f86fdfb478a781a72077d_django-npm_30d3803f_20150314_121156_before_2.py,PythonFiles\django-npm\30d3803f\19d7975a92c366bd3e8f86fdfb478a781a72077d\19d7975a92c366bd3e8f86fdfb478a781a72077d_django-npm_30d3803f_20150314_121156_after_2.py
31b0c0577ed571393163fbf29a61e619005ccaf7,django-npm,30d3803f,2015-03-14 23:41:41,+0000,finders.py,MODIFY,7,2,PythonFiles\django-npm\30d3803f\31b0c0577ed571393163fbf29a61e619005ccaf7\31b0c0577ed571393163fbf29a61e619005ccaf7_django-npm_30d3803f_20150314_134141_before_2.py,PythonFiles\django-npm\30d3803f\31b0c0577ed571393163fbf29a61e619005ccaf7\31b0c0577ed571393163fbf29a61e619005ccaf7_django-npm_30d3803f_20150314_134141_after_2.py
