CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
50c707b3763e03cfc972d61f61f9b7f808d1f437,django-rolodex,cf91b5fe,2014-11-24 13:46:55,+0000,__init__.py,ADD,0,0,,
50c707b3763e03cfc972d61f61f9b7f808d1f437,django-rolodex,cf91b5fe,2014-11-24 13:46:55,+0000,router.py,ADD,17,0,,PythonFiles\django-rolodex\cf91b5fe\50c707b3763e03cfc972d61f61f9b7f808d1f437\50c707b3763e03cfc972d61f61f9b7f808d1f437_django-rolodex_cf91b5fe_20141124_074655_after_10.py
50c707b3763e03cfc972d61f61f9b7f808d1f437,django-rolodex,cf91b5fe,2014-11-24 13:46:55,+0000,serializers.py,ADD,85,0,,PythonFiles\django-rolodex\cf91b5fe\50c707b3763e03cfc972d61f61f9b7f808d1f437\50c707b3763e03cfc972d61f61f9b7f808d1f437_django-rolodex_cf91b5fe_20141124_074655_after_11.py
50c707b3763e03cfc972d61f61f9b7f808d1f437,django-rolodex,cf91b5fe,2014-11-24 13:46:55,+0000,views.py,ADD,69,0,,PythonFiles\django-rolodex\cf91b5fe\50c707b3763e03cfc972d61f61f9b7f808d1f437\50c707b3763e03cfc972d61f61f9b7f808d1f437_django-rolodex_cf91b5fe_20141124_074655_after_12.py
50c707b3763e03cfc972d61f61f9b7f808d1f437,django-rolodex,cf91b5fe,2014-11-24 13:46:55,+0000,__init__.py,ADD,3,0,,PythonFiles\django-rolodex\cf91b5fe\50c707b3763e03cfc972d61f61f9b7f808d1f437\50c707b3763e03cfc972d61f61f9b7f808d1f437_django-rolodex_cf91b5fe_20141124_074655_after_13.py
50c707b3763e03cfc972d61f61f9b7f808d1f437,django-rolodex,cf91b5fe,2014-11-24 13:46:55,+0000,admin.py,ADD,22,0,,PythonFiles\django-rolodex\cf91b5fe\50c707b3763e03cfc972d61f61f9b7f808d1f437\50c707b3763e03cfc972d61f61f9b7f808d1f437_django-rolodex_cf91b5fe_20141124_074655_after_14.py
50c707b3763e03cfc972d61f61f9b7f808d1f437,django-rolodex,cf91b5fe,2014-11-24 13:46:55,+0000,forms.py,ADD,41,0,,PythonFiles\django-rolodex\cf91b5fe\50c707b3763e03cfc972d61f61f9b7f808d1f437\50c707b3763e03cfc972d61f61f9b7f808d1f437_django-rolodex_cf91b5fe_20141124_074655_after_15.py
50c707b3763e03cfc972d61f61f9b7f808d1f437,django-rolodex,cf91b5fe,2014-11-24 13:46:55,+0000,0001_initial.py,ADD,285,0,,PythonFiles\django-rolodex\cf91b5fe\50c707b3763e03cfc972d61f61f9b7f808d1f437\50c707b3763e03cfc972d61f61f9b7f808d1f437_django-rolodex_cf91b5fe_20141124_074655_after_16.py
50c707b3763e03cfc972d61f61f9b7f808d1f437,django-rolodex,cf91b5fe,2014-11-24 13:46:55,+0000,0002_fixtures.py,ADD,19,0,,PythonFiles\django-rolodex\cf91b5fe\50c707b3763e03cfc972d61f61f9b7f808d1f437\50c707b3763e03cfc972d61f61f9b7f808d1f437_django-rolodex_cf91b5fe_20141124_074655_after_17.py
50c707b3763e03cfc972d61f61f9b7f808d1f437,django-rolodex,cf91b5fe,2014-11-24 13:46:55,+0000,__init__.py,ADD,0,0,,
50c707b3763e03cfc972d61f61f9b7f808d1f437,django-rolodex,cf91b5fe,2014-11-24 13:46:55,+0000,models.py,ADD,484,0,,PythonFiles\django-rolodex\cf91b5fe\50c707b3763e03cfc972d61f61f9b7f808d1f437\50c707b3763e03cfc972d61f61f9b7f808d1f437_django-rolodex_cf91b5fe_20141124_074655_after_19.py
50c707b3763e03cfc972d61f61f9b7f808d1f437,django-rolodex,cf91b5fe,2014-11-24 13:46:55,+0000,routers.py,ADD,22,0,,PythonFiles\django-rolodex\cf91b5fe\50c707b3763e03cfc972d61f61f9b7f808d1f437\50c707b3763e03cfc972d61f61f9b7f808d1f437_django-rolodex_cf91b5fe_20141124_074655_after_20.py
50c707b3763e03cfc972d61f61f9b7f808d1f437,django-rolodex,cf91b5fe,2014-11-24 13:46:55,+0000,settings.py,ADD,27,0,,PythonFiles\django-rolodex\cf91b5fe\50c707b3763e03cfc972d61f61f9b7f808d1f437\50c707b3763e03cfc972d61f61f9b7f808d1f437_django-rolodex_cf91b5fe_20141124_074655_after_21.py
50c707b3763e03cfc972d61f61f9b7f808d1f437,django-rolodex,cf91b5fe,2014-11-24 13:46:55,+0000,__init__.py,ADD,0,0,,
50c707b3763e03cfc972d61f61f9b7f808d1f437,django-rolodex,cf91b5fe,2014-11-24 13:46:55,+0000,formset_tags.py,ADD,52,0,,PythonFiles\django-rolodex\cf91b5fe\50c707b3763e03cfc972d61f61f9b7f808d1f437\50c707b3763e03cfc972d61f61f9b7f808d1f437_django-rolodex_cf91b5fe_20141124_074655_after_51.py
