CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
cf5d6091421d7639997a7222e44c4c7d74a790a7,django-sae,9da83e56,2014-03-14 20:07:56,+0000,__init__.py,ADD,7,0,,PythonFiles\django-sae\9da83e56\cf5d6091421d7639997a7222e44c4c7d74a790a7\cf5d6091421d7639997a7222e44c4c7d74a790a7_django-sae_9da83e56_20140315_040756_after_3.py
cf5d6091421d7639997a7222e44c4c7d74a790a7,django-sae,9da83e56,2014-03-14 20:07:56,+0000,__init__.py,ADD,1,0,,PythonFiles\django-sae\9da83e56\cf5d6091421d7639997a7222e44c4c7d74a790a7\cf5d6091421d7639997a7222e44c4c7d74a790a7_django-sae_9da83e56_20140315_040756_after_4.py
cf5d6091421d7639997a7222e44c4c7d74a790a7,django-sae,9da83e56,2014-03-14 20:07:56,+0000,backends.py,ADD,31,0,,PythonFiles\django-sae\9da83e56\cf5d6091421d7639997a7222e44c4c7d74a790a7\cf5d6091421d7639997a7222e44c4c7d74a790a7_django-sae_9da83e56_20140315_040756_after_5.py
cf5d6091421d7639997a7222e44c4c7d74a790a7,django-sae,9da83e56,2014-03-14 20:07:56,+0000,managers.py,ADD,18,0,,PythonFiles\django-sae\9da83e56\cf5d6091421d7639997a7222e44c4c7d74a790a7\cf5d6091421d7639997a7222e44c4c7d74a790a7_django-sae_9da83e56_20140315_040756_after_6.py
cf5d6091421d7639997a7222e44c4c7d74a790a7,django-sae,9da83e56,2014-03-14 20:07:56,+0000,models.py,ADD,79,0,,PythonFiles\django-sae\9da83e56\cf5d6091421d7639997a7222e44c4c7d74a790a7\cf5d6091421d7639997a7222e44c4c7d74a790a7_django-sae_9da83e56_20140315_040756_after_7.py
cf5d6091421d7639997a7222e44c4c7d74a790a7,django-sae,9da83e56,2014-03-14 20:07:56,+0000,__init__.py,ADD,1,0,,PythonFiles\django-sae\9da83e56\cf5d6091421d7639997a7222e44c4c7d74a790a7\cf5d6091421d7639997a7222e44c4c7d74a790a7_django-sae_9da83e56_20140315_040756_after_8.py
cf5d6091421d7639997a7222e44c4c7d74a790a7,django-sae,9da83e56,2014-03-14 20:07:56,+0000,__init__.py,ADD,1,0,,PythonFiles\django-sae\9da83e56\cf5d6091421d7639997a7222e44c4c7d74a790a7\cf5d6091421d7639997a7222e44c4c7d74a790a7_django-sae_9da83e56_20140315_040756_after_9.py
cf5d6091421d7639997a7222e44c4c7d74a790a7,django-sae,9da83e56,2014-03-14 20:07:56,+0000,cron.py,ADD,30,0,,PythonFiles\django-sae\9da83e56\cf5d6091421d7639997a7222e44c4c7d74a790a7\cf5d6091421d7639997a7222e44c4c7d74a790a7_django-sae_9da83e56_20140315_040756_after_10.py
cf5d6091421d7639997a7222e44c4c7d74a790a7,django-sae,9da83e56,2014-03-14 20:07:56,+0000,operations.py,ADD,79,0,,PythonFiles\django-sae\9da83e56\cf5d6091421d7639997a7222e44c4c7d74a790a7\cf5d6091421d7639997a7222e44c4c7d74a790a7_django-sae_9da83e56_20140315_040756_after_11.py
cf5d6091421d7639997a7222e44c4c7d74a790a7,django-sae,9da83e56,2014-03-14 20:07:56,+0000,__init__.py,ADD,1,0,,PythonFiles\django-sae\9da83e56\cf5d6091421d7639997a7222e44c4c7d74a790a7\cf5d6091421d7639997a7222e44c4c7d74a790a7_django-sae_9da83e56_20140315_040756_after_12.py
cf5d6091421d7639997a7222e44c4c7d74a790a7,django-sae,9da83e56,2014-03-14 20:07:56,+0000,base.py,ADD,8,0,,PythonFiles\django-sae\9da83e56\cf5d6091421d7639997a7222e44c4c7d74a790a7\cf5d6091421d7639997a7222e44c4c7d74a790a7_django-sae_9da83e56_20140315_040756_after_13.py
cf5d6091421d7639997a7222e44c4c7d74a790a7,django-sae,9da83e56,2014-03-14 20:07:56,+0000,operations.py,ADD,16,0,,PythonFiles\django-sae\9da83e56\cf5d6091421d7639997a7222e44c4c7d74a790a7\cf5d6091421d7639997a7222e44c4c7d74a790a7_django-sae_9da83e56_20140315_040756_after_14.py
cf5d6091421d7639997a7222e44c4c7d74a790a7,django-sae,9da83e56,2014-03-14 20:07:56,+0000,test_cron.py,ADD,24,0,,PythonFiles\django-sae\9da83e56\cf5d6091421d7639997a7222e44c4c7d74a790a7\cf5d6091421d7639997a7222e44c4c7d74a790a7_django-sae_9da83e56_20140315_040756_after_15.py
cf5d6091421d7639997a7222e44c4c7d74a790a7,django-sae,9da83e56,2014-03-14 20:07:56,+0000,test_operations.py,ADD,51,0,,PythonFiles\django-sae\9da83e56\cf5d6091421d7639997a7222e44c4c7d74a790a7\cf5d6091421d7639997a7222e44c4c7d74a790a7_django-sae_9da83e56_20140315_040756_after_16.py
cf5d6091421d7639997a7222e44c4c7d74a790a7,django-sae,9da83e56,2014-03-14 20:07:56,+0000,test_views.py,ADD,28,0,,PythonFiles\django-sae\9da83e56\cf5d6091421d7639997a7222e44c4c7d74a790a7\cf5d6091421d7639997a7222e44c4c7d74a790a7_django-sae_9da83e56_20140315_040756_after_17.py
cf5d6091421d7639997a7222e44c4c7d74a790a7,django-sae,9da83e56,2014-03-14 20:07:56,+0000,urls.py,ADD,9,0,,PythonFiles\django-sae\9da83e56\cf5d6091421d7639997a7222e44c4c7d74a790a7\cf5d6091421d7639997a7222e44c4c7d74a790a7_django-sae_9da83e56_20140315_040756_after_18.py
cf5d6091421d7639997a7222e44c4c7d74a790a7,django-sae,9da83e56,2014-03-14 20:07:56,+0000,views.py,ADD,8,0,,PythonFiles\django-sae\9da83e56\cf5d6091421d7639997a7222e44c4c7d74a790a7\cf5d6091421d7639997a7222e44c4c7d74a790a7_django-sae_9da83e56_20140315_040756_after_19.py
cf5d6091421d7639997a7222e44c4c7d74a790a7,django-sae,9da83e56,2014-03-14 20:07:56,+0000,urls.py,ADD,7,0,,PythonFiles\django-sae\9da83e56\cf5d6091421d7639997a7222e44c4c7d74a790a7\cf5d6091421d7639997a7222e44c4c7d74a790a7_django-sae_9da83e56_20140315_040756_after_20.py
cf5d6091421d7639997a7222e44c4c7d74a790a7,django-sae,9da83e56,2014-03-14 20:07:56,+0000,views.py,ADD,16,0,,PythonFiles\django-sae\9da83e56\cf5d6091421d7639997a7222e44c4c7d74a790a7\cf5d6091421d7639997a7222e44c4c7d74a790a7_django-sae_9da83e56_20140315_040756_after_21.py
cf5d6091421d7639997a7222e44c4c7d74a790a7,django-sae,9da83e56,2014-03-14 20:07:56,+0000,__init__.py,ADD,1,0,,PythonFiles\django-sae\9da83e56\cf5d6091421d7639997a7222e44c4c7d74a790a7\cf5d6091421d7639997a7222e44c4c7d74a790a7_django-sae_9da83e56_20140315_040756_after_22.py
