CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
8093ca2807a26b664f30c0cd5f34e72c5e8650a8,django-seo-js,0a9d2001,2014-05-08 17:52:31,+0000,setup.py,ADD,44,0,,PythonFiles\django-seo-js\0a9d2001\8093ca2807a26b664f30c0cd5f34e72c5e8650a8\8093ca2807a26b664f30c0cd5f34e72c5e8650a8_django-seo-js_0a9d2001_20140508_105231_after_9.py
79aa3feecf870cb931047953900c313f6e32abfd,django-seo-js,0a9d2001,2014-05-08 18:43:59,+0000,__init__.py,ADD,0,0,,
ce17bfe5041796073268d3ffead377153de57979,django-seo-js,0a9d2001,2014-05-08 21:48:25,+0000,backends.py,ADD,45,0,,PythonFiles\django-seo-js\0a9d2001\ce17bfe5041796073268d3ffead377153de57979\ce17bfe5041796073268d3ffead377153de57979_django-seo-js_0a9d2001_20140508_144825_after_1.py
ce17bfe5041796073268d3ffead377153de57979,django-seo-js,0a9d2001,2014-05-08 21:48:25,+0000,middleware.py,ADD,36,0,,PythonFiles\django-seo-js\0a9d2001\ce17bfe5041796073268d3ffead377153de57979\ce17bfe5041796073268d3ffead377153de57979_django-seo-js_0a9d2001_20140508_144825_after_2.py
c34cbfe76798c1b797ca68e695d64d7ff45bab32,django-seo-js,0a9d2001,2014-05-08 22:31:32,+0000,__init__.py,RENAME,0,0,,
c34cbfe76798c1b797ca68e695d64d7ff45bab32,django-seo-js,0a9d2001,2014-05-08 22:31:32,+0000,__init__.py,ADD,0,0,,
c34cbfe76798c1b797ca68e695d64d7ff45bab32,django-seo-js,0a9d2001,2014-05-08 22:31:32,+0000,backends.py,RENAME,12,6,PythonFiles\django-seo-js\0a9d2001\c34cbfe76798c1b797ca68e695d64d7ff45bab32\c34cbfe76798c1b797ca68e695d64d7ff45bab32_django-seo-js_0a9d2001_20140508_153132_before_5.py,PythonFiles\django-seo-js\0a9d2001\c34cbfe76798c1b797ca68e695d64d7ff45bab32\c34cbfe76798c1b797ca68e695d64d7ff45bab32_django-seo-js_0a9d2001_20140508_153132_after_5.py
c34cbfe76798c1b797ca68e695d64d7ff45bab32,django-seo-js,0a9d2001,2014-05-08 22:31:32,+0000,middleware.py,RENAME,5,6,PythonFiles\django-seo-js\0a9d2001\c34cbfe76798c1b797ca68e695d64d7ff45bab32\c34cbfe76798c1b797ca68e695d64d7ff45bab32_django-seo-js_0a9d2001_20140508_153132_before_7.py,PythonFiles\django-seo-js\0a9d2001\c34cbfe76798c1b797ca68e695d64d7ff45bab32\c34cbfe76798c1b797ca68e695d64d7ff45bab32_django-seo-js_0a9d2001_20140508_153132_after_7.py
c34cbfe76798c1b797ca68e695d64d7ff45bab32,django-seo-js,0a9d2001,2014-05-08 22:31:32,+0000,__init__.py,ADD,0,0,,
c34cbfe76798c1b797ca68e695d64d7ff45bab32,django-seo-js,0a9d2001,2014-05-08 22:31:32,+0000,test_backends.py,ADD,0,0,,
