CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
8331bcef870bccec4253b53584235a62ea4a43e5,django-sloop,81a26455,2014-12-23 20:12:09,+0000,__init__.py,ADD,0,0,,
75d23933e5271efdb8c39c4f0e62f7c9c858a1a4,django-sloop,81a26455,2014-12-25 11:25:36,+0000,setup.py,ADD,22,0,,PythonFiles\django-sloop\81a26455\75d23933e5271efdb8c39c4f0e62f7c9c858a1a4\75d23933e5271efdb8c39c4f0e62f7c9c858a1a4_django-sloop_81a26455_20141225_132536_after_5.py
75d23933e5271efdb8c39c4f0e62f7c9c858a1a4,django-sloop,81a26455,2014-12-25 11:25:36,+0000,__init__.py,ADD,0,0,,
75d23933e5271efdb8c39c4f0e62f7c9c858a1a4,django-sloop,81a26455,2014-12-25 11:25:36,+0000,constants.py,ADD,10,0,,PythonFiles\django-sloop\81a26455\75d23933e5271efdb8c39c4f0e62f7c9c858a1a4\75d23933e5271efdb8c39c4f0e62f7c9c858a1a4_django-sloop_81a26455_20141225_132536_after_7.py
75d23933e5271efdb8c39c4f0e62f7c9c858a1a4,django-sloop,81a26455,2014-12-25 11:25:36,+0000,models.py,ADD,141,0,,PythonFiles\django-sloop\81a26455\75d23933e5271efdb8c39c4f0e62f7c9c858a1a4\75d23933e5271efdb8c39c4f0e62f7c9c858a1a4_django-sloop_81a26455_20141225_132536_after_8.py
75d23933e5271efdb8c39c4f0e62f7c9c858a1a4,django-sloop,81a26455,2014-12-25 11:25:36,+0000,serializers.py,ADD,10,0,,PythonFiles\django-sloop\81a26455\75d23933e5271efdb8c39c4f0e62f7c9c858a1a4\75d23933e5271efdb8c39c4f0e62f7c9c858a1a4_django-sloop_81a26455_20141225_132536_after_9.py
75d23933e5271efdb8c39c4f0e62f7c9c858a1a4,django-sloop,81a26455,2014-12-25 11:25:36,+0000,tasks.py,ADD,36,0,,PythonFiles\django-sloop\81a26455\75d23933e5271efdb8c39c4f0e62f7c9c858a1a4\75d23933e5271efdb8c39c4f0e62f7c9c858a1a4_django-sloop_81a26455_20141225_132536_after_10.py
75d23933e5271efdb8c39c4f0e62f7c9c858a1a4,django-sloop,81a26455,2014-12-25 11:25:36,+0000,utils.py,ADD,29,0,,PythonFiles\django-sloop\81a26455\75d23933e5271efdb8c39c4f0e62f7c9c858a1a4\75d23933e5271efdb8c39c4f0e62f7c9c858a1a4_django-sloop_81a26455_20141225_132536_after_11.py
75d23933e5271efdb8c39c4f0e62f7c9c858a1a4,django-sloop,81a26455,2014-12-25 11:25:36,+0000,views.py,ADD,34,0,,PythonFiles\django-sloop\81a26455\75d23933e5271efdb8c39c4f0e62f7c9c858a1a4\75d23933e5271efdb8c39c4f0e62f7c9c858a1a4_django-sloop_81a26455_20141225_132536_after_12.py
64abb4fe0c70c1acc52817ce948b3bd63410bc95,django-sloop,81a26455,2014-12-27 10:13:39,+0000,models.py,MODIFY,2,2,PythonFiles\django-sloop\81a26455\64abb4fe0c70c1acc52817ce948b3bd63410bc95\64abb4fe0c70c1acc52817ce948b3bd63410bc95_django-sloop_81a26455_20141227_121339_before_1.py,PythonFiles\django-sloop\81a26455\64abb4fe0c70c1acc52817ce948b3bd63410bc95\64abb4fe0c70c1acc52817ce948b3bd63410bc95_django-sloop_81a26455_20141227_121339_after_1.py
55c29d2d974b2a507d04a33f02c21e384fdc4cc3,django-sloop,81a26455,2014-12-27 10:14:36,+0000,setup.py,MODIFY,1,1,PythonFiles\django-sloop\81a26455\55c29d2d974b2a507d04a33f02c21e384fdc4cc3\55c29d2d974b2a507d04a33f02c21e384fdc4cc3_django-sloop_81a26455_20141227_121436_before_1.py,PythonFiles\django-sloop\81a26455\55c29d2d974b2a507d04a33f02c21e384fdc4cc3\55c29d2d974b2a507d04a33f02c21e384fdc4cc3_django-sloop_81a26455_20141227_121436_after_1.py
b76a80404752f61d88bb14ca0e75deb6a34e07cb,django-sloop,81a26455,2014-12-30 18:13:33,+0000,setup.py,MODIFY,0,1,PythonFiles\django-sloop\81a26455\b76a80404752f61d88bb14ca0e75deb6a34e07cb\b76a80404752f61d88bb14ca0e75deb6a34e07cb_django-sloop_81a26455_20141230_201333_before_2.py,PythonFiles\django-sloop\81a26455\b76a80404752f61d88bb14ca0e75deb6a34e07cb\b76a80404752f61d88bb14ca0e75deb6a34e07cb_django-sloop_81a26455_20141230_201333_after_2.py
e267ecb6856a665a650fd5d9ad525ec7adccfbd3,django-sloop,81a26455,2014-12-30 18:14:41,+0000,setup.py,MODIFY,1,1,PythonFiles\django-sloop\81a26455\e267ecb6856a665a650fd5d9ad525ec7adccfbd3\e267ecb6856a665a650fd5d9ad525ec7adccfbd3_django-sloop_81a26455_20141230_201441_before_2.py,PythonFiles\django-sloop\81a26455\e267ecb6856a665a650fd5d9ad525ec7adccfbd3\e267ecb6856a665a650fd5d9ad525ec7adccfbd3_django-sloop_81a26455_20141230_201441_after_2.py
b6a39dc471b82487b684f723bda25cc279abf9fc,django-sloop,179bca94,2015-02-02 11:36:42,+0000,tasks.py,MODIFY,6,26,PythonFiles\django-sloop\179bca94\b6a39dc471b82487b684f723bda25cc279abf9fc\b6a39dc471b82487b684f723bda25cc279abf9fc_django-sloop_179bca94_20150202_133642_before_1.py,PythonFiles\django-sloop\179bca94\b6a39dc471b82487b684f723bda25cc279abf9fc\b6a39dc471b82487b684f723bda25cc279abf9fc_django-sloop_179bca94_20150202_133642_after_1.py
a557e056c89c3c89c059d8204d1634684350d4f3,django-sloop,179bca94,2015-02-02 11:37:25,+0000,views.py,MODIFY,1,1,PythonFiles\django-sloop\179bca94\a557e056c89c3c89c059d8204d1634684350d4f3\a557e056c89c3c89c059d8204d1634684350d4f3_django-sloop_179bca94_20150202_133725_before_1.py,PythonFiles\django-sloop\179bca94\a557e056c89c3c89c059d8204d1634684350d4f3\a557e056c89c3c89c059d8204d1634684350d4f3_django-sloop_179bca94_20150202_133725_after_1.py
de11aba2c9f7fa4c6a6be7a41c4973e267724bc3,django-sloop,179bca94,2015-02-02 11:37:42,+0000,models.py,MODIFY,2,2,PythonFiles\django-sloop\179bca94\de11aba2c9f7fa4c6a6be7a41c4973e267724bc3\de11aba2c9f7fa4c6a6be7a41c4973e267724bc3_django-sloop_179bca94_20150202_133742_before_1.py,PythonFiles\django-sloop\179bca94\de11aba2c9f7fa4c6a6be7a41c4973e267724bc3\de11aba2c9f7fa4c6a6be7a41c4973e267724bc3_django-sloop_179bca94_20150202_133742_after_1.py
9e4fa9646d0da2d5354aafba6370dee28bae8852,django-sloop,179bca94,2015-02-02 11:48:24,+0000,models.py,MODIFY,6,2,PythonFiles\django-sloop\179bca94\9e4fa9646d0da2d5354aafba6370dee28bae8852\9e4fa9646d0da2d5354aafba6370dee28bae8852_django-sloop_179bca94_20150202_134824_before_1.py,PythonFiles\django-sloop\179bca94\9e4fa9646d0da2d5354aafba6370dee28bae8852\9e4fa9646d0da2d5354aafba6370dee28bae8852_django-sloop_179bca94_20150202_134824_after_1.py
ed77339cddf8359360928c3598dc77ddb4608acc,django-sloop,179bca94,2015-02-02 12:00:31,+0000,models.py,MODIFY,20,0,PythonFiles\django-sloop\179bca94\ed77339cddf8359360928c3598dc77ddb4608acc\ed77339cddf8359360928c3598dc77ddb4608acc_django-sloop_179bca94_20150202_140031_before_1.py,PythonFiles\django-sloop\179bca94\ed77339cddf8359360928c3598dc77ddb4608acc\ed77339cddf8359360928c3598dc77ddb4608acc_django-sloop_179bca94_20150202_140031_after_1.py
4140d4c49b917ffb7bcd621842a5b28f78d3ef95,django-sloop,81a26455,2015-02-12 12:24:14,+0000,models.py,MODIFY,34,14,PythonFiles\django-sloop\81a26455\4140d4c49b917ffb7bcd621842a5b28f78d3ef95\4140d4c49b917ffb7bcd621842a5b28f78d3ef95_django-sloop_81a26455_20150212_142414_before_1.py,PythonFiles\django-sloop\81a26455\4140d4c49b917ffb7bcd621842a5b28f78d3ef95\4140d4c49b917ffb7bcd621842a5b28f78d3ef95_django-sloop_81a26455_20150212_142414_after_1.py
4140d4c49b917ffb7bcd621842a5b28f78d3ef95,django-sloop,81a26455,2015-02-12 12:24:14,+0000,tasks.py,MODIFY,12,3,PythonFiles\django-sloop\81a26455\4140d4c49b917ffb7bcd621842a5b28f78d3ef95\4140d4c49b917ffb7bcd621842a5b28f78d3ef95_django-sloop_81a26455_20150212_142414_before_2.py,PythonFiles\django-sloop\81a26455\4140d4c49b917ffb7bcd621842a5b28f78d3ef95\4140d4c49b917ffb7bcd621842a5b28f78d3ef95_django-sloop_81a26455_20150212_142414_after_2.py
dd29ccb9df10b3a538f3ca39e49b00763e70f742,django-sloop,81a26455,2015-02-12 12:24:58,+0000,setup.py,MODIFY,1,1,PythonFiles\django-sloop\81a26455\dd29ccb9df10b3a538f3ca39e49b00763e70f742\dd29ccb9df10b3a538f3ca39e49b00763e70f742_django-sloop_81a26455_20150212_142458_before_1.py,PythonFiles\django-sloop\81a26455\dd29ccb9df10b3a538f3ca39e49b00763e70f742\dd29ccb9df10b3a538f3ca39e49b00763e70f742_django-sloop_81a26455_20150212_142458_after_1.py
0cc19096137d8aa42032f4945d754756a99c1b42,django-sloop,81a26455,2015-02-12 13:40:12,+0000,setup.py,MODIFY,1,1,PythonFiles\django-sloop\81a26455\0cc19096137d8aa42032f4945d754756a99c1b42\0cc19096137d8aa42032f4945d754756a99c1b42_django-sloop_81a26455_20150212_154012_before_1.py,PythonFiles\django-sloop\81a26455\0cc19096137d8aa42032f4945d754756a99c1b42\0cc19096137d8aa42032f4945d754756a99c1b42_django-sloop_81a26455_20150212_154012_after_1.py
0cc19096137d8aa42032f4945d754756a99c1b42,django-sloop,81a26455,2015-02-12 13:40:12,+0000,models.py,MODIFY,7,0,PythonFiles\django-sloop\81a26455\0cc19096137d8aa42032f4945d754756a99c1b42\0cc19096137d8aa42032f4945d754756a99c1b42_django-sloop_81a26455_20150212_154012_before_2.py,PythonFiles\django-sloop\81a26455\0cc19096137d8aa42032f4945d754756a99c1b42\0cc19096137d8aa42032f4945d754756a99c1b42_django-sloop_81a26455_20150212_154012_after_2.py
00079eb65810d14d8920cda38426efff461a65c7,django-sloop,81a26455,2015-02-12 13:56:46,+0000,setup.py,MODIFY,1,1,PythonFiles\django-sloop\81a26455\00079eb65810d14d8920cda38426efff461a65c7\00079eb65810d14d8920cda38426efff461a65c7_django-sloop_81a26455_20150212_155646_before_1.py,PythonFiles\django-sloop\81a26455\00079eb65810d14d8920cda38426efff461a65c7\00079eb65810d14d8920cda38426efff461a65c7_django-sloop_81a26455_20150212_155646_after_1.py
00079eb65810d14d8920cda38426efff461a65c7,django-sloop,81a26455,2015-02-12 13:56:46,+0000,tasks.py,MODIFY,2,3,PythonFiles\django-sloop\81a26455\00079eb65810d14d8920cda38426efff461a65c7\00079eb65810d14d8920cda38426efff461a65c7_django-sloop_81a26455_20150212_155646_before_2.py,PythonFiles\django-sloop\81a26455\00079eb65810d14d8920cda38426efff461a65c7\00079eb65810d14d8920cda38426efff461a65c7_django-sloop_81a26455_20150212_155646_after_2.py
97cd38becf69989e7db6a2413410e395e2512fbc,django-sloop,0836d3ed,2015-05-01 11:27:12,+0000,models.py,MODIFY,1,0,PythonFiles\django-sloop\0836d3ed\97cd38becf69989e7db6a2413410e395e2512fbc\97cd38becf69989e7db6a2413410e395e2512fbc_django-sloop_0836d3ed_20150501_112712_before_1.py,PythonFiles\django-sloop\0836d3ed\97cd38becf69989e7db6a2413410e395e2512fbc\97cd38becf69989e7db6a2413410e395e2512fbc_django-sloop_0836d3ed_20150501_112712_after_1.py
97cd38becf69989e7db6a2413410e395e2512fbc,django-sloop,0836d3ed,2015-05-01 11:27:12,+0000,serializers.py,MODIFY,2,1,PythonFiles\django-sloop\0836d3ed\97cd38becf69989e7db6a2413410e395e2512fbc\97cd38becf69989e7db6a2413410e395e2512fbc_django-sloop_0836d3ed_20150501_112712_before_2.py,PythonFiles\django-sloop\0836d3ed\97cd38becf69989e7db6a2413410e395e2512fbc\97cd38becf69989e7db6a2413410e395e2512fbc_django-sloop_0836d3ed_20150501_112712_after_2.py
97cd38becf69989e7db6a2413410e395e2512fbc,django-sloop,0836d3ed,2015-05-01 11:27:12,+0000,tasks.py,MODIFY,1,0,PythonFiles\django-sloop\0836d3ed\97cd38becf69989e7db6a2413410e395e2512fbc\97cd38becf69989e7db6a2413410e395e2512fbc_django-sloop_0836d3ed_20150501_112712_before_3.py,PythonFiles\django-sloop\0836d3ed\97cd38becf69989e7db6a2413410e395e2512fbc\97cd38becf69989e7db6a2413410e395e2512fbc_django-sloop_0836d3ed_20150501_112712_after_3.py
97cd38becf69989e7db6a2413410e395e2512fbc,django-sloop,0836d3ed,2015-05-01 11:27:12,+0000,views.py,MODIFY,18,0,PythonFiles\django-sloop\0836d3ed\97cd38becf69989e7db6a2413410e395e2512fbc\97cd38becf69989e7db6a2413410e395e2512fbc_django-sloop_0836d3ed_20150501_112712_before_4.py,PythonFiles\django-sloop\0836d3ed\97cd38becf69989e7db6a2413410e395e2512fbc\97cd38becf69989e7db6a2413410e395e2512fbc_django-sloop_0836d3ed_20150501_112712_after_4.py
73cf24abfccde4cc9358d160da55d824e27ec229,django-sloop,8bf070df,2015-05-04 11:25:34,+0000,admin.py,ADD,102,0,,PythonFiles\django-sloop\8bf070df\73cf24abfccde4cc9358d160da55d824e27ec229\73cf24abfccde4cc9358d160da55d824e27ec229_django-sloop_8bf070df_20150504_142534_after_1.py
cda44f1971e16120f53ec80233a95f1a4a0ea408,django-sloop,8bf070df,2015-05-04 14:12:35,+0000,admin.py,MODIFY,9,9,PythonFiles\django-sloop\8bf070df\cda44f1971e16120f53ec80233a95f1a4a0ea408\cda44f1971e16120f53ec80233a95f1a4a0ea408_django-sloop_8bf070df_20150504_171235_before_2.py,PythonFiles\django-sloop\8bf070df\cda44f1971e16120f53ec80233a95f1a4a0ea408\cda44f1971e16120f53ec80233a95f1a4a0ea408_django-sloop_8bf070df_20150504_171235_after_2.py
cda44f1971e16120f53ec80233a95f1a4a0ea408,django-sloop,8bf070df,2015-05-04 14:12:35,+0000,serializers.py,MODIFY,1,1,PythonFiles\django-sloop\8bf070df\cda44f1971e16120f53ec80233a95f1a4a0ea408\cda44f1971e16120f53ec80233a95f1a4a0ea408_django-sloop_8bf070df_20150504_171235_before_3.py,PythonFiles\django-sloop\8bf070df\cda44f1971e16120f53ec80233a95f1a4a0ea408\cda44f1971e16120f53ec80233a95f1a4a0ea408_django-sloop_8bf070df_20150504_171235_after_3.py
cda44f1971e16120f53ec80233a95f1a4a0ea408,django-sloop,8bf070df,2015-05-04 14:12:35,+0000,views.py,MODIFY,20,22,PythonFiles\django-sloop\8bf070df\cda44f1971e16120f53ec80233a95f1a4a0ea408\cda44f1971e16120f53ec80233a95f1a4a0ea408_django-sloop_8bf070df_20150504_171235_before_5.py,PythonFiles\django-sloop\8bf070df\cda44f1971e16120f53ec80233a95f1a4a0ea408\cda44f1971e16120f53ec80233a95f1a4a0ea408_django-sloop_8bf070df_20150504_171235_after_5.py
f3848485a587f19207b48f677c159677c582cf1c,django-sloop,81a26455,2015-05-04 15:19:28,+0000,setup.py,MODIFY,1,1,PythonFiles\django-sloop\81a26455\f3848485a587f19207b48f677c159677c582cf1c\f3848485a587f19207b48f677c159677c582cf1c_django-sloop_81a26455_20150504_181928_before_2.py,PythonFiles\django-sloop\81a26455\f3848485a587f19207b48f677c159677c582cf1c\f3848485a587f19207b48f677c159677c582cf1c_django-sloop_81a26455_20150504_181928_after_2.py
8dae3186134b9fddb1e0a6f0204d52e29e4a6dc0,django-sloop,0836d3ed,2015-05-04 16:50:48,+0000,views.py,MODIFY,2,2,PythonFiles\django-sloop\0836d3ed\8dae3186134b9fddb1e0a6f0204d52e29e4a6dc0\8dae3186134b9fddb1e0a6f0204d52e29e4a6dc0_django-sloop_0836d3ed_20150504_165048_before_1.py,PythonFiles\django-sloop\0836d3ed\8dae3186134b9fddb1e0a6f0204d52e29e4a6dc0\8dae3186134b9fddb1e0a6f0204d52e29e4a6dc0_django-sloop_0836d3ed_20150504_165048_after_1.py
623edc58a163700e5d8f9cf1f23066f7b624b0a6,django-sloop,0836d3ed,2015-05-04 16:53:52,+0000,views.py,MODIFY,3,0,PythonFiles\django-sloop\0836d3ed\623edc58a163700e5d8f9cf1f23066f7b624b0a6\623edc58a163700e5d8f9cf1f23066f7b624b0a6_django-sloop_0836d3ed_20150504_165352_before_1.py,PythonFiles\django-sloop\0836d3ed\623edc58a163700e5d8f9cf1f23066f7b624b0a6\623edc58a163700e5d8f9cf1f23066f7b624b0a6_django-sloop_0836d3ed_20150504_165352_after_1.py
eccbfdffa75ca59bb026c17d58db04d87bbb0764,django-sloop,0836d3ed,2015-05-04 16:59:35,+0000,setup.py,MODIFY,1,1,PythonFiles\django-sloop\0836d3ed\eccbfdffa75ca59bb026c17d58db04d87bbb0764\eccbfdffa75ca59bb026c17d58db04d87bbb0764_django-sloop_0836d3ed_20150504_165935_before_1.py,PythonFiles\django-sloop\0836d3ed\eccbfdffa75ca59bb026c17d58db04d87bbb0764\eccbfdffa75ca59bb026c17d58db04d87bbb0764_django-sloop_0836d3ed_20150504_165935_after_1.py
3b93697dae6559e0989a9677757de4293cafac30,django-sloop,0836d3ed,2015-05-04 17:39:11,+0000,serializers.py,MODIFY,1,1,PythonFiles\django-sloop\0836d3ed\3b93697dae6559e0989a9677757de4293cafac30\3b93697dae6559e0989a9677757de4293cafac30_django-sloop_0836d3ed_20150504_173911_before_1.py,PythonFiles\django-sloop\0836d3ed\3b93697dae6559e0989a9677757de4293cafac30\3b93697dae6559e0989a9677757de4293cafac30_django-sloop_0836d3ed_20150504_173911_after_1.py
