CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
5138d49324e33e10956f66996af0ed1d9f27bf1a,django-yamlconf,81d1259a,2018-02-20 06:15:35,+0000,__init__.py,ADD,645,0,,PythonFiles\django-yamlconf\81d1259a\5138d49324e33e10956f66996af0ed1d9f27bf1a\5138d49324e33e10956f66996af0ed1d9f27bf1a_django-yamlconf_81d1259a_20180219_221535_after_8.py
5138d49324e33e10956f66996af0ed1d9f27bf1a,django-yamlconf,81d1259a,2018-02-20 06:15:35,+0000,__init__.py,ADD,6,0,,PythonFiles\django-yamlconf\81d1259a\5138d49324e33e10956f66996af0ed1d9f27bf1a\5138d49324e33e10956f66996af0ed1d9f27bf1a_django-yamlconf_81d1259a_20180219_221535_after_9.py
5138d49324e33e10956f66996af0ed1d9f27bf1a,django-yamlconf,81d1259a,2018-02-20 06:15:35,+0000,__init__.py,ADD,125,0,,PythonFiles\django-yamlconf\81d1259a\5138d49324e33e10956f66996af0ed1d9f27bf1a\5138d49324e33e10956f66996af0ed1d9f27bf1a_django-yamlconf_81d1259a_20180219_221535_after_10.py
5138d49324e33e10956f66996af0ed1d9f27bf1a,django-yamlconf,81d1259a,2018-02-20 06:15:35,+0000,ycexplain.py,ADD,36,0,,PythonFiles\django-yamlconf\81d1259a\5138d49324e33e10956f66996af0ed1d9f27bf1a\5138d49324e33e10956f66996af0ed1d9f27bf1a_django-yamlconf_81d1259a_20180219_221535_after_11.py
5138d49324e33e10956f66996af0ed1d9f27bf1a,django-yamlconf,81d1259a,2018-02-20 06:15:35,+0000,yclist.py,ADD,22,0,,PythonFiles\django-yamlconf\81d1259a\5138d49324e33e10956f66996af0ed1d9f27bf1a\5138d49324e33e10956f66996af0ed1d9f27bf1a_django-yamlconf_81d1259a_20180219_221535_after_12.py
5138d49324e33e10956f66996af0ed1d9f27bf1a,django-yamlconf,81d1259a,2018-02-20 06:15:35,+0000,ycsysfiles.py,ADD,74,0,,PythonFiles\django-yamlconf\81d1259a\5138d49324e33e10956f66996af0ed1d9f27bf1a\5138d49324e33e10956f66996af0ed1d9f27bf1a_django-yamlconf_81d1259a_20180219_221535_after_13.py
5138d49324e33e10956f66996af0ed1d9f27bf1a,django-yamlconf,81d1259a,2018-02-20 06:15:35,+0000,__init__.py,ADD,3,0,,PythonFiles\django-yamlconf\81d1259a\5138d49324e33e10956f66996af0ed1d9f27bf1a\5138d49324e33e10956f66996af0ed1d9f27bf1a_django-yamlconf_81d1259a_20180219_221535_after_19.py
5138d49324e33e10956f66996af0ed1d9f27bf1a,django-yamlconf,81d1259a,2018-02-20 06:15:35,+0000,yamconf_tags.py,ADD,24,0,,PythonFiles\django-yamlconf\81d1259a\5138d49324e33e10956f66996af0ed1d9f27bf1a\5138d49324e33e10956f66996af0ed1d9f27bf1a_django-yamlconf_81d1259a_20180219_221535_after_20.py
5138d49324e33e10956f66996af0ed1d9f27bf1a,django-yamlconf,81d1259a,2018-02-20 06:15:35,+0000,__init__.py,ADD,26,0,,PythonFiles\django-yamlconf\81d1259a\5138d49324e33e10956f66996af0ed1d9f27bf1a\5138d49324e33e10956f66996af0ed1d9f27bf1a_django-yamlconf_81d1259a_20180219_221535_after_21.py
5138d49324e33e10956f66996af0ed1d9f27bf1a,django-yamlconf,81d1259a,2018-02-20 06:15:35,+0000,test_add_attrs.py,ADD,56,0,,PythonFiles\django-yamlconf\81d1259a\5138d49324e33e10956f66996af0ed1d9f27bf1a\5138d49324e33e10956f66996af0ed1d9f27bf1a_django-yamlconf_81d1259a_20180219_221535_after_33.py
5138d49324e33e10956f66996af0ed1d9f27bf1a,django-yamlconf,81d1259a,2018-02-20 06:15:35,+0000,test_append_err.py,ADD,32,0,,PythonFiles\django-yamlconf\81d1259a\5138d49324e33e10956f66996af0ed1d9f27bf1a\5138d49324e33e10956f66996af0ed1d9f27bf1a_django-yamlconf_81d1259a_20180219_221535_after_34.py
5138d49324e33e10956f66996af0ed1d9f27bf1a,django-yamlconf,81d1259a,2018-02-20 06:15:35,+0000,test_defattrs.py,ADD,54,0,,PythonFiles\django-yamlconf\81d1259a\5138d49324e33e10956f66996af0ed1d9f27bf1a\5138d49324e33e10956f66996af0ed1d9f27bf1a_django-yamlconf_81d1259a_20180219_221535_after_35.py
5138d49324e33e10956f66996af0ed1d9f27bf1a,django-yamlconf,81d1259a,2018-02-20 06:15:35,+0000,test_envattrs.py,ADD,46,0,,PythonFiles\django-yamlconf\81d1259a\5138d49324e33e10956f66996af0ed1d9f27bf1a\5138d49324e33e10956f66996af0ed1d9f27bf1a_django-yamlconf_81d1259a_20180219_221535_after_36.py
5138d49324e33e10956f66996af0ed1d9f27bf1a,django-yamlconf,81d1259a,2018-02-20 06:15:35,+0000,test_expand.py,ADD,76,0,,PythonFiles\django-yamlconf\81d1259a\5138d49324e33e10956f66996af0ed1d9f27bf1a\5138d49324e33e10956f66996af0ed1d9f27bf1a_django-yamlconf_81d1259a_20180219_221535_after_37.py
5138d49324e33e10956f66996af0ed1d9f27bf1a,django-yamlconf,81d1259a,2018-02-20 06:15:35,+0000,test_invalid_loader.py,ADD,48,0,,PythonFiles\django-yamlconf\81d1259a\5138d49324e33e10956f66996af0ed1d9f27bf1a\5138d49324e33e10956f66996af0ed1d9f27bf1a_django-yamlconf_81d1259a_20180219_221535_after_38.py
5138d49324e33e10956f66996af0ed1d9f27bf1a,django-yamlconf,81d1259a,2018-02-20 06:15:35,+0000,test_invalid_yaml.py,ADD,40,0,,PythonFiles\django-yamlconf\81d1259a\5138d49324e33e10956f66996af0ed1d9f27bf1a\5138d49324e33e10956f66996af0ed1d9f27bf1a_django-yamlconf_81d1259a_20180219_221535_after_39.py
5138d49324e33e10956f66996af0ed1d9f27bf1a,django-yamlconf,81d1259a,2018-02-20 06:15:35,+0000,test_nested_dict.py,ADD,42,0,,PythonFiles\django-yamlconf\81d1259a\5138d49324e33e10956f66996af0ed1d9f27bf1a\5138d49324e33e10956f66996af0ed1d9f27bf1a_django-yamlconf_81d1259a_20180219_221535_after_40.py
