CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
25add4b02b7315836ed6518fcc3caf33fdec7286,django_render,4c85899d,2014-04-13 09:14:05,+0000,__init__.py,ADD,12,0,,PythonFiles\django_render\4c85899d\25add4b02b7315836ed6518fcc3caf33fdec7286\25add4b02b7315836ed6518fcc3caf33fdec7286_django_render_4c85899d_20140413_171405_after_1.py
25add4b02b7315836ed6518fcc3caf33fdec7286,django_render,4c85899d,2014-04-13 09:14:05,+0000,annotations.py,ADD,263,0,,PythonFiles\django_render\4c85899d\25add4b02b7315836ed6518fcc3caf33fdec7286\25add4b02b7315836ed6518fcc3caf33fdec7286_django_render_4c85899d_20140413_171405_after_2.py
6cd67b0a668ad2ddf06d988d73f42742fc1494ac,django_render,4c85899d,2014-04-13 09:15:43,+0000,__init__.py,RENAME,0,0,,
6cd67b0a668ad2ddf06d988d73f42742fc1494ac,django_render,4c85899d,2014-04-13 09:15:43,+0000,annotations.py,RENAME,0,0,,
8b56e5ba3623614f744df5b108703790aa26b108,django_render,4c85899d,2014-04-15 09:47:30,+0000,__init__.py,ADD,9,0,,PythonFiles\django_render\4c85899d\8b56e5ba3623614f744df5b108703790aa26b108\8b56e5ba3623614f744df5b108703790aa26b108_django_render_4c85899d_20140415_174730_after_1.py
5473adde756b368817499f7598e89f354c360fa8,django_render,4c85899d,2014-04-15 11:09:12,+0000,annotations.py,MODIFY,1,1,PythonFiles\django_render\4c85899d\5473adde756b368817499f7598e89f354c360fa8\5473adde756b368817499f7598e89f354c360fa8_django_render_4c85899d_20140415_190912_before_1.py,PythonFiles\django_render\4c85899d\5473adde756b368817499f7598e89f354c360fa8\5473adde756b368817499f7598e89f354c360fa8_django_render_4c85899d_20140415_190912_after_1.py
1f468a48494f00af93ca47c2f4dbcdf8a747d8dc,django_render,4c85899d,2014-04-21 05:29:12,+0000,annotations.py,MODIFY,12,5,PythonFiles\django_render\4c85899d\1f468a48494f00af93ca47c2f4dbcdf8a747d8dc\1f468a48494f00af93ca47c2f4dbcdf8a747d8dc_django_render_4c85899d_20140421_132912_before_1.py,PythonFiles\django_render\4c85899d\1f468a48494f00af93ca47c2f4dbcdf8a747d8dc\1f468a48494f00af93ca47c2f4dbcdf8a747d8dc_django_render_4c85899d_20140421_132912_after_1.py
1f6c3521ab4a2b11687b45185e1c8a19cd585c7f,django_render,4c85899d,2014-04-21 10:24:25,+0000,annotations.py,MODIFY,47,1,PythonFiles\django_render\4c85899d\1f6c3521ab4a2b11687b45185e1c8a19cd585c7f\1f6c3521ab4a2b11687b45185e1c8a19cd585c7f_django_render_4c85899d_20140421_182425_before_1.py,PythonFiles\django_render\4c85899d\1f6c3521ab4a2b11687b45185e1c8a19cd585c7f\1f6c3521ab4a2b11687b45185e1c8a19cd585c7f_django_render_4c85899d_20140421_182425_after_1.py
4fbb49cc8dfc086d26b20b10b46cec1175bf3d7a,django_render,4c85899d,2014-04-21 10:29:15,+0000,annotations.py,MODIFY,3,4,PythonFiles\django_render\4c85899d\4fbb49cc8dfc086d26b20b10b46cec1175bf3d7a\4fbb49cc8dfc086d26b20b10b46cec1175bf3d7a_django_render_4c85899d_20140421_182915_before_1.py,PythonFiles\django_render\4c85899d\4fbb49cc8dfc086d26b20b10b46cec1175bf3d7a\4fbb49cc8dfc086d26b20b10b46cec1175bf3d7a_django_render_4c85899d_20140421_182915_after_1.py
bda2ca4c3eaa74b9c39a688012dedb3144b3cbf7,django_render,4c85899d,2014-04-21 10:36:54,+0000,annotations.py,MODIFY,31,55,PythonFiles\django_render\4c85899d\bda2ca4c3eaa74b9c39a688012dedb3144b3cbf7\bda2ca4c3eaa74b9c39a688012dedb3144b3cbf7_django_render_4c85899d_20140421_183654_before_1.py,PythonFiles\django_render\4c85899d\bda2ca4c3eaa74b9c39a688012dedb3144b3cbf7\bda2ca4c3eaa74b9c39a688012dedb3144b3cbf7_django_render_4c85899d_20140421_183654_after_1.py
0058da45a1c7947f518498f23d6ecae8e2ee637e,django_render,4c85899d,2014-04-21 10:38:06,+0000,annotations.py,MODIFY,5,20,PythonFiles\django_render\4c85899d\0058da45a1c7947f518498f23d6ecae8e2ee637e\0058da45a1c7947f518498f23d6ecae8e2ee637e_django_render_4c85899d_20140421_183806_before_1.py,PythonFiles\django_render\4c85899d\0058da45a1c7947f518498f23d6ecae8e2ee637e\0058da45a1c7947f518498f23d6ecae8e2ee637e_django_render_4c85899d_20140421_183806_after_1.py
2dc3beca03a6c2ccc23991985d588d42886af3b9,django_render,4c85899d,2014-04-23 06:07:33,+0000,annotations.py,MODIFY,3,0,PythonFiles\django_render\4c85899d\2dc3beca03a6c2ccc23991985d588d42886af3b9\2dc3beca03a6c2ccc23991985d588d42886af3b9_django_render_4c85899d_20140423_140733_before_1.py,PythonFiles\django_render\4c85899d\2dc3beca03a6c2ccc23991985d588d42886af3b9\2dc3beca03a6c2ccc23991985d588d42886af3b9_django_render_4c85899d_20140423_140733_after_1.py
c9d0fb743def11d936e8888e06c6815e87c7f7ac,django_render,4c85899d,2014-04-23 07:52:43,+0000,annotations.py,MODIFY,17,11,PythonFiles\django_render\4c85899d\c9d0fb743def11d936e8888e06c6815e87c7f7ac\c9d0fb743def11d936e8888e06c6815e87c7f7ac_django_render_4c85899d_20140423_155243_before_1.py,PythonFiles\django_render\4c85899d\c9d0fb743def11d936e8888e06c6815e87c7f7ac\c9d0fb743def11d936e8888e06c6815e87c7f7ac_django_render_4c85899d_20140423_155243_after_1.py
fc0cb61ae7dc4cd8cca01856f3cfd2665475c987,django_render,4c85899d,2014-04-23 07:54:35,+0000,annotations.py,MODIFY,3,1,PythonFiles\django_render\4c85899d\fc0cb61ae7dc4cd8cca01856f3cfd2665475c987\fc0cb61ae7dc4cd8cca01856f3cfd2665475c987_django_render_4c85899d_20140423_155435_before_1.py,PythonFiles\django_render\4c85899d\fc0cb61ae7dc4cd8cca01856f3cfd2665475c987\fc0cb61ae7dc4cd8cca01856f3cfd2665475c987_django_render_4c85899d_20140423_155435_after_1.py
4b88a8fb9a89507dd917ff5216d8b3c291f732e7,django_render,4c85899d,2014-04-23 08:18:04,+0000,annotations.py,MODIFY,4,2,PythonFiles\django_render\4c85899d\4b88a8fb9a89507dd917ff5216d8b3c291f732e7\4b88a8fb9a89507dd917ff5216d8b3c291f732e7_django_render_4c85899d_20140423_161804_before_1.py,PythonFiles\django_render\4c85899d\4b88a8fb9a89507dd917ff5216d8b3c291f732e7\4b88a8fb9a89507dd917ff5216d8b3c291f732e7_django_render_4c85899d_20140423_161804_after_1.py
ff025667b2e46c0046fc5bc519e768e98cd19a16,django_render,4c85899d,2014-04-23 08:22:37,+0000,annotations.py,MODIFY,6,1,PythonFiles\django_render\4c85899d\ff025667b2e46c0046fc5bc519e768e98cd19a16\ff025667b2e46c0046fc5bc519e768e98cd19a16_django_render_4c85899d_20140423_162237_before_1.py,PythonFiles\django_render\4c85899d\ff025667b2e46c0046fc5bc519e768e98cd19a16\ff025667b2e46c0046fc5bc519e768e98cd19a16_django_render_4c85899d_20140423_162237_after_1.py
6cda75b88be37444df3cf4d32b779b9e1c4dfd5e,django_render,4c85899d,2014-04-25 09:33:47,+0000,annotations.py,MODIFY,3,0,PythonFiles\django_render\4c85899d\6cda75b88be37444df3cf4d32b779b9e1c4dfd5e\6cda75b88be37444df3cf4d32b779b9e1c4dfd5e_django_render_4c85899d_20140425_173347_before_1.py,PythonFiles\django_render\4c85899d\6cda75b88be37444df3cf4d32b779b9e1c4dfd5e\6cda75b88be37444df3cf4d32b779b9e1c4dfd5e_django_render_4c85899d_20140425_173347_after_1.py
2efed529fa40afa5762d6d636ae1b06f6dc23144,django_render,4c85899d,2014-05-06 10:16:10,+0000,annotations.py,MODIFY,3,4,PythonFiles\django_render\4c85899d\2efed529fa40afa5762d6d636ae1b06f6dc23144\2efed529fa40afa5762d6d636ae1b06f6dc23144_django_render_4c85899d_20140506_181610_before_1.py,PythonFiles\django_render\4c85899d\2efed529fa40afa5762d6d636ae1b06f6dc23144\2efed529fa40afa5762d6d636ae1b06f6dc23144_django_render_4c85899d_20140506_181610_after_1.py
1b691727dcdc1654ac4dd39179976d3e578b12fc,django_render,4c85899d,2014-05-29 03:44:40,+0000,__init__.py,ADD,12,0,,PythonFiles\django_render\4c85899d\1b691727dcdc1654ac4dd39179976d3e578b12fc\1b691727dcdc1654ac4dd39179976d3e578b12fc_django_render_4c85899d_20140529_114440_after_1.py
1b691727dcdc1654ac4dd39179976d3e578b12fc,django_render,4c85899d,2014-05-29 03:44:40,+0000,url_refactor.py,RENAME,1,1,PythonFiles\django_render\4c85899d\1b691727dcdc1654ac4dd39179976d3e578b12fc\1b691727dcdc1654ac4dd39179976d3e578b12fc_django_render_4c85899d_20140529_114440_before_2.py,PythonFiles\django_render\4c85899d\1b691727dcdc1654ac4dd39179976d3e578b12fc\1b691727dcdc1654ac4dd39179976d3e578b12fc_django_render_4c85899d_20140529_114440_after_2.py
3699390d2a9c47288d87daa2c34257e299bb7587,django_render,4c85899d,2014-05-30 05:43:52,+0000,url_refactor.py,MODIFY,5,1,PythonFiles\django_render\4c85899d\3699390d2a9c47288d87daa2c34257e299bb7587\3699390d2a9c47288d87daa2c34257e299bb7587_django_render_4c85899d_20140530_134352_before_1.py,PythonFiles\django_render\4c85899d\3699390d2a9c47288d87daa2c34257e299bb7587\3699390d2a9c47288d87daa2c34257e299bb7587_django_render_4c85899d_20140530_134352_after_1.py
5430f21ca085db60ef73ffba9cf8b02ebcf08b8c,django_render,4c85899d,2014-06-04 06:00:53,+0000,url_refactor.py,MODIFY,7,2,PythonFiles\django_render\4c85899d\5430f21ca085db60ef73ffba9cf8b02ebcf08b8c\5430f21ca085db60ef73ffba9cf8b02ebcf08b8c_django_render_4c85899d_20140604_140053_before_1.py,PythonFiles\django_render\4c85899d\5430f21ca085db60ef73ffba9cf8b02ebcf08b8c\5430f21ca085db60ef73ffba9cf8b02ebcf08b8c_django_render_4c85899d_20140604_140053_after_1.py
2eb83381d4083b78a518e4fe1802ce6ecdaec319,django_render,4c85899d,2014-06-04 06:01:45,+0000,__init__.py,MODIFY,1,1,PythonFiles\django_render\4c85899d\2eb83381d4083b78a518e4fe1802ce6ecdaec319\2eb83381d4083b78a518e4fe1802ce6ecdaec319_django_render_4c85899d_20140604_140145_before_1.py,PythonFiles\django_render\4c85899d\2eb83381d4083b78a518e4fe1802ce6ecdaec319\2eb83381d4083b78a518e4fe1802ce6ecdaec319_django_render_4c85899d_20140604_140145_after_1.py
9a490c62a0753479a6caae1bfa0469afaa01d464,django_render,4c85899d,2014-06-04 12:48:59,+0000,url_refactor.py,MODIFY,1,1,PythonFiles\django_render\4c85899d\9a490c62a0753479a6caae1bfa0469afaa01d464\9a490c62a0753479a6caae1bfa0469afaa01d464_django_render_4c85899d_20140604_204859_before_1.py,PythonFiles\django_render\4c85899d\9a490c62a0753479a6caae1bfa0469afaa01d464\9a490c62a0753479a6caae1bfa0469afaa01d464_django_render_4c85899d_20140604_204859_after_1.py
