CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
6483797174a227d791ef367b9a7d6f75f206c796,donna25519,8e520e28,2010-02-19 17:12:30,+0000,curve25519.py,ADD,46,0,,PythonFiles\donna25519\8e520e28\6483797174a227d791ef367b9a7d6f75f206c796\6483797174a227d791ef367b9a7d6f75f206c796_donna25519_8e520e28_20100220_011230_after_2.py
6483797174a227d791ef367b9a7d6f75f206c796,donna25519,8e520e28,2010-02-19 17:12:30,+0000,setup.py,ADD,36,0,,PythonFiles\donna25519\8e520e28\6483797174a227d791ef367b9a7d6f75f206c796\6483797174a227d791ef367b9a7d6f75f206c796_donna25519_8e520e28_20100220_011230_after_4.py
6483797174a227d791ef367b9a7d6f75f206c796,donna25519,8e520e28,2010-02-19 17:12:30,+0000,test_curve25519.py,ADD,99,0,,PythonFiles\donna25519\8e520e28\6483797174a227d791ef367b9a7d6f75f206c796\6483797174a227d791ef367b9a7d6f75f206c796_donna25519_8e520e28_20100220_011230_after_5.py
6483797174a227d791ef367b9a7d6f75f206c796,donna25519,8e520e28,2010-02-19 17:12:30,+0000,test_speed.py,ADD,46,0,,PythonFiles\donna25519\8e520e28\6483797174a227d791ef367b9a7d6f75f206c796\6483797174a227d791ef367b9a7d6f75f206c796_donna25519_8e520e28_20100220_011230_after_6.py
66c0e1aa152cbcfefd4cdc9880fbb6cc19590467,donna25519,4207c417,2011-11-04 19:00:46,+0000,curve25519.py,MODIFY,4,4,PythonFiles\donna25519\4207c417\66c0e1aa152cbcfefd4cdc9880fbb6cc19590467\66c0e1aa152cbcfefd4cdc9880fbb6cc19590467_donna25519_4207c417_20111104_150046_before_1.py,PythonFiles\donna25519\4207c417\66c0e1aa152cbcfefd4cdc9880fbb6cc19590467\66c0e1aa152cbcfefd4cdc9880fbb6cc19590467_donna25519_4207c417_20111104_150046_after_1.py
66c0e1aa152cbcfefd4cdc9880fbb6cc19590467,donna25519,4207c417,2011-11-04 19:00:46,+0000,setup.py,MODIFY,3,3,PythonFiles\donna25519\4207c417\66c0e1aa152cbcfefd4cdc9880fbb6cc19590467\66c0e1aa152cbcfefd4cdc9880fbb6cc19590467_donna25519_4207c417_20111104_150046_before_3.py,PythonFiles\donna25519\4207c417\66c0e1aa152cbcfefd4cdc9880fbb6cc19590467\66c0e1aa152cbcfefd4cdc9880fbb6cc19590467_donna25519_4207c417_20111104_150046_after_3.py
66c0e1aa152cbcfefd4cdc9880fbb6cc19590467,donna25519,4207c417,2011-11-04 19:00:46,+0000,test_curve25519.py,MODIFY,37,37,PythonFiles\donna25519\4207c417\66c0e1aa152cbcfefd4cdc9880fbb6cc19590467\66c0e1aa152cbcfefd4cdc9880fbb6cc19590467_donna25519_4207c417_20111104_150046_before_4.py,PythonFiles\donna25519\4207c417\66c0e1aa152cbcfefd4cdc9880fbb6cc19590467\66c0e1aa152cbcfefd4cdc9880fbb6cc19590467_donna25519_4207c417_20111104_150046_after_4.py
66c0e1aa152cbcfefd4cdc9880fbb6cc19590467,donna25519,4207c417,2011-11-04 19:00:46,+0000,test_speed.py,MODIFY,2,2,PythonFiles\donna25519\4207c417\66c0e1aa152cbcfefd4cdc9880fbb6cc19590467\66c0e1aa152cbcfefd4cdc9880fbb6cc19590467_donna25519_4207c417_20111104_150046_before_5.py,PythonFiles\donna25519\4207c417\66c0e1aa152cbcfefd4cdc9880fbb6cc19590467\66c0e1aa152cbcfefd4cdc9880fbb6cc19590467_donna25519_4207c417_20111104_150046_after_5.py
ba9a5e0a8aed42bc634490e0f2bc99cb219f3a6a,donna25519,8e520e28,2011-12-30 19:33:01,+0000,__init__.py,ADD,2,0,,PythonFiles\donna25519\8e520e28\ba9a5e0a8aed42bc634490e0f2bc99cb219f3a6a\ba9a5e0a8aed42bc634490e0f2bc99cb219f3a6a_donna25519_8e520e28_20111230_113301_after_1.py
ba9a5e0a8aed42bc634490e0f2bc99cb219f3a6a,donna25519,8e520e28,2011-12-30 19:33:01,+0000,keys.py,RENAME,0,0,,
