CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
dda074e51aee7d0568c5afeb3f50ef6ba1a2eac1,dplython,4305171a,2015-11-01 18:46:10,+0000,dplyr.py,ADD,129,0,,PythonFiles\dplython\4305171a\dda074e51aee7d0568c5afeb3f50ef6ba1a2eac1\dda074e51aee7d0568c5afeb3f50ef6ba1a2eac1_dplython_4305171a_20151101_134610_after_1.py
8c48caa7a3070ca0427b6dc76c3ad9010f46b6db,dplython,4305171a,2016-02-19 05:47:52,+0000,dplyr.py,MODIFY,6,0,PythonFiles\dplython\4305171a\8c48caa7a3070ca0427b6dc76c3ad9010f46b6db\8c48caa7a3070ca0427b6dc76c3ad9010f46b6db_dplython_4305171a_20160219_004752_before_1.py,PythonFiles\dplython\4305171a\8c48caa7a3070ca0427b6dc76c3ad9010f46b6db\8c48caa7a3070ca0427b6dc76c3ad9010f46b6db_dplython_4305171a_20160219_004752_after_1.py
8c48caa7a3070ca0427b6dc76c3ad9010f46b6db,dplython,4305171a,2016-02-19 05:47:52,+0000,dplyr2.py,ADD,154,0,,PythonFiles\dplython\4305171a\8c48caa7a3070ca0427b6dc76c3ad9010f46b6db\8c48caa7a3070ca0427b6dc76c3ad9010f46b6db_dplython_4305171a_20160219_004752_after_2.py
f7186b51a93aa0ab9c5e1f4d9b4d1c750c8d0672,dplython,4305171a,2016-02-21 20:23:33,+0000,dplyr2.py,MODIFY,69,63,PythonFiles\dplython\4305171a\f7186b51a93aa0ab9c5e1f4d9b4d1c750c8d0672\f7186b51a93aa0ab9c5e1f4d9b4d1c750c8d0672_dplython_4305171a_20160221_152333_before_1.py,PythonFiles\dplython\4305171a\f7186b51a93aa0ab9c5e1f4d9b4d1c750c8d0672\f7186b51a93aa0ab9c5e1f4d9b4d1c750c8d0672_dplython_4305171a_20160221_152333_after_1.py
e1e983602cdc3dde20476f7878028deb2a1e428c,dplython,4305171a,2016-02-22 05:39:20,+0000,dplyr2.py,MODIFY,4,4,PythonFiles\dplython\4305171a\e1e983602cdc3dde20476f7878028deb2a1e428c\e1e983602cdc3dde20476f7878028deb2a1e428c_dplython_4305171a_20160222_003920_before_1.py,PythonFiles\dplython\4305171a\e1e983602cdc3dde20476f7878028deb2a1e428c\e1e983602cdc3dde20476f7878028deb2a1e428c_dplython_4305171a_20160222_003920_after_1.py
e1e983602cdc3dde20476f7878028deb2a1e428c,dplython,4305171a,2016-02-22 05:39:20,+0000,test.py,ADD,141,0,,PythonFiles\dplython\4305171a\e1e983602cdc3dde20476f7878028deb2a1e428c\e1e983602cdc3dde20476f7878028deb2a1e428c_dplython_4305171a_20160222_003920_after_2.py
895dfe355d668d87dc61efed5350af53ad2fae8f,dplython,4305171a,2016-02-22 06:37:24,+0000,dplyr2.py,MODIFY,45,1,PythonFiles\dplython\4305171a\895dfe355d668d87dc61efed5350af53ad2fae8f\895dfe355d668d87dc61efed5350af53ad2fae8f_dplython_4305171a_20160222_013724_before_1.py,PythonFiles\dplython\4305171a\895dfe355d668d87dc61efed5350af53ad2fae8f\895dfe355d668d87dc61efed5350af53ad2fae8f_dplython_4305171a_20160222_013724_after_1.py
231349f002eacd70700faaa6b44b999366dc5c63,dplython,4305171a,2016-02-22 07:08:03,+0000,dplyr2.py,MODIFY,21,24,PythonFiles\dplython\4305171a\231349f002eacd70700faaa6b44b999366dc5c63\231349f002eacd70700faaa6b44b999366dc5c63_dplython_4305171a_20160222_020803_before_1.py,PythonFiles\dplython\4305171a\231349f002eacd70700faaa6b44b999366dc5c63\231349f002eacd70700faaa6b44b999366dc5c63_dplython_4305171a_20160222_020803_after_1.py
f84aca1a09dcd83a1d1b6672f1cfad44c34dcd86,dplython,4305171a,2016-02-22 17:11:06,+0000,dplyr2.py,MODIFY,61,6,PythonFiles\dplython\4305171a\f84aca1a09dcd83a1d1b6672f1cfad44c34dcd86\f84aca1a09dcd83a1d1b6672f1cfad44c34dcd86_dplython_4305171a_20160222_121106_before_1.py,PythonFiles\dplython\4305171a\f84aca1a09dcd83a1d1b6672f1cfad44c34dcd86\f84aca1a09dcd83a1d1b6672f1cfad44c34dcd86_dplython_4305171a_20160222_121106_after_1.py
f84aca1a09dcd83a1d1b6672f1cfad44c34dcd86,dplython,4305171a,2016-02-22 17:11:06,+0000,test.py,MODIFY,14,0,PythonFiles\dplython\4305171a\f84aca1a09dcd83a1d1b6672f1cfad44c34dcd86\f84aca1a09dcd83a1d1b6672f1cfad44c34dcd86_dplython_4305171a_20160222_121106_before_2.py,PythonFiles\dplython\4305171a\f84aca1a09dcd83a1d1b6672f1cfad44c34dcd86\f84aca1a09dcd83a1d1b6672f1cfad44c34dcd86_dplython_4305171a_20160222_121106_after_2.py
