CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
e32a73ac40ab104c786a907f7a9733b9f931712a,drawille,d95edf19,2014-04-22 14:51:38,+0000,drawille.py,ADD,382,0,,PythonFiles\drawille\d95edf19\e32a73ac40ab104c786a907f7a9733b9f931712a\e32a73ac40ab104c786a907f7a9733b9f931712a_drawille_d95edf19_20140422_165138_after_1.py
32440250f2d7404b3294bcfb9d90bcb63ca2c46b,drawille,d95edf19,2014-04-22 14:58:12,+0000,sine_tracking.py,ADD,16,0,,PythonFiles\drawille\d95edf19\32440250f2d7404b3294bcfb9d90bcb63ca2c46b\32440250f2d7404b3294bcfb9d90bcb63ca2c46b_drawille_d95edf19_20140422_165812_after_1.py
42e09fcca3c05ed34160ecd8eb43622fb285cfd0,drawille,d95edf19,2014-04-22 15:06:30,+0000,drawille.py,MODIFY,30,7,PythonFiles\drawille\d95edf19\42e09fcca3c05ed34160ecd8eb43622fb285cfd0\42e09fcca3c05ed34160ecd8eb43622fb285cfd0_drawille_d95edf19_20140422_170630_before_1.py,PythonFiles\drawille\d95edf19\42e09fcca3c05ed34160ecd8eb43622fb285cfd0\42e09fcca3c05ed34160ecd8eb43622fb285cfd0_drawille_d95edf19_20140422_170630_after_1.py
8a858e0a6da782c22eb10fd1068f00326ee646e4,drawille,d95edf19,2014-04-22 15:14:26,+0000,drawille.py,MODIFY,0,32,PythonFiles\drawille\d95edf19\8a858e0a6da782c22eb10fd1068f00326ee646e4\8a858e0a6da782c22eb10fd1068f00326ee646e4_drawille_d95edf19_20140422_171426_before_1.py,PythonFiles\drawille\d95edf19\8a858e0a6da782c22eb10fd1068f00326ee646e4\8a858e0a6da782c22eb10fd1068f00326ee646e4_drawille_d95edf19_20140422_171426_after_1.py
8a858e0a6da782c22eb10fd1068f00326ee646e4,drawille,d95edf19,2014-04-22 15:14:26,+0000,basic.py,ADD,29,0,,PythonFiles\drawille\d95edf19\8a858e0a6da782c22eb10fd1068f00326ee646e4\8a858e0a6da782c22eb10fd1068f00326ee646e4_drawille_d95edf19_20140422_171426_after_2.py
3a24d106a87936bcfeea83004d2cefb228ee8129,drawille,d95edf19,2014-04-22 16:27:27,+0000,drawille.py,MODIFY,1,1,PythonFiles\drawille\d95edf19\3a24d106a87936bcfeea83004d2cefb228ee8129\3a24d106a87936bcfeea83004d2cefb228ee8129_drawille_d95edf19_20140422_182727_before_1.py,PythonFiles\drawille\d95edf19\3a24d106a87936bcfeea83004d2cefb228ee8129\3a24d106a87936bcfeea83004d2cefb228ee8129_drawille_d95edf19_20140422_182727_after_1.py
b7a46eaf916165874ccc7ac35babb0435b340b4b,drawille,d95edf19,2014-04-22 19:11:26,+0000,drawille.py,MODIFY,8,3,PythonFiles\drawille\d95edf19\b7a46eaf916165874ccc7ac35babb0435b340b4b\b7a46eaf916165874ccc7ac35babb0435b340b4b_drawille_d95edf19_20140422_211126_before_1.py,PythonFiles\drawille\d95edf19\b7a46eaf916165874ccc7ac35babb0435b340b4b\b7a46eaf916165874ccc7ac35babb0435b340b4b_drawille_d95edf19_20140422_211126_after_1.py
a9d76ac6d265b3ac73d61c142076df28a52d3374,drawille,d95edf19,2014-04-22 19:32:57,+0000,drawille.py,MODIFY,1,1,PythonFiles\drawille\d95edf19\a9d76ac6d265b3ac73d61c142076df28a52d3374\a9d76ac6d265b3ac73d61c142076df28a52d3374_drawille_d95edf19_20140422_213257_before_1.py,PythonFiles\drawille\d95edf19\a9d76ac6d265b3ac73d61c142076df28a52d3374\a9d76ac6d265b3ac73d61c142076df28a52d3374_drawille_d95edf19_20140422_213257_after_1.py
7b9655024b76512572ae46d63ee5cff9eab81df3,drawille,d95edf19,2014-04-22 22:51:54,+0000,drawille.py,MODIFY,10,9,PythonFiles\drawille\d95edf19\7b9655024b76512572ae46d63ee5cff9eab81df3\7b9655024b76512572ae46d63ee5cff9eab81df3_drawille_d95edf19_20140423_005154_before_1.py,PythonFiles\drawille\d95edf19\7b9655024b76512572ae46d63ee5cff9eab81df3\7b9655024b76512572ae46d63ee5cff9eab81df3_drawille_d95edf19_20140423_005154_after_1.py
a657deb98a0849f3db989ece12a7951a056ce428,drawille,d95edf19,2014-04-22 22:57:37,+0000,rotating_cube.py,ADD,91,0,,PythonFiles\drawille\d95edf19\a657deb98a0849f3db989ece12a7951a056ce428\a657deb98a0849f3db989ece12a7951a056ce428_drawille_d95edf19_20140423_005737_after_1.py
