CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
29aee772f8bc3a03e9743ba75e01a6d00d4feb4e,drf-tracking,a75ad8a2,2015-05-25 19:35:14,+0000,__init__.py,ADD,1,0,,PythonFiles\drf-tracking\a75ad8a2\29aee772f8bc3a03e9743ba75e01a6d00d4feb4e\29aee772f8bc3a03e9743ba75e01a6d00d4feb4e_drf-tracking_a75ad8a2_20150525_123514_after_10.py
29aee772f8bc3a03e9743ba75e01a6d00d4feb4e,drf-tracking,a75ad8a2,2015-05-25 19:35:14,+0000,admin.py,ADD,11,0,,PythonFiles\drf-tracking\a75ad8a2\29aee772f8bc3a03e9743ba75e01a6d00d4feb4e\29aee772f8bc3a03e9743ba75e01a6d00d4feb4e_drf-tracking_a75ad8a2_20150525_123514_after_11.py
29aee772f8bc3a03e9743ba75e01a6d00d4feb4e,drf-tracking,a75ad8a2,2015-05-25 19:35:14,+0000,mixins.py,ADD,41,0,,PythonFiles\drf-tracking\a75ad8a2\29aee772f8bc3a03e9743ba75e01a6d00d4feb4e\29aee772f8bc3a03e9743ba75e01a6d00d4feb4e_drf-tracking_a75ad8a2_20150525_123514_after_12.py
29aee772f8bc3a03e9743ba75e01a6d00d4feb4e,drf-tracking,a75ad8a2,2015-05-25 19:35:14,+0000,models.py,ADD,35,0,,PythonFiles\drf-tracking\a75ad8a2\29aee772f8bc3a03e9743ba75e01a6d00d4feb4e\29aee772f8bc3a03e9743ba75e01a6d00d4feb4e_drf-tracking_a75ad8a2_20150525_123514_after_13.py
29aee772f8bc3a03e9743ba75e01a6d00d4feb4e,drf-tracking,a75ad8a2,2015-05-25 19:35:14,+0000,runtests.py,ADD,91,0,,PythonFiles\drf-tracking\a75ad8a2\29aee772f8bc3a03e9743ba75e01a6d00d4feb4e\29aee772f8bc3a03e9743ba75e01a6d00d4feb4e_drf-tracking_a75ad8a2_20150525_123514_after_14.py
29aee772f8bc3a03e9743ba75e01a6d00d4feb4e,drf-tracking,a75ad8a2,2015-05-25 19:35:14,+0000,setup.py,ADD,93,0,,PythonFiles\drf-tracking\a75ad8a2\29aee772f8bc3a03e9743ba75e01a6d00d4feb4e\29aee772f8bc3a03e9743ba75e01a6d00d4feb4e_drf-tracking_a75ad8a2_20150525_123514_after_16.py
29aee772f8bc3a03e9743ba75e01a6d00d4feb4e,drf-tracking,a75ad8a2,2015-05-25 19:35:14,+0000,__init__.py,ADD,0,0,,
29aee772f8bc3a03e9743ba75e01a6d00d4feb4e,drf-tracking,a75ad8a2,2015-05-25 19:35:14,+0000,conftest.py,ADD,87,0,,PythonFiles\drf-tracking\a75ad8a2\29aee772f8bc3a03e9743ba75e01a6d00d4feb4e\29aee772f8bc3a03e9743ba75e01a6d00d4feb4e_drf-tracking_a75ad8a2_20150525_123514_after_18.py
29aee772f8bc3a03e9743ba75e01a6d00d4feb4e,drf-tracking,a75ad8a2,2015-05-25 19:35:14,+0000,models.py,ADD,0,0,,
29aee772f8bc3a03e9743ba75e01a6d00d4feb4e,drf-tracking,a75ad8a2,2015-05-25 19:35:14,+0000,test_mixins.py,ADD,86,0,,PythonFiles\drf-tracking\a75ad8a2\29aee772f8bc3a03e9743ba75e01a6d00d4feb4e\29aee772f8bc3a03e9743ba75e01a6d00d4feb4e_drf-tracking_a75ad8a2_20150525_123514_after_20.py
29aee772f8bc3a03e9743ba75e01a6d00d4feb4e,drf-tracking,a75ad8a2,2015-05-25 19:35:14,+0000,test_models.py,ADD,59,0,,PythonFiles\drf-tracking\a75ad8a2\29aee772f8bc3a03e9743ba75e01a6d00d4feb4e\29aee772f8bc3a03e9743ba75e01a6d00d4feb4e_drf-tracking_a75ad8a2_20150525_123514_after_21.py
