CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
90630286cb864a92fd423c726ee54fa4a8455eee,dsm,88049d30,2015-07-03 14:35:42,+0000,dsm.py,ADD,154,0,,PythonFiles\dsm\88049d30\90630286cb864a92fd423c726ee54fa4a8455eee\90630286cb864a92fd423c726ee54fa4a8455eee_dsm_88049d30_20150703_163542_after_3.py
90630286cb864a92fd423c726ee54fa4a8455eee,dsm,88049d30,2015-07-03 14:35:42,+0000,setup.py,ADD,22,0,,PythonFiles\dsm\88049d30\90630286cb864a92fd423c726ee54fa4a8455eee\90630286cb864a92fd423c726ee54fa4a8455eee_dsm_88049d30_20150703_163542_after_4.py
63864e842337821e7dea0a276bc55ff67cef64ad,dsm,88049d30,2015-07-06 10:56:41,+0000,dsm.py,MODIFY,18,5,PythonFiles\dsm\88049d30\63864e842337821e7dea0a276bc55ff67cef64ad\63864e842337821e7dea0a276bc55ff67cef64ad_dsm_88049d30_20150706_125641_before_1.py,PythonFiles\dsm\88049d30\63864e842337821e7dea0a276bc55ff67cef64ad\63864e842337821e7dea0a276bc55ff67cef64ad_dsm_88049d30_20150706_125641_after_1.py
63864e842337821e7dea0a276bc55ff67cef64ad,dsm,88049d30,2015-07-06 10:56:41,+0000,setup.py,MODIFY,1,1,PythonFiles\dsm\88049d30\63864e842337821e7dea0a276bc55ff67cef64ad\63864e842337821e7dea0a276bc55ff67cef64ad_dsm_88049d30_20150706_125641_before_2.py,PythonFiles\dsm\88049d30\63864e842337821e7dea0a276bc55ff67cef64ad\63864e842337821e7dea0a276bc55ff67cef64ad_dsm_88049d30_20150706_125641_after_2.py
10baf0aa7a05b0581632fbfc972a62037a33e8e4,dsm,88049d30,2017-10-24 00:01:06,+0000,dsm.py,MODIFY,54,51,PythonFiles\dsm\88049d30\10baf0aa7a05b0581632fbfc972a62037a33e8e4\10baf0aa7a05b0581632fbfc972a62037a33e8e4_dsm_88049d30_20171024_020106_before_3.py,PythonFiles\dsm\88049d30\10baf0aa7a05b0581632fbfc972a62037a33e8e4\10baf0aa7a05b0581632fbfc972a62037a33e8e4_dsm_88049d30_20171024_020106_after_3.py
10baf0aa7a05b0581632fbfc972a62037a33e8e4,dsm,88049d30,2017-10-24 00:01:06,+0000,setup.py,MODIFY,3,2,PythonFiles\dsm\88049d30\10baf0aa7a05b0581632fbfc972a62037a33e8e4\10baf0aa7a05b0581632fbfc972a62037a33e8e4_dsm_88049d30_20171024_020106_before_5.py,PythonFiles\dsm\88049d30\10baf0aa7a05b0581632fbfc972a62037a33e8e4\10baf0aa7a05b0581632fbfc972a62037a33e8e4_dsm_88049d30_20171024_020106_after_5.py
5a41b17a6a0a3447a0e66556fc582a500af37c57,dsm,88049d30,2017-10-24 00:39:00,+0000,setup.py,MODIFY,1,0,PythonFiles\dsm\88049d30\5a41b17a6a0a3447a0e66556fc582a500af37c57\5a41b17a6a0a3447a0e66556fc582a500af37c57_dsm_88049d30_20171024_023900_before_1.py,PythonFiles\dsm\88049d30\5a41b17a6a0a3447a0e66556fc582a500af37c57\5a41b17a6a0a3447a0e66556fc582a500af37c57_dsm_88049d30_20171024_023900_after_1.py
7ef2c05d183159fc984154b03a43ae40f19770f2,dsm,88049d30,2018-03-31 17:31:14,+0000,dsm.py,MODIFY,48,5,PythonFiles\dsm\88049d30\7ef2c05d183159fc984154b03a43ae40f19770f2\7ef2c05d183159fc984154b03a43ae40f19770f2_dsm_88049d30_20180331_193114_before_1.py,PythonFiles\dsm\88049d30\7ef2c05d183159fc984154b03a43ae40f19770f2\7ef2c05d183159fc984154b03a43ae40f19770f2_dsm_88049d30_20180331_193114_after_1.py
7ef2c05d183159fc984154b03a43ae40f19770f2,dsm,88049d30,2018-03-31 17:31:14,+0000,setup.py,MODIFY,1,1,PythonFiles\dsm\88049d30\7ef2c05d183159fc984154b03a43ae40f19770f2\7ef2c05d183159fc984154b03a43ae40f19770f2_dsm_88049d30_20180331_193114_before_2.py,PythonFiles\dsm\88049d30\7ef2c05d183159fc984154b03a43ae40f19770f2\7ef2c05d183159fc984154b03a43ae40f19770f2_dsm_88049d30_20180331_193114_after_2.py
15a09983101379c2b6edd2453b55c54cdc6b846d,dsm,88049d30,2019-12-14 03:07:21,+0000,__init__.py,RENAME,10,0,PythonFiles\dsm\88049d30\15a09983101379c2b6edd2453b55c54cdc6b846d\15a09983101379c2b6edd2453b55c54cdc6b846d_dsm_88049d30_20191214_040721_before_2.py,PythonFiles\dsm\88049d30\15a09983101379c2b6edd2453b55c54cdc6b846d\15a09983101379c2b6edd2453b55c54cdc6b846d_dsm_88049d30_20191214_040721_after_2.py
15a09983101379c2b6edd2453b55c54cdc6b846d,dsm,88049d30,2019-12-14 03:07:21,+0000,fields.py,ADD,87,0,,PythonFiles\dsm\88049d30\15a09983101379c2b6edd2453b55c54cdc6b846d\15a09983101379c2b6edd2453b55c54cdc6b846d_dsm_88049d30_20191214_040721_after_3.py
15a09983101379c2b6edd2453b55c54cdc6b846d,dsm,88049d30,2019-12-14 03:07:21,+0000,setup.py,MODIFY,16,3,PythonFiles\dsm\88049d30\15a09983101379c2b6edd2453b55c54cdc6b846d\15a09983101379c2b6edd2453b55c54cdc6b846d_dsm_88049d30_20191214_040721_before_4.py,PythonFiles\dsm\88049d30\15a09983101379c2b6edd2453b55c54cdc6b846d\15a09983101379c2b6edd2453b55c54cdc6b846d_dsm_88049d30_20191214_040721_after_4.py
d87aa571231be22ad990e1161b37f0ca44e63441,dsm,88049d30,2019-12-14 03:13:10,+0000,fields.py,MODIFY,4,0,PythonFiles\dsm\88049d30\d87aa571231be22ad990e1161b37f0ca44e63441\d87aa571231be22ad990e1161b37f0ca44e63441_dsm_88049d30_20191214_041310_before_1.py,PythonFiles\dsm\88049d30\d87aa571231be22ad990e1161b37f0ca44e63441\d87aa571231be22ad990e1161b37f0ca44e63441_dsm_88049d30_20191214_041310_after_1.py
19d996342b38fe2d1f2b76b0237a0dd397c18a20,dsm,88049d30,2019-12-14 03:16:23,+0000,setup.py,MODIFY,0,1,PythonFiles\dsm\88049d30\19d996342b38fe2d1f2b76b0237a0dd397c18a20\19d996342b38fe2d1f2b76b0237a0dd397c18a20_dsm_88049d30_20191214_041623_before_2.py,PythonFiles\dsm\88049d30\19d996342b38fe2d1f2b76b0237a0dd397c18a20\19d996342b38fe2d1f2b76b0237a0dd397c18a20_dsm_88049d30_20191214_041623_after_2.py
ba15d971eaf12e47c3c975a65da3e93c0e58d66c,dsm,88049d30,2019-12-14 03:21:32,+0000,__init__.py,MODIFY,4,1,PythonFiles\dsm\88049d30\ba15d971eaf12e47c3c975a65da3e93c0e58d66c\ba15d971eaf12e47c3c975a65da3e93c0e58d66c_dsm_88049d30_20191214_042132_before_1.py,PythonFiles\dsm\88049d30\ba15d971eaf12e47c3c975a65da3e93c0e58d66c\ba15d971eaf12e47c3c975a65da3e93c0e58d66c_dsm_88049d30_20191214_042132_after_1.py
ba15d971eaf12e47c3c975a65da3e93c0e58d66c,dsm,88049d30,2019-12-14 03:21:32,+0000,setup.py,MODIFY,1,1,PythonFiles\dsm\88049d30\ba15d971eaf12e47c3c975a65da3e93c0e58d66c\ba15d971eaf12e47c3c975a65da3e93c0e58d66c_dsm_88049d30_20191214_042132_before_2.py,PythonFiles\dsm\88049d30\ba15d971eaf12e47c3c975a65da3e93c0e58d66c\ba15d971eaf12e47c3c975a65da3e93c0e58d66c_dsm_88049d30_20191214_042132_after_2.py
080be8b2f4a54b68ad341ca3fe895d22fec169b0,dsm,88049d30,2019-12-21 22:15:49,+0000,setup.py,MODIFY,6,1,PythonFiles\dsm\88049d30\080be8b2f4a54b68ad341ca3fe895d22fec169b0\080be8b2f4a54b68ad341ca3fe895d22fec169b0_dsm_88049d30_20191221_231549_before_1.py,PythonFiles\dsm\88049d30\080be8b2f4a54b68ad341ca3fe895d22fec169b0\080be8b2f4a54b68ad341ca3fe895d22fec169b0_dsm_88049d30_20191221_231549_after_1.py
364235a4674048ba1fd2fa3eaf48e6da2a75e222,dsm,88049d30,2020-01-10 19:24:32,+0000,fields.py,MODIFY,5,1,PythonFiles\dsm\88049d30\364235a4674048ba1fd2fa3eaf48e6da2a75e222\364235a4674048ba1fd2fa3eaf48e6da2a75e222_dsm_88049d30_20200110_202432_before_1.py,PythonFiles\dsm\88049d30\364235a4674048ba1fd2fa3eaf48e6da2a75e222\364235a4674048ba1fd2fa3eaf48e6da2a75e222_dsm_88049d30_20200110_202432_after_1.py
364235a4674048ba1fd2fa3eaf48e6da2a75e222,dsm,88049d30,2020-01-10 19:24:32,+0000,setup.py,MODIFY,1,1,PythonFiles\dsm\88049d30\364235a4674048ba1fd2fa3eaf48e6da2a75e222\364235a4674048ba1fd2fa3eaf48e6da2a75e222_dsm_88049d30_20200110_202432_before_2.py,PythonFiles\dsm\88049d30\364235a4674048ba1fd2fa3eaf48e6da2a75e222\364235a4674048ba1fd2fa3eaf48e6da2a75e222_dsm_88049d30_20200110_202432_after_2.py
728970e5b419cf0545a8b219d526b7a59c2d0022,dsm,88049d30,2020-01-16 10:40:46,+0000,fields.py,MODIFY,2,2,PythonFiles\dsm\88049d30\728970e5b419cf0545a8b219d526b7a59c2d0022\728970e5b419cf0545a8b219d526b7a59c2d0022_dsm_88049d30_20200116_114046_before_1.py,PythonFiles\dsm\88049d30\728970e5b419cf0545a8b219d526b7a59c2d0022\728970e5b419cf0545a8b219d526b7a59c2d0022_dsm_88049d30_20200116_114046_after_1.py
728970e5b419cf0545a8b219d526b7a59c2d0022,dsm,88049d30,2020-01-16 10:40:46,+0000,setup.py,MODIFY,1,1,PythonFiles\dsm\88049d30\728970e5b419cf0545a8b219d526b7a59c2d0022\728970e5b419cf0545a8b219d526b7a59c2d0022_dsm_88049d30_20200116_114046_before_2.py,PythonFiles\dsm\88049d30\728970e5b419cf0545a8b219d526b7a59c2d0022\728970e5b419cf0545a8b219d526b7a59c2d0022_dsm_88049d30_20200116_114046_after_2.py
e3a31fdbc4f4b0f20f43736c51a5382290812106,dsm,88049d30,2020-03-17 22:53:47,+0000,fields.py,MODIFY,4,0,PythonFiles\dsm\88049d30\e3a31fdbc4f4b0f20f43736c51a5382290812106\e3a31fdbc4f4b0f20f43736c51a5382290812106_dsm_88049d30_20200317_235347_before_1.py,PythonFiles\dsm\88049d30\e3a31fdbc4f4b0f20f43736c51a5382290812106\e3a31fdbc4f4b0f20f43736c51a5382290812106_dsm_88049d30_20200317_235347_after_1.py
