CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
c907ef1f321a5c47ce26a296c77c235678a46278,easy-mask,f5c23a4d,2016-01-03 20:58:03,+0000,__init__.py,ADD,0,0,,
c907ef1f321a5c47ce26a296c77c235678a46278,easy-mask,f5c23a4d,2016-01-03 20:58:03,+0000,__init__.py,ADD,0,0,,
c907ef1f321a5c47ce26a296c77c235678a46278,easy-mask,f5c23a4d,2016-01-03 20:58:03,+0000,easy_mask.py,ADD,72,0,,PythonFiles\easy-mask\f5c23a4d\c907ef1f321a5c47ce26a296c77c235678a46278\c907ef1f321a5c47ce26a296c77c235678a46278_easy-mask_f5c23a4d_20160103_185803_after_5.py
c907ef1f321a5c47ce26a296c77c235678a46278,easy-mask,f5c23a4d,2016-01-03 20:58:03,+0000,__init__.py,ADD,0,0,,
c907ef1f321a5c47ce26a296c77c235678a46278,easy-mask,f5c23a4d,2016-01-03 20:58:03,+0000,__init__.py,ADD,0,0,,
c907ef1f321a5c47ce26a296c77c235678a46278,easy-mask,f5c23a4d,2016-01-03 20:58:03,+0000,admin.py,ADD,9,0,,PythonFiles\easy-mask\f5c23a4d\c907ef1f321a5c47ce26a296c77c235678a46278\c907ef1f321a5c47ce26a296c77c235678a46278_easy-mask_f5c23a4d_20160103_185803_after_9.py
c907ef1f321a5c47ce26a296c77c235678a46278,easy-mask,f5c23a4d,2016-01-03 20:58:03,+0000,apps.py,ADD,5,0,,PythonFiles\easy-mask\f5c23a4d\c907ef1f321a5c47ce26a296c77c235678a46278\c907ef1f321a5c47ce26a296c77c235678a46278_easy-mask_f5c23a4d_20160103_185803_after_10.py
c907ef1f321a5c47ce26a296c77c235678a46278,easy-mask,f5c23a4d,2016-01-03 20:58:03,+0000,__init__.py,ADD,0,0,,
c907ef1f321a5c47ce26a296c77c235678a46278,easy-mask,f5c23a4d,2016-01-03 20:58:03,+0000,models.py,ADD,24,0,,PythonFiles\easy-mask\f5c23a4d\c907ef1f321a5c47ce26a296c77c235678a46278\c907ef1f321a5c47ce26a296c77c235678a46278_easy-mask_f5c23a4d_20160103_185803_after_12.py
c907ef1f321a5c47ce26a296c77c235678a46278,easy-mask,f5c23a4d,2016-01-03 20:58:03,+0000,tests.py,ADD,3,0,,PythonFiles\easy-mask\f5c23a4d\c907ef1f321a5c47ce26a296c77c235678a46278\c907ef1f321a5c47ce26a296c77c235678a46278_easy-mask_f5c23a4d_20160103_185803_after_28.py
