CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
acaf7f7b657ebb5fb2b6ac72c7a5b3f45a2c0608,fabricate,be62a2b6,2009-07-25 02:37:45,+0000,fabricate.py,ADD,723,0,,PythonFiles\fabricate\be62a2b6\acaf7f7b657ebb5fb2b6ac72c7a5b3f45a2c0608\acaf7f7b657ebb5fb2b6ac72c7a5b3f45a2c0608_fabricate_be62a2b6_20090725_023745_after_1.py
063bab021b42d28dd5c5da2fd175098159b743cd,fabricate,be62a2b6,2009-07-25 05:17:01,+0000,fabricate.py,MODIFY,14,8,PythonFiles\fabricate\be62a2b6\063bab021b42d28dd5c5da2fd175098159b743cd\063bab021b42d28dd5c5da2fd175098159b743cd_fabricate_be62a2b6_20090725_051701_before_1.py,PythonFiles\fabricate\be62a2b6\063bab021b42d28dd5c5da2fd175098159b743cd\063bab021b42d28dd5c5da2fd175098159b743cd_fabricate_be62a2b6_20090725_051701_after_1.py
35a4c940cd25ac86249d9109056febf30a36afd7,fabricate,d91dfa65,2009-07-26 21:40:23,+0000,fabricate.py,MODIFY,23,29,PythonFiles\fabricate\d91dfa65\35a4c940cd25ac86249d9109056febf30a36afd7\35a4c940cd25ac86249d9109056febf30a36afd7_fabricate_d91dfa65_20090726_214023_before_1.py,PythonFiles\fabricate\d91dfa65\35a4c940cd25ac86249d9109056febf30a36afd7\35a4c940cd25ac86249d9109056febf30a36afd7_fabricate_d91dfa65_20090726_214023_after_1.py
f588c4ee600a621e9db0a99de87c40b0bfeb40cc,fabricate,be62a2b6,2009-07-27 03:45:17,+0000,fabricate.py,DELETE,0,721,PythonFiles\fabricate\be62a2b6\f588c4ee600a621e9db0a99de87c40b0bfeb40cc\f588c4ee600a621e9db0a99de87c40b0bfeb40cc_fabricate_be62a2b6_20090727_034517_before_2.py,
d136081eb118d3fff5efee727ac5e66a31c405f8,fabricate,be62a2b6,2009-07-27 04:26:05,+0000,fabricate.py,ADD,679,0,,PythonFiles\fabricate\be62a2b6\d136081eb118d3fff5efee727ac5e66a31c405f8\d136081eb118d3fff5efee727ac5e66a31c405f8_fabricate_be62a2b6_20090727_042605_after_1.py
03977b886acc229683663d0c30677040e96d0da3,fabricate,be62a2b6,2009-07-27 22:50:56,+0000,fabricate.py,MODIFY,6,66,PythonFiles\fabricate\be62a2b6\03977b886acc229683663d0c30677040e96d0da3\03977b886acc229683663d0c30677040e96d0da3_fabricate_be62a2b6_20090727_225056_before_1.py,PythonFiles\fabricate\be62a2b6\03977b886acc229683663d0c30677040e96d0da3\03977b886acc229683663d0c30677040e96d0da3_fabricate_be62a2b6_20090727_225056_after_1.py
9f500e9a43445e34a4c935f5cf9ec10c4ef3b4f9,fabricate,be62a2b6,2009-07-29 22:18:29,+0000,fabricate.py,MODIFY,9,9,PythonFiles\fabricate\be62a2b6\9f500e9a43445e34a4c935f5cf9ec10c4ef3b4f9\9f500e9a43445e34a4c935f5cf9ec10c4ef3b4f9_fabricate_be62a2b6_20090729_221829_before_1.py,PythonFiles\fabricate\be62a2b6\9f500e9a43445e34a4c935f5cf9ec10c4ef3b4f9\9f500e9a43445e34a4c935f5cf9ec10c4ef3b4f9_fabricate_be62a2b6_20090729_221829_after_1.py
53722c4dc767595e57be5030a5e9cba139fe7127,fabricate,be62a2b6,2009-07-30 00:05:40,+0000,fabricate.py,MODIFY,29,7,PythonFiles\fabricate\be62a2b6\53722c4dc767595e57be5030a5e9cba139fe7127\53722c4dc767595e57be5030a5e9cba139fe7127_fabricate_be62a2b6_20090730_000540_before_1.py,PythonFiles\fabricate\be62a2b6\53722c4dc767595e57be5030a5e9cba139fe7127\53722c4dc767595e57be5030a5e9cba139fe7127_fabricate_be62a2b6_20090730_000540_after_1.py
196b3df69bc57b3522fe4e745742e3e2ef48b89b,fabricate,be62a2b6,2009-07-30 04:35:30,+0000,fabricate.py,MODIFY,6,5,PythonFiles\fabricate\be62a2b6\196b3df69bc57b3522fe4e745742e3e2ef48b89b\196b3df69bc57b3522fe4e745742e3e2ef48b89b_fabricate_be62a2b6_20090730_043530_before_1.py,PythonFiles\fabricate\be62a2b6\196b3df69bc57b3522fe4e745742e3e2ef48b89b\196b3df69bc57b3522fe4e745742e3e2ef48b89b_fabricate_be62a2b6_20090730_043530_after_1.py
4992167e777aeb43a4c2ebc1e6dfbc21803d2b66,fabricate,be62a2b6,2009-08-02 22:00:28,+0000,fabricate.py,MODIFY,70,30,PythonFiles\fabricate\be62a2b6\4992167e777aeb43a4c2ebc1e6dfbc21803d2b66\4992167e777aeb43a4c2ebc1e6dfbc21803d2b66_fabricate_be62a2b6_20090802_220028_before_1.py,PythonFiles\fabricate\be62a2b6\4992167e777aeb43a4c2ebc1e6dfbc21803d2b66\4992167e777aeb43a4c2ebc1e6dfbc21803d2b66_fabricate_be62a2b6_20090802_220028_after_1.py
a6c262783cd2940e1d86ab2b56baffcae3a26e6a,fabricate,be62a2b6,2009-08-02 23:33:45,+0000,fabricate.py,MODIFY,1,1,PythonFiles\fabricate\be62a2b6\a6c262783cd2940e1d86ab2b56baffcae3a26e6a\a6c262783cd2940e1d86ab2b56baffcae3a26e6a_fabricate_be62a2b6_20090802_233345_before_1.py,PythonFiles\fabricate\be62a2b6\a6c262783cd2940e1d86ab2b56baffcae3a26e6a\a6c262783cd2940e1d86ab2b56baffcae3a26e6a_fabricate_be62a2b6_20090802_233345_after_1.py
8c8e8307bd91770d21339ce62bdb2b159cd0db96,fabricate,be62a2b6,2009-08-03 02:11:37,+0000,fabricate.py,MODIFY,13,11,PythonFiles\fabricate\be62a2b6\8c8e8307bd91770d21339ce62bdb2b159cd0db96\8c8e8307bd91770d21339ce62bdb2b159cd0db96_fabricate_be62a2b6_20090803_021137_before_1.py,PythonFiles\fabricate\be62a2b6\8c8e8307bd91770d21339ce62bdb2b159cd0db96\8c8e8307bd91770d21339ce62bdb2b159cd0db96_fabricate_be62a2b6_20090803_021137_after_1.py
bd374da58adc2ec3d9ea5a904b2c63cd46f68e14,fabricate,be62a2b6,2009-08-03 23:10:17,+0000,fabricate.py,MODIFY,10,6,PythonFiles\fabricate\be62a2b6\bd374da58adc2ec3d9ea5a904b2c63cd46f68e14\bd374da58adc2ec3d9ea5a904b2c63cd46f68e14_fabricate_be62a2b6_20090803_231017_before_1.py,PythonFiles\fabricate\be62a2b6\bd374da58adc2ec3d9ea5a904b2c63cd46f68e14\bd374da58adc2ec3d9ea5a904b2c63cd46f68e14_fabricate_be62a2b6_20090803_231017_after_1.py
