CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
cd4026fc2dea7dd09fd0e1cd3d57b648015ed604,findpg,cabd47ba,2014-05-08 13:54:12,+0000,findpg.py,ADD,149,0,,PythonFiles\findpg\cabd47ba\cd4026fc2dea7dd09fd0e1cd3d57b648015ed604\cd4026fc2dea7dd09fd0e1cd3d57b648015ed604_findpg_cabd47ba_20140508_155412_after_1.py
66b3ca9a72a7270ca83a812999f759fa163b7fb0,findpg,cabd47ba,2014-05-08 18:44:17,+0000,findpg.py,MODIFY,8,11,PythonFiles\findpg\cabd47ba\66b3ca9a72a7270ca83a812999f759fa163b7fb0\66b3ca9a72a7270ca83a812999f759fa163b7fb0_findpg_cabd47ba_20140508_204417_before_1.py,PythonFiles\findpg\cabd47ba\66b3ca9a72a7270ca83a812999f759fa163b7fb0\66b3ca9a72a7270ca83a812999f759fa163b7fb0_findpg_cabd47ba_20140508_204417_after_1.py
04708e139cf7acbb82a2caa25fc4c10aa9e3761b,findpg,cabd47ba,2014-05-15 15:23:45,+0000,findpg.py,MODIFY,6,2,PythonFiles\findpg\cabd47ba\04708e139cf7acbb82a2caa25fc4c10aa9e3761b\04708e139cf7acbb82a2caa25fc4c10aa9e3761b_findpg_cabd47ba_20140515_172345_before_1.py,PythonFiles\findpg\cabd47ba\04708e139cf7acbb82a2caa25fc4c10aa9e3761b\04708e139cf7acbb82a2caa25fc4c10aa9e3761b_findpg_cabd47ba_20140515_172345_after_1.py
25a3ad0854f266db57e722dbcd4b5c0d1a823c46,findpg,cabd47ba,2014-05-16 15:40:46,+0000,findpg.py,MODIFY,6,2,PythonFiles\findpg\cabd47ba\25a3ad0854f266db57e722dbcd4b5c0d1a823c46\25a3ad0854f266db57e722dbcd4b5c0d1a823c46_findpg_cabd47ba_20140516_174046_before_1.py,PythonFiles\findpg\cabd47ba\25a3ad0854f266db57e722dbcd4b5c0d1a823c46\25a3ad0854f266db57e722dbcd4b5c0d1a823c46_findpg_cabd47ba_20140516_174046_after_1.py
b7977179a08cfc9f7f3d2c9f44f66d6f40fe3900,findpg,cabd47ba,2014-05-16 15:41:14,+0000,findpg.py,MODIFY,4,2,PythonFiles\findpg\cabd47ba\b7977179a08cfc9f7f3d2c9f44f66d6f40fe3900\b7977179a08cfc9f7f3d2c9f44f66d6f40fe3900_findpg_cabd47ba_20140516_174114_before_1.py,PythonFiles\findpg\cabd47ba\b7977179a08cfc9f7f3d2c9f44f66d6f40fe3900\b7977179a08cfc9f7f3d2c9f44f66d6f40fe3900_findpg_cabd47ba_20140516_174114_after_1.py
c3ec8b22a69d5e340f022732e34f7947d520c167,findpg,cabd47ba,2014-06-11 15:41:49,+0000,findpg.py,MODIFY,2,0,PythonFiles\findpg\cabd47ba\c3ec8b22a69d5e340f022732e34f7947d520c167\c3ec8b22a69d5e340f022732e34f7947d520c167_findpg_cabd47ba_20140611_174149_before_1.py,PythonFiles\findpg\cabd47ba\c3ec8b22a69d5e340f022732e34f7947d520c167\c3ec8b22a69d5e340f022732e34f7947d520c167_findpg_cabd47ba_20140611_174149_after_1.py
18738ff006ecc7c6a44fbceabbfb449fd05e791e,findpg,cabd47ba,2014-09-23 12:20:09,+0000,findpg.py,MODIFY,1,1,PythonFiles\findpg\cabd47ba\18738ff006ecc7c6a44fbceabbfb449fd05e791e\18738ff006ecc7c6a44fbceabbfb449fd05e791e_findpg_cabd47ba_20140923_142009_before_1.py,PythonFiles\findpg\cabd47ba\18738ff006ecc7c6a44fbceabbfb449fd05e791e\18738ff006ecc7c6a44fbceabbfb449fd05e791e_findpg_cabd47ba_20140923_142009_after_1.py
134f0bf751172ada96bf320db34e5a9e4b810083,findpg,cabd47ba,2014-09-26 13:31:20,+0000,findpg.py,MODIFY,7,5,PythonFiles\findpg\cabd47ba\134f0bf751172ada96bf320db34e5a9e4b810083\134f0bf751172ada96bf320db34e5a9e4b810083_findpg_cabd47ba_20140926_153120_before_1.py,PythonFiles\findpg\cabd47ba\134f0bf751172ada96bf320db34e5a9e4b810083\134f0bf751172ada96bf320db34e5a9e4b810083_findpg_cabd47ba_20140926_153120_after_1.py
af34a90e84e444dfa8cb6d2f234157e8cd02ff2d,findpg,cabd47ba,2014-10-02 09:21:14,+0000,setup.py,ADD,20,0,,PythonFiles\findpg\cabd47ba\af34a90e84e444dfa8cb6d2f234157e8cd02ff2d\af34a90e84e444dfa8cb6d2f234157e8cd02ff2d_findpg_cabd47ba_20141002_112114_after_1.py
4b808ab7fdccb2ecf9e5377fec2606ed318fa961,findpg,cabd47ba,2014-10-07 12:07:12,+0000,findpg.py,MODIFY,2,0,PythonFiles\findpg\cabd47ba\4b808ab7fdccb2ecf9e5377fec2606ed318fa961\4b808ab7fdccb2ecf9e5377fec2606ed318fa961_findpg_cabd47ba_20141007_140712_before_1.py,PythonFiles\findpg\cabd47ba\4b808ab7fdccb2ecf9e5377fec2606ed318fa961\4b808ab7fdccb2ecf9e5377fec2606ed318fa961_findpg_cabd47ba_20141007_140712_after_1.py
