CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
1bdc6b53478efd7abb88bdff6553adf5069b2b5b,flask-assistant,c62afd0a,2016-12-12 23:49:15,+0000,__init__.py,ADD,20,0,,PythonFiles\flask-assistant\c62afd0a\1bdc6b53478efd7abb88bdff6553adf5069b2b5b\1bdc6b53478efd7abb88bdff6553adf5069b2b5b_flask-assistant_c62afd0a_20161212_154915_after_1.py
1bdc6b53478efd7abb88bdff6553adf5069b2b5b,flask-assistant,c62afd0a,2016-12-12 23:49:15,+0000,core.py,ADD,113,0,,PythonFiles\flask-assistant\c62afd0a\1bdc6b53478efd7abb88bdff6553adf5069b2b5b\1bdc6b53478efd7abb88bdff6553adf5069b2b5b_flask-assistant_c62afd0a_20161212_154915_after_2.py
1bdc6b53478efd7abb88bdff6553adf5069b2b5b,flask-assistant,c62afd0a,2016-12-12 23:49:15,+0000,request.py,ADD,91,0,,PythonFiles\flask-assistant\c62afd0a\1bdc6b53478efd7abb88bdff6553adf5069b2b5b\1bdc6b53478efd7abb88bdff6553adf5069b2b5b_flask-assistant_c62afd0a_20161212_154915_after_3.py
1bdc6b53478efd7abb88bdff6553adf5069b2b5b,flask-assistant,c62afd0a,2016-12-12 23:49:15,+0000,response.py,ADD,44,0,,PythonFiles\flask-assistant\c62afd0a\1bdc6b53478efd7abb88bdff6553adf5069b2b5b\1bdc6b53478efd7abb88bdff6553adf5069b2b5b_flask-assistant_c62afd0a_20161212_154915_after_4.py
1bdc6b53478efd7abb88bdff6553adf5069b2b5b,flask-assistant,c62afd0a,2016-12-12 23:49:15,+0000,hello_world.py,ADD,21,0,,PythonFiles\flask-assistant\c62afd0a\1bdc6b53478efd7abb88bdff6553adf5069b2b5b\1bdc6b53478efd7abb88bdff6553adf5069b2b5b_flask-assistant_c62afd0a_20161212_154915_after_5.py
98e5b2a3f0779421159e2d4b5a5e0f9e74fb9dd9,flask-assistant,c62afd0a,2016-12-15 00:02:05,+0000,core.py,MODIFY,172,38,PythonFiles\flask-assistant\c62afd0a\98e5b2a3f0779421159e2d4b5a5e0f9e74fb9dd9\98e5b2a3f0779421159e2d4b5a5e0f9e74fb9dd9_flask-assistant_c62afd0a_20161214_160205_before_1.py,PythonFiles\flask-assistant\c62afd0a\98e5b2a3f0779421159e2d4b5a5e0f9e74fb9dd9\98e5b2a3f0779421159e2d4b5a5e0f9e74fb9dd9_flask-assistant_c62afd0a_20161214_160205_after_1.py
98e5b2a3f0779421159e2d4b5a5e0f9e74fb9dd9,flask-assistant,c62afd0a,2016-12-15 00:02:05,+0000,request.py,MODIFY,85,86,PythonFiles\flask-assistant\c62afd0a\98e5b2a3f0779421159e2d4b5a5e0f9e74fb9dd9\98e5b2a3f0779421159e2d4b5a5e0f9e74fb9dd9_flask-assistant_c62afd0a_20161214_160205_before_2.py,PythonFiles\flask-assistant\c62afd0a\98e5b2a3f0779421159e2d4b5a5e0f9e74fb9dd9\98e5b2a3f0779421159e2d4b5a5e0f9e74fb9dd9_flask-assistant_c62afd0a_20161214_160205_after_2.py
98e5b2a3f0779421159e2d4b5a5e0f9e74fb9dd9,flask-assistant,c62afd0a,2016-12-15 00:02:05,+0000,response.py,MODIFY,4,4,PythonFiles\flask-assistant\c62afd0a\98e5b2a3f0779421159e2d4b5a5e0f9e74fb9dd9\98e5b2a3f0779421159e2d4b5a5e0f9e74fb9dd9_flask-assistant_c62afd0a_20161214_160205_before_3.py,PythonFiles\flask-assistant\c62afd0a\98e5b2a3f0779421159e2d4b5a5e0f9e74fb9dd9\98e5b2a3f0779421159e2d4b5a5e0f9e74fb9dd9_flask-assistant_c62afd0a_20161214_160205_after_3.py
98e5b2a3f0779421159e2d4b5a5e0f9e74fb9dd9,flask-assistant,c62afd0a,2016-12-15 00:02:05,+0000,hello_world.py,MODIFY,22,3,PythonFiles\flask-assistant\c62afd0a\98e5b2a3f0779421159e2d4b5a5e0f9e74fb9dd9\98e5b2a3f0779421159e2d4b5a5e0f9e74fb9dd9_flask-assistant_c62afd0a_20161214_160205_before_4.py,PythonFiles\flask-assistant\c62afd0a\98e5b2a3f0779421159e2d4b5a5e0f9e74fb9dd9\98e5b2a3f0779421159e2d4b5a5e0f9e74fb9dd9_flask-assistant_c62afd0a_20161214_160205_after_4.py
73150220fd02e3a113cd18608041da6e633807bd,flask-assistant,c62afd0a,2016-12-15 00:10:51,+0000,__init__.py,MODIFY,3,8,PythonFiles\flask-assistant\c62afd0a\73150220fd02e3a113cd18608041da6e633807bd\73150220fd02e3a113cd18608041da6e633807bd_flask-assistant_c62afd0a_20161214_161051_before_1.py,PythonFiles\flask-assistant\c62afd0a\73150220fd02e3a113cd18608041da6e633807bd\73150220fd02e3a113cd18608041da6e633807bd_flask-assistant_c62afd0a_20161214_161051_after_1.py
711d02406e9b52eede1d51ddf4850ccd2ee485a6,flask-assistant,c62afd0a,2016-12-15 04:33:11,+0000,core.py,MODIFY,1,6,PythonFiles\flask-assistant\c62afd0a\711d02406e9b52eede1d51ddf4850ccd2ee485a6\711d02406e9b52eede1d51ddf4850ccd2ee485a6_flask-assistant_c62afd0a_20161214_203311_before_2.py,PythonFiles\flask-assistant\c62afd0a\711d02406e9b52eede1d51ddf4850ccd2ee485a6\711d02406e9b52eede1d51ddf4850ccd2ee485a6_flask-assistant_c62afd0a_20161214_203311_after_2.py
d1bad052d30847b73a1fadf665435cb57af06a9e,flask-assistant,c62afd0a,2016-12-15 07:02:57,+0000,core.py,MODIFY,28,53,PythonFiles\flask-assistant\c62afd0a\d1bad052d30847b73a1fadf665435cb57af06a9e\d1bad052d30847b73a1fadf665435cb57af06a9e_flask-assistant_c62afd0a_20161214_230257_before_1.py,PythonFiles\flask-assistant\c62afd0a\d1bad052d30847b73a1fadf665435cb57af06a9e\d1bad052d30847b73a1fadf665435cb57af06a9e_flask-assistant_c62afd0a_20161214_230257_after_1.py
d1bad052d30847b73a1fadf665435cb57af06a9e,flask-assistant,c62afd0a,2016-12-15 07:02:57,+0000,hello_world.py,MODIFY,2,2,PythonFiles\flask-assistant\c62afd0a\d1bad052d30847b73a1fadf665435cb57af06a9e\d1bad052d30847b73a1fadf665435cb57af06a9e_flask-assistant_c62afd0a_20161214_230257_before_2.py,PythonFiles\flask-assistant\c62afd0a\d1bad052d30847b73a1fadf665435cb57af06a9e\d1bad052d30847b73a1fadf665435cb57af06a9e_flask-assistant_c62afd0a_20161214_230257_after_2.py
