CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
54ad19b91349d99171e14ea9c7f1e20f2ebab5dc,flask-dbshell,eb44ad2a,2014-03-26 18:33:14,+0000,manage.py,ADD,24,0,,PythonFiles\flask-dbshell\eb44ad2a\54ad19b91349d99171e14ea9c7f1e20f2ebab5dc\54ad19b91349d99171e14ea9c7f1e20f2ebab5dc_flask-dbshell_eb44ad2a_20140326_223314_after_3.py
54ad19b91349d99171e14ea9c7f1e20f2ebab5dc,flask-dbshell,eb44ad2a,2014-03-26 18:33:14,+0000,__init__.py,ADD,61,0,,PythonFiles\flask-dbshell\eb44ad2a\54ad19b91349d99171e14ea9c7f1e20f2ebab5dc\54ad19b91349d99171e14ea9c7f1e20f2ebab5dc_flask-dbshell_eb44ad2a_20140326_223314_after_5.py
54ad19b91349d99171e14ea9c7f1e20f2ebab5dc,flask-dbshell,eb44ad2a,2014-03-26 18:33:14,+0000,__init__.py,ADD,38,0,,PythonFiles\flask-dbshell\eb44ad2a\54ad19b91349d99171e14ea9c7f1e20f2ebab5dc\54ad19b91349d99171e14ea9c7f1e20f2ebab5dc_flask-dbshell_eb44ad2a_20140326_223314_after_6.py
54ad19b91349d99171e14ea9c7f1e20f2ebab5dc,flask-dbshell,eb44ad2a,2014-03-26 18:33:14,+0000,mysql.py,ADD,21,0,,PythonFiles\flask-dbshell\eb44ad2a\54ad19b91349d99171e14ea9c7f1e20f2ebab5dc\54ad19b91349d99171e14ea9c7f1e20f2ebab5dc_flask-dbshell_eb44ad2a_20140326_223314_after_7.py
54ad19b91349d99171e14ea9c7f1e20f2ebab5dc,flask-dbshell,eb44ad2a,2014-03-26 18:33:14,+0000,postgresql.py,ADD,21,0,,PythonFiles\flask-dbshell\eb44ad2a\54ad19b91349d99171e14ea9c7f1e20f2ebab5dc\54ad19b91349d99171e14ea9c7f1e20f2ebab5dc_flask-dbshell_eb44ad2a_20140326_223314_after_8.py
54ad19b91349d99171e14ea9c7f1e20f2ebab5dc,flask-dbshell,eb44ad2a,2014-03-26 18:33:14,+0000,redis.py,ADD,21,0,,PythonFiles\flask-dbshell\eb44ad2a\54ad19b91349d99171e14ea9c7f1e20f2ebab5dc\54ad19b91349d99171e14ea9c7f1e20f2ebab5dc_flask-dbshell_eb44ad2a_20140326_223314_after_9.py
54ad19b91349d99171e14ea9c7f1e20f2ebab5dc,flask-dbshell,eb44ad2a,2014-03-26 18:33:14,+0000,sqlite.py,ADD,21,0,,PythonFiles\flask-dbshell\eb44ad2a\54ad19b91349d99171e14ea9c7f1e20f2ebab5dc\54ad19b91349d99171e14ea9c7f1e20f2ebab5dc_flask-dbshell_eb44ad2a_20140326_223314_after_10.py
54ad19b91349d99171e14ea9c7f1e20f2ebab5dc,flask-dbshell,eb44ad2a,2014-03-26 18:33:14,+0000,setup.py,ADD,36,0,,PythonFiles\flask-dbshell\eb44ad2a\54ad19b91349d99171e14ea9c7f1e20f2ebab5dc\54ad19b91349d99171e14ea9c7f1e20f2ebab5dc_flask-dbshell_eb44ad2a_20140326_223314_after_11.py
54ad19b91349d99171e14ea9c7f1e20f2ebab5dc,flask-dbshell,eb44ad2a,2014-03-26 18:33:14,+0000,tests.py,ADD,133,0,,PythonFiles\flask-dbshell\eb44ad2a\54ad19b91349d99171e14ea9c7f1e20f2ebab5dc\54ad19b91349d99171e14ea9c7f1e20f2ebab5dc_flask-dbshell_eb44ad2a_20140326_223314_after_12.py
0de3130dd1f56fb7bdd1c155bd110aaf4842f02d,flask-dbshell,eb44ad2a,2014-03-26 19:19:15,+0000,setup.py,MODIFY,6,6,PythonFiles\flask-dbshell\eb44ad2a\0de3130dd1f56fb7bdd1c155bd110aaf4842f02d\0de3130dd1f56fb7bdd1c155bd110aaf4842f02d_flask-dbshell_eb44ad2a_20140326_231915_before_2.py,PythonFiles\flask-dbshell\eb44ad2a\0de3130dd1f56fb7bdd1c155bd110aaf4842f02d\0de3130dd1f56fb7bdd1c155bd110aaf4842f02d_flask-dbshell_eb44ad2a_20140326_231915_after_2.py
632a8cabb0aa80c85a95ea6c1bf400722e14e4eb,flask-dbshell,eb44ad2a,2014-03-26 19:31:12,+0000,__init__.py,MODIFY,1,3,PythonFiles\flask-dbshell\eb44ad2a\632a8cabb0aa80c85a95ea6c1bf400722e14e4eb\632a8cabb0aa80c85a95ea6c1bf400722e14e4eb_flask-dbshell_eb44ad2a_20140326_233112_before_1.py,PythonFiles\flask-dbshell\eb44ad2a\632a8cabb0aa80c85a95ea6c1bf400722e14e4eb\632a8cabb0aa80c85a95ea6c1bf400722e14e4eb_flask-dbshell_eb44ad2a_20140326_233112_after_1.py
632a8cabb0aa80c85a95ea6c1bf400722e14e4eb,flask-dbshell,eb44ad2a,2014-03-26 19:31:12,+0000,__init__.py,MODIFY,10,0,PythonFiles\flask-dbshell\eb44ad2a\632a8cabb0aa80c85a95ea6c1bf400722e14e4eb\632a8cabb0aa80c85a95ea6c1bf400722e14e4eb_flask-dbshell_eb44ad2a_20140326_233112_before_2.py,PythonFiles\flask-dbshell\eb44ad2a\632a8cabb0aa80c85a95ea6c1bf400722e14e4eb\632a8cabb0aa80c85a95ea6c1bf400722e14e4eb_flask-dbshell_eb44ad2a_20140326_233112_after_2.py
