CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
bf3e8d66d1b2bc613b9256f34587dcffd4afeb01,flask-inject,a34d4246,2015-10-23 20:51:00,+0000,example.py,ADD,51,0,,PythonFiles\flask-inject\a34d4246\bf3e8d66d1b2bc613b9256f34587dcffd4afeb01\bf3e8d66d1b2bc613b9256f34587dcffd4afeb01_flask-inject_a34d4246_20151024_045100_after_2.py
bf3e8d66d1b2bc613b9256f34587dcffd4afeb01,flask-inject,a34d4246,2015-10-23 20:51:00,+0000,flask_inject.py,ADD,52,0,,PythonFiles\flask-inject\a34d4246\bf3e8d66d1b2bc613b9256f34587dcffd4afeb01\bf3e8d66d1b2bc613b9256f34587dcffd4afeb01_flask-inject_a34d4246_20151024_045100_after_3.py
b518d48333994676c0df1ce9fc26699e66d3fdfb,flask-inject,a34d4246,2015-10-23 21:05:22,+0000,example.py,MODIFY,21,1,PythonFiles\flask-inject\a34d4246\b518d48333994676c0df1ce9fc26699e66d3fdfb\b518d48333994676c0df1ce9fc26699e66d3fdfb_flask-inject_a34d4246_20151024_050522_before_1.py,PythonFiles\flask-inject\a34d4246\b518d48333994676c0df1ce9fc26699e66d3fdfb\b518d48333994676c0df1ce9fc26699e66d3fdfb_flask-inject_a34d4246_20151024_050522_after_1.py
b518d48333994676c0df1ce9fc26699e66d3fdfb,flask-inject,a34d4246,2015-10-23 21:05:22,+0000,flask_inject.py,MODIFY,15,10,PythonFiles\flask-inject\a34d4246\b518d48333994676c0df1ce9fc26699e66d3fdfb\b518d48333994676c0df1ce9fc26699e66d3fdfb_flask-inject_a34d4246_20151024_050522_before_2.py,PythonFiles\flask-inject\a34d4246\b518d48333994676c0df1ce9fc26699e66d3fdfb\b518d48333994676c0df1ce9fc26699e66d3fdfb_flask-inject_a34d4246_20151024_050522_after_2.py
4125c351fc9b9ddcce7678e1f60d7eaa8127e0b3,flask-inject,a34d4246,2015-10-23 21:10:35,+0000,example.py,MODIFY,3,4,PythonFiles\flask-inject\a34d4246\4125c351fc9b9ddcce7678e1f60d7eaa8127e0b3\4125c351fc9b9ddcce7678e1f60d7eaa8127e0b3_flask-inject_a34d4246_20151024_051035_before_1.py,PythonFiles\flask-inject\a34d4246\4125c351fc9b9ddcce7678e1f60d7eaa8127e0b3\4125c351fc9b9ddcce7678e1f60d7eaa8127e0b3_flask-inject_a34d4246_20151024_051035_after_1.py
1731b75e3fe629ac8b1efdf4d72fdca1e1872f94,flask-inject,a34d4246,2015-10-24 06:44:21,+0000,example.py,MODIFY,9,17,PythonFiles\flask-inject\a34d4246\1731b75e3fe629ac8b1efdf4d72fdca1e1872f94\1731b75e3fe629ac8b1efdf4d72fdca1e1872f94_flask-inject_a34d4246_20151024_144421_before_1.py,PythonFiles\flask-inject\a34d4246\1731b75e3fe629ac8b1efdf4d72fdca1e1872f94\1731b75e3fe629ac8b1efdf4d72fdca1e1872f94_flask-inject_a34d4246_20151024_144421_after_1.py
1731b75e3fe629ac8b1efdf4d72fdca1e1872f94,flask-inject,a34d4246,2015-10-24 06:44:21,+0000,flask_inject.py,MODIFY,7,12,PythonFiles\flask-inject\a34d4246\1731b75e3fe629ac8b1efdf4d72fdca1e1872f94\1731b75e3fe629ac8b1efdf4d72fdca1e1872f94_flask-inject_a34d4246_20151024_144421_before_2.py,PythonFiles\flask-inject\a34d4246\1731b75e3fe629ac8b1efdf4d72fdca1e1872f94\1731b75e3fe629ac8b1efdf4d72fdca1e1872f94_flask-inject_a34d4246_20151024_144421_after_2.py
e96b2a184e7a4b241ea7989857b04ca700a70f00,flask-inject,a34d4246,2015-10-24 08:22:17,+0000,example.py,MODIFY,68,28,PythonFiles\flask-inject\a34d4246\e96b2a184e7a4b241ea7989857b04ca700a70f00\e96b2a184e7a4b241ea7989857b04ca700a70f00_flask-inject_a34d4246_20151024_162217_before_1.py,PythonFiles\flask-inject\a34d4246\e96b2a184e7a4b241ea7989857b04ca700a70f00\e96b2a184e7a4b241ea7989857b04ca700a70f00_flask-inject_a34d4246_20151024_162217_after_1.py
e96b2a184e7a4b241ea7989857b04ca700a70f00,flask-inject,a34d4246,2015-10-24 08:22:17,+0000,flask_inject.py,MODIFY,30,13,PythonFiles\flask-inject\a34d4246\e96b2a184e7a4b241ea7989857b04ca700a70f00\e96b2a184e7a4b241ea7989857b04ca700a70f00_flask-inject_a34d4246_20151024_162217_before_2.py,PythonFiles\flask-inject\a34d4246\e96b2a184e7a4b241ea7989857b04ca700a70f00\e96b2a184e7a4b241ea7989857b04ca700a70f00_flask-inject_a34d4246_20151024_162217_after_2.py
309acd5fe5a9aeb3a68c7090527e002745908869,flask-inject,a34d4246,2015-10-24 08:23:18,+0000,example.py,MODIFY,15,15,PythonFiles\flask-inject\a34d4246\309acd5fe5a9aeb3a68c7090527e002745908869\309acd5fe5a9aeb3a68c7090527e002745908869_flask-inject_a34d4246_20151024_162318_before_1.py,PythonFiles\flask-inject\a34d4246\309acd5fe5a9aeb3a68c7090527e002745908869\309acd5fe5a9aeb3a68c7090527e002745908869_flask-inject_a34d4246_20151024_162318_after_1.py
0f3b541a387b848829d8f5f3181d87e41c127c9f,flask-inject,a34d4246,2015-10-24 08:41:30,+0000,setup.py,ADD,34,0,,PythonFiles\flask-inject\a34d4246\0f3b541a387b848829d8f5f3181d87e41c127c9f\0f3b541a387b848829d8f5f3181d87e41c127c9f_flask-inject_a34d4246_20151024_164130_after_2.py
5ac7a2beef7157df4d97edd8473b8a5d22350547,flask-inject,a34d4246,2015-10-24 09:07:45,+0000,setup.py,MODIFY,1,1,PythonFiles\flask-inject\a34d4246\5ac7a2beef7157df4d97edd8473b8a5d22350547\5ac7a2beef7157df4d97edd8473b8a5d22350547_flask-inject_a34d4246_20151024_170745_before_1.py,PythonFiles\flask-inject\a34d4246\5ac7a2beef7157df4d97edd8473b8a5d22350547\5ac7a2beef7157df4d97edd8473b8a5d22350547_flask-inject_a34d4246_20151024_170745_after_1.py
52c12f1ca0193237e44dbe9c337805d93253befd,flask-inject,a34d4246,2015-10-27 19:24:00,+0000,example.py,MODIFY,4,3,PythonFiles\flask-inject\a34d4246\52c12f1ca0193237e44dbe9c337805d93253befd\52c12f1ca0193237e44dbe9c337805d93253befd_flask-inject_a34d4246_20151028_032400_before_1.py,PythonFiles\flask-inject\a34d4246\52c12f1ca0193237e44dbe9c337805d93253befd\52c12f1ca0193237e44dbe9c337805d93253befd_flask-inject_a34d4246_20151028_032400_after_1.py
