CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
626ae4c44d0567aa4520a4ab02ea63aa78c64304,generic_celery_task,bf7af1fd,2014-03-31 20:27:30,+0000,celeryapp.py,ADD,11,0,,PythonFiles\generic_celery_task\bf7af1fd\626ae4c44d0567aa4520a4ab02ea63aa78c64304\626ae4c44d0567aa4520a4ab02ea63aa78c64304_generic_celery_task_bf7af1fd_20140331_222730_after_5.py
626ae4c44d0567aa4520a4ab02ea63aa78c64304,generic_celery_task,bf7af1fd,2014-03-31 20:27:30,+0000,celeryconfig.py,ADD,9,0,,PythonFiles\generic_celery_task\bf7af1fd\626ae4c44d0567aa4520a4ab02ea63aa78c64304\626ae4c44d0567aa4520a4ab02ea63aa78c64304_generic_celery_task_bf7af1fd_20140331_222730_after_6.py
626ae4c44d0567aa4520a4ab02ea63aa78c64304,generic_celery_task,bf7af1fd,2014-03-31 20:27:30,+0000,__init__.py,ADD,0,0,,
626ae4c44d0567aa4520a4ab02ea63aa78c64304,generic_celery_task,bf7af1fd,2014-03-31 20:27:30,+0000,decorators.py,ADD,93,0,,PythonFiles\generic_celery_task\bf7af1fd\626ae4c44d0567aa4520a4ab02ea63aa78c64304\626ae4c44d0567aa4520a4ab02ea63aa78c64304_generic_celery_task_bf7af1fd_20140331_222730_after_8.py
626ae4c44d0567aa4520a4ab02ea63aa78c64304,generic_celery_task,bf7af1fd,2014-03-31 20:27:30,+0000,setup.py,ADD,31,0,,PythonFiles\generic_celery_task\bf7af1fd\626ae4c44d0567aa4520a4ab02ea63aa78c64304\626ae4c44d0567aa4520a4ab02ea63aa78c64304_generic_celery_task_bf7af1fd_20140331_222730_after_9.py
626ae4c44d0567aa4520a4ab02ea63aa78c64304,generic_celery_task,bf7af1fd,2014-03-31 20:27:30,+0000,__init__.py,ADD,0,0,,
626ae4c44d0567aa4520a4ab02ea63aa78c64304,generic_celery_task,bf7af1fd,2014-03-31 20:27:30,+0000,common.py,ADD,49,0,,PythonFiles\generic_celery_task\bf7af1fd\626ae4c44d0567aa4520a4ab02ea63aa78c64304\626ae4c44d0567aa4520a4ab02ea63aa78c64304_generic_celery_task_bf7af1fd_20140331_222730_after_11.py
626ae4c44d0567aa4520a4ab02ea63aa78c64304,generic_celery_task,bf7af1fd,2014-03-31 20:27:30,+0000,jobs.py,ADD,10,0,,PythonFiles\generic_celery_task\bf7af1fd\626ae4c44d0567aa4520a4ab02ea63aa78c64304\626ae4c44d0567aa4520a4ab02ea63aa78c64304_generic_celery_task_bf7af1fd_20140331_222730_after_12.py
626ae4c44d0567aa4520a4ab02ea63aa78c64304,generic_celery_task,bf7af1fd,2014-03-31 20:27:30,+0000,test_basic_usage.py,ADD,37,0,,PythonFiles\generic_celery_task\bf7af1fd\626ae4c44d0567aa4520a4ab02ea63aa78c64304\626ae4c44d0567aa4520a4ab02ea63aa78c64304_generic_celery_task_bf7af1fd_20140331_222730_after_13.py
626ae4c44d0567aa4520a4ab02ea63aa78c64304,generic_celery_task,bf7af1fd,2014-03-31 20:27:30,+0000,test_both_running.py,ADD,31,0,,PythonFiles\generic_celery_task\bf7af1fd\626ae4c44d0567aa4520a4ab02ea63aa78c64304\626ae4c44d0567aa4520a4ab02ea63aa78c64304_generic_celery_task_bf7af1fd_20140331_222730_after_14.py
626ae4c44d0567aa4520a4ab02ea63aa78c64304,generic_celery_task,bf7af1fd,2014-03-31 20:27:30,+0000,test_celery_running.py,ADD,37,0,,PythonFiles\generic_celery_task\bf7af1fd\626ae4c44d0567aa4520a4ab02ea63aa78c64304\626ae4c44d0567aa4520a4ab02ea63aa78c64304_generic_celery_task_bf7af1fd_20140331_222730_after_15.py
626ae4c44d0567aa4520a4ab02ea63aa78c64304,generic_celery_task,bf7af1fd,2014-03-31 20:27:30,+0000,test_redis_running.py,ADD,33,0,,PythonFiles\generic_celery_task\bf7af1fd\626ae4c44d0567aa4520a4ab02ea63aa78c64304\626ae4c44d0567aa4520a4ab02ea63aa78c64304_generic_celery_task_bf7af1fd_20140331_222730_after_16.py
a69efcc453b880e8e4e3b1d94153608bdc0020e7,generic_celery_task,bf7af1fd,2014-03-31 20:39:15,+0000,setup.py,MODIFY,1,1,PythonFiles\generic_celery_task\bf7af1fd\a69efcc453b880e8e4e3b1d94153608bdc0020e7\a69efcc453b880e8e4e3b1d94153608bdc0020e7_generic_celery_task_bf7af1fd_20140331_223915_before_1.py,PythonFiles\generic_celery_task\bf7af1fd\a69efcc453b880e8e4e3b1d94153608bdc0020e7\a69efcc453b880e8e4e3b1d94153608bdc0020e7_generic_celery_task_bf7af1fd_20140331_223915_after_1.py
4c2aef727302905f35497aa33554dbda1b095755,generic_celery_task,bf7af1fd,2014-04-01 17:30:07,+0000,setup.py,MODIFY,1,1,PythonFiles\generic_celery_task\bf7af1fd\4c2aef727302905f35497aa33554dbda1b095755\4c2aef727302905f35497aa33554dbda1b095755_generic_celery_task_bf7af1fd_20140401_193007_before_1.py,PythonFiles\generic_celery_task\bf7af1fd\4c2aef727302905f35497aa33554dbda1b095755\4c2aef727302905f35497aa33554dbda1b095755_generic_celery_task_bf7af1fd_20140401_193007_after_1.py
e223b69612e463254ffbee850712eef8ee640f07,generic_celery_task,bf7af1fd,2014-04-02 20:13:10,+0000,setup.py,MODIFY,1,1,PythonFiles\generic_celery_task\bf7af1fd\e223b69612e463254ffbee850712eef8ee640f07\e223b69612e463254ffbee850712eef8ee640f07_generic_celery_task_bf7af1fd_20140402_221310_before_1.py,PythonFiles\generic_celery_task\bf7af1fd\e223b69612e463254ffbee850712eef8ee640f07\e223b69612e463254ffbee850712eef8ee640f07_generic_celery_task_bf7af1fd_20140402_221310_after_1.py
