CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
27082256dcbbf440582dc14abddb0585afd5e9be,geolib,aac85371,2018-07-12 23:03:45,+0000,__init__.py,ADD,0,0,,
27082256dcbbf440582dc14abddb0585afd5e9be,geolib,aac85371,2018-07-12 23:03:45,+0000,geohash.py,ADD,262,0,,PythonFiles\geolib\aac85371\27082256dcbbf440582dc14abddb0585afd5e9be\27082256dcbbf440582dc14abddb0585afd5e9be_geolib_aac85371_20180713_000345_after_5.py
27082256dcbbf440582dc14abddb0585afd5e9be,geolib,aac85371,2018-07-12 23:03:45,+0000,test_geohash.py,ADD,37,0,,PythonFiles\geolib\aac85371\27082256dcbbf440582dc14abddb0585afd5e9be\27082256dcbbf440582dc14abddb0585afd5e9be_geolib_aac85371_20180713_000345_after_7.py
1b8730936410555e32d5d144522057135f0fe552,geolib,aac85371,2018-07-24 16:53:15,+0000,geohash.py,MODIFY,6,4,PythonFiles\geolib\aac85371\1b8730936410555e32d5d144522057135f0fe552\1b8730936410555e32d5d144522057135f0fe552_geolib_aac85371_20180724_175315_before_1.py,PythonFiles\geolib\aac85371\1b8730936410555e32d5d144522057135f0fe552\1b8730936410555e32d5d144522057135f0fe552_geolib_aac85371_20180724_175315_after_1.py
1b8730936410555e32d5d144522057135f0fe552,geolib,aac85371,2018-07-24 16:53:15,+0000,test_geohash.py,MODIFY,12,0,PythonFiles\geolib\aac85371\1b8730936410555e32d5d144522057135f0fe552\1b8730936410555e32d5d144522057135f0fe552_geolib_aac85371_20180724_175315_before_2.py,PythonFiles\geolib\aac85371\1b8730936410555e32d5d144522057135f0fe552\1b8730936410555e32d5d144522057135f0fe552_geolib_aac85371_20180724_175315_after_2.py
680f1a49cdb2802c9c85a754e2eb5c136a71e536,geolib,5750a7ae,2018-09-17 11:26:47,+0000,geohash.py,MODIFY,1,1,PythonFiles\geolib\5750a7ae\680f1a49cdb2802c9c85a754e2eb5c136a71e536\680f1a49cdb2802c9c85a754e2eb5c136a71e536_geolib_5750a7ae_20180917_122647_before_1.py,PythonFiles\geolib\5750a7ae\680f1a49cdb2802c9c85a754e2eb5c136a71e536\680f1a49cdb2802c9c85a754e2eb5c136a71e536_geolib_5750a7ae_20180917_122647_after_1.py
9065da3a271142eadeeb9a307275a47e57fca670,geolib,aac85371,2018-09-17 16:34:36,+0000,geohash.py,MODIFY,48,45,PythonFiles\geolib\aac85371\9065da3a271142eadeeb9a307275a47e57fca670\9065da3a271142eadeeb9a307275a47e57fca670_geolib_aac85371_20180917_173436_before_1.py,PythonFiles\geolib\aac85371\9065da3a271142eadeeb9a307275a47e57fca670\9065da3a271142eadeeb9a307275a47e57fca670_geolib_aac85371_20180917_173436_after_1.py
da0e164a776f99059c39b3332b7266a715907b4b,geolib,aac85371,2018-09-17 16:42:26,+0000,conf.py,ADD,159,0,,PythonFiles\geolib\aac85371\da0e164a776f99059c39b3332b7266a715907b4b\da0e164a776f99059c39b3332b7266a715907b4b_geolib_aac85371_20180917_174226_after_4.py
79738d79e9685bfd167ed4749c58143d553537d0,geolib,aac85371,2018-09-17 18:03:42,+0000,geohash.py,MODIFY,0,1,PythonFiles\geolib\aac85371\79738d79e9685bfd167ed4749c58143d553537d0\79738d79e9685bfd167ed4749c58143d553537d0_geolib_aac85371_20180917_190342_before_3.py,PythonFiles\geolib\aac85371\79738d79e9685bfd167ed4749c58143d553537d0\79738d79e9685bfd167ed4749c58143d553537d0_geolib_aac85371_20180917_190342_after_3.py
e67bc2c384ead59a566dad14cc7e09b4d1ed8935,geolib,aac85371,2018-09-18 15:55:16,+0000,test_geohash.py,MODIFY,2,2,PythonFiles\geolib\aac85371\e67bc2c384ead59a566dad14cc7e09b4d1ed8935\e67bc2c384ead59a566dad14cc7e09b4d1ed8935_geolib_aac85371_20180918_165516_before_2.py,PythonFiles\geolib\aac85371\e67bc2c384ead59a566dad14cc7e09b4d1ed8935\e67bc2c384ead59a566dad14cc7e09b4d1ed8935_geolib_aac85371_20180918_165516_after_2.py
