CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
43d700e92ba1f6119d4eefc7843673569f0ad05e,getinstance,811ed137,2018-10-17 06:02:46,+0000,countries.py,ADD,13,0,,PythonFiles\getinstance\811ed137\43d700e92ba1f6119d4eefc7843673569f0ad05e\43d700e92ba1f6119d4eefc7843673569f0ad05e_getinstance_811ed137_20181017_120246_after_3.py
43d700e92ba1f6119d4eefc7843673569f0ad05e,getinstance,811ed137,2018-10-17 06:02:46,+0000,getinstance.py,ADD,54,0,,PythonFiles\getinstance\811ed137\43d700e92ba1f6119d4eefc7843673569f0ad05e\43d700e92ba1f6119d4eefc7843673569f0ad05e_getinstance_811ed137_20181017_120246_after_4.py
43d700e92ba1f6119d4eefc7843673569f0ad05e,getinstance,811ed137,2018-10-17 06:02:46,+0000,setup.py,ADD,36,0,,PythonFiles\getinstance\811ed137\43d700e92ba1f6119d4eefc7843673569f0ad05e\43d700e92ba1f6119d4eefc7843673569f0ad05e_getinstance_811ed137_20181017_120246_after_5.py
602793538f12cf25aae7cf087db9fd2f1ff6609a,getinstance,811ed137,2019-04-25 13:54:16,+0000,getinstance.py,MODIFY,16,10,PythonFiles\getinstance\811ed137\602793538f12cf25aae7cf087db9fd2f1ff6609a\602793538f12cf25aae7cf087db9fd2f1ff6609a_getinstance_811ed137_20190425_165416_before_1.py,PythonFiles\getinstance\811ed137\602793538f12cf25aae7cf087db9fd2f1ff6609a\602793538f12cf25aae7cf087db9fd2f1ff6609a_getinstance_811ed137_20190425_165416_after_1.py
602793538f12cf25aae7cf087db9fd2f1ff6609a,getinstance,811ed137,2019-04-25 13:54:16,+0000,setup.py,MODIFY,1,1,PythonFiles\getinstance\811ed137\602793538f12cf25aae7cf087db9fd2f1ff6609a\602793538f12cf25aae7cf087db9fd2f1ff6609a_getinstance_811ed137_20190425_165416_before_2.py,PythonFiles\getinstance\811ed137\602793538f12cf25aae7cf087db9fd2f1ff6609a\602793538f12cf25aae7cf087db9fd2f1ff6609a_getinstance_811ed137_20190425_165416_after_2.py
67615e2c8b764e3b8e95a1383e7130e84d78a773,getinstance,811ed137,2019-05-17 10:36:13,+0000,countries.py,MODIFY,6,1,PythonFiles\getinstance\811ed137\67615e2c8b764e3b8e95a1383e7130e84d78a773\67615e2c8b764e3b8e95a1383e7130e84d78a773_getinstance_811ed137_20190517_133613_before_2.py,PythonFiles\getinstance\811ed137\67615e2c8b764e3b8e95a1383e7130e84d78a773\67615e2c8b764e3b8e95a1383e7130e84d78a773_getinstance_811ed137_20190517_133613_after_2.py
67615e2c8b764e3b8e95a1383e7130e84d78a773,getinstance,811ed137,2019-05-17 10:36:13,+0000,getinstance.py,MODIFY,32,5,PythonFiles\getinstance\811ed137\67615e2c8b764e3b8e95a1383e7130e84d78a773\67615e2c8b764e3b8e95a1383e7130e84d78a773_getinstance_811ed137_20190517_133613_before_3.py,PythonFiles\getinstance\811ed137\67615e2c8b764e3b8e95a1383e7130e84d78a773\67615e2c8b764e3b8e95a1383e7130e84d78a773_getinstance_811ed137_20190517_133613_after_3.py
67615e2c8b764e3b8e95a1383e7130e84d78a773,getinstance,811ed137,2019-05-17 10:36:13,+0000,setup.py,MODIFY,1,1,PythonFiles\getinstance\811ed137\67615e2c8b764e3b8e95a1383e7130e84d78a773\67615e2c8b764e3b8e95a1383e7130e84d78a773_getinstance_811ed137_20190517_133613_before_4.py,PythonFiles\getinstance\811ed137\67615e2c8b764e3b8e95a1383e7130e84d78a773\67615e2c8b764e3b8e95a1383e7130e84d78a773_getinstance_811ed137_20190517_133613_after_4.py
42275075ca36d615487a0412865fec45df1cbe3b,getinstance,811ed137,2019-12-14 18:05:16,+0000,getinstance.py,MODIFY,10,10,PythonFiles\getinstance\811ed137\42275075ca36d615487a0412865fec45df1cbe3b\42275075ca36d615487a0412865fec45df1cbe3b_getinstance_811ed137_20191214_210516_before_1.py,PythonFiles\getinstance\811ed137\42275075ca36d615487a0412865fec45df1cbe3b\42275075ca36d615487a0412865fec45df1cbe3b_getinstance_811ed137_20191214_210516_after_1.py
70c61144e4c8f1aa47bd51f788a8d7f19aaf90fa,getinstance,811ed137,2020-02-28 15:42:45,+0000,countries.py,MODIFY,3,0,PythonFiles\getinstance\811ed137\70c61144e4c8f1aa47bd51f788a8d7f19aaf90fa\70c61144e4c8f1aa47bd51f788a8d7f19aaf90fa_getinstance_811ed137_20200228_184245_before_1.py,PythonFiles\getinstance\811ed137\70c61144e4c8f1aa47bd51f788a8d7f19aaf90fa\70c61144e4c8f1aa47bd51f788a8d7f19aaf90fa_getinstance_811ed137_20200228_184245_after_1.py
70c61144e4c8f1aa47bd51f788a8d7f19aaf90fa,getinstance,811ed137,2020-02-28 15:42:45,+0000,getinstance.py,MODIFY,24,6,PythonFiles\getinstance\811ed137\70c61144e4c8f1aa47bd51f788a8d7f19aaf90fa\70c61144e4c8f1aa47bd51f788a8d7f19aaf90fa_getinstance_811ed137_20200228_184245_before_2.py,PythonFiles\getinstance\811ed137\70c61144e4c8f1aa47bd51f788a8d7f19aaf90fa\70c61144e4c8f1aa47bd51f788a8d7f19aaf90fa_getinstance_811ed137_20200228_184245_after_2.py
