CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
5f4749f8e26da76541e6e7ab12e732687ba90658,green,fd0da10b,2014-04-01 23:02:20,+0000,setup.py,ADD,13,0,,PythonFiles\green\fd0da10b\5f4749f8e26da76541e6e7ab12e732687ba90658\5f4749f8e26da76541e6e7ab12e732687ba90658_green_fd0da10b_20140401_170220_after_1.py
385ccb5c35d71204a1bc5795ebcb1497cda78986,green,fd0da10b,2014-04-02 00:38:31,+0000,__init__.py,ADD,0,0,,
385ccb5c35d71204a1bc5795ebcb1497cda78986,green,fd0da10b,2014-04-02 00:38:31,+0000,setup.py,MODIFY,13,12,PythonFiles\green\fd0da10b\385ccb5c35d71204a1bc5795ebcb1497cda78986\385ccb5c35d71204a1bc5795ebcb1497cda78986_green_fd0da10b_20140401_183831_before_3.py,PythonFiles\green\fd0da10b\385ccb5c35d71204a1bc5795ebcb1497cda78986\385ccb5c35d71204a1bc5795ebcb1497cda78986_green_fd0da10b_20140401_183831_after_3.py
d5b5a94583ce181a0c19dc1b9f1e8f44000cdb4e,green,fd0da10b,2014-04-02 00:47:57,+0000,setup.py,MODIFY,11,1,PythonFiles\green\fd0da10b\d5b5a94583ce181a0c19dc1b9f1e8f44000cdb4e\d5b5a94583ce181a0c19dc1b9f1e8f44000cdb4e_green_fd0da10b_20140401_184757_before_1.py,PythonFiles\green\fd0da10b\d5b5a94583ce181a0c19dc1b9f1e8f44000cdb4e\d5b5a94583ce181a0c19dc1b9f1e8f44000cdb4e_green_fd0da10b_20140401_184757_after_1.py
d6ee5bb2217dec1b73819615035a8e3dbaf9002c,green,fd0da10b,2014-04-02 01:01:12,+0000,setup.py,MODIFY,1,1,PythonFiles\green\fd0da10b\d6ee5bb2217dec1b73819615035a8e3dbaf9002c\d6ee5bb2217dec1b73819615035a8e3dbaf9002c_green_fd0da10b_20140401_190112_before_3.py,PythonFiles\green\fd0da10b\d6ee5bb2217dec1b73819615035a8e3dbaf9002c\d6ee5bb2217dec1b73819615035a8e3dbaf9002c_green_fd0da10b_20140401_190112_after_3.py
7fd044be17615cddc3247c51fc441b80e4025e52,green,fd0da10b,2014-04-02 01:13:04,+0000,setup.py,MODIFY,1,1,PythonFiles\green\fd0da10b\7fd044be17615cddc3247c51fc441b80e4025e52\7fd044be17615cddc3247c51fc441b80e4025e52_green_fd0da10b_20140401_191304_before_3.py,PythonFiles\green\fd0da10b\7fd044be17615cddc3247c51fc441b80e4025e52\7fd044be17615cddc3247c51fc441b80e4025e52_green_fd0da10b_20140401_191304_after_3.py
89849d7d0365794a03b35cd4becab9766a3acb72,green,fd0da10b,2014-04-02 01:19:41,+0000,setup.py,MODIFY,4,2,PythonFiles\green\fd0da10b\89849d7d0365794a03b35cd4becab9766a3acb72\89849d7d0365794a03b35cd4becab9766a3acb72_green_fd0da10b_20140401_191941_before_1.py,PythonFiles\green\fd0da10b\89849d7d0365794a03b35cd4becab9766a3acb72\89849d7d0365794a03b35cd4becab9766a3acb72_green_fd0da10b_20140401_191941_after_1.py
8998ede080c435f545a42162f665c1ae53d36f1b,green,fd0da10b,2014-04-02 01:22:14,+0000,setup.py,MODIFY,1,1,PythonFiles\green\fd0da10b\8998ede080c435f545a42162f665c1ae53d36f1b\8998ede080c435f545a42162f665c1ae53d36f1b_green_fd0da10b_20140401_192214_before_1.py,PythonFiles\green\fd0da10b\8998ede080c435f545a42162f665c1ae53d36f1b\8998ede080c435f545a42162f665c1ae53d36f1b_green_fd0da10b_20140401_192214_after_1.py
9d090a75e8e69583f8edf4c4e4a13ca2f25e1538,green,fd0da10b,2014-04-02 01:31:30,+0000,setup.py,MODIFY,1,0,PythonFiles\green\fd0da10b\9d090a75e8e69583f8edf4c4e4a13ca2f25e1538\9d090a75e8e69583f8edf4c4e4a13ca2f25e1538_green_fd0da10b_20140401_193130_before_1.py,PythonFiles\green\fd0da10b\9d090a75e8e69583f8edf4c4e4a13ca2f25e1538\9d090a75e8e69583f8edf4c4e4a13ca2f25e1538_green_fd0da10b_20140401_193130_after_1.py
538c82c5eabf5651a54de01cac82c96ddbe659db,green,fd0da10b,2014-04-03 23:15:32,+0000,__init__.py,MODIFY,1,0,,PythonFiles\green\fd0da10b\538c82c5eabf5651a54de01cac82c96ddbe659db\538c82c5eabf5651a54de01cac82c96ddbe659db_green_fd0da10b_20140403_171532_after_1.py
