CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
7567451f88547f8b0c382796f0fcbd1fa2a3eb17,hone,5f2e8647,2018-03-03 04:26:55,+0000,csv_utils.py,ADD,33,0,,PythonFiles\hone\5f2e8647\7567451f88547f8b0c382796f0fcbd1fa2a3eb17\7567451f88547f8b0c382796f0fcbd1fa2a3eb17_hone_5f2e8647_20180302_202655_after_1.py
dc8067b2d18eba1fe38696a879aeb680a5f57576,hone,5f2e8647,2018-03-03 20:41:56,+0000,csv_utils.py,MODIFY,26,5,PythonFiles\hone\5f2e8647\dc8067b2d18eba1fe38696a879aeb680a5f57576\dc8067b2d18eba1fe38696a879aeb680a5f57576_hone_5f2e8647_20180303_124156_before_1.py,PythonFiles\hone\5f2e8647\dc8067b2d18eba1fe38696a879aeb680a5f57576\dc8067b2d18eba1fe38696a879aeb680a5f57576_hone_5f2e8647_20180303_124156_after_1.py
d01c06caec886c50875c37aa4bc5aff6056e34b7,hone,5f2e8647,2018-03-10 00:15:14,+0000,csv_utils.py,RENAME,6,0,PythonFiles\hone\5f2e8647\d01c06caec886c50875c37aa4bc5aff6056e34b7\d01c06caec886c50875c37aa4bc5aff6056e34b7_hone_5f2e8647_20180309_161514_before_1.py,PythonFiles\hone\5f2e8647\d01c06caec886c50875c37aa4bc5aff6056e34b7\d01c06caec886c50875c37aa4bc5aff6056e34b7_hone_5f2e8647_20180309_161514_after_1.py
5349fc7366a5fefe94d8af33f7eab73a6dba1ba0,hone,5f2e8647,2018-03-10 00:20:37,+0000,csv_utils.py,MODIFY,3,6,PythonFiles\hone\5f2e8647\5349fc7366a5fefe94d8af33f7eab73a6dba1ba0\5349fc7366a5fefe94d8af33f7eab73a6dba1ba0_hone_5f2e8647_20180309_162037_before_1.py,PythonFiles\hone\5f2e8647\5349fc7366a5fefe94d8af33f7eab73a6dba1ba0\5349fc7366a5fefe94d8af33f7eab73a6dba1ba0_hone_5f2e8647_20180309_162037_after_1.py
d05572e0b3f3f807483bd457a612bfee7bce6ede,hone,5f2e8647,2018-03-10 01:31:24,+0000,csv_utils.py,MODIFY,6,2,PythonFiles\hone\5f2e8647\d05572e0b3f3f807483bd457a612bfee7bce6ede\d05572e0b3f3f807483bd457a612bfee7bce6ede_hone_5f2e8647_20180309_173124_before_1.py,PythonFiles\hone\5f2e8647\d05572e0b3f3f807483bd457a612bfee7bce6ede\d05572e0b3f3f807483bd457a612bfee7bce6ede_hone_5f2e8647_20180309_173124_after_1.py
88e7de5770301d827a44cd0aed9a6aafba790ad6,hone,5f2e8647,2018-03-10 01:31:48,+0000,csv_utils_test.py,ADD,31,0,,PythonFiles\hone\5f2e8647\88e7de5770301d827a44cd0aed9a6aafba790ad6\88e7de5770301d827a44cd0aed9a6aafba790ad6_hone_5f2e8647_20180309_173148_after_1.py
e3333d6e3ecaa6a72626f48f06a0b9b283c8b041,hone,5f2e8647,2018-03-10 01:33:39,+0000,tablenest.py,ADD,1,0,,PythonFiles\hone\5f2e8647\e3333d6e3ecaa6a72626f48f06a0b9b283c8b041\e3333d6e3ecaa6a72626f48f06a0b9b283c8b041_hone_5f2e8647_20180309_173339_after_1.py
ae9dd6072530832d3b7571ec951cac1b4f3e3a28,hone,5f2e8647,2018-03-10 03:54:53,+0000,csv_utils.py,MODIFY,18,14,PythonFiles\hone\5f2e8647\ae9dd6072530832d3b7571ec951cac1b4f3e3a28\ae9dd6072530832d3b7571ec951cac1b4f3e3a28_hone_5f2e8647_20180309_195453_before_1.py,PythonFiles\hone\5f2e8647\ae9dd6072530832d3b7571ec951cac1b4f3e3a28\ae9dd6072530832d3b7571ec951cac1b4f3e3a28_hone_5f2e8647_20180309_195453_after_1.py
404ef0bd852e69c05d1421d11f6371defd3bb924,hone,5f2e8647,2018-03-10 06:48:25,+0000,tablenest.py,MODIFY,93,1,PythonFiles\hone\5f2e8647\404ef0bd852e69c05d1421d11f6371defd3bb924\404ef0bd852e69c05d1421d11f6371defd3bb924_hone_5f2e8647_20180309_224825_before_1.py,PythonFiles\hone\5f2e8647\404ef0bd852e69c05d1421d11f6371defd3bb924\404ef0bd852e69c05d1421d11f6371defd3bb924_hone_5f2e8647_20180309_224825_after_1.py
0916fe7b0c2829519bce46eb82ed76b58018e658,hone,5f2e8647,2018-03-10 07:51:16,+0000,tablenest.py,MODIFY,44,6,PythonFiles\hone\5f2e8647\0916fe7b0c2829519bce46eb82ed76b58018e658\0916fe7b0c2829519bce46eb82ed76b58018e658_hone_5f2e8647_20180309_235116_before_1.py,PythonFiles\hone\5f2e8647\0916fe7b0c2829519bce46eb82ed76b58018e658\0916fe7b0c2829519bce46eb82ed76b58018e658_hone_5f2e8647_20180309_235116_after_1.py
77100b03837665027e9a4f7d76149ccceab99873,hone,5f2e8647,2018-03-11 05:39:03,+0000,tablenest.py,MODIFY,1,2,PythonFiles\hone\5f2e8647\77100b03837665027e9a4f7d76149ccceab99873\77100b03837665027e9a4f7d76149ccceab99873_hone_5f2e8647_20180310_213903_before_1.py,PythonFiles\hone\5f2e8647\77100b03837665027e9a4f7d76149ccceab99873\77100b03837665027e9a4f7d76149ccceab99873_hone_5f2e8647_20180310_213903_after_1.py
26b24b602e0287921818bf964d763f49e27f2389,hone,5f2e8647,2018-03-11 06:12:28,+0000,tablenest.py,MODIFY,15,4,PythonFiles\hone\5f2e8647\26b24b602e0287921818bf964d763f49e27f2389\26b24b602e0287921818bf964d763f49e27f2389_hone_5f2e8647_20180310_221228_before_1.py,PythonFiles\hone\5f2e8647\26b24b602e0287921818bf964d763f49e27f2389\26b24b602e0287921818bf964d763f49e27f2389_hone_5f2e8647_20180310_221228_after_1.py
f66cab9fd07c291403d7fde3ee694ea447ebaf99,hone,5f2e8647,2018-05-01 03:11:52,+0000,tablenest.py,MODIFY,50,52,PythonFiles\hone\5f2e8647\f66cab9fd07c291403d7fde3ee694ea447ebaf99\f66cab9fd07c291403d7fde3ee694ea447ebaf99_hone_5f2e8647_20180430_201152_before_1.py,PythonFiles\hone\5f2e8647\f66cab9fd07c291403d7fde3ee694ea447ebaf99\f66cab9fd07c291403d7fde3ee694ea447ebaf99_hone_5f2e8647_20180430_201152_after_1.py
bb700dc45f9597c2b3e83f5333834d0daced4760,hone,5f2e8647,2018-05-02 01:59:10,+0000,tablenest.py,MODIFY,48,13,PythonFiles\hone\5f2e8647\bb700dc45f9597c2b3e83f5333834d0daced4760\bb700dc45f9597c2b3e83f5333834d0daced4760_hone_5f2e8647_20180501_185910_before_1.py,PythonFiles\hone\5f2e8647\bb700dc45f9597c2b3e83f5333834d0daced4760\bb700dc45f9597c2b3e83f5333834d0daced4760_hone_5f2e8647_20180501_185910_after_1.py
576955380afca06bb97aee932534c45359565974,hone,5f2e8647,2018-05-02 01:59:28,+0000,tablenest_test.py,ADD,34,0,,PythonFiles\hone\5f2e8647\576955380afca06bb97aee932534c45359565974\576955380afca06bb97aee932534c45359565974_hone_5f2e8647_20180501_185928_after_1.py
5dde91a771e8fc1a112c188f609ef2d1db004fe8,hone,5f2e8647,2018-05-02 03:00:03,+0000,hone.py,RENAME,1,1,PythonFiles\hone\5f2e8647\5dde91a771e8fc1a112c188f609ef2d1db004fe8\5dde91a771e8fc1a112c188f609ef2d1db004fe8_hone_5f2e8647_20180501_200003_before_1.py,PythonFiles\hone\5f2e8647\5dde91a771e8fc1a112c188f609ef2d1db004fe8\5dde91a771e8fc1a112c188f609ef2d1db004fe8_hone_5f2e8647_20180501_200003_after_1.py
5dde91a771e8fc1a112c188f609ef2d1db004fe8,hone,5f2e8647,2018-05-02 03:00:03,+0000,tablenest_test.py,MODIFY,4,4,PythonFiles\hone\5f2e8647\5dde91a771e8fc1a112c188f609ef2d1db004fe8\5dde91a771e8fc1a112c188f609ef2d1db004fe8_hone_5f2e8647_20180501_200003_before_2.py,PythonFiles\hone\5f2e8647\5dde91a771e8fc1a112c188f609ef2d1db004fe8\5dde91a771e8fc1a112c188f609ef2d1db004fe8_hone_5f2e8647_20180501_200003_after_2.py
267488ed5ea49a585139a809207c8802749322e5,hone,5f2e8647,2018-05-02 03:16:33,+0000,tablenest_test.py,MODIFY,3,0,PythonFiles\hone\5f2e8647\267488ed5ea49a585139a809207c8802749322e5\267488ed5ea49a585139a809207c8802749322e5_hone_5f2e8647_20180501_201633_before_1.py,PythonFiles\hone\5f2e8647\267488ed5ea49a585139a809207c8802749322e5\267488ed5ea49a585139a809207c8802749322e5_hone_5f2e8647_20180501_201633_after_1.py
093b46f7b3f4835f97edd78c358f9f616d807a19,hone,5f2e8647,2018-05-02 03:22:31,+0000,hone.py,MODIFY,0,7,PythonFiles\hone\5f2e8647\093b46f7b3f4835f97edd78c358f9f616d807a19\093b46f7b3f4835f97edd78c358f9f616d807a19_hone_5f2e8647_20180501_202231_before_1.py,PythonFiles\hone\5f2e8647\093b46f7b3f4835f97edd78c358f9f616d807a19\093b46f7b3f4835f97edd78c358f9f616d807a19_hone_5f2e8647_20180501_202231_after_1.py
093b46f7b3f4835f97edd78c358f9f616d807a19,hone,5f2e8647,2018-05-02 03:22:31,+0000,hone_test.py,RENAME,0,0,,
edf548e4f6639aefe71dd1019143e963e98eddb9,hone,5f2e8647,2018-05-02 03:23:51,+0000,hone.py,MODIFY,1,1,PythonFiles\hone\5f2e8647\edf548e4f6639aefe71dd1019143e963e98eddb9\edf548e4f6639aefe71dd1019143e963e98eddb9_hone_5f2e8647_20180501_202351_before_1.py,PythonFiles\hone\5f2e8647\edf548e4f6639aefe71dd1019143e963e98eddb9\edf548e4f6639aefe71dd1019143e963e98eddb9_hone_5f2e8647_20180501_202351_after_1.py
d61c509b1b1b30905031c8869780972602df06fe,hone,5f2e8647,2018-05-02 03:48:50,+0000,hone.py,MODIFY,8,0,PythonFiles\hone\5f2e8647\d61c509b1b1b30905031c8869780972602df06fe\d61c509b1b1b30905031c8869780972602df06fe_hone_5f2e8647_20180501_204850_before_1.py,PythonFiles\hone\5f2e8647\d61c509b1b1b30905031c8869780972602df06fe\d61c509b1b1b30905031c8869780972602df06fe_hone_5f2e8647_20180501_204850_after_1.py
37387f3c6ed8b206cd1247b975ad2996c6c0e098,hone,5f2e8647,2018-05-02 04:39:02,+0000,hone.py,MODIFY,27,15,PythonFiles\hone\5f2e8647\37387f3c6ed8b206cd1247b975ad2996c6c0e098\37387f3c6ed8b206cd1247b975ad2996c6c0e098_hone_5f2e8647_20180501_213902_before_1.py,PythonFiles\hone\5f2e8647\37387f3c6ed8b206cd1247b975ad2996c6c0e098\37387f3c6ed8b206cd1247b975ad2996c6c0e098_hone_5f2e8647_20180501_213902_after_1.py
37387f3c6ed8b206cd1247b975ad2996c6c0e098,hone,5f2e8647,2018-05-02 04:39:02,+0000,json_utils.py,ADD,13,0,,PythonFiles\hone\5f2e8647\37387f3c6ed8b206cd1247b975ad2996c6c0e098\37387f3c6ed8b206cd1247b975ad2996c6c0e098_hone_5f2e8647_20180501_213902_after_2.py
67c17d7b07249caf1a7e6dd11bc98bd9657c3421,hone,5f2e8647,2018-05-02 04:56:46,+0000,hone.py,RENAME,3,3,PythonFiles\hone\5f2e8647\67c17d7b07249caf1a7e6dd11bc98bd9657c3421\67c17d7b07249caf1a7e6dd11bc98bd9657c3421_hone_5f2e8647_20180501_215646_before_1.py,PythonFiles\hone\5f2e8647\67c17d7b07249caf1a7e6dd11bc98bd9657c3421\67c17d7b07249caf1a7e6dd11bc98bd9657c3421_hone_5f2e8647_20180501_215646_after_1.py
67c17d7b07249caf1a7e6dd11bc98bd9657c3421,hone,5f2e8647,2018-05-02 04:56:46,+0000,csv_utils_test.py,RENAME,0,0,,
67c17d7b07249caf1a7e6dd11bc98bd9657c3421,hone,5f2e8647,2018-05-02 04:56:46,+0000,hone_test.py,RENAME,2,2,PythonFiles\hone\5f2e8647\67c17d7b07249caf1a7e6dd11bc98bd9657c3421\67c17d7b07249caf1a7e6dd11bc98bd9657c3421_hone_5f2e8647_20180501_215646_before_5.py,PythonFiles\hone\5f2e8647\67c17d7b07249caf1a7e6dd11bc98bd9657c3421\67c17d7b07249caf1a7e6dd11bc98bd9657c3421_hone_5f2e8647_20180501_215646_after_5.py
67c17d7b07249caf1a7e6dd11bc98bd9657c3421,hone,5f2e8647,2018-05-02 04:56:46,+0000,csv_utils.py,RENAME,0,0,,
67c17d7b07249caf1a7e6dd11bc98bd9657c3421,hone,5f2e8647,2018-05-02 04:56:46,+0000,json_utils.py,RENAME,0,0,,
67c17d7b07249caf1a7e6dd11bc98bd9657c3421,hone,5f2e8647,2018-05-02 04:56:46,+0000,setup.py,ADD,0,0,,
273adc6c506a430ccd5d082b2063a9660a109df7,hone,5f2e8647,2018-05-02 05:21:58,+0000,setup.py,MODIFY,18,0,,PythonFiles\hone\5f2e8647\273adc6c506a430ccd5d082b2063a9660a109df7\273adc6c506a430ccd5d082b2063a9660a109df7_hone_5f2e8647_20180501_222158_after_1.py
216f652026bde7ccf65d917fad3885c2752dc4e6,hone,5f2e8647,2018-05-02 05:44:37,+0000,hone.py,MODIFY,6,11,PythonFiles\hone\5f2e8647\216f652026bde7ccf65d917fad3885c2752dc4e6\216f652026bde7ccf65d917fad3885c2752dc4e6_hone_5f2e8647_20180501_224437_before_1.py,PythonFiles\hone\5f2e8647\216f652026bde7ccf65d917fad3885c2752dc4e6\216f652026bde7ccf65d917fad3885c2752dc4e6_hone_5f2e8647_20180501_224437_after_1.py
216f652026bde7ccf65d917fad3885c2752dc4e6,hone,5f2e8647,2018-05-02 05:44:37,+0000,setup.py,MODIFY,1,2,PythonFiles\hone\5f2e8647\216f652026bde7ccf65d917fad3885c2752dc4e6\216f652026bde7ccf65d917fad3885c2752dc4e6_hone_5f2e8647_20180501_224437_before_2.py,PythonFiles\hone\5f2e8647\216f652026bde7ccf65d917fad3885c2752dc4e6\216f652026bde7ccf65d917fad3885c2752dc4e6_hone_5f2e8647_20180501_224437_after_2.py
10c15e868c5ffd4b9d722cc9086ef2ec7646c80d,hone,5f2e8647,2018-05-02 06:41:15,+0000,hone.py,MODIFY,1,1,PythonFiles\hone\5f2e8647\10c15e868c5ffd4b9d722cc9086ef2ec7646c80d\10c15e868c5ffd4b9d722cc9086ef2ec7646c80d_hone_5f2e8647_20180501_234115_before_1.py,PythonFiles\hone\5f2e8647\10c15e868c5ffd4b9d722cc9086ef2ec7646c80d\10c15e868c5ffd4b9d722cc9086ef2ec7646c80d_hone_5f2e8647_20180501_234115_after_1.py
10c15e868c5ffd4b9d722cc9086ef2ec7646c80d,hone,5f2e8647,2018-05-02 06:41:15,+0000,csv_utils.py,MODIFY,1,1,PythonFiles\hone\5f2e8647\10c15e868c5ffd4b9d722cc9086ef2ec7646c80d\10c15e868c5ffd4b9d722cc9086ef2ec7646c80d_hone_5f2e8647_20180501_234115_before_2.py,PythonFiles\hone\5f2e8647\10c15e868c5ffd4b9d722cc9086ef2ec7646c80d\10c15e868c5ffd4b9d722cc9086ef2ec7646c80d_hone_5f2e8647_20180501_234115_after_2.py
b6e0989b42e5613f48261034c9e07d577a048583,hone,5f2e8647,2018-05-02 20:43:51,+0000,__init__.py,ADD,0,0,,
b6e0989b42e5613f48261034c9e07d577a048583,hone,5f2e8647,2018-05-02 20:43:51,+0000,hone.py,MODIFY,1,1,PythonFiles\hone\5f2e8647\b6e0989b42e5613f48261034c9e07d577a048583\b6e0989b42e5613f48261034c9e07d577a048583_hone_5f2e8647_20180502_134351_before_2.py,PythonFiles\hone\5f2e8647\b6e0989b42e5613f48261034c9e07d577a048583\b6e0989b42e5613f48261034c9e07d577a048583_hone_5f2e8647_20180502_134351_after_2.py
b6e0989b42e5613f48261034c9e07d577a048583,hone,5f2e8647,2018-05-02 20:43:51,+0000,hone_test.py,MODIFY,0,1,PythonFiles\hone\5f2e8647\b6e0989b42e5613f48261034c9e07d577a048583\b6e0989b42e5613f48261034c9e07d577a048583_hone_5f2e8647_20180502_134351_before_3.py,PythonFiles\hone\5f2e8647\b6e0989b42e5613f48261034c9e07d577a048583\b6e0989b42e5613f48261034c9e07d577a048583_hone_5f2e8647_20180502_134351_after_3.py
b6e0989b42e5613f48261034c9e07d577a048583,hone,5f2e8647,2018-05-02 20:43:51,+0000,__init__.py,ADD,0,0,,
ba794ef04b753992d572e8a9c2c4d301ec167aea,hone,5f2e8647,2018-05-02 23:14:40,+0000,__main__.py,ADD,14,0,,PythonFiles\hone\5f2e8647\ba794ef04b753992d572e8a9c2c4d301ec167aea\ba794ef04b753992d572e8a9c2c4d301ec167aea_hone_5f2e8647_20180502_161440_after_1.py
5b549f6049a14eb6676c03fc2f03d6bd1212442d,hone,5f2e8647,2018-05-02 23:23:19,+0000,hone.py,MODIFY,18,10,PythonFiles\hone\5f2e8647\5b549f6049a14eb6676c03fc2f03d6bd1212442d\5b549f6049a14eb6676c03fc2f03d6bd1212442d_hone_5f2e8647_20180502_162319_before_1.py,PythonFiles\hone\5f2e8647\5b549f6049a14eb6676c03fc2f03d6bd1212442d\5b549f6049a14eb6676c03fc2f03d6bd1212442d_hone_5f2e8647_20180502_162319_after_1.py
9e52bcad1121aef2764dce6b927368e8f1c1adb1,hone,5f2e8647,2018-05-02 23:23:37,+0000,csv_utils_test.py,MODIFY,1,1,PythonFiles\hone\5f2e8647\9e52bcad1121aef2764dce6b927368e8f1c1adb1\9e52bcad1121aef2764dce6b927368e8f1c1adb1_hone_5f2e8647_20180502_162337_before_1.py,PythonFiles\hone\5f2e8647\9e52bcad1121aef2764dce6b927368e8f1c1adb1\9e52bcad1121aef2764dce6b927368e8f1c1adb1_hone_5f2e8647_20180502_162337_after_1.py
