CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
2f99d58a6184cb85dcbd117dceb8d2cd4a1de120,infi.clickhouse_orm,423bcc12,2016-06-23 11:05:07,+0000,__init__.py,ADD,1,0,,PythonFiles\infi.clickhouse_orm\423bcc12\2f99d58a6184cb85dcbd117dceb8d2cd4a1de120\2f99d58a6184cb85dcbd117dceb8d2cd4a1de120_infi.clickhouse_orm_423bcc12_20160623_140507_after_5.py
2f99d58a6184cb85dcbd117dceb8d2cd4a1de120,infi.clickhouse_orm,423bcc12,2016-06-23 11:05:07,+0000,__init__.py,ADD,1,0,,PythonFiles\infi.clickhouse_orm\423bcc12\2f99d58a6184cb85dcbd117dceb8d2cd4a1de120\2f99d58a6184cb85dcbd117dceb8d2cd4a1de120_infi.clickhouse_orm_423bcc12_20160623_140507_after_6.py
4da45b0be5953579684dc381d904b3a130f666aa,infi.clickhouse_orm,423bcc12,2016-06-23 11:11:20,+0000,engines.py,ADD,64,0,,PythonFiles\infi.clickhouse_orm\423bcc12\4da45b0be5953579684dc381d904b3a130f666aa\4da45b0be5953579684dc381d904b3a130f666aa_infi.clickhouse_orm_423bcc12_20160623_141120_after_2.py
4da45b0be5953579684dc381d904b3a130f666aa,infi.clickhouse_orm,423bcc12,2016-06-23 11:11:20,+0000,fields.py,ADD,155,0,,PythonFiles\infi.clickhouse_orm\423bcc12\4da45b0be5953579684dc381d904b3a130f666aa\4da45b0be5953579684dc381d904b3a130f666aa_infi.clickhouse_orm_423bcc12_20160623_141120_after_3.py
4da45b0be5953579684dc381d904b3a130f666aa,infi.clickhouse_orm,423bcc12,2016-06-23 11:11:20,+0000,models.py,ADD,62,0,,PythonFiles\infi.clickhouse_orm\423bcc12\4da45b0be5953579684dc381d904b3a130f666aa\4da45b0be5953579684dc381d904b3a130f666aa_infi.clickhouse_orm_423bcc12_20160623_141120_after_4.py
4da45b0be5953579684dc381d904b3a130f666aa,infi.clickhouse_orm,423bcc12,2016-06-23 11:11:20,+0000,utils.py,ADD,28,0,,PythonFiles\infi.clickhouse_orm\423bcc12\4da45b0be5953579684dc381d904b3a130f666aa\4da45b0be5953579684dc381d904b3a130f666aa_infi.clickhouse_orm_423bcc12_20160623_141120_after_5.py
b1174f09eab354edbb4150d7745b78cde708a112,infi.clickhouse_orm,423bcc12,2016-06-23 12:10:49,+0000,database.py,ADD,38,0,,PythonFiles\infi.clickhouse_orm\423bcc12\b1174f09eab354edbb4150d7745b78cde708a112\b1174f09eab354edbb4150d7745b78cde708a112_infi.clickhouse_orm_423bcc12_20160623_151049_after_2.py
b1174f09eab354edbb4150d7745b78cde708a112,infi.clickhouse_orm,423bcc12,2016-06-23 12:10:49,+0000,models.py,MODIFY,9,3,PythonFiles\infi.clickhouse_orm\423bcc12\b1174f09eab354edbb4150d7745b78cde708a112\b1174f09eab354edbb4150d7745b78cde708a112_infi.clickhouse_orm_423bcc12_20160623_151049_before_3.py,PythonFiles\infi.clickhouse_orm\423bcc12\b1174f09eab354edbb4150d7745b78cde708a112\b1174f09eab354edbb4150d7745b78cde708a112_infi.clickhouse_orm_423bcc12_20160623_151049_after_3.py
b1174f09eab354edbb4150d7745b78cde708a112,infi.clickhouse_orm,423bcc12,2016-06-23 12:10:49,+0000,test_orm.py,ADD,32,0,,PythonFiles\infi.clickhouse_orm\423bcc12\b1174f09eab354edbb4150d7745b78cde708a112\b1174f09eab354edbb4150d7745b78cde708a112_infi.clickhouse_orm_423bcc12_20160623_151049_after_4.py
571ea8b6e594eaba11c58bc1bd64d055ac28f73f,infi.clickhouse_orm,423bcc12,2016-06-23 12:46:11,+0000,__init__.py,RENAME,0,0,,
