CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
e36285adab2a531724be7bac6b59e5f109936d59,io3d,babe25dd,2014-10-29 10:06:19,+0000,__init__.py,ADD,4,0,,PythonFiles\io3d\babe25dd\e36285adab2a531724be7bac6b59e5f109936d59\e36285adab2a531724be7bac6b59e5f109936d59_io3d_babe25dd_20141029_110619_after_1.py
e36285adab2a531724be7bac6b59e5f109936d59,io3d,babe25dd,2014-10-29 10:06:19,+0000,datareader.py,ADD,168,0,,PythonFiles\io3d\babe25dd\e36285adab2a531724be7bac6b59e5f109936d59\e36285adab2a531724be7bac6b59e5f109936d59_io3d_babe25dd_20141029_110619_after_2.py
e36285adab2a531724be7bac6b59e5f109936d59,io3d,babe25dd,2014-10-29 10:06:19,+0000,datawriter.py,ADD,172,0,,PythonFiles\io3d\babe25dd\e36285adab2a531724be7bac6b59e5f109936d59\e36285adab2a531724be7bac6b59e5f109936d59_io3d_babe25dd_20141029_110619_after_3.py
e36285adab2a531724be7bac6b59e5f109936d59,io3d,babe25dd,2014-10-29 10:06:19,+0000,dcmreaddata.py,ADD,680,0,,PythonFiles\io3d\babe25dd\e36285adab2a531724be7bac6b59e5f109936d59\e36285adab2a531724be7bac6b59e5f109936d59_io3d_babe25dd_20141029_110619_after_4.py
e36285adab2a531724be7bac6b59e5f109936d59,io3d,babe25dd,2014-10-29 10:06:19,+0000,setup.py,ADD,78,0,,PythonFiles\io3d\babe25dd\e36285adab2a531724be7bac6b59e5f109936d59\e36285adab2a531724be7bac6b59e5f109936d59_io3d_babe25dd_20141029_110619_after_5.py
2c1f2604320b7ba3a3f213c305c30eab7a1df6ad,io3d,babe25dd,2014-10-29 10:19:43,+0000,__init__.py,MODIFY,3,3,PythonFiles\io3d\babe25dd\2c1f2604320b7ba3a3f213c305c30eab7a1df6ad\2c1f2604320b7ba3a3f213c305c30eab7a1df6ad_io3d_babe25dd_20141029_111943_before_1.py,PythonFiles\io3d\babe25dd\2c1f2604320b7ba3a3f213c305c30eab7a1df6ad\2c1f2604320b7ba3a3f213c305c30eab7a1df6ad_io3d_babe25dd_20141029_111943_after_1.py
2c1f2604320b7ba3a3f213c305c30eab7a1df6ad,io3d,babe25dd,2014-10-29 10:19:43,+0000,datawriter_test.py,ADD,153,0,,PythonFiles\io3d\babe25dd\2c1f2604320b7ba3a3f213c305c30eab7a1df6ad\2c1f2604320b7ba3a3f213c305c30eab7a1df6ad_io3d_babe25dd_20141029_111943_after_2.py
2c1f2604320b7ba3a3f213c305c30eab7a1df6ad,io3d,babe25dd,2014-10-29 10:19:43,+0000,dcmreaddata_test.py,ADD,246,0,,PythonFiles\io3d\babe25dd\2c1f2604320b7ba3a3f213c305c30eab7a1df6ad\2c1f2604320b7ba3a3f213c305c30eab7a1df6ad_io3d_babe25dd_20141029_111943_after_3.py
8476e736ca9669cf546ecb30ab7e5e46b3b54797,io3d,babe25dd,2014-10-29 10:21:22,+0000,__init__.py,MODIFY,2,0,PythonFiles\io3d\babe25dd\8476e736ca9669cf546ecb30ab7e5e46b3b54797\8476e736ca9669cf546ecb30ab7e5e46b3b54797_io3d_babe25dd_20141029_112122_before_1.py,PythonFiles\io3d\babe25dd\8476e736ca9669cf546ecb30ab7e5e46b3b54797\8476e736ca9669cf546ecb30ab7e5e46b3b54797_io3d_babe25dd_20141029_112122_after_1.py
46750d95b873afed64f50531d405861a651e2fcc,io3d,babe25dd,2014-10-29 11:33:56,+0000,datareader.py,MODIFY,4,4,PythonFiles\io3d\babe25dd\46750d95b873afed64f50531d405861a651e2fcc\46750d95b873afed64f50531d405861a651e2fcc_io3d_babe25dd_20141029_123356_before_1.py,PythonFiles\io3d\babe25dd\46750d95b873afed64f50531d405861a651e2fcc\46750d95b873afed64f50531d405861a651e2fcc_io3d_babe25dd_20141029_123356_after_1.py
2a67622b8becb6f307a7940c5de33de08c20d129,io3d,babe25dd,2014-10-29 12:03:31,+0000,setup.py,MODIFY,1,1,PythonFiles\io3d\babe25dd\2a67622b8becb6f307a7940c5de33de08c20d129\2a67622b8becb6f307a7940c5de33de08c20d129_io3d_babe25dd_20141029_130331_before_1.py,PythonFiles\io3d\babe25dd\2a67622b8becb6f307a7940c5de33de08c20d129\2a67622b8becb6f307a7940c5de33de08c20d129_io3d_babe25dd_20141029_130331_after_1.py
c5318af27f7bdd493197c53aa35b85e8b3bc26c0,io3d,babe25dd,2014-10-29 15:02:45,+0000,misc.py,ADD,146,0,,PythonFiles\io3d\babe25dd\c5318af27f7bdd493197c53aa35b85e8b3bc26c0\c5318af27f7bdd493197c53aa35b85e8b3bc26c0_io3d_babe25dd_20141029_160245_after_1.py
1eb9f490557ae6c06b1c3fa8cae44d1835c56efc,io3d,babe25dd,2014-10-29 15:03:25,+0000,setup.py,MODIFY,1,1,PythonFiles\io3d\babe25dd\1eb9f490557ae6c06b1c3fa8cae44d1835c56efc\1eb9f490557ae6c06b1c3fa8cae44d1835c56efc_io3d_babe25dd_20141029_160325_before_1.py,PythonFiles\io3d\babe25dd\1eb9f490557ae6c06b1c3fa8cae44d1835c56efc\1eb9f490557ae6c06b1c3fa8cae44d1835c56efc_io3d_babe25dd_20141029_160325_after_1.py
a0125bd6a002dee5ca8cd18c4e5c2b42733a35f9,io3d,babe25dd,2014-11-07 08:47:11,+0000,datareader.py,MODIFY,1,0,PythonFiles\io3d\babe25dd\a0125bd6a002dee5ca8cd18c4e5c2b42733a35f9\a0125bd6a002dee5ca8cd18c4e5c2b42733a35f9_io3d_babe25dd_20141107_094711_before_1.py,PythonFiles\io3d\babe25dd\a0125bd6a002dee5ca8cd18c4e5c2b42733a35f9\a0125bd6a002dee5ca8cd18c4e5c2b42733a35f9_io3d_babe25dd_20141107_094711_after_1.py
a0125bd6a002dee5ca8cd18c4e5c2b42733a35f9,io3d,babe25dd,2014-11-07 08:47:11,+0000,setup.py,MODIFY,2,2,PythonFiles\io3d\babe25dd\a0125bd6a002dee5ca8cd18c4e5c2b42733a35f9\a0125bd6a002dee5ca8cd18c4e5c2b42733a35f9_io3d_babe25dd_20141107_094711_before_2.py,PythonFiles\io3d\babe25dd\a0125bd6a002dee5ca8cd18c4e5c2b42733a35f9\a0125bd6a002dee5ca8cd18c4e5c2b42733a35f9_io3d_babe25dd_20141107_094711_after_2.py
f1b5e7e98220a0d8da00264884e0a48631f0e664,io3d,babe25dd,2014-11-07 08:50:48,+0000,datareader.py,MODIFY,1,1,PythonFiles\io3d\babe25dd\f1b5e7e98220a0d8da00264884e0a48631f0e664\f1b5e7e98220a0d8da00264884e0a48631f0e664_io3d_babe25dd_20141107_095048_before_1.py,PythonFiles\io3d\babe25dd\f1b5e7e98220a0d8da00264884e0a48631f0e664\f1b5e7e98220a0d8da00264884e0a48631f0e664_io3d_babe25dd_20141107_095048_after_1.py
f1b5e7e98220a0d8da00264884e0a48631f0e664,io3d,babe25dd,2014-11-07 08:50:48,+0000,setup.py,MODIFY,1,1,PythonFiles\io3d\babe25dd\f1b5e7e98220a0d8da00264884e0a48631f0e664\f1b5e7e98220a0d8da00264884e0a48631f0e664_io3d_babe25dd_20141107_095048_before_2.py,PythonFiles\io3d\babe25dd\f1b5e7e98220a0d8da00264884e0a48631f0e664\f1b5e7e98220a0d8da00264884e0a48631f0e664_io3d_babe25dd_20141107_095048_after_2.py
6d9666051499e3cb36ac3d6b5d497ace06c7d30d,io3d,babe25dd,2014-11-24 19:40:49,+0000,datareader.py,MODIFY,8,1,PythonFiles\io3d\babe25dd\6d9666051499e3cb36ac3d6b5d497ace06c7d30d\6d9666051499e3cb36ac3d6b5d497ace06c7d30d_io3d_babe25dd_20141124_204049_before_1.py,PythonFiles\io3d\babe25dd\6d9666051499e3cb36ac3d6b5d497ace06c7d30d\6d9666051499e3cb36ac3d6b5d497ace06c7d30d_io3d_babe25dd_20141124_204049_after_1.py
6d9666051499e3cb36ac3d6b5d497ace06c7d30d,io3d,babe25dd,2014-11-24 19:40:49,+0000,setup.py,MODIFY,1,1,PythonFiles\io3d\babe25dd\6d9666051499e3cb36ac3d6b5d497ace06c7d30d\6d9666051499e3cb36ac3d6b5d497ace06c7d30d_io3d_babe25dd_20141124_204049_before_2.py,PythonFiles\io3d\babe25dd\6d9666051499e3cb36ac3d6b5d497ace06c7d30d\6d9666051499e3cb36ac3d6b5d497ace06c7d30d_io3d_babe25dd_20141124_204049_after_2.py
2c46b4b04cf048b3dbea0e0925773dcc8e42bb54,io3d,d0a71c4d,2014-12-10 12:09:56,+0000,datareader.py,MODIFY,3,1,PythonFiles\io3d\d0a71c4d\2c46b4b04cf048b3dbea0e0925773dcc8e42bb54\2c46b4b04cf048b3dbea0e0925773dcc8e42bb54_io3d_d0a71c4d_20141210_130956_before_1.py,PythonFiles\io3d\d0a71c4d\2c46b4b04cf048b3dbea0e0925773dcc8e42bb54\2c46b4b04cf048b3dbea0e0925773dcc8e42bb54_io3d_d0a71c4d_20141210_130956_after_1.py
2c46b4b04cf048b3dbea0e0925773dcc8e42bb54,io3d,d0a71c4d,2014-12-10 12:09:56,+0000,setup.py,MODIFY,1,1,PythonFiles\io3d\d0a71c4d\2c46b4b04cf048b3dbea0e0925773dcc8e42bb54\2c46b4b04cf048b3dbea0e0925773dcc8e42bb54_io3d_d0a71c4d_20141210_130956_before_2.py,PythonFiles\io3d\d0a71c4d\2c46b4b04cf048b3dbea0e0925773dcc8e42bb54\2c46b4b04cf048b3dbea0e0925773dcc8e42bb54_io3d_d0a71c4d_20141210_130956_after_2.py
2c46b4b04cf048b3dbea0e0925773dcc8e42bb54,io3d,d0a71c4d,2014-12-10 12:09:56,+0000,datawriter_test.py,MODIFY,26,8,PythonFiles\io3d\d0a71c4d\2c46b4b04cf048b3dbea0e0925773dcc8e42bb54\2c46b4b04cf048b3dbea0e0925773dcc8e42bb54_io3d_d0a71c4d_20141210_130956_before_3.py,PythonFiles\io3d\d0a71c4d\2c46b4b04cf048b3dbea0e0925773dcc8e42bb54\2c46b4b04cf048b3dbea0e0925773dcc8e42bb54_io3d_d0a71c4d_20141210_130956_after_3.py
eff14eceb01681933b526f75d9cdcab606a9641e,io3d,d0a71c4d,2014-12-10 12:13:07,+0000,setup.py,MODIFY,2,0,PythonFiles\io3d\d0a71c4d\eff14eceb01681933b526f75d9cdcab606a9641e\eff14eceb01681933b526f75d9cdcab606a9641e_io3d_d0a71c4d_20141210_131307_before_1.py,PythonFiles\io3d\d0a71c4d\eff14eceb01681933b526f75d9cdcab606a9641e\eff14eceb01681933b526f75d9cdcab606a9641e_io3d_d0a71c4d_20141210_131307_after_1.py
86f9b8736df3d6c2583c0bde3ce8d06ea3f940b7,io3d,babe25dd,2015-01-05 09:16:55,+0000,datawriter.py,MODIFY,14,13,PythonFiles\io3d\babe25dd\86f9b8736df3d6c2583c0bde3ce8d06ea3f940b7\86f9b8736df3d6c2583c0bde3ce8d06ea3f940b7_io3d_babe25dd_20150105_101655_before_1.py,PythonFiles\io3d\babe25dd\86f9b8736df3d6c2583c0bde3ce8d06ea3f940b7\86f9b8736df3d6c2583c0bde3ce8d06ea3f940b7_io3d_babe25dd_20150105_101655_after_1.py
86f9b8736df3d6c2583c0bde3ce8d06ea3f940b7,io3d,babe25dd,2015-01-05 09:16:55,+0000,setup.py,MODIFY,7,5,PythonFiles\io3d\babe25dd\86f9b8736df3d6c2583c0bde3ce8d06ea3f940b7\86f9b8736df3d6c2583c0bde3ce8d06ea3f940b7_io3d_babe25dd_20150105_101655_before_2.py,PythonFiles\io3d\babe25dd\86f9b8736df3d6c2583c0bde3ce8d06ea3f940b7\86f9b8736df3d6c2583c0bde3ce8d06ea3f940b7_io3d_babe25dd_20150105_101655_after_2.py
86f9b8736df3d6c2583c0bde3ce8d06ea3f940b7,io3d,babe25dd,2015-01-05 09:16:55,+0000,dcmreaddata_test.py,MODIFY,89,87,PythonFiles\io3d\babe25dd\86f9b8736df3d6c2583c0bde3ce8d06ea3f940b7\86f9b8736df3d6c2583c0bde3ce8d06ea3f940b7_io3d_babe25dd_20150105_101655_before_3.py,PythonFiles\io3d\babe25dd\86f9b8736df3d6c2583c0bde3ce8d06ea3f940b7\86f9b8736df3d6c2583c0bde3ce8d06ea3f940b7_io3d_babe25dd_20150105_101655_after_3.py
4f575f9889631e43bb387618f0b11d6442958774,io3d,babe25dd,2015-01-05 10:12:28,+0000,datawriter.py,MODIFY,2,0,PythonFiles\io3d\babe25dd\4f575f9889631e43bb387618f0b11d6442958774\4f575f9889631e43bb387618f0b11d6442958774_io3d_babe25dd_20150105_111228_before_1.py,PythonFiles\io3d\babe25dd\4f575f9889631e43bb387618f0b11d6442958774\4f575f9889631e43bb387618f0b11d6442958774_io3d_babe25dd_20150105_111228_after_1.py
4f575f9889631e43bb387618f0b11d6442958774,io3d,babe25dd,2015-01-05 10:12:28,+0000,setup.py,MODIFY,1,1,PythonFiles\io3d\babe25dd\4f575f9889631e43bb387618f0b11d6442958774\4f575f9889631e43bb387618f0b11d6442958774_io3d_babe25dd_20150105_111228_before_2.py,PythonFiles\io3d\babe25dd\4f575f9889631e43bb387618f0b11d6442958774\4f575f9889631e43bb387618f0b11d6442958774_io3d_babe25dd_20150105_111228_after_2.py
d79f7073467ed7d21416d7200133ad0310acdc3e,io3d,babe25dd,2015-01-05 14:02:51,+0000,__init__.py,MODIFY,2,1,PythonFiles\io3d\babe25dd\d79f7073467ed7d21416d7200133ad0310acdc3e\d79f7073467ed7d21416d7200133ad0310acdc3e_io3d_babe25dd_20150105_150251_before_2.py,PythonFiles\io3d\babe25dd\d79f7073467ed7d21416d7200133ad0310acdc3e\d79f7073467ed7d21416d7200133ad0310acdc3e_io3d_babe25dd_20150105_150251_after_2.py
