CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
55cbe58d0b22bce8c5520ac54899631d9655ac37,ioemu,90c63c6b,2018-11-10 08:21:00,+0000,__init__.py,ADD,100,0,,PythonFiles\ioemu\90c63c6b\55cbe58d0b22bce8c5520ac54899631d9655ac37\55cbe58d0b22bce8c5520ac54899631d9655ac37_ioemu_90c63c6b_20181110_092100_after_2.py
8a2502184ded6b06da3304fee8434b46d5bc2feb,ioemu,90c63c6b,2018-11-10 08:57:49,+0000,setup.py,ADD,28,0,,PythonFiles\ioemu\90c63c6b\8a2502184ded6b06da3304fee8434b46d5bc2feb\8a2502184ded6b06da3304fee8434b46d5bc2feb_ioemu_90c63c6b_20181110_095749_after_4.py
c5251bba3203616a5bfebe4487c1017bd80c89fb,ioemu,90c63c6b,2018-11-10 10:06:02,+0000,__init__.py,MODIFY,4,2,PythonFiles\ioemu\90c63c6b\c5251bba3203616a5bfebe4487c1017bd80c89fb\c5251bba3203616a5bfebe4487c1017bd80c89fb_ioemu_90c63c6b_20181110_110602_before_1.py,PythonFiles\ioemu\90c63c6b\c5251bba3203616a5bfebe4487c1017bd80c89fb\c5251bba3203616a5bfebe4487c1017bd80c89fb_ioemu_90c63c6b_20181110_110602_after_1.py
c5251bba3203616a5bfebe4487c1017bd80c89fb,ioemu,90c63c6b,2018-11-10 10:06:02,+0000,setup.py,MODIFY,1,1,PythonFiles\ioemu\90c63c6b\c5251bba3203616a5bfebe4487c1017bd80c89fb\c5251bba3203616a5bfebe4487c1017bd80c89fb_ioemu_90c63c6b_20181110_110602_before_2.py,PythonFiles\ioemu\90c63c6b\c5251bba3203616a5bfebe4487c1017bd80c89fb\c5251bba3203616a5bfebe4487c1017bd80c89fb_ioemu_90c63c6b_20181110_110602_after_2.py
a1767f633522d00e6539f00c590ecfad91f574d1,ioemu,90c63c6b,2018-11-10 11:01:28,+0000,__init__.py,MODIFY,2,2,PythonFiles\ioemu\90c63c6b\a1767f633522d00e6539f00c590ecfad91f574d1\a1767f633522d00e6539f00c590ecfad91f574d1_ioemu_90c63c6b_20181110_120128_before_1.py,PythonFiles\ioemu\90c63c6b\a1767f633522d00e6539f00c590ecfad91f574d1\a1767f633522d00e6539f00c590ecfad91f574d1_ioemu_90c63c6b_20181110_120128_after_1.py
d0396575972b1ed8e9a366934f048fa1727734dd,ioemu,90c63c6b,2018-11-10 11:01:58,+0000,__init__.py,MODIFY,0,20,PythonFiles\ioemu\90c63c6b\d0396575972b1ed8e9a366934f048fa1727734dd\d0396575972b1ed8e9a366934f048fa1727734dd_ioemu_90c63c6b_20181110_120158_before_1.py,PythonFiles\ioemu\90c63c6b\d0396575972b1ed8e9a366934f048fa1727734dd\d0396575972b1ed8e9a366934f048fa1727734dd_ioemu_90c63c6b_20181110_120158_after_1.py
002dc8ab3dde4fe4d0f335d919573dfaac02dfed,ioemu,90c63c6b,2018-11-10 11:15:18,+0000,setup.py,MODIFY,1,1,PythonFiles\ioemu\90c63c6b\002dc8ab3dde4fe4d0f335d919573dfaac02dfed\002dc8ab3dde4fe4d0f335d919573dfaac02dfed_ioemu_90c63c6b_20181110_121518_before_1.py,PythonFiles\ioemu\90c63c6b\002dc8ab3dde4fe4d0f335d919573dfaac02dfed\002dc8ab3dde4fe4d0f335d919573dfaac02dfed_ioemu_90c63c6b_20181110_121518_after_1.py
71c91f51af92a1e95e828b3904cefd76aef77841,ioemu,90c63c6b,2018-11-10 15:51:05,+0000,__init__.py,MODIFY,8,0,PythonFiles\ioemu\90c63c6b\71c91f51af92a1e95e828b3904cefd76aef77841\71c91f51af92a1e95e828b3904cefd76aef77841_ioemu_90c63c6b_20181110_165105_before_3.py,PythonFiles\ioemu\90c63c6b\71c91f51af92a1e95e828b3904cefd76aef77841\71c91f51af92a1e95e828b3904cefd76aef77841_ioemu_90c63c6b_20181110_165105_after_3.py
d4323379a3e4d174bf00ae71415ec36570b131db,ioemu,90c63c6b,2018-11-10 16:06:32,+0000,__init__.py,MODIFY,0,1,PythonFiles\ioemu\90c63c6b\d4323379a3e4d174bf00ae71415ec36570b131db\d4323379a3e4d174bf00ae71415ec36570b131db_ioemu_90c63c6b_20181110_170632_before_1.py,PythonFiles\ioemu\90c63c6b\d4323379a3e4d174bf00ae71415ec36570b131db\d4323379a3e4d174bf00ae71415ec36570b131db_ioemu_90c63c6b_20181110_170632_after_1.py
f985013e175d84254c5324d1d99069e87012400e,ioemu,90c63c6b,2018-11-10 16:07:13,+0000,__init__.py,MODIFY,3,1,PythonFiles\ioemu\90c63c6b\f985013e175d84254c5324d1d99069e87012400e\f985013e175d84254c5324d1d99069e87012400e_ioemu_90c63c6b_20181110_170713_before_2.py,PythonFiles\ioemu\90c63c6b\f985013e175d84254c5324d1d99069e87012400e\f985013e175d84254c5324d1d99069e87012400e_ioemu_90c63c6b_20181110_170713_after_2.py
