CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
8713a426711b6439c883564a28aedfa2ecf84bb5,itunespy,98e4448b,2015-07-20 20:58:05,+0000,__init__.py,ADD,133,0,,PythonFiles\itunespy\98e4448b\8713a426711b6439c883564a28aedfa2ecf84bb5\8713a426711b6439c883564a28aedfa2ecf84bb5_itunespy_98e4448b_20150720_235805_after_2.py
8713a426711b6439c883564a28aedfa2ecf84bb5,itunespy,98e4448b,2015-07-20 20:58:05,+0000,album.py,ADD,132,0,,PythonFiles\itunespy\98e4448b\8713a426711b6439c883564a28aedfa2ecf84bb5\8713a426711b6439c883564a28aedfa2ecf84bb5_itunespy_98e4448b_20150720_235805_after_3.py
8713a426711b6439c883564a28aedfa2ecf84bb5,itunespy,98e4448b,2015-07-20 20:58:05,+0000,artist.py,ADD,61,0,,PythonFiles\itunespy\98e4448b\8713a426711b6439c883564a28aedfa2ecf84bb5\8713a426711b6439c883564a28aedfa2ecf84bb5_itunespy_98e4448b_20150720_235805_after_4.py
8713a426711b6439c883564a28aedfa2ecf84bb5,itunespy,98e4448b,2015-07-20 20:58:05,+0000,track.py,ADD,197,0,,PythonFiles\itunespy\98e4448b\8713a426711b6439c883564a28aedfa2ecf84bb5\8713a426711b6439c883564a28aedfa2ecf84bb5_itunespy_98e4448b_20150720_235805_after_5.py
e42559f6a64a73c16e6079b9320824a0cc4a2b35,itunespy,98e4448b,2015-07-22 02:04:40,+0000,__init__.py,MODIFY,110,16,PythonFiles\itunespy\98e4448b\e42559f6a64a73c16e6079b9320824a0cc4a2b35\e42559f6a64a73c16e6079b9320824a0cc4a2b35_itunespy_98e4448b_20150722_050440_before_1.py,PythonFiles\itunespy\98e4448b\e42559f6a64a73c16e6079b9320824a0cc4a2b35\e42559f6a64a73c16e6079b9320824a0cc4a2b35_itunespy_98e4448b_20150722_050440_after_1.py
e42559f6a64a73c16e6079b9320824a0cc4a2b35,itunespy,98e4448b,2015-07-22 02:04:40,+0000,album.py,MODIFY,5,0,PythonFiles\itunespy\98e4448b\e42559f6a64a73c16e6079b9320824a0cc4a2b35\e42559f6a64a73c16e6079b9320824a0cc4a2b35_itunespy_98e4448b_20150722_050440_before_2.py,PythonFiles\itunespy\98e4448b\e42559f6a64a73c16e6079b9320824a0cc4a2b35\e42559f6a64a73c16e6079b9320824a0cc4a2b35_itunespy_98e4448b_20150722_050440_after_2.py
e42559f6a64a73c16e6079b9320824a0cc4a2b35,itunespy,98e4448b,2015-07-22 02:04:40,+0000,artist.py,MODIFY,5,0,PythonFiles\itunespy\98e4448b\e42559f6a64a73c16e6079b9320824a0cc4a2b35\e42559f6a64a73c16e6079b9320824a0cc4a2b35_itunespy_98e4448b_20150722_050440_before_3.py,PythonFiles\itunespy\98e4448b\e42559f6a64a73c16e6079b9320824a0cc4a2b35\e42559f6a64a73c16e6079b9320824a0cc4a2b35_itunespy_98e4448b_20150722_050440_after_3.py
3a07640304c00879520ed7a6b103b8fb76bafaac,itunespy,98e4448b,2015-07-22 02:09:59,+0000,setup.py,ADD,13,0,,PythonFiles\itunespy\98e4448b\3a07640304c00879520ed7a6b103b8fb76bafaac\3a07640304c00879520ed7a6b103b8fb76bafaac_itunespy_98e4448b_20150722_050959_after_2.py
6851785fd9805193cac7b1a08575a99fb5f460bf,itunespy,98e4448b,2015-07-22 02:15:07,+0000,setup.py,MODIFY,1,1,PythonFiles\itunespy\98e4448b\6851785fd9805193cac7b1a08575a99fb5f460bf\6851785fd9805193cac7b1a08575a99fb5f460bf_itunespy_98e4448b_20150722_051507_before_1.py,PythonFiles\itunespy\98e4448b\6851785fd9805193cac7b1a08575a99fb5f460bf\6851785fd9805193cac7b1a08575a99fb5f460bf_itunespy_98e4448b_20150722_051507_after_1.py
0eee57aae488fe555c55ef28e312a3c0cdaf750b,itunespy,98e4448b,2015-07-22 13:51:14,+0000,__init__.py,MODIFY,1,1,PythonFiles\itunespy\98e4448b\0eee57aae488fe555c55ef28e312a3c0cdaf750b\0eee57aae488fe555c55ef28e312a3c0cdaf750b_itunespy_98e4448b_20150722_165114_before_2.py,PythonFiles\itunespy\98e4448b\0eee57aae488fe555c55ef28e312a3c0cdaf750b\0eee57aae488fe555c55ef28e312a3c0cdaf750b_itunespy_98e4448b_20150722_165114_after_2.py
c7ef69c50cede589f007317686200fed10529017,itunespy,98e4448b,2015-07-22 13:57:52,+0000,__init__.py,MODIFY,5,3,PythonFiles\itunespy\98e4448b\c7ef69c50cede589f007317686200fed10529017\c7ef69c50cede589f007317686200fed10529017_itunespy_98e4448b_20150722_165752_before_1.py,PythonFiles\itunespy\98e4448b\c7ef69c50cede589f007317686200fed10529017\c7ef69c50cede589f007317686200fed10529017_itunespy_98e4448b_20150722_165752_after_1.py
5d86a543cc47af1a3493cfc43e81809b1ecbe68f,itunespy,98e4448b,2015-07-23 13:42:26,+0000,__init__.py,MODIFY,12,12,PythonFiles\itunespy\98e4448b\5d86a543cc47af1a3493cfc43e81809b1ecbe68f\5d86a543cc47af1a3493cfc43e81809b1ecbe68f_itunespy_98e4448b_20150723_164226_before_1.py,PythonFiles\itunespy\98e4448b\5d86a543cc47af1a3493cfc43e81809b1ecbe68f\5d86a543cc47af1a3493cfc43e81809b1ecbe68f_itunespy_98e4448b_20150723_164226_after_1.py
5d86a543cc47af1a3493cfc43e81809b1ecbe68f,itunespy,98e4448b,2015-07-23 13:42:26,+0000,music_album.py,RENAME,1,1,PythonFiles\itunespy\98e4448b\5d86a543cc47af1a3493cfc43e81809b1ecbe68f\5d86a543cc47af1a3493cfc43e81809b1ecbe68f_itunespy_98e4448b_20150723_164226_before_2.py,PythonFiles\itunespy\98e4448b\5d86a543cc47af1a3493cfc43e81809b1ecbe68f\5d86a543cc47af1a3493cfc43e81809b1ecbe68f_itunespy_98e4448b_20150723_164226_after_2.py
5d86a543cc47af1a3493cfc43e81809b1ecbe68f,itunespy,98e4448b,2015-07-23 13:42:26,+0000,music_artist.py,ADD,34,0,,PythonFiles\itunespy\98e4448b\5d86a543cc47af1a3493cfc43e81809b1ecbe68f\5d86a543cc47af1a3493cfc43e81809b1ecbe68f_itunespy_98e4448b_20150723_164226_after_3.py
5d86a543cc47af1a3493cfc43e81809b1ecbe68f,itunespy,98e4448b,2015-07-23 13:42:26,+0000,music_track.py,RENAME,1,1,PythonFiles\itunespy\98e4448b\5d86a543cc47af1a3493cfc43e81809b1ecbe68f\5d86a543cc47af1a3493cfc43e81809b1ecbe68f_itunespy_98e4448b_20150723_164226_before_4.py,PythonFiles\itunespy\98e4448b\5d86a543cc47af1a3493cfc43e81809b1ecbe68f\5d86a543cc47af1a3493cfc43e81809b1ecbe68f_itunespy_98e4448b_20150723_164226_after_4.py
5d86a543cc47af1a3493cfc43e81809b1ecbe68f,itunespy,98e4448b,2015-07-23 13:42:26,+0000,result_item.py,RENAME,1,17,PythonFiles\itunespy\98e4448b\5d86a543cc47af1a3493cfc43e81809b1ecbe68f\5d86a543cc47af1a3493cfc43e81809b1ecbe68f_itunespy_98e4448b_20150723_164226_before_5.py,PythonFiles\itunespy\98e4448b\5d86a543cc47af1a3493cfc43e81809b1ecbe68f\5d86a543cc47af1a3493cfc43e81809b1ecbe68f_itunespy_98e4448b_20150723_164226_after_5.py
