CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
e7d4d250047242c8c1921d0a3f1442b43b521fdd,json-object-factory,3966e928,2016-05-31 17:10:58,+0000,__init__.py,ADD,22,0,,PythonFiles\json-object-factory\3966e928\e7d4d250047242c8c1921d0a3f1442b43b521fdd\e7d4d250047242c8c1921d0a3f1442b43b521fdd_json-object-factory_3966e928_20160531_121058_after_4.py
e7d4d250047242c8c1921d0a3f1442b43b521fdd,json-object-factory,3966e928,2016-05-31 17:10:58,+0000,decorators.py,ADD,55,0,,PythonFiles\json-object-factory\3966e928\e7d4d250047242c8c1921d0a3f1442b43b521fdd\e7d4d250047242c8c1921d0a3f1442b43b521fdd_json-object-factory_3966e928_20160531_121058_after_5.py
e7d4d250047242c8c1921d0a3f1442b43b521fdd,json-object-factory,3966e928,2016-05-31 17:10:58,+0000,registry.py,ADD,72,0,,PythonFiles\json-object-factory\3966e928\e7d4d250047242c8c1921d0a3f1442b43b521fdd\e7d4d250047242c8c1921d0a3f1442b43b521fdd_json-object-factory_3966e928_20160531_121058_after_6.py
e7d4d250047242c8c1921d0a3f1442b43b521fdd,json-object-factory,3966e928,2016-05-31 17:10:58,+0000,setup.py,ADD,27,0,,PythonFiles\json-object-factory\3966e928\e7d4d250047242c8c1921d0a3f1442b43b521fdd\e7d4d250047242c8c1921d0a3f1442b43b521fdd_json-object-factory_3966e928_20160531_121058_after_8.py
e7d4d250047242c8c1921d0a3f1442b43b521fdd,json-object-factory,3966e928,2016-05-31 17:10:58,+0000,conftest.py,ADD,77,0,,PythonFiles\json-object-factory\3966e928\e7d4d250047242c8c1921d0a3f1442b43b521fdd\e7d4d250047242c8c1921d0a3f1442b43b521fdd_json-object-factory_3966e928_20160531_121058_after_9.py
e7d4d250047242c8c1921d0a3f1442b43b521fdd,json-object-factory,3966e928,2016-05-31 17:10:58,+0000,test_basic.py,ADD,55,0,,PythonFiles\json-object-factory\3966e928\e7d4d250047242c8c1921d0a3f1442b43b521fdd\e7d4d250047242c8c1921d0a3f1442b43b521fdd_json-object-factory_3966e928_20160531_121058_after_10.py
e7d4d250047242c8c1921d0a3f1442b43b521fdd,json-object-factory,3966e928,2016-05-31 17:10:58,+0000,test_decorators.py,ADD,38,0,,PythonFiles\json-object-factory\3966e928\e7d4d250047242c8c1921d0a3f1442b43b521fdd\e7d4d250047242c8c1921d0a3f1442b43b521fdd_json-object-factory_3966e928_20160531_121058_after_11.py
3bc305af95a1075c9bb3d3d5f00339aca7b97ed7,json-object-factory,3966e928,2016-05-31 21:21:35,+0000,decorators.py,MODIFY,1,1,PythonFiles\json-object-factory\3966e928\3bc305af95a1075c9bb3d3d5f00339aca7b97ed7\3bc305af95a1075c9bb3d3d5f00339aca7b97ed7_json-object-factory_3966e928_20160531_162135_before_1.py,PythonFiles\json-object-factory\3966e928\3bc305af95a1075c9bb3d3d5f00339aca7b97ed7\3bc305af95a1075c9bb3d3d5f00339aca7b97ed7_json-object-factory_3966e928_20160531_162135_after_1.py
3bc305af95a1075c9bb3d3d5f00339aca7b97ed7,json-object-factory,3966e928,2016-05-31 21:21:35,+0000,registry.py,MODIFY,5,2,PythonFiles\json-object-factory\3966e928\3bc305af95a1075c9bb3d3d5f00339aca7b97ed7\3bc305af95a1075c9bb3d3d5f00339aca7b97ed7_json-object-factory_3966e928_20160531_162135_before_2.py,PythonFiles\json-object-factory\3966e928\3bc305af95a1075c9bb3d3d5f00339aca7b97ed7\3bc305af95a1075c9bb3d3d5f00339aca7b97ed7_json-object-factory_3966e928_20160531_162135_after_2.py
660a0f84f9123d63c1f236ad0655996868b124c4,json-object-factory,3966e928,2016-05-31 21:22:03,+0000,decorators.py,MODIFY,0,19,PythonFiles\json-object-factory\3966e928\660a0f84f9123d63c1f236ad0655996868b124c4\660a0f84f9123d63c1f236ad0655996868b124c4_json-object-factory_3966e928_20160531_162203_before_1.py,PythonFiles\json-object-factory\3966e928\660a0f84f9123d63c1f236ad0655996868b124c4\660a0f84f9123d63c1f236ad0655996868b124c4_json-object-factory_3966e928_20160531_162203_after_1.py
