CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
b7b3f3b144e3e108df77cd1dbecda08965259d31,kcbo,bb83dfaa,2014-03-07 23:59:18,+0000,__init__.py,ADD,0,0,,
b7b3f3b144e3e108df77cd1dbecda08965259d31,kcbo,bb83dfaa,2014-03-07 23:59:18,+0000,bill_murray.py,ADD,0,0,,
2183fc12dbcef0bfa76cae0663d0d0103389787e,kcbo,00c41cb0,2014-03-15 18:01:28,+0000,t_test.py,ADD,128,0,,PythonFiles\kcbo\00c41cb0\2183fc12dbcef0bfa76cae0663d0d0103389787e\2183fc12dbcef0bfa76cae0663d0d0103389787e_kcbo_00c41cb0_20140315_140128_after_1.py
8c84ffb05ab0a9be16e6bd1b04ac7c82279f64c7,kcbo,00c41cb0,2014-03-17 12:56:14,+0000,t_test.py,MODIFY,20,26,PythonFiles\kcbo\00c41cb0\8c84ffb05ab0a9be16e6bd1b04ac7c82279f64c7\8c84ffb05ab0a9be16e6bd1b04ac7c82279f64c7_kcbo_00c41cb0_20140317_085614_before_1.py,PythonFiles\kcbo\00c41cb0\8c84ffb05ab0a9be16e6bd1b04ac7c82279f64c7\8c84ffb05ab0a9be16e6bd1b04ac7c82279f64c7_kcbo_00c41cb0_20140317_085614_after_1.py
f28fa312fb1e67eaab2418fa353b1417428e99a6,kcbo,00c41cb0,2014-03-19 19:08:13,+0000,bill_murray.py,MODIFY,82,0,,PythonFiles\kcbo\00c41cb0\f28fa312fb1e67eaab2418fa353b1417428e99a6\f28fa312fb1e67eaab2418fa353b1417428e99a6_kcbo_00c41cb0_20140319_150813_after_1.py
f28fa312fb1e67eaab2418fa353b1417428e99a6,kcbo,00c41cb0,2014-03-19 19:08:13,+0000,t_test.py,MODIFY,1,1,PythonFiles\kcbo\00c41cb0\f28fa312fb1e67eaab2418fa353b1417428e99a6\f28fa312fb1e67eaab2418fa353b1417428e99a6_kcbo_00c41cb0_20140319_150813_before_2.py,PythonFiles\kcbo\00c41cb0\f28fa312fb1e67eaab2418fa353b1417428e99a6\f28fa312fb1e67eaab2418fa353b1417428e99a6_kcbo_00c41cb0_20140319_150813_after_2.py
e371bf9ef11ee867e5808bd7bea87ca640c00106,kcbo,00c41cb0,2014-03-22 23:24:15,+0000,bill_murray.py,MODIFY,1,1,PythonFiles\kcbo\00c41cb0\e371bf9ef11ee867e5808bd7bea87ca640c00106\e371bf9ef11ee867e5808bd7bea87ca640c00106_kcbo_00c41cb0_20140322_192415_before_1.py,PythonFiles\kcbo\00c41cb0\e371bf9ef11ee867e5808bd7bea87ca640c00106\e371bf9ef11ee867e5808bd7bea87ca640c00106_kcbo_00c41cb0_20140322_192415_after_1.py
ebe74c490b800fe1b5d1acdb42061c3b1fdb851f,kcbo,00c41cb0,2014-07-31 14:14:05,+0000,__init__.py,MODIFY,3,0,,PythonFiles\kcbo\00c41cb0\ebe74c490b800fe1b5d1acdb42061c3b1fdb851f\ebe74c490b800fe1b5d1acdb42061c3b1fdb851f_kcbo_00c41cb0_20140731_101405_after_3.py
ebe74c490b800fe1b5d1acdb42061c3b1fdb851f,kcbo,00c41cb0,2014-07-31 14:14:05,+0000,bill_murray.py,DELETE,0,82,PythonFiles\kcbo\00c41cb0\ebe74c490b800fe1b5d1acdb42061c3b1fdb851f\ebe74c490b800fe1b5d1acdb42061c3b1fdb851f_kcbo_00c41cb0_20140731_101405_before_4.py,
ebe74c490b800fe1b5d1acdb42061c3b1fdb851f,kcbo,00c41cb0,2014-07-31 14:14:05,+0000,__init__.py,ADD,0,0,,
ebe74c490b800fe1b5d1acdb42061c3b1fdb851f,kcbo,00c41cb0,2014-07-31 14:14:05,+0000,anova.py,ADD,25,0,,PythonFiles\kcbo\00c41cb0\ebe74c490b800fe1b5d1acdb42061c3b1fdb851f\ebe74c490b800fe1b5d1acdb42061c3b1fdb851f_kcbo_00c41cb0_20140731_101405_after_6.py
